voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-0.030158908841292642558289956186202340407839601659462751511044446546851938018540308,-94128.928967829725600805664097035881444768656361928001138629440840185880593096477,-50,134323434.30690398416534426772616207856843020612910491030764655134919240536776237,56348.442938020628877087339346046324194339598710356508460551753707813087875053107,134267085.86396596353646718038681603224423586653039455379918599959548459227988731,2383.8002845021010905555061553876718427125405132582157030071262817074803150868765,268646868.61380796833068853545232415713686041225820982061529310269838481073552473,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,9048647.036040186912825985945553485947966821460542389317450353623288306468366332,9.8210791051304366787443087232722870049162772753480392326883885195047126359206888e-77,2.3025062968578438919998867177697253486139949097155397846774504341735868353934315e-76,5.3517265191079800845919826648355199857200864222615844857529152919951075042719791e-76,-50,-0.030158908841292642558289956186202340407839601659462751511044446546851938018540308,-0.030158908841292642558289956186202340407839601659462751511044446546851938018540308,-0.030158908841292642558289956186202340407839601659462751511044446546851938018540307,-0.030158908841292642558289956186202340407839601659462751511044446546851938018540307,-94128.928967829725600805664097035881444768656361928001138629440840185880593096477,-94128.928967829725600805664097035881444768656361928001138629440840185880593096477,-94128.928967829725600805664097035881444768656361928001138629440840185880593096476,-94128.928967829725600805664097035881444768656361928001138629440840185880593096476
-40,-0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,-74108.407449581031516057155416540659621278429186965056676433467871531146824387637,-40,128596169.97720703232710860197646907115398649304143915465745364922067111790712965,62274.660413945500006351999126613858535828169054738586977325707815071888812592171,128533895.31679308682710224997734245729545066487238441607047632351285604601831706,2064.9838814441740351154463647362021552467669042626218328498400573255502145124912,257192339.9544140646542172039529381423079729860828783093149072984413422358142593,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.6238805429854923583698223301240690339002992251891744703392310398809246000208549e-82,10545453.491548910025447362051116817838863300459889057644987470157908304364113307,-7.4090470488370092731517527115069678775755903354128403047952200681184694804067732e-76,6.5860234556377491514450137907761711415825129892267448493069268271270378370695572e-76,1.0084728828250511181528488814468450299848611565407279286980848336950243806051859e-75,-40,-0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,-0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,-0.023744333746845761297724251557677709474188151741243844497503521274360706818273817,-0.023744333746845761297724251557677709474188151741243844497503521274360706818273817,-74108.407449581031516057155416540659621278429186965056676433467871531146824387637,-74108.407449581031516057155416540659621278429186965056676433467871531146824387637,-74108.407449581031516057155416540659621278429186965056676433467871531146824387638,-74108.407449581031516057155416540659621278429186965056676433467871531146824387638
-30,-0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,-54869.689296355012584092160073756097053626197784091148153340670539247191092108911,-30,124155939.33930733632312263667922536394835921790722827623714024732181628302612778,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,124087115.19568480698244007250473325344996715675152459188002293772702976249691217,1803.9590876749438762284311390162836412257541652906272652427849804176264378212992,248311878.67861467264624527335845072789671843581445655247428049464363256605225556,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,13444200.074204807881249887738828128692692383704145401531600267367418976366007413,-1.9902672956636497232120471677446305262383748184810580935269117283377919400701422e-77,2.1986837490719864345827719938513404775971339703910349103966345173479931953605112e-76,4.6642072318276092697918276096962822611698910830295034458055834162156905480906757e-76,-30,-0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,-0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,-0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,-0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,-54869.689296355012584092160073756097053626197784091148153340670539247191092108911,-54869.689296355012584092160073756097053626197784091148153340670539247191092108911,-54869.689296355012584092160073756097053626197784091148153340670539247191092108911,-54869.689296355012584092160073756097053626197784091148153340670539247191092108911
-20,-0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,-36233.547194168475186102858720048539440140135431768844193554001921647752074198134,-20,120958303.07256774491512275105632159032641173782565704258321733592350318823817007,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,120882240.63057466393689284815568009169741529855847036009943767789903049740164352,1590.2500617002372828356595268302722205897157840043338161945339968426459862769954,241916606.14513548983024550211264318065282347565131408516643467184700637647634014,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.8119402714927461791849111650620345169501496125945872351696155199404623000104274e-82,19778880.321767934254096613827819708973024335373579509742375992899389190829985718,1.9179997785062858215439228738708952624418558585335980093248516003817493856078734e-76,2.7995534182715538295123697034116528955913414329451215537277382711964787843154765e-76,6.0944852834755139212846154234892547498637251313386271774675017015891016613848544e-76,-20,-0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,-0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,-0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,-0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,-36233.547194168475186102858720048539440140135431768844193554001921647752074198133,-36233.547194168475186102858720048539440140135431768844193554001921647752074198134,-36233.547194168475186102858720048539440140135431768844193554001921647752074198133,-36233.547194168475186102858720048539440140135431768844193554001921647752074198133
-10,-0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,-18011.006854966866952132187316123615910487295907686144718642608311487755043942706,-10,118971258.15846806023516378131128114641268227058786268929052507071846668695534769,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,118887196.1596194912372643087945294129819350548098634583516597223804115640717992,1415.2799099244037159734984140717987245695826546075376054446139420660976653241128,237942516.31693612047032756262256229282536454117572537858105014143693337391069537,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.0597013574637308959245558253101725847507480629729361758480775997023115000521371e-83,38188845.216637763826445279732622930464080513970619590311202046307677291923295749,1.96597992343628940882655135361854880888471752432063540128709464263812260113884e-76,2.6015117469516586873810755876004738901437098640705863269694635314166140943997521e-76,5.7661666079616321441735659289654388982082182094026099976312558232284232106662269e-76,-10,-0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,-0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,-0.005770726596331383879815045756754217232003783756279711994532138433037205946589875,-0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,-18011.006854966866952132187316123615910487295907686144718642608311487755043942706,-18011.006854966866952132187316123615910487295907686144718642608311487755043942706,-18011.006854966866952132187316123615910487295907686144718642608311487755043942705,-18011.006854966866952132187316123615910487295907686144718642608311487755043942706
0,0.0,0.0,0,118174917.58363911404235227157283367016687967128122907502777010793422988463584208,92902.876442747033460433438324456334359266544372428101542758556697575101967615413,118082014.70719636700889183813450921383252040473685664692622734937753230953387446,1272.0264657948067165169579006452842443663535126185567810742354263552252028185708,236349835.16727822808470454314566734033375934256245815005554021586845976927168415,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.7708981792334463476033846837804505811793623958625987382640515858928841108793835e-82,95365858.82776803442465828535152941285458276229553117432232881985717649608619095,-2.1941219613170821742833093676415790854033429694814879531605315038683843701778268e-76,2.6695387296119083798270818000819888115633065365546481760346878377130684406011297e-76,5.1805511477081317952323594546872490208020744281266738442485772606189169603749953e-76,0,8.8544908961672317380169234189022529058968119793129936913202579294644205543969175e-83,0.0,0.0,-8.8544908961672317380169234189022529058968119793129936913202579294644205543969175e-83,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,0.0,0.0,-2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76
10,0.005770726596331383879815045756754217232003783756279711994532138433037205946589875,18011.006854966866952132187316123615910487295907686144718642608311487755043942705,10,118971258.15846806023516378131128114641268227058786268929052507071846668695534769,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,118887196.1596194912372643087945294129819350548098634583516597223804115640717992,1415.2799099244037159734984140717987245695826546075376054446139420660976653241128,237942516.31693612047032756262256229282536454117572537858105014143693337391069537,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,-45425370.232746820454837871191933089176778991722632596220789820665413029752192713,2.045113346849411775257217137937137777285890018056473582947922597372516938354492e-76,2.9146524168511828080789401286620533927305914943169689241050833627443087548338651e-76,6.4572452744214524926578447776234474375906776405638850048976109583902865422917781e-76,10,0.0057707265963313838798150457567542172320037837562797119945321384330372059465898752,0.005770726596331383879815045756754217232003783756279711994532138433037205946589875,0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,0.0057707265963313838798150457567542172320037837562797119945321384330372059465898751,18011.006854966866952132187316123615910487295907686144718642608311487755043942706,18011.006854966866952132187316123615910487295907686144718642608311487755043942705,18011.006854966866952132187316123615910487295907686144718642608311487755043942706,18011.006854966866952132187316123615910487295907686144718642608311487755043942706
20,0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,36233.547194168475186102858720048539440140135431768844193554001921647752074198133,20,120958303.07256774491512275105632159032641173782565704258321733592350318823817007,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,120882240.63057466393689284815568009169741529855847036009943767789903049740164352,1590.2500617002372828356595268302722205897157840043338161945339968426459862769954,241916606.14513548983024550211264318065282347565131408516643467184700637647634014,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.8119402714927461791849111650620345169501496125945872351696155199404623000104274e-82,-29000394.908845964506882109286163317583028546005773632695574253292767544551763494,-1.9180000950810775738277013394164539309507274279489422552541554723458246024784173e-76,2.7995534182715538295123697034116528955913414329451215537277382711964787843154765e-76,6.0944852834755139212846154234892547498637251313386271774675017015891016613848544e-76,20,0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,0.011609228521011578862905828574647084334966942499425403168936796929643805237530468,36233.547194168475186102858720048539440140135431768844193554001921647752074198133,36233.547194168475186102858720048539440140135431768844193554001921647752074198133,36233.547194168475186102858720048539440140135431768844193554001921647752074198134,36233.547194168475186102858720048539440140135431768844193554001921647752074198133
30,0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,54869.689296355012584092160073756097053626197784091148153340670539247191092108911,30,124155939.33930733632312263667922536394835921790722827623714024732181628302612778,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,124087115.19568480698244007250473325344996715675152459188002293772702976249691217,1803.9590876749438762284311390162836412257541652906272652427849804176264378212992,248311878.67861467264624527335845072789671843581445655247428049464363256605225556,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,-24146262.414192755556168502423078129959794137722109469395296745787568532130142853,1.9902646382370441603421181785105709714789447744050992811528771933548028228438287e-77,2.1986837490719864345827719938513404775971339703910349103966345173479931953605112e-76,4.6642072318276092697918276096962822611698910830295034458055834162156905480906757e-76,30,0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,0.017580248450552145143450821850870725616849744919729390228283416225456999920358551,54869.689296355012584092160073756097053626197784091148153340670539247191092108911,54869.689296355012584092160073756097053626197784091148153340670539247191092108911,54869.689296355012584092160073756097053626197784091148153340670539247191092108911,54869.689296355012584092160073756097053626197784091148153340670539247191092108911
40,0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,74108.407449581031516057155416540659621278429186965056676433467871531146824387637,40,128596169.97720703232710860197646907115398649304143915465745364922067111790712965,62274.660413945500006351999126613858535828169054738586977325707815071888812592171,128533895.31679308682710224997734245729545066487238441607047632351285604601831706,2064.9838814441740351154463647362021552467669042626218328498400573255502145124912,257192339.9544140646542172039529381423079729860828783093149072984413422358142593,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,-23140899.134904025300322043373482815881715722845160118435858086480147219387444385,1.9134471009834234601217231087748269159447491906428585563020004034568323890053775e-76,2.3951441475614259340976396002273743883897916296927555641789271131031782154587169e-76,5.4031925497449073728775541466714530499966094191304973177065467816269398089624922e-76,40,0.023744333746845761297724251557677709474188151741243844497503521274360706818273817,0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,0.023744333746845761297724251557677709474188151741243844497503521274360706818273816,0.023744333746845761297724251557677709474188151741243844497503521274360706818273817,74108.407449581031516057155416540659621278429186965056676433467871531146824387638,74108.407449581031516057155416540659621278429186965056676433467871531146824387637,74108.407449581031516057155416540659621278429186965056676433467871531146824387637,74108.407449581031516057155416540659621278429186965056676433467871531146824387638
