"{'distance': [0.056, 0.408, 0.537, 0.549, 0.712, 0.712, 0.794], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '395.0 M', 'solute_1e': '407.0 mM'}"
voltage,current,solute_1
-150,0.0000015250299941863447134297062826375115786300842393093212581725971942853728834260519,9.5195380411132633614454145143003211596909233326846203706296058637336164265508386
-140,0.0000023063737407518538499240353436327558969471251742011517471998054990725816171060868,14.396839829911697668454429588803080701931940512737696850389014435002259089320878
-130,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516422447,19.87066739662850402608031056937209152024262230276941379805900762763042019311907
-120,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083701841,26.15377715239000953276609873068870813922619820610029766281826835963674028141257
-110,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549050608,33.489563585706984376776833053756289499563365622607242600166193293704572392353187
-100,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011815702,42.160773608481831323468833594922455645518235407297853125543378626447308302317771
-90,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830267101,52.49954454111689054475370747650039400803730339581161411743241158908257077104527
-80,0.00001039683295109452577378088345141075871878853303808875595458741302249813892759072,64.899082091726131705548478761141019955772616165426504995974576270269335659142984
-70,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961868,79.827338869082307118266985928006094479722749536831177894595136097825973854738673
-60,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828847,97.843105979435469913348632404078956707047301271960032728566987722952046749096191
-50,0.000019162321433707031579296199354662718671285402801719115664022424458723615200320547,119.61499022289034049778566625146930066665642577312235021551644771704381174247774
-40,0.000023380199499982406870567964131848267897216846048860684827912244822479703183975612,145.94381710351066199866016809145698449860321178434732760000905934816539198727015
-30,0.000028481809732150010465315229779270424126755106475047586239731598885878915390297343,177.78907448283403186494446019798031682285403372463375435941196698088294165559179
-20,0.000034651274655296997009765650964659107079144809485154187878023983278793494298649479,216.30009148125467391394856888515918602925265459383890672850837897640235563077926
-10,0.000042109007181486904348287705695023760532886739612089288679467556188476766018241876,262.85272897307681945346261866743314242455860369013806031670574190037135371775014
0,0.000051118608313393080227946336354076101602789515889160318695935400446561019554981941,319.09243641319027972185824113408811653553888765828578827433300328425756670461923
10,0.000061994932342017934620634964433280609320697678761997599510184891284390069628353129,386.98459639212195851317985867701984599054668625533800265540052125465118433847816
20,0.000075113473906401128921249147253774209930943018337347161711126440696559722625872269,468.8731205143641243285059300440156634516711337976150562376578531279784043954974
30,0.000090921231120704120235818419738026351100018140541482288630965845396026002297667108,567.54825918042524863238375622673359695118527745450399155533057694154256108675536
40,0.00010994918757416974385157387136640958301433556909656548184569018502841351869243862,686.32451669269506497079706900431916856493548941483576703509139760449605059056904
50,0.00013282652731997189299760797348988640461249122407164491587310083603028243037283435,829.12938401979962366141722927935116109192972466057715099163841850715466468901412
60,0.00016029664270052814712079210669206795619902095207601543476639328245618591312913697,1000.6032627998012186146179000238364800180794141114712397852455925781607987572673
