"{'distance': [0.286, 0.535, 0.624, 0.677, 0.696, 0.939, 0.993], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '114.0 M', 'solute_1e': '321.0 uM'}"
voltage,current,solute_1
-150,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400169,1908.3792362993998788759908426256743165774465084836299034463124933770949074651059
-140,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796378,3648.4022513359486812356599706202500333856871613918509944126184405748313429619026
-130,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571195,5366.2627675466467264607382208149147215125469779821099829354258583498854322985485
-120,0.002311023211895490247853222908042528463455906483398674632247720761903850581366957,7212.9313729572108759381020564180102719953214328371599690884861808521652464308399
-110,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250163,9311.1950867147935655411385096460474767083945970219473368752347555248978493302548
-100,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051693,11771.455393416815641381035816171054213465489431559757769363950789570753691561614
-90,0.0047111513346488625819526245565949951164506493869154545649560611064272472813450151,14703.967960826662983928241447676858407623993059140933836623277245393762742371742
-80,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578842,18228.508913026200496879270528084069367251930582032507507101223172246249261826332
-70,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242425,22482.481145018403065305847873049091209928531126862860802434149336740427475896892
-60,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452438,27628.363730442509697356654832039084843270217274536394391533370072332355329507522
-50,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,33861.258062012276522305367416294620036180947208725324562526608386176408890853789
-40,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,41417.153787029013202678587338705976461563805849536780128519949686186187550861955
-30,0.016206615494390989064205035812807362015249678566344469750776772780694365093183476,50582.445363267758686875728453820657269919635679809305034113880189351714573754834
-20,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,61705.169602521369729254157908816019947456423591220910845079645375553717069111085
-10,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,75208.387464877034294147001409385965254620872925945147936055566470838953209895956
0,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,91606.094521803296748208423286867391818715692123215920866627652614987802078978252
10,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,111522.07151398881425008724035317720332251707823022143831289403824835469889008804
20,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,135712.33662239272096076689406923470584447069413102251189907967077691155701011023
30,0.052895624556455117028517874512452959721348743227983009999894643290808267607477016,165092.46116246916261492593550839432926180577006783263343125076015396787314699565
40,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,200771.6859691539454370094996445916678989759143287559555341281475701014582108273
50,0.078208301103037129247201843984081665853287479757779649654111367438101001010691706,244095.82117052788139759533527838990690531241593717753497545435996298327525615206
60,0.095062737756975423290944921588676915930993761176795820775899473399225448208083195,296700.18026521669193303045060638739862126316240692904903833731804705345823442459
70,0.11552770529451591668125081999942075446326765513931955414863866310619719371683679,360573.36234243421510590716795078932022740785962316786636591497827681629459440312
80,0.14037795506125412322295515105563068609170033976517812373769184015674020828149381,438133.44276296545042930586213059471445940774523477858895573026642001100580542998
90,0.17055516695082173449851246290959061020465366495339081812930574041384496219001197,532319.49734963090860873942174608935444134371245258651020620927617217342347117799
100,0.20720345975707261354870489539433737710451276061032704558179937557910960572470084,646702.4336987285393901661124706309139109998961686614597881935109418883306907123
"{'distance': [0.286, 0.535, 0.624, 0.677, 0.696, 0.939, 0.993], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '114.0 M', 'solute_1e': '321.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,216927752600.86608727820612488588527564226443598843833382060935266532102283909751,4681.2005655227091123382589248060163750090833088573763875524007099776875539238675,216927747919.66552175549701254762635083624806097935502496323296511292031286140996,46340196.1878220965444339739904678413038714636335486767475817539189109299391298,433855505201.73217455641224977177055128452887197687666764121870533064204567819502,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,1.0624558864662011687038797286045566031207695455668261515312745548741801668242961e-81,135106623.9009101684163012616024620124620029068913921625014316585064342174822994,5.3961030837271175413070002424479437542389015582756883533139285876242919664150537e-77,9.10259152471622025608065569848745923418144639529695414512354025291183372282057e-76,2.0349404969604647222576462318090942302924725358314525832330041556923165262391454e-75
-140,218117583654.74496165487395888934578784887773846102720336715978924308310156421779,5713.0590063588017556147971886183103071389858713988887001621131679905897451157089,218117577941.68595529607220327454859923056743132204133196827108908096993357362804,38178773.125216055370517102810043678451661072061955825891763121233091915112077735,436235167309.48992330974791777869157569775547692205440673431957848616620312843557,2.0381357790022889315911790396208942987833760860069624068655940189597876655463328e-75,6.5271030234454606682001913559621016121954253090055017448723649979673471489011988e-82,153504901.05375052585781878769288179206106595469846735344794516134319969487381383,-8.0312684381971918852041565540984553548487984721499451883395133854111006611498914e-76,6.7636749454412249125417103388247934260272615996601183475286241007668994080233004e-76,1.153062935302256861513423874579937266403541928162468504115482453591370332727353e-75
