voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-20,0.04003923256444821,83310.92918112404,-20,29644570990.93074,1621.1805333206291,29644569369.750206,18285792.594739836,58991426019025536.0,3.5021366784349084e-06,1.683125860907353e-12,423652.08175559499,6.8822233664643761e-07,5.7786748795316761e-06,1.0944523723188659e-05,-20,0.04003923256577966,0.04003923256444821,0.04003923256532572,0.040039232564096534,83310.92918389442,83310.92918112404,83310.9291829499,83310.92918039228
-10,0.047073485815031346,97947.32795470525,-10,29773522329.518253,1339.577958654462,29773520989.940296,22226046.746412762,62013981028906744.0,4.602421540766954e-06,2.211925087536315e-12,356349.2213208375,4.1904902256081393e-07,3.2076055660974563e-06,6.0533490218728225e-06,-10,0.04707348581388048,0.047073485815031346,0.04707348581609241,0.04707348581525212,97947.32795231062,97947.32795470525,97947.32795691304,97947.32795516463
0,0.05170099726303321,107575.94103835458,0,29904190116.642799,1106.890361949562,29904189009.752438,27016397.598740183,15898499408959966.0,5.904628778807819e-06,2.8377647454114197e-12,300025.77927076712,2.5796718719942695e-06,5.6408978390301924e-06,1.1809153762781799e-05,0,0.05170099726245619,0.05170099726303321,0.0517009972644462,0.051700997261608435,107575.94103715394,107575.94103835458,107575.94104129463,107575.94103539
10,0.05467322625257361,113760.35425004913,10,30036566798.407162,914.62110544689006,30036565883.786057,32840447.940167632,32431872766355352.0,8.237781003117561e-06,3.959083061388924e-12,254513.50259672012,1.2710597542480349e-06,6.7240970209793669e-06,1.4641186555156005e-05,10,0.05467322624978321,0.05467322625257361,0.054673226253742296,0.05467322625288503,113760.35424424306,113760.35425004913,113760.35425248084,113760.35425069711
20,0.05663946457600291,117851.57007075097,20,30170645115.545284,755.74943579372302,30170644359.795849,39921492.080055177,14181833089796296.0,8.96799610927701e-06,4.310017620579032e-12,219210.61248992113,2.9216839866216134e-06,9.9461758108295729e-06,2.1174667013984516e-05,20,0.05663946457745784,0.05663946457600291,0.05663946457314782,0.05663946457679204,117851.57007377828,117851.57007075097,117851.57006481028,117851.57007239292
30,0.05803018420218641,120745.28548103706,30,30306418098.727924,624.47411972136729,30306417474.253803,48531103.438282244,31929696535897072.0,7.350521627813578e-06,3.532660275418209e-12,193531.81751648171,7.9067614712017331e-07,5.494869232987581e-06,1.3928015916427755e-05,30,0.058030184203809045,0.05803018420218641,0.058030184200276384,0.058030184201718425,120745.28548441333,120745.28548103706,120745.2854770628,120745.2854800633
40,0.05910047120953558,122972.26635359047,40,30443879063.963081,516.00161076165966,30443878547.961472,58999581.4529057,31781292814987552.0,8.452028851024806e-06,4.062042369135099e-12,177867.07045793216,1.3172829745210152e-06,7.1780810040374499e-06,1.3610663229374903e-05,40,0.05910047121066259,0.05910047120953558,0.05910047120660055,0.05910047120912893,122972.26635593548,122972.26635359047,122972.26634748346,122972.26635274434
50,0.05999481058932362,124833.14729364049,50,30583021608.089336,426.37101186423587,30583021181.718323,71728660.619703472,1.174225518460383e+17,6.421410944312811e-06,3.086135513807875e-12,175200.92615342187,3.583904345899961e-07,6.6058462379617867e-06,1.2566700495433673e-05,50,0.05999481059027779,0.05999481058932362,0.05999481058719165,0.05999481058964147,124833.14729562585,124833.14729364049,124833.14728920444,124833.14729430185
60,0.060794137298981164,126496.3322908472,60,30723839604.360512,352.3094423868028,30723839252.051071,87206971.792225227,38757289087520608.0,2.9917136998847127e-06,1.4378151447225207e-12,192928.23534988597,1.0914961213769388e-06,8.0513294782656523e-06,1.7436436183516945e-05,60,0.06079413729848981,0.060794137298981164,0.06079413729800526,0.06079413729944307,126496.33228982482,126496.3322908472,126496.3322888166,126496.33229180831
70,0.06154382271348991,128056.22703597568,70,30866327198.119766,291.11252815288151,30866326907.007236,106028852.12109427,2.070592866643199e+17,2.6458001229912043e-06,1.2715731245727113e-12,242875.68720752769,8.4147339764697792e-07,4.4612208585482969e-06,8.4580932501230428e-06,70,0.06154382271272673,0.06154382271348991,0.06154382271221834,0.06154382271305025,128056.2270343877,128056.22703597568,128056.22703332988,128056.22703506086
80,0.06226918313123603,129565.507971777,80,31010478802.561653,240.54565064571412,31010478562.016003,128917229.3047826,4.4389536677314624e+17,1.0677031241357327e-06,5.131381430878434e-13,339258.15311111178,9.631318454979011e-08,1.6416909142448823e-06,3.73708570616422e-06,80,0.06226918313107576,0.06226918313123603,0.06226918313072289,0.06226918313087868,129565.50797144353,129565.507971777,129565.5079707093,129565.50797103345
90,0.06298415575788828,131053.17469389988,90,31156289094.580334,198.76234943136095,31156288895.817986,156751463.16047952,56901240053764208.0,1.2510136002674699e-06,6.012412789857535e-13,497474.81589717127,3.1937064862940377e-07,1.2554821517495704e-06,3.1682586532577687e-06,90,0.06298415575823436,0.06298415575788828,0.0629841557577878,0.06298415575838905,131053.17469461997,131053.17469389988,131053.17469369082,131053.17469494183
100,0.06369632334478327,132535.00487886657,100,31303753010.702469,164.23689825787477,31303752846.465572,190601218.9876554,2.2755136059109501e+17,5.922920536249876e-07,2.846473057260823e-13,727644.74059122126,2.0604124923236836e-07,1.152407813323898e-06,2.778810655311026e-06,100,0.06369632334449862,0.06369632334478327,0.0636963233445872,0.06369632334469587,132535.00487827428,132535.00487886657,132535.0048784586,132535.0048786847
