"{'distance': [0.1, 0.105, 0.343, 0.71, 0.726, 0.832, 0.991], 'solute_1': [7.9, -7.52, 8.01, -12.0, 6.11, -6.72, 15.71]}","{'solute_1i': '130.0 mM', 'solute_1e': '161.0 uM'}"
voltage,current,solute_1
-150,-0.11356880256150155901211675968902983229047058197992527243916921436700283861065393,-236306.28914170112046779392183454000004588221963314291991999249193523602097854291
-140,-0.09652438167616670767695142517221918829604284281269836305932709789117032752924007,-200841.41006276884569078644629754447647543994766187678960758351787880666841829686
-130,-0.081148270978265618682012695054620277328357062020228269140350813166534111690214098,-168847.83807379446174327749607349375154799470838276103478454087988920173395607476
-120,-0.067261288302572160347078343249975716639312436629573612541005309156951404031470787,-139952.74303489837711588458261680815856804509194698134981207489572799032969848169
-110,-0.05470594742785853748083795651945396014896346400132977484720870722744681984718171,-113828.43826021335254394717322795059395008638505336811624965766984823646504588426
-100,-0.043336667977009625783725770220854140127374359076183587576895751034261765743273445,-90172.009939678788154587149452812846911462122563404668843087893986518924852235872
-90,-0.032989123923102093999275409661230842084255339046395075941525219723161748627366953,-68641.539581985214002484537793863008149425453701457687851980592179130736960735843
-80,-0.023407126066194004038254414377893911824767642027532466277727383766257011508487957,-48703.966013720357744588870407196939835700488142287089734407217911093107314110395
-70,-0.014127346870463970286659283582773732190165862973131149554378862283164860750386317,-29395.228611036142785183859890061390079967976389576934171397662421934826792617828
-60,-0.0044181867443922474273885905141326934324800763202154394189441751276253850914236645,-9193.064387000098641993300211566280889580740281280861474556436423770083833084277
-50,0.0064564073432902243783167728203808094267122992090527969121744348170296080222493874,13434.056061777412295093959867143464494847100939716885053462299639668463443075262
-40,0.01846087475183784656877924415725688129540412782925197372790001606036825882072571,38412.140557298889898079141328391687358550980992183156672345550008881310111907989
-30,0.030244630903044174909864001749285590654779549432481248607635506890918331073346637,62930.983984694495989669645366026596912472055901811889414014197058807165877455367
-20,0.040039232564181446641094434291140373431636824978736337044947156700881844103388543,83310.929180568968912660592358529203526710312725107851345998251887586737458506865
-10,0.047073485815220250219372131150356198030521128197972720603430429319572884454096618,97947.327955098314618780493758483620094253405324320879381732802627446018306399634
0,0.051700997261712131661178840321632491424372611122125541126518886606650362239995512,107575.94103560576659716237288451540336307330365995859136295264815253825749154678
10,0.054673226252892879528891771834948611374791249638625045128271859195080648895318025,113760.35425071344003500476975979163979098484920729266309112910174085559293755053
20,0.056639464576749565278662274499300949566392542237294841191029936438104702276711585,117851.5700723045464454273708923911051594781602248607471663748545072580521768523
30,0.058030184201714400288810335648644055839675749654343399317977410695181733199129137,120745.28548005493138891042935605331820465310443033022421481919177126522235233663
40,0.059100471209120408066616400382573194233485331670537241266271973029834091869626307,122972.26635272660798680859487131113193252805958790725636657543044424605542257091
50,0.059994810589630770356578152456741591666862276024640709363939899986750335544259582,124833.14729427958819052035460510812506223412568334446645172398322574937819421455
60,0.060794137299436940980262845186096666782120507394001444680950842728956759981288802,126496.33229179554869833956552024578124586070569670922511640234771075672922445706
70,0.0615438227130479056120192854640556819045132989954074153274215003505585966549003,128056.22703505598279812087523699251912622758431696850243953237518935260052425585
80,0.062269183130878468427662994911153039939892911744072228466089459402522383309837136,129565.50797103301736398133355294254523044252336064523291731817545122817606453669
90,0.062984155758387320806915281512937457734946837738913058843971583637938646571398404,131053.17469493824494618742151769960155891158122161649321747390274838633615900878
100,0.06369632334469559051955175196585696961763380239356004087950443132117093833328578,132535.00487868412449135004536805407551593310125271929610681654378146200184613718
"{'distance': [0.1, 0.105, 0.343, 0.71, 0.726, 0.832, 0.991], 'solute_1': [7.9, -7.52, 8.01, -12.0, 6.11, -6.72, 15.71]}","{'solute_1i': '130.0 mM', 'solute_1e': '161.0 uM'}"
