voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-0.013114529698527087,-40931.740632107016,-50,3015763349222.2339,0.008407486814383025,3015763349222.2256,358699741766237.0,1.892538444867028e+18,2.506749297026545e-06,8.031613568659779e-13,-16068826.335570009,7.0780515670776367e-08,3.4874696302762859e-06,5.0125093452632174e-06,-50,-0.013114529697723925,-0.013114529698527087,-0.013114529697747016,-0.013114529697749688,-40931.74062960027,-40931.740632107016,-40931.740629672335,-40931.74062968067
-40,-0.011472956631966744,-35808.229188410565,-40,3140989611515.9043,0.0094945941168975926,3140989611515.895,330818734623512.12,1.8176369154710689e+18,6.980386388022453e-06,2.2365165275317622e-12,-14225265.376688784,-6.5118074417114258e-06,9.4678582154429789e-06,1.3976498163521898e-05,-40,-0.01147295663420326,-0.011472956631966744,-0.011472956632166385,-0.01147295663216833,-35808.22919539095,-35808.229188410565,-35808.229189033664,-35808.22918903973
-30,-0.010046923391874085,-31357.438801105134,-30,3271478289361.4419,0.010722266883655143,3271478289361.4312,305110693928765.44,1.6716831977969833e+18,5.383604730013758e-06,1.7249066758262543e-12,-12576940.054191858,2.6077032089233398e-06,6.5967414415628718e-06,1.0769399875612973e-05,-30,-0.010046923392784967,-0.010046923391874085,-0.010046923393598603,-0.010046923393598991,-31357.438803948087,-31357.438801105134,-31357.438806487524,-31357.43880648874
-20,-0.008802622566419503,-27473.8532035565,-20,3407441705554.5181,0.012108680551148597,3407441705554.5059,281404872410421.06,3.9680879005114737e+18,7.363312761299312e-06,2.359206580093698e-12,-11086004.622685485,-3.1739473342895508e-06,9.0563310283778431e-06,1.4727102051644448e-05,-20,-0.008802622565047475,-0.008802622566419503,-0.008802622564060931,-0.008802622564060296,-27473.85319927427,-27473.8532035565,-27473.853196195167,-27473.853196193188
-10,-0.007712058675116521,-24070.095740064047,-10,3549102117553.1216,0.013674360681440392,3549102117553.1079,259544281464665.59,5.5746979119098931e+18,1.5865807654336095e-06,5.083398979532916e-13,-9704364.437427083,8.1025063991546631e-07,1.9393296463348884e-06,3.1749362147015688e-06,-10,-0.007712058675373804,-0.007712058675116521,-0.007712058675624861,-0.007712058675621792,-24070.095740867055,-24070.095740064047,-24070.095741650628,-24070.09574164105
0,-0.0067516482873180295,-21072.560197621817,0,3696691935934.4736,0.015442486838781602,3696691935934.458,239384496456280.56,2.1942086676485676e+18,1.4909430319676176e-05,4.776980894183325e-12,-8366013.0098824967,4.5048072934150696e-06,1.8788708649493087e-05,2.9824092606209503e-05,0,-0.006751648282541049,-0.0067516482873180295,-0.006751648283927867,-0.006751648283925341,-21072.560182712386,-21072.560197621817,-21072.560187040785,-21072.5601870329
10,-0.005901124946842837,-18417.992967674276,10,3850453990105.0415,0.017439235758173938,3850453990105.0239,220792587674049.69,1.2181718928621798e+18,2.431830216664821e-05,7.791584218097558e-12,-6989020.9121669503,1.6596168279647827e-06,3.3330342476769337e-05,4.8648144783060634e-05,10,-0.005901124954126362,-0.005901124946842837,-0.00590112495463375,-0.005901124954634422,-18417.992990406874,-18417.992967674276,-18417.992991990483,-18417.992991992578
20,-0.005142668610657413,-16050.775938381441,20,4010641835304.165,0.01969416888641284,4010641835304.1455,203646158334264.0,9.111168755495529e+17,1.2908332791994326e-05,4.135830566909249e-12,-5518577.6533699865,-1.0555610060691833e-05,1.6545855611064229e-05,2.5823812071181472e-05,20,-0.005142668614793244,-0.005142668610657413,-0.0051426686116118414,-0.00514266861160625,-16050.775951289774,-16050.775938381441,-16050.775941360305,-16050.775941342856
30,-0.0044602308710643725,-13920.820446518017,30,4177520096402.8252,0.022240670033075147,4177520096402.8027,187832474929498.0,4.9766636122495693e+17,2.614015647850465e-05,8.375305657337684e-12,-4020415.5803966639,-2.824980765581131e-05,3.5318523234024707e-05,5.2287681448966519e-05,30,-0.004460230878630835,-0.0044602308710643725,-0.004460230870255529,-0.004460230870257232,-13920.820470133693,-13920.820446518017,-13920.820443993536,-13920.820443998851
40,-0.0038391045003131545,-11982.223783748923,40,4351364845144.6738,0.025116439610781846,4351364845144.6489,173247678117432.84,4.0320682757667744e+17,8.625038572063204e-05,2.7634623755989907e-11,-2691788.9345521205,-2.7141300961375237e-05,0.00010886402121653776,0.00017251046981368,40,-0.0038391045279477782,-0.0038391045003131545,-0.0038391045200901397,-0.003839104520090482,-11982.223869999309,-11982.223783748923,-11982.223845474844,-11982.223845475912
50,-0.0032659078397986848,-10193.220473778667,50,4532464008377.3018,0.028364052781858919,4532464008377.2734,159796064519953.75,78663986821755584.0,0.00019006106776942033,6.089556593355527e-11,-1691694.7197370708,-0.00021752109751105309,0.00023603970282355804,0.00038015617982433466,50,-0.0032659078791007815,-0.0032659078397986848,-0.0032659078182052156,-0.0032659078182095173,-10193.220596444387,-10193.220473778667,-10193.22040638332,-10193.220406396746
60,-0.0027293178007739027,-8518.470039868611,60,4721117805532.5381,0.032031589774639831,4721117805532.5059,147389431456516.69,3.679546779876256e+17,0.00025656803336460143,8.220439780270983e-11,-1028225.3542381938,-0.00030743930255994201,0.00031896193661192006,0.00051314937271517607,60,-0.0027293178542725266,-0.0027293178007739027,-0.002729317772068129,-0.0027293177720688813,-8518.470206843092,-8518.470039868611,-8518.46995027506,-8518.469950277407
70,-0.0022219592493904748,-6934.953961892868,70,4917639214178.0039,0.03617334770110972,4917639214177.9678,135946477909954.17,43396715649513696.0,8.839787915349007e-05,2.8322680572373526e-11,-621004.27764674812,-0.00011236011050641537,0.0001082815620960141,0.0001768692316733364,70,-0.002221959263788373,-0.0022219592493904748,-0.0022219592354656924,-0.002221959235478845,-6934.9540068301285,-6934.953961892868,-6934.953918432249,-6934.9539184733
80,-0.001743426637642727,-5441.406484527863,80,5122354462911.1357,0.040850644414201345,5122354462911.0947,125392256018619.8,6.8932479863626373e+18,0.00012669843181356555,4.05941775419999e-11,-383226.69263059582,-0.00017192686209455132,0.00016733186340906324,0.00025335129678565917,80,-0.0017434266437305827,-0.001743426637642727,-0.0017434266031443153,-0.0017434266031364051,-5441.40650352866,-5441.406484527863,-5441.406376854917,-5441.4063768302285
90,-0.001302907793350785,-4066.5037245654967,90,5335603551227.2451,0.04613272630568073,5335603551227.1992,115657668178397.36,31430256589893980.0,0.00014151575805954053,4.534164883829295e-11,-250900.62173207596,-0.00020214272080920637,0.00019631226568607611,0.00028298604505461341,90,-0.0013029078369162263,-0.001302907793350785,-0.001302907791582492,-0.0013029077915745774,-4066.5038605375357,-4066.5037245654967,-4066.503719046479,-4066.5037190217777
100,-0.0009178816665684735,-2864.799209015211,100,5557740796284.582,0.05209779348437861,5557740796284.5303,106679005473639.81,30637350340214600.0,0.0005108927948640485,1.63690051530746e-10,-181837.07087720127,0.00073508260538801551,0.00065354578257046259,0.0010217347275666682,100,-0.0009178815419470571,-0.0009178816665684735,-0.0009178817056289508,-0.0009178817056371086,-2864.798820059479,-2864.799209015211,-2864.799330926813,-2864.799330952274
