voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-30,-2.260377809457411e-06,-3.852128335313864e-06,-0.002892897225836606,0.0002026666944421096,-0.16252595921821197,9.611481718990869e-08,-6.807032062198708,-30,843253725960.44531,0.21731366160761073,843253725960.22803,3880353033133.5273,1.9005577007783621e+23,2.0831731121431372e-11,8.5673425818944e-12,7.166576360129184e-17,3.7719827261639693e-13,1.7770076254015378e-17,1.1883827255587676e-11,1.9054006148485486e-18,4149.3782012190604,2.1827872842550278e-11,2.5471797093190475e-11,4.1666577004932431e-11,-30,-2.2603778094593166e-06,-2.260377809457411e-06,-3.852149167044985e-06,-3.852128335313864e-06,-0.0028928972172692635,-0.002892897225836606,0.00020266669444203795,0.0002026666944421096,-0.16252595921783478,-0.16252595921821197,9.611481717213861e-08,9.611481718990869e-08,-6.807032062186824,-6.807032062198708
-20,-1.1750157097356783e-06,-3.3192317984769666e-06,-0.0011915779643987125,0.0002751916676833957,-0.1376815164165679,1.484615255506015e-07,-3.4594381593396015,-20,881297545311.02747,0.22139549222553601,881297545310.80603,3980648099254.1978,2.3392337689047522e+23,1.7941744274051674e-11,1.7927256467514807e-11,2.422107653332617e-16,5.928590951498336e-14,4.850227123008371e-17,6.394884621840902e-14,1.503483481376383e-20,4015.5058737333657,1.8189894035458565e-11,2.5363357241828093e-11,3.6000189821924246e-11,-20,-1.1750157097356933e-06,-1.1750157097356783e-06,-3.3192497402212407e-06,-3.3192317984769666e-06,-0.001191577946471456,-0.0011915779643987125,0.0002751916676831535,0.0002751916676833957,-0.13768151641662718,-0.1376815164165679,1.4846152550209923e-07,1.484615255506015e-07,-3.4594381593395376,-3.4594381593396015
-10,5.554168282801167e-07,-2.4125076755005086e-06,-0.00050986411500349,0.00038977257822742854,-0.10427493882323578,2.3924796767420796e-07,1.8901067446779116,-10,934624278021.41772,0.2418890476625542,934624278021.17578,3863855296686.5181,1.8275137809488856e+23,1.3416293559050503e-10,2.117475794314802e-10,1.1378159699149126e-15,5.254269241916631e-13,9.149226379767325e-18,7.706191240686167e-11,1.2343493502981698e-17,3953.8795129092214,-1.3369572116062045e-10,2.6224990845505085e-10,4.2349651483734809e-10,-10,5.554168282677732e-07,5.554168282801167e-07,-2.412373512564918e-06,-2.4125076755005086e-06,-0.0005098643267510694,-0.00050986411500349,0.00038977257822856635,0.00038977257822742854,-0.10427493882271036,-0.10427493882323578,2.3924796766505873e-07,2.3924796767420796e-07,1.8901067447549735,1.8901067446779116
0,3.5958827325086753e-06,3.676893345356928e-10,-0.0002376436681532584,0.0006026144590491452,-0.050302021099332406,4.207158770759407e-07,11.298010022819959,0,1004684859886.6162,0.29769792568092063,1004684859886.3185,3374846692628.4873,1.2354152106687247e+22,4.1646533422134833e-10,3.4483823514231716e-10,2.697711845578432e-15,2.0752427554171504e-12,1.627696098530898e-16,7.368505805516179e-11,1.1813992031829354e-17,4039.4940665857425,4.170033207628876e-10,5.4570261860244917e-10,8.3708125737117162e-10,0,3.5958827324968613e-06,3.5958827325086753e-06,-4.8775999685655525e-11,3.676893345356928e-10,-0.00023764332331502325,-0.0002376436681532584,0.0006026144590464475,0.0006026144590491452,-0.05030202110140765,-0.050302021099332406,4.207158772387103e-07,4.207158770759407e-07,11.298010022893644,11.298010022819959
10,9.783753941964215e-06,8.374697080758796e-06,-0.00012546152741835183,0.0010572917228429822,0.05488466814789636,8.390023165831198e-07,30.45232326333592,10,1093253284633.6553,0.43013351997402693,1093253284633.2251,2541660284229.1157,8.2384243538345549e+21,1.4083541113866545e-09,8.030880965662415e-10,8.801986917106319e-15,3.8621883469147633e-13,3.9398890508586526e-16,6.05638206252479e-10,9.703440037155814e-17,4436.6277760346256,-1.4088072930462658e-09,1.7306673797274308e-09,2.8174839891974713e-09,10,9.78375394206125e-06,9.783753941964215e-06,8.376105434870183e-06,8.374697080758796e-06,-0.0001254623305064484,-0.00012546152741835183,0.0010572917228517842,0.0010572917228429822,0.05488466814828258,0.05488466814789636,8.390023169771087e-07,8.390023165831198e-07,30.452323262730282,30.45232326333592
20,2.3730498150045067e-05,3.816983840627044e-05,-7.481299308908016e-05,0.002103626721652193,0.28593655822739517,1.89554701992165e-06,73.63321892694152,20,1202467551173.6179,0.72944679650698929,1202467551172.8884,1648465051778.5862,5.0945233895623305e+22,3.147950127633148e-10,7.512012573942205e-10,3.4643295176994826e-14,6.910416683325593e-12,1.4302121668235707e-15,1.059035525940999e-09,1.6966069933503636e-16,5504.5397177379173,-3.155946615152061e-10,1.3360513998091975e-09,2.1320088086602485e-09,20,2.3730498150214727e-05,2.3730498150045067e-05,3.8170153201283205e-05,3.816983840627044e-05,-7.481224188782276e-05,-7.481299308908016e-05,0.0021036267216175495,0.002103626721652193,0.28593655822048475,0.28593655822739517,1.895547018491438e-06,1.89554701992165e-06,73.63321892588249,73.63321892694152
30,5.584488727186369e-05,0.00013256887606302297,-4.801126695414352e-05,0.004560982901969915,0.8176819836352098,4.6607903187920175e-06,173.06390735674273,30,1334878124302.0859,1.392776174047321,1334878124300.6931,958429752874.80188,1.2899378914142666e+21,1.630152689349523e-09,1.4217422830529883e-09,1.4171823436992526e-14,1.3672618592863728e-11,8.21757484108232e-17,1.9474555301712826e-10,3.1204693776848424e-17,8028.3239252543353,1.6307240002788603e-09,2.1718311618978139e-09,3.2603056115043574e-09,30,5.5844887271832486e-05,5.584488727186369e-05,0.00013256724591033362,0.00013256887606302297,-4.800984521186047e-05,-4.801126695414352e-05,0.0045609829019557435,0.004560982901969915,0.8176819836488824,0.8176819836352098,4.660790318874193e-06,4.6607903187920175e-06,173.06390735693748,173.06390735674273
40,0.00012820554633767976,0.0003899224077144801,-3.072936556621525e-05,0.010296885609647328,2.0485760983543075,1.1912620299021177e-05,397.053300390165,40,1493504993742.1624,2.8507110517585343,1493504993739.3115,523906129602.59705,5.1473580537937055e+20,3.997078291435993e-08,6.686980719042106e-11,3.980149543281186e-14,3.353406441419793e-11,4.011326115564186e-15,3.9870201362646185e-08,6.387278943600916e-15,13723.116900753488,3.9995939005166292e-08,5.6456155616133459e-08,7.9941461108721992e-08,40,0.00012820554633129249,0.00012820554633767976,0.0003898824369315657,0.0003899224077144801,-3.072929869640806e-05,-3.072936556621525e-05,0.01029688560968713,0.010296885609647328,2.0485760983878416,2.0485760983543075,1.1912620303032503e-05,1.1912620299021177e-05,397.0533004300352,397.053300390165
50,0.00028649221198225495,0.0010185257293175993,-1.6742435261891047e-05,0.02349718827483127,4.871693968857578,3.070888610406648e-05,886.8261446177355,50,1681904603797.4463,6.0437181932052662,1681904603791.4026,278289713390.07019,1.7863708941947335e+20,1.4894288329590777e-08,1.3307635942722473e-08,8.086031844101171e-13,2.7693403126249905e-11,4.254964978446518e-15,1.614807842997834e-09,2.5890747878953846e-16,26335.333925728741,-1.490843715146184e-08,2.0038497187100066e-08,2.9845278577082107e-08,50,0.00028649221198251385,0.00028649221198225495,0.001018540623605929,0.0010185257293175993,-1.675574289783377e-05,-1.6742435261891047e-05,0.023497188275639874,0.02349718827483127,4.871693968885271,4.871693968857578,3.070888610832145e-05,3.070888610406648e-05,886.8261446161207,886.8261446177355
60,0.0006244680017616957,0.0024701040997268326,-1.5102998737501523e-06,0.05345311554287435,11.269352440887214,7.869310407350645e-05,1932.0382721549936,60,1904248142519.5483,13.025882314617357,1904248142506.5225,146189570619.92209,9.7387561050934182e+19,1.8825626616576427e-07,7.512585812083764e-08,1.0913006609492015e-12,4.397140429546198e-10,2.4826427263806294e-14,1.1356905815773644e-07,1.8193779816044753e-14,54047.870917061038,1.8843275029212236e-07,2.323412158302274e-07,3.7739211615787568e-07,60,0.0006244680017435019,0.0006244680017616957,0.002469915843460667,0.0024701040997268326,-1.4351740156293147e-06,-1.5102998737501523e-06,0.05345311554396565,0.05345311554287435,11.2693524404475,11.269352440887214,7.869310404868002e-05,7.869310407350645e-05,1932.0382722685627,1932.0382721549936
70,0.0013340222809344413,0.005740202667811415,2.1460932497199162e-05,0.12067025354523067,25.61647626490411,0.00019938749583290998,4125.000647067014,70,2165412930279.3123,28.283530876373508,2165412930251.0288,76560912417.345245,8.157047581784662e+19,3.613199117506738e-08,1.532338963695611e-07,5.682662673756056e-12,3.5921132734983985e-10,6.116618713261635e-14,1.1673637345666066e-07,1.8701403273202466e-14,114733.28644187628,3.6176061257719994e-08,1.9599402465139564e-07,3.0646908002638848e-07,70,0.0013340222809531427,0.0013340222809344413,0.00574016653582024,0.005740202667811415,2.1614166393568723e-05,2.1460932497199162e-05,0.12067025353954801,0.12067025354523067,25.6164762645449,25.61647626490411,0.00019938749589407616,0.00019938749583290998,4125.000646950278,4125.000647067014
80,0.0028071362411640753,0.013021522477563519,6.483796640169538e-05,0.27024255450527246,57.53397046516039,0.0004988481580092755,8674.622868809363,80,2632385508884.7251,61.615231458296769,2632385508823.1099,42722967139.487434,1.7476325352243794e+19,5.975641051911285e-07,2.1632018706617742e-07,5.1458837191376006e-12,2.0579378201546206e-09,1.856503232394724e-13,3.7918289308436215e-07,6.074351091567287e-14,247427.23324593544,5.9849116951227188e-07,7.4004134023179898e-07,1.1951319165027369e-06,80,0.0028071362411033318,0.0028071362411640753,0.013020924913458328,0.013021522477563519,6.505428658876156e-05,6.483796640169538e-05,0.27024255451041834,0.27024255450527246,57.533970467218325,57.53397046516039,0.0004988481578236251,0.0004988481580092755,8674.622869188546,8674.622868809363
90,0.00584336954284399,0.029127743833916336,0.00015545831860554635,0.6011012365555753,128.12903558969776,0.001232337882051262,18044.592909356463,90,5749365578812.6602,134.42196988336633,5749365578678.2383,42771026074.094894,4.2299195020379005e+19,1.5996651087021863e-06,2.936778980927818e-07,2.237876550736928e-12,2.070237314910628e-10,1.9839034928748056e-13,1.3061835488770157e-06,2.092544887366543e-13,537387.48447975318,1.6026897355914116e-06,2.0859724758623048e-06,3.1997492303589142e-06,90,0.005843369542634736,0.00584336954284399,0.029126144168807634,0.029127743833916336,0.00015575199650363913,0.00015545831860554635,0.6011012365578132,0.6011012365555753,128.12903558949074,128.12903558969776,0.0012323378822496523,0.001232337882051262,18044.592910662646,18044.592909356463
100,0.012071827268876682,0.06460430483411325,0.00035144030145460673,1.3299331010531685,283.63227743254754,0.0030060403481989954,37249.82125841278,100,12557135829686.215,293.44547547873293,12557135829392.77,42792058078.933563,1.3793546972326218e+19,1.6786237612281818e-06,3.880190742174493e-07,4.865574609880241e-11,1.751141098793596e-08,4.136495833362286e-13,1.3082099030725658e-06,2.0955633062147427e-13,1170825.143197828,1.6822014003992081e-06,2.1633437858862218e-06,3.3924667461951441e-06,100,0.012071827268667125,0.012071827268876682,0.06460262621035202,0.06460430483411325,0.0003518283205288242,0.00035144030145460673,1.3299331010045128,1.3299331010531685,283.6322774150361,283.63227743254754,0.003006040347785346,0.0030060403481989954,37249.82125972099,37249.82125841278
