voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.042415672577062906,-16015.897490203975,-36119.88373207541,-16015.897490203954,-36119.88373207541,-16015.897490203997,-36119.883732075374,-50,32790754.511034027,209519.39143840355,32581235.119595625,156.50462845427916,2.7952453849694034e+18,0.0,0.0,2.9103830456733704e-11,0.0,2.9103830456733704e-11,4.3655745685100555e-11,1.3877787807814457e-17,209519.39143840355,1.2694955074996777e-11,7.6656970143469067e-11,1.673470251262188e-10,-50,-0.04241567257706292,-0.042415672577062906,-16015.897490203975,-16015.897490203975,-36119.88373207541,-36119.88373207541,-16015.897490203983,-16015.897490203954,-36119.88373207541,-36119.88373207541,-16015.897490203968,-16015.897490203997,-36119.88373207542,-36119.883732075374
-40,-0.03230424370638169,-12624.498963174185,-27295.99407478169,-12624.498963174261,-27295.994074781698,-12624.498963174177,-27295.994074781735,-40,29694268.831976559,200869.46597315092,29493399.366003409,147.82868410645162,1.4240070032098237e+18,2.1827872842550278e-11,7.275957614183426e-12,8.913048077374697e-11,0.0,3.2741809263825417e-11,4.3655745685100555e-11,1.3877787807814457e-17,200869.46597315097,2.2545395304245915e-11,1.1595968281114785e-10,2.4738255888223648e-10,-40,-0.03230424370638168,-0.03230424370638169,-12624.498963174206,-12624.498963174185,-27295.994074781698,-27295.99407478169,-12624.498963174172,-12624.498963174261,-27295.994074781698,-27295.994074781698,-12624.49896317421,-12624.498963174177,-27295.99407478169,-27295.994074781735
-30,-0.023306518058152988,-9359.450665008684,-19567.58850244474,-9359.450665008426,-19567.58850244474,-9359.450665008426,-19567.58850244479,-30,27389656.935691785,194229.90963791663,27195427.026053868,141.01667959765609,2.3641084458672195e+18,2.582964953035116e-10,1.4551915228366852e-11,1.4370016288012266e-10,1.4551915228366852e-11,1.4370016288012266e-10,4.729372449219227e-11,0.0,194229.90963791657,1.2519584721120585e-11,3.3585855024493756e-10,6.6575012169778347e-10,-30,-0.023306518058152988,-0.023306518058152988,-9359.450665008426,-9359.450665008684,-19567.588502444756,-19567.58850244474,-9359.45066500857,-9359.450665008426,-19567.588502444756,-19567.58850244474,-9359.45066500857,-9359.450665008426,-19567.58850244474,-19567.58850244479
-20,-0.01510865719790076,-6188.074894918242,-12624.498963174217,-6188.074894918242,-12624.498963174217,-6188.074894918242,-12624.49896317421,-20,25797643.710256405,189534.27152126568,25608109.438735139,136.11070706735967,8.2621275430550118e+17,7.275957614183426e-12,2.7284841053187847e-11,7.275957614183426e-12,2.7284841053187847e-11,7.275957614183426e-12,1.6370904631912708e-11,2.42861286636753e-17,189534.27152126565,3.3733573872424804e-11,6.8254532522746432e-11,1.4551915228366852e-10,-20,-0.015108657197900735,-0.01510865719790076,-6188.074894918234,-6188.074894918242,-12624.49896317419,-12624.498963174217,-6188.074894918234,-6188.074894918242,-12624.49896317419,-12624.498963174217,-6188.074894918234,-6188.074894918242,-12624.498963174194,-12624.49896317421
-10,-0.00742756786783522,-3078.631458260108,-6188.07489491824,-3078.631458260108,-6188.07489491824,-3078.631458260108,-6188.07489491824,-10,24863683.463064879,186735.5560986682,24676947.906966209,133.14916549651258,1.1638159086031214e+18,7.275957614183426e-12,0.0,7.275957614183426e-12,1.8189894035458565e-12,7.275957614183426e-12,0.0,5.204170427930421e-18,186735.55609866817,2.3079738191753055e-11,4.5873167302192063e-11,7.6397554948925972e-11,-10,-0.007427567867835215,-0.00742756786783522,-3078.6314582601008,-3078.631458260108,-6188.07489491824,-6188.07489491824,-3078.6314582601008,-3078.631458260108,-6188.074894918238,-6188.07489491824,-3078.6314582601008,-3078.631458260108,-6188.07489491824,-6188.07489491824
0,-9.90767148323357e-18,-7.275957614183426e-12,-7.275957614183426e-12,-5.4569682106375694e-12,-5.4569682106375694e-12,-5.4569682106375694e-12,-9.094947017729282e-12,0,24555864.362463862,185805.75288549409,24370058.609578367,132.15879476884027,2.5520854217207163e+18,1.4551915228366852e-11,1.4551915228366852e-11,1.0913936421275139e-11,1.0913936421275139e-11,1.0913936421275139e-11,1.8189894035458565e-11,1.981534296646714e-17,185805.75288549406,1.0394605147975023e-11,1.002921544720464e-10,1.7462298274040222e-10,0,9.90767148323357e-18,-9.90767148323357e-18,7.275957614183426e-12,-7.275957614183426e-12,7.275957614183426e-12,-7.275957614183426e-12,5.4569682106375694e-12,-5.4569682106375694e-12,5.4569682106375694e-12,-5.4569682106375694e-12,5.4569682106375694e-12,-5.4569682106375694e-12,9.094947017729282e-12,-9.094947017729282e-12
10,0.007427567867835215,3078.6314582601008,6188.074894918238,3078.6314582601008,6188.074894918238,3078.6314582601008,6188.074894918243,10,24863683.463064883,186735.5560986682,24676947.906966213,133.14916549651258,1.1638159086031214e+18,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,5.4569682106375694e-12,8.673617379884035e-18,186735.55609866817,2.3079738191753055e-11,5.3467150634602407e-11,8.7311491370201111e-11,10,0.007427567867835223,0.007427567867835215,3078.631458260108,3078.6314582601008,6188.074894918245,6188.074894918238,3078.631458260108,3078.6314582601008,6188.074894918245,6188.074894918238,3078.631458260108,3078.6314582601008,6188.074894918238,6188.074894918243
20,0.015108657197900738,6188.074894918245,12624.498963174197,6188.074894918245,12624.498963174196,6188.074894918207,12624.498963174188,20,25797643.710256401,189534.27152126568,25608109.438735135,136.11070706735967,9.6125123790787727e+18,1.8189894035458565e-11,5.4569682106375694e-12,1.8189894035458565e-11,1.0913936421275139e-11,7.821654435247183e-11,3.2741809263825417e-11,1.9081958235744878e-17,189534.27152126559,2.8994614396923387e-12,9.5423289520869748e-11,2.0372681319713593e-10,20,0.015108657197900758,0.015108657197900738,6188.074894918227,6188.074894918245,12624.498963174203,12624.498963174197,6188.074894918227,6188.074894918245,12624.498963174206,12624.498963174196,6188.074894918285,6188.074894918207,12624.498963174221,12624.498963174188
30,0.023306518058152988,9359.450665008426,19567.588502444756,9359.45066500857,19567.588502444756,9359.45066500857,19567.58850244474,30,27389656.935691785,194229.90963791663,27195427.026053868,141.01667959765609,2.3641084458672195e+18,2.582964953035116e-10,1.4551915228366852e-11,1.4370016288012266e-10,1.4551915228366852e-11,1.4370016288012266e-10,4.729372449219227e-11,0.0,194229.90963791657,1.2519584721120585e-11,3.3585855024493756e-10,6.6575012169778347e-10,30,0.023306518058152988,0.023306518058152988,9359.450665008684,9359.450665008426,19567.58850244474,19567.588502444756,9359.450665008426,9359.45066500857,19567.58850244474,19567.588502444756,9359.450665008426,9359.45066500857,19567.58850244479,19567.58850244474
40,0.03230424370638168,12624.498963174206,27295.994074781698,12624.498963174172,27295.994074781698,12624.49896317421,27295.99407478169,40,29694268.831976559,200869.46597315092,29493399.366003409,147.82868410645162,1.4240070032098237e+18,2.1827872842550278e-11,7.275957614183426e-12,8.913048077374697e-11,0.0,3.2741809263825417e-11,4.3655745685100555e-11,1.3877787807814457e-17,200869.46597315097,2.2545395304245915e-11,1.1595968281114785e-10,2.4738255888223648e-10,40,0.03230424370638169,0.03230424370638168,12624.498963174185,12624.498963174206,27295.99407478169,27295.994074781698,12624.498963174261,12624.498963174172,27295.994074781698,27295.994074781698,12624.498963174177,12624.49896317421,27295.994074781735,27295.99407478169
50,0.04241567257706292,16015.897490203975,36119.88373207541,16015.897490203983,36119.88373207541,16015.897490203968,36119.88373207542,50,32790754.511034027,209519.39143840355,32581235.119595625,156.50462845427916,2.7952453849694034e+18,0.0,0.0,2.9103830456733704e-11,0.0,2.9103830456733704e-11,4.3655745685100555e-11,1.3877787807814457e-17,209519.39143840355,1.2694955074996777e-11,7.6656970143469067e-11,1.673470251262188e-10,50,0.042415672577062906,0.04241567257706292,16015.897490203975,16015.897490203975,36119.88373207541,36119.88373207541,16015.897490203954,16015.897490203983,36119.88373207541,36119.88373207541,16015.897490203997,16015.897490203968,36119.883732075374,36119.88373207542
60,0.05399751060674284,19567.58850244474,46393.39114905108,19567.588502444734,46393.39114905108,19567.588502444734,46393.39114905108,60,36786167.811966576,220266.25739507109,36565901.554571502,167.00773076643623,3.016413277719593e+18,0.0,2.9103830456733704e-11,2.9103830456733704e-11,2.1827872842550278e-11,2.9103830456733704e-11,3.637978807091713e-11,3.469446951953614e-17,220266.25739507112,1.321576772005213e-11,1.5554220827785286e-10,2.9831426218152046e-10,60,0.05399751060674288,0.05399751060674284,19567.58850244474,19567.58850244474,46393.39114905111,46393.39114905108,19567.588502444763,19567.588502444734,46393.3911490511,46393.39114905108,19567.588502444763,19567.588502444734,46393.39114905112,46393.39114905108
70,0.06746315567436116,23315.118517311657,58528.828251083236,23315.11851731159,58528.828251083236,23315.118517311625,58528.82825108324,70,41819465.413933866,233217.62208979434,41586247.79184407,179.31520371060287,6.7069551330564915e+17,1.7826096154749393e-10,5.820766091346741e-11,1.673470251262188e-10,4.3655745685100555e-11,0.0,0.0,4.163336342344337e-17,233217.62208979428,6.7692804318126236e-11,2.5641944647513583e-10,4.9476511776447296e-10,70,0.0674631556743612,0.06746315567436116,23315.11851731148,23315.118517311657,58528.828251083294,58528.828251083236,23315.118517311756,23315.11851731159,58528.82825108328,58528.828251083236,23315.118517311625,23315.118517311625,58528.82825108324,58528.82825108324
80,0.08329877406153405,27295.9940747817,73013.23273948603,27295.9940747817,73013.23273948603,27295.994074781705,73013.23273948603,80,48066869.544406094,248503.10713354201,47818366.437272549,193.42562794828817,2.3376301495579091e+19,7.275957614183426e-12,0.0,7.275957614183426e-12,1.4551915228366852e-11,1.0913936421275139e-11,4.3655745685100555e-11,2.7755575615628914e-17,248503.10713354195,2.2372664221779414e-12,5.9999083541590671e-11,1.1641532182693481e-10,80,0.08329877406153408,0.08329877406153405,27295.99407478171,27295.9940747817,73013.23273948603,73013.23273948603,27295.99407478171,27295.9940747817,73013.23273948602,73013.23273948603,27295.994074781695,27295.994074781705,73013.23273948608,73013.23273948603
90,0.10208226898682594,31550.05711545264,90427.91462457283,31550.05711545264,90427.91462457283,31550.057115452644,90427.91462457283,90,55748682.36420764,266275.69479826093,55482406.669409379,209.36451750297616,2.2576462208780531e+18,2.1827872842550278e-11,2.9103830456733704e-11,7.275957614183426e-12,4.3655745685100555e-11,1.0913936421275139e-11,5.820766091346741e-11,4.163336342344337e-17,266275.69479826087,2.693502626063592e-11,2.6254010376096581e-10,4.5110937207937241e-10,90,0.1020822689868259,0.10208226898682594,31550.057115452662,31550.05711545264,90427.9146245728,90427.91462457283,31550.057115452648,31550.05711545264,90427.91462457279,90427.91462457283,31550.057115452633,31550.057115452644,90427.91462457278,90427.91462457283
100,0.12450589705310844,36119.883732075425,111471.7862374875,36119.883732075425,111471.7862374875,36119.883732075425,111471.7862374875,100,65137822.932081714,286713.25911487255,64851109.672966845,227.18803843663207,6.7233769412544064e+17,7.275957614183426e-12,0.0,7.275957614183426e-12,0.0,7.275957614183426e-12,4.3655745685100555e-11,2.7755575615628914e-17,286713.25911487243,1.0596702887500347e-10,7.2759576141834259e-11,1.0186340659856796e-10,100,0.12450589705310841,0.12450589705310844,36119.88373207542,36119.883732075425,111471.7862374875,111471.7862374875,36119.88373207542,36119.883732075425,111471.7862374875,111471.7862374875,36119.88373207542,36119.883732075425,111471.78623748745,111471.7862374875
