voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.054694449919878554,-6.819790515915907,-126597.21177303192,-149.95376143541068,-107101.01541515198,-110.11306219716266,-26.843078757740386,-150,4055713504.9926782,149.37612952975678,4055713355.6165485,27151014.809128199,5.7285858803881525e+19,8.496048309325488e-11,1.1641532182693481e-10,5.030642569181509e-12,9.89530235528946e-10,1.1333725069562206e-09,3.503330958665174e-11,1.3877787807814457e-17,-3.0242393345826774e-09,-6165.6958764648471,1.5107910305165569e-09,2.3593109688135883e-09,-150,-0.05469444991987857,-0.054694449919878554,-6.819790515830946,-6.819790515915907,-126597.2117730318,-126597.21177303192,-149.95376143541571,-149.95376143541068,-107101.01541515099,-107101.01541515198,-110.11306219829603,-110.11306219716266,-26.84307875777542,-26.843078757740386
-140,-0.03397549240446207,-4.1820681423867105,-80961.3740669495,-91.95607349012286,-65373.3888885607,-67.02104707311419,-15.751716563946502,-140,3830802129.1809821,98.61327400381353,3830802030.567708,38846718.840638421,6.4133965329460849e+18,4.083666738097236e-10,2.0372681319713593e-10,1.4210854715202004e-12,1.8917489796876907e-10,4.3499426283233333e-10,5.130118552187923e-12,2.0816681711721685e-17,-5.8641971606940519e-09,-4626.350349618484,6.6369685757599154e-10,1.2900081003408559e-09,-140,-0.03397549240446209,-0.03397549240446207,-4.182068142795077,-4.1820681423867105,-80961.3740669493,-80961.3740669495,-91.95607349012428,-91.95607349012286,-65373.38888856089,-65373.3888885607,-67.0210470726792,-67.02104707311419,-15.751716563951632,-15.751716563946502
-130,-0.020769581455806208,-2.5276945493639085,-51003.11682659901,-55.58026300720236,-39210.63519416966,-39.946342193335106,-9.109501317561353,-130,3630793703.7125673,65.303805861859473,3630793638.4087615,55598500.819278032,5.4102795234968443e+18,4.773781370204233e-11,2.9103830456733704e-11,3.197442310920451e-12,7.275957614183426e-11,1.77280412572145e-11,4.46931380793103e-11,7.28583859910259e-17,-7.614054466402063e-09,-3512.3788088918159,2.4777495012567395e-10,4.5236880907850718e-10,-130,-0.020769581455806135,-0.020769581455806208,-2.5276945493161707,-2.5276945493639085,-51003.11682659898,-51003.11682659901,-55.580263007199164,-55.58026300720236,-39210.63519416959,-39210.63519416966,-39.94634219331738,-39.946342193335106,-9.10950131751666,-9.109501317561353
-120,-0.012482277488361414,-1.5059900644472353,-31649.350433144875,-33.115635164978364,-23068.162698497305,-23.172585571613116,-5.191334233077214,-120,3457203538.0325389,43.466203226139214,3457203494.5663357,79537739.241818219,1.7082917554028777e+19,1.2861223197546678e-10,4.729372449219227e-11,4.760636329592671e-13,5.820766091346741e-10,5.245830436706456e-10,1.5717205315013416e-11,3.8163916471489756e-17,-3.8333061499426237e-09,-2703.6556842005884,8.0510147738440198e-10,1.4220811195286842e-09,-120,-0.012482277488361452,-0.012482277488361414,-1.5059900645758475,-1.5059900644472353,-31649.350433144922,-31649.350433144875,-33.11563516497884,-33.115635164978364,-23068.162698496722,-23068.162698497305,-23.1725855721377,-23.172585571613116,-5.191334233092931,-5.191334233077214
-110,-0.007376212566668791,-0.8861111636630898,-19377.89525175699,-19.48644714182228,-13295.252725958067,-12.936520135953927,-2.918321281147655,-110,3312628517.1559615,29.170720969237305,3312628487.9852405,113560049.49789807,1.8636311387502275e+21,1.5872858583065863e-12,4.3655745685100555e-11,7.922551503725117e-13,1.6189005691558123e-10,9.243983356554963e-11,1.751532252569632e-11,8.673617379884035e-18,2.6895432778608848e-09,-2111.7139412462775,1.9696995929628656e-10,3.4262015446984151e-10,-110,-0.007376212566668782,-0.007376212566668791,-0.8861111636615026,-0.8861111636630898,-19377.895251757032,-19377.89525175699,-19.486447141821486,-19.48644714182228,-13295.252725957906,-13295.252725958067,-12.936520136046367,-12.936520135953927,-2.9183212811651704,-2.918321281147655
-100,-0.00429394593774557,-0.5171253313934803,-11754.486123525978,-11.374046654108843,-7503.485986055102,-6.777297713470082,-1.620834650650977,-100,3201085453.1715093,19.835764705355352,3201085433.3357444,161379483.00562698,7.1027611185429004e+19,7.055578343795332e-12,2.1827872842550278e-11,3.019806626980426e-14,3.637978807091713e-12,2.4706459100798384e-11,3.4286351535683934e-11,4.336808689942018e-18,-1.7270136735281544e-10,-1670.7252548033896,4.9829561650570413e-11,1.0495293523149485e-10,-100,-0.004293945937745566,-0.00429394593774557,-0.5171253314005358,-0.5171253313934803,-11754.486123526,-11754.486123525978,-11.374046654108813,-11.374046654108843,-7503.485986055099,-7503.485986055102,-6.7772977134947885,-6.777297713470082,-1.6208346506166906,-1.620834650650977
-90,-0.002472652972249508,-0.3015510837435278,-7115.070765335753,-6.63509051045366,-4148.485028417827,-3.105263311481929,-0.8876533621912586,-90,3128472389.744235,13.765579092969167,3128472375.9786558,227267764.66252095,1.6738244068371389e+20,3.706757123467241e-12,9.094947017729282e-12,3.6415315207705135e-14,1.3642420526593924e-11,7.087663789206999e-13,2.885514049921767e-11,6.5052130349130266e-18,-1.4926726079145098e-09,-1329.9542605691111,3.3472610451851574e-11,5.7934324004804694e-11,-90,-0.0024726529722495145,-0.002472652972249508,-0.30155108373982104,-0.3015510837435278,-7115.070765335744,-7115.070765335753,-6.635090510453696,-6.63509051045366,-4148.485028417814,-4148.485028417827,-3.1052633114812203,-3.105263311481929,-0.8876533622201137,-0.8876533621912586
-80,-0.0014183161823098575,-0.17758917188314838,-4343.110163206119,-3.91087972778754,-2249.445952327104,-0.9124491981326655,-0.4684912195107245,-80,3103195970.8135452,9.8464912727160385,3103195960.9670539,315157540.37301505,1.410261165247471e+20,1.0449169307591433e-11,8.185452315956354e-12,1.4477308241112041e-13,6.957634468562901e-11,7.186384820556668e-11,7.523870415582223e-12,8.890457814381136e-18,3.7984236589829782e-10,-1048.0744613175239,1.0495185719396609e-10,1.9424595265604694e-10,-80,-0.0014183161823098664,-0.0014183161823098575,-0.17758917189359755,-0.17758917188314838,-4343.110163206127,-4343.110163206119,-3.9108797277873952,-3.91087972778754,-2249.4459523270343,-2249.445952327104,-0.9124491982045293,-0.9124491981326655,-0.46849121951824835,-0.4684912195107245
-70,-0.0008185473226751432,-0.10700138872588671,-2708.4947632239227,-2.3608999015915546,-1198.1631020208229,0.42473885514467646,-0.20885242399049275,-70,3137023229.2648354,7.3473328186464251,3137023221.9175024,426960817.84991997,2.3071670674260233e+20,9.06848207637978e-12,5.9117155615240335e-12,2.2160051571518125e-13,6.59383658785373e-12,2.0237145292867353e-12,1.9350077096191853e-12,4.336808689942018e-18,-4.0390267695903417e-10,-792.73777953894694,2.1651705781373385e-11,4.2671199906862967e-11,-70,-0.0008185473226751475,-0.0008185473226751432,-0.1070013887349552,-0.10700138872588671,-2708.4947632239287,-2708.4947632239227,-2.360899901591333,-2.3608999015915546,-1198.1631020208295,-1198.1631020208229,0.4247388551467002,0.42473885514467646,-0.20885242398855774,-0.20885242399049275
-60,-0.0004813369542145482,-0.06677611099480296,-1748.2424337190732,-1.4796686036253575,-627.9099806186921,1.2807708000904112,-0.002156929480634062,-60,3246236776.2155976,5.788312250998727,3246236770.4272852,560826132.98124778,5.7214003383174291e+19,7.211592434330782e-13,6.821210263296962e-13,3.730349362740526e-14,1.000444171950221e-11,2.2903234864202204e-11,9.428569036629142e-12,0.0,-3.9383879463867052e-10,-551.0601640838463,2.7324337305616122e-11,4.9332204987706518e-11,-60,-0.0004813369542145482,-0.0004813369542145482,-0.0667761109940818,-0.06677611099480296,-1748.2424337190726,-1748.2424337190732,-1.4796686036253202,-1.4796686036253575,-627.9099806187021,-627.9099806186921,1.2807708001133145,1.2807708000904112,-0.0021569294900626312,-0.002156929480634062
