"{'distance': [0.483, 0.496, 0.511, 0.729, 0.812], 'solute_1': [10.24, -5.56, 4.28, -1.82, 10.11]}","{'solute_1i': '427.0 nM', 'solute_1e': '453.0 mM'}"
voltage,current,solute_1
-150,-119.25957891237897,-372220907.9662265
-140,-114.6747149841263,-357911095.4560746
-130,-108.39132040316287,-338300001.2583111
-120,-99.75196774533741,-311335729.5422516
-110,-88.24998189345611,-275436897.2954311
-100,-73.98102987982925,-230902090.76101515
-90,-58.0564857561467,-181200017.96550158
-80,-42.43805948449721,-132453369.17758182
-70,-29.038856995919122,-90633136.69138303
-60,-18.840985182220976,-58804572.97821778
-50,-11.777615239202062,-36759098.74907011
-40,-7.200260312993367,-22472722.574885666
-30,-4.358062505885806,-13601942.90226531
-20,-2.636355738334908,-8228326.274453521
-10,-1.605636817300061,-5011350.86548084
0,-0.9901243921215636,-3090275.880529225
10,-0.6208803744449257,-1937828.884035349
20,-0.39707156025037227,-1239299.5014056563
30,-0.2593176683289183,-809356.0185047388
40,-0.17284132470471159,-539454.8211757541
50,-0.11727525971934671,-366027.6520578861
60,-0.08064394062820479,-251697.69234770536
70,-0.055856734730027134,-174334.37805876136
80,-0.03867736998333353,-120715.88633999228
90,-0.02654821225984107,-82859.58882597089
100,-0.017903234047023295,-55877.75919795036
"{'distance': [0.483, 0.496, 0.511, 0.729, 0.812], 'solute_1': [10.24, -5.56, 4.28, -1.82, 10.11]}","{'solute_1i': '427.0 nM', 'solute_1e': '453.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,168230404240.14157,11.098700877325658,168230404229.04288,15157666298.028778,4.4771692534440128e+17,3.5762786865234375e-07,1.1368683772161603e-13,0.0,-32498759135.970272,6.5683472366928538e-07,1.0903459042310715e-06
-140,157504979217.18167,12.900009701092634,157504979204.28165,12209679129.453753,68761982517502840.0,2.384185791015625e-07,7.105427357601002e-14,0.0,-22086395983.135292,4.2505929864068854e-07,7.6438300311565399e-07
-130,147469453430.08176,14.993669270631093,147469453415.08807,9835447932.6110058,31700980992575372.0,2.980232238769531e-07,8.526512829121202e-14,0.0,-15010774674.08025,2.6281165643845981e-07,4.2421743273735046e-07
-120,138079514321.50046,17.427127839913613,138079514304.07333,7923251357.8775082,1.8851428965059917e+17,2.384185791015625e-07,7.105427357601002e-14,0.0,-10202388869.427107,3.2911416535906169e-07,4.7311186790466309e-07
-110,129293696222.47606,20.255534470376443,129293696202.22052,6383129332.4581022,1.1265804517047811e+17,1.0132789611816406e-06,3.268496584496461e-13,-9.5367431640625e-07,-6934631673.7835207,1.1631422011311224e-06,1.8863938748836517e-06
-100,121073197459.29843,23.542988864804361,121073197435.75545,5142643449.1627808,5.214228315877063e+17,2.682209014892578e-07,8.526512829121202e-14,0.0,-4713803027.3057089,4.2222153712607021e-07,6.6682696342468262e-07
-90,113381709210.0881,27.363994048091939,113381709182.72411,4143463450.9429035,1.1996161744050856e+17,2.682209014892578e-07,8.526512829121202e-14,-4.76837158203125e-07,-3204434529.6776323,2.8498470783233637e-07,5.4948031902313232e-07
-80,106185255356.24031,31.805144816740484,106185255324.43517,3338618829.3772593,20324754358742336.0,3.129243850708008e-07,9.947598300641403e-14,-3.5762786865234375e-07,-2178567175.3754034,3.7358226378237235e-07,5.6251883506774902e-07
-70,99452042622.38562,36.967090222136967,99452042585.418533,2690285927.9638638,20443163677354596.0,1.6391277313232422e-07,5.3290705182007514e-14,-5.5134296417236328e-07,-1481292401.8458502,1.772428531656795e-07,2.7078203856945038e-07
-60,93152320343.896347,42.966814563042938,93152320300.929535,2168006199.4639807,89083837954646496.0,3.725290298461914e-08,1.0658141036401503e-14,-2.644956111907959e-07,-1007339778.3150966,1.4736855528480715e-07,1.8789432942867279e-07
-50,87258249243.431808,49.940288581041536,87258249193.491516,1747251602.317673,31804733347480232.0,2.1606683731079102e-07,6.927791673660977e-14,-7.6927244663238525e-07,-685169238.87059093,3.0540105841859759e-07,4.5017804950475693e-07
-40,81743778637.750198,58.045550942538341,81743778579.704651,1408269493.7062738,85325024935636400.0,7.450580596923828e-09,2.6645352591003757e-15,1.5459954738616943e-07,-466161968.29527175,5.9455756435187696e-08,9.5227733254432678e-08
-30,76584531533.197113,67.466289842423365,76584531465.73082,1135152558.5899363,2.0300134451858819e+17,5.699694156646729e-07,1.829647544582258e-13,-2.2165477275848389e-07,-317275535.97693819,7.7933442320838962e-07,1.0952644515782595e-06
-20,71757697103.074677,78.416005898674157,71757697024.658676,915089926.8676976,23536059855931160.0,1.7695128917694092e-07,5.684341886080802e-14,-6.6589564085006714e-07,-216052878.85646498,2.2828731502621021e-07,3.1573290470987558e-07
-10,67241930072.653366,91.14285068087905,67241929981.510513,737764175.36126196,32386892579547192.0,2.2351741790771484e-07,7.149836278586008e-14,6.28642737865448e-08,-147230699.84113657,3.228539545018674e-07,4.4881016947329044e-07
0,63017256568.055481,105.93525052743689,63017256462.120232,594865790.70046389,82005388868403856.0,2.537854015827179e-07,8.137934770502397e-14,-1.6135163605213165e-07,-100434680.76278099,4.1171804816561066e-07,5.8457226259633899e-07
10,59064986013.748421,123.12844310305459,59064985890.61998,479702207.91562277,50175402609968104.0,5.32250851392746e-07,1.7053025658242404e-13,5.734618753194809e-07,-68613211.644913077,7.2426808641439716e-07,1.0351141099818051e-06
20,55367628690.064095,143.1120748334437,55367628546.952019,386882998.89790499,14383085757432908.0,1.3387762010097504e-07,4.29101199017623e-14,1.0593794286251068e-07,-46972970.73883836,1.4848732086432141e-07,2.0849984139204025e-07
