"{'distance': [0.118, 0.398, 0.403, 0.584, 0.809], 'solute_1': [10.99, -19.44, 19.34, -15.38, 11.14]}","{'solute_1i': '136.0 uM', 'solute_1e': '54.0 nM'}"
voltage,current,solute_1
-150,-4.6149652116806823e-11,-9.602507723014321e-05
-140,-4.586361696540705e-11,-9.542991461799221e-05
-130,-4.556477866244751e-11,-9.480811207334064e-05
-120,-4.522607766416849e-11,-9.41033659262765e-05
-110,-4.476381069263768e-11,-9.314151205292901e-05
-100,-4.391425177277114e-11,-9.137380726752214e-05
-90,-4.1840907746455676e-11,-8.705973313869263e-05
-80,-3.590952033999465e-11,-7.471810307947284e-05
-70,-1.8095248693106362e-11,-3.7651370564099794e-05
-60,3.38732554182094e-11,7.048118064546276e-05
-50,1.6887663825287687e-10,0.0003513870958237138
-40,4.4695922836499264e-10,0.0009300025558988611
-30,8.631844022663169e-10,0.0017960557683443963
-20,1.3396616672923424e-09,0.0027874774600340044
-10,1.8365927913123049e-09,0.003821458159201633
0,2.376670948418724e-09,0.004945216288844619
10,3.0022439542746764e-09,0.006246866321836613
20,3.7558679344127135e-09,0.007814956168149633
30,4.6804206049808305e-09,0.009738702881774511
40,5.82328642621327e-09,0.012116700845221118
50,7.2403291949493135e-09,0.01506518767155496
60,8.999491686203744e-09,0.018725534095305335
70,1.1184487642828889e-08,0.023271926015041383
80,1.3898993875884683e-08,0.028920087132510784
90,1.727166816787994e-08,0.03593771986658331
100,2.146229350625459e-08,0.04465728985903993
"{'distance': [0.118, 0.398, 0.403, 0.584, 0.809], 'solute_1': [10.99, -19.44, 19.34, -15.38, 11.14]}","{'solute_1i': '136.0 uM', 'solute_1e': '54.0 nM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,3913162.9427928827,9.6045347052819838e-05,3913162.9426968372,40742868476.916962,52856325843806648.0,2.3056880975877783e-12,1.1081136957100765e-18,1.420513756671551e-11,-46.483676679947351,3.3367276513271123e-12,4.7839116565709383e-12
-140,2987233.9735999806,9.547080033429762e-05,2987233.9735045098,31289503839.288807,1.0066218718149874e+17,1.4686945100849877e-12,7.058545812157571e-19,7.7963102205531595e-12,-40.348914974743067,2.0149942376055941e-12,3.0081440810514337e-12
-130,2280401.0316168391,9.4899690574898278e-05,2280401.0315219392,24029593961.816597,19483991208405404.0,1.6988194976187004e-12,8.164526551572346e-19,4.8883417982722026e-12,-35.026271634722676,2.4958537694697781e-12,3.682028640317192e-12
-120,1740822.4011360169,9.4331997214608824e-05,1740822.4010416849,18454209097.000042,64401130272723712.0,1.2362340318095022e-11,5.941340755280683e-18,-1.65037409534503e-11,-30.410840485020781,1.7444563465919814e-11,2.4709817525447875e-11
-110,1328923.5376581752,9.3767699816406944e-05,1328923.5375644076,14172508659.806622,51767964592544392.0,5.23087823056656e-12,2.513960079840802e-18,-9.8783334900568932e-12,-26.414420172053209,7.2373223907506363e-12,1.0323273486045892e-11
-100,1014494.5466901729,9.3206778065525381e-05,1014494.5465969661,10884343046.135252,53681503130991848.0,1.0495632141171995e-12,5.044200818970752e-19,1.7691573058458503e-12,-22.966966953828468,1.0474210723361874e-12,1.6726064977490296e-12
-90,774474.51570406219,9.2649211768720534e-05,774474.51561141293,8359213218.5363493,14220057070216678.0,1.457858072001321e-12,7.006465874556379e-19,-4.3081903266520879e-12,-20.022580257943613,2.3155837109809477e-12,3.8028746818241643e-12
-80,591260.1985275402,9.2094980853545482e-05,591260.1984354452,6420113159.7800617,24093271453144696.0,1.0084057612373687e-12,4.846398088443227e-19,-7.3730858810141973e-12,-17.5755126935139,1.459456117411592e-12,2.1786461523731759e-12
-70,451415.01155123336,9.1544065367627425e-05,451415.0114596893,4931122620.9849586,59446560383752384.0,1.1249819503148135e-12,5.4066632531440765e-19,-3.0773679286675196e-12,-15.698729869726407,1.5324149370759305e-12,2.3958612871410878e-12
-60,344683.66443917539,9.0996445477949377e-05,344683.66434817895,3787880533.4511724,43754612304257904.0,8.679279517309624e-12,4.171261738154027e-18,3.7446126468187458e-12,-14.633244894019208,1.2251571754532713e-11,1.808508898193395e-11
-50,263240.16846150206,9.0452101470136175e-05,263240.16837104998,2910271449.5628815,38615292936037992.0,6.444796410952358e-13,3.097369273404745e-19,-5.0751765953294122e-12,-14.990758600380142,1.0328824807814585e-12,1.5591972157835698e-12
-40,201114.08799066767,8.991101374774471e-05,201114.08790075665,2236812595.1167169,2.3507096721648198e+17,1.2567724638756772e-12,6.040048534431714e-19,-4.6227854044262052e-12,-18.204364881512433,2.0105677838835186e-12,3.0775382242609339e-12
-30,153752.98157708041,8.937316283155858e-05,153752.98148770726,1720348443.6022294,3.208316907968487e+17,4.710110773631371e-12,2.2636792147200197e-18,-5.6065253563095218e-13,-27.504407804883453,6.3246895276737797e-12,9.57456336436735e-12
-20,117688.9786408362,8.8838529358886714e-05,117688.97855199767,1324751540.6901939,1.0615255034126506e+17,1.2709833185908792e-12,6.108346252670804e-19,-2.5566731579149323e-12,-49.944101514339003,1.6418381090865272e-12,2.6147972675971687e-12
-10,90285.090841556332,8.8307094082866328e-05,90285.090753249242,1022399069.7376349,1.0026330544424285e+17,1.7763568394002505e-12,8.537171869891882e-19,-1.4892440644123737e-12,-100.32651537102321,2.4595301063053334e-12,3.801403636316536e-12
0,69542.726665854701,8.7778837871770092e-05,69542.726578075861,792249343.37185872,4.3341915029741005e+17,3.1244624942861066e-13,1.501618189095076e-19,-1.2778979235440147e-13,-208.01811267626866,3.9431220858140535e-13,6.0484950381578528e-13
10,53956.396633567136,8.7253741708317377e-05,53956.396546313394,618384903.35393596,1.4655883237976883e+18,1.305622276959184e-13,6.274826690704757e-20,-2.0976147904972568e-13,-426.8128609667171,1.3944401189291966e-13,2.2115642650533118e-13
20,42405.099616860833,8.6731786688989566e-05,42405.099530129046,488922242.18694758,1.8045023918680891e+18,1.3043906232912406e-13,6.268870990294376e-20,1.3297692676343221e-13,-845.42153997709033,1.7271131233686493e-13,2.851052727237402e-13
30,34072.629801709845,8.6212954023349612e-05,34072.629715496892,395214735.27611333,8.6578172676871091e+17,1.0843236031288228e-13,5.2112378590840744e-20,1.6690678311700948e-13,-1593.2466576468616,1.3737295144941505e-13,2.1804780203638074e-13
40,30132.478439131282,8.5697225033365507e-05,30132.478353434057,351615567.80163479,2.0988864670710794e+17,5.2490997659582206e-14,2.5226527141029685e-20,5.3455155950018435e-12,-2838.2187224783534,7.2457342895472907e-14,1.0969003483296547e-13
50,37893.181180813961,8.5184581152737915e-05,37893.181095629378,444836150.72157973,1.1374336427738125e+17,3.852647367796891e-14,1.851561083138697e-20,1.5041804753046032e-13,-4782.9944466201732,5.0518929557308298e-14,8.1268325402561459e-14
60,47653.56502152756,8.4675003926231774e-05,47653.564936852556,562781964.12063932,41788122544700056.0,1.4566126083082054e-13,7.000429524036273e-20,-4.1938220719060022e-13,-7673.1454599585259,1.7831384591735464e-13,2.9132252166164108e-13
70,59929.210333136107,8.4168475009011886e-05,59929.210248967633,712014923.95721209,27679428755364928.0,7.593925488436071e-14,3.649686298706469e-20,1.2875313249301994e-12,-11826.221301041714,9.4940623119303302e-14,1.496580637194711e-13
80,75367.140296284182,8.3664976165982524e-05,75367.140212619212,900820674.91137147,31684702033876332.0,1.1771833507978613e-13,5.657584517617688e-20,4.5474735088646412e-12,-17680.555947110817,1.2853836913593864e-13,2.3636648194269583e-13
90,94782.002005455361,8.3164489271130967e-05,94782.001922290874,1139693189.1982074,99223829811925232.0,1.2723155862204294e-13,6.114849960237002e-20,-1.9397816686250735e-12,-25859.697629471102,1.5498188524337e-13,2.524647157997606e-13
100,119198.31554438727,8.2666996306874943e-05,119198.31546172027,1441909357.6583018,49921230375078472.0,4.673345044281518e-14,2.2459607992039807e-20,0.0,-37253.494406629761,6.1533209734309558e-14,9.5951024903229154e-14
"{'distance': [0.118, 0.398, 0.403, 0.584, 0.809], 'solute_1': [10.99, -19.44, 19.34, -15.38, 11.14]}","{'solute_1i': '136.0 uM', 'solute_1e': '54.0 nM'}"
voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-4.614965208513138e-11,-4.6149652116806823e-11,-4.614965100869313e-11,-9.602507716423509e-05,-9.602507723014321e-05,-9.602507492445511e-05
-140,-4.5863617045178535e-11,-4.586361696540705e-11,-4.5863617671261634e-11,-9.54299147839753e-05,-9.542991461799221e-05,-9.542991608668672e-05
-130,-4.556477873827307e-11,-4.556477866244751e-11,-4.5564779478900166e-11,-9.480811223111334e-05,-9.480811207334064e-05,-9.480811377216014e-05
-120,-4.522607768328566e-11,-4.522607766416849e-11,-4.5226071741944906e-11,-9.410336596605423e-05,-9.41033659262765e-05,-9.410335360371391e-05
-110,-4.476381073441493e-11,-4.476381069263768e-11,-4.476380822045485e-11,-9.314151213985628e-05,-9.314151205292901e-05,-9.314150690897804e-05
