voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-50,-0.021172079261791814,-66080.14750871353,-50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,1.5028784905993748e+18,6.897607818245888e-09,2.2100377083944522e-15,-6.8394001573324203e-08,-189658.13995155707,9.386267710599287e-09,3.1241345843646684e-08,-50,-0.021172079261792393,-0.021172079261791814,-0.021172079261792515,-0.021172079261792244,-0.021172079261790305,-0.021172079261790343,-66080.14750871534,-66080.14750871353,-66080.14750871572,-66080.14750871487,-66080.14750870882,-66080.14750870893
-40,-0.016805624169600162,-52452.01051685444,-40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,1.0536957553982686e+17,3.3760443329811096e-09,1.078998002057574e-15,-1.3387762010097504e-09,-182881.33328788678,4.4058446111491969e-09,1.4994612995700152e-08,-40,-0.01680562416960007,-0.016805624169600162,-0.016805624169599277,-0.01680562416960018,-0.01680562416959984,-0.016805624169600356,-52452.01051685415,-52452.01051685444,-52452.010516851675,-52452.0105168545,-52452.01051685343,-52452.01051685505
-30,-0.012514649976135472,-39059.456854355405,-30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,1.7146615616320797e+17,2.4301698431372643e-09,7.788908407135864e-16,2.1653249859809875e-08,-177792.67231885981,2.9574912567384146e-09,1.1903469140928102e-08,-30,-0.012514649976135751,-0.012514649976135472,-0.012514649976136072,-0.012514649976135443,-0.012514649976136221,-0.012514649976135788,-39059.45685435628,-39059.456854355405,-39059.45685435728,-39059.45685435532,-39059.45685435775,-39059.456854356395
-20,-0.008294653147615983,-25888.430548114804,-20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,93328888570416880.0,7.770722731947899e-09,2.491062911502695e-15,-3.203033244761334e-08,-174260.02918784559,6.6801393940595717e-09,2.0402936368180136e-08,-20,-0.008294653147615558,-0.008294653147615983,-0.00829465314761538,-0.008294653147616453,-0.008294653147616154,-0.008294653147617872,-25888.43054811348,-25888.430548114804,-25888.430548112927,-25888.430548116274,-25888.430548115342,-25888.430548120697
-10,-0.004131386079622098,-12894.463419544627,-10,232781806.64256138,86864.949512323205,232694941.69304904,2679.8128353201596,1.5084373864091014e+17,3.2887328416109085e-09,1.0538445116559103e-15,3.0893716029822826e-08,-172182.52855779917,4.3994631031768415e-09,1.6478925501939301e-08,-10,-0.004131386079622826,-0.004131386079622098,-0.004131386079622042,-0.0041313860796224995,-0.004131386079623096,-0.004131386079622928,-12894.463419546897,-12894.463419544627,-12894.463419544452,-12894.463419545878,-12894.463419547741,-12894.463419547217
0,4.149565938860178e-16,1.2951204553246498e-09,0,232257191.10686761,92902.876442747045,232164288.23042485,2500.0,1.0601414436769728e+17,2.5902409106492996e-09,8.299131877720356e-16,-4.0933401335397981e-08,-171497.16122750295,4.1921037120787142e-09,1.7327021983870594e-08,0,1.8649734556674956e-17,4.149565938860178e-16,-2.7974601835012436e-17,1.1189840734004974e-16,-4.149565938860178e-16,1.8649734556674956e-16,5.820766091346741e-11,1.2951204553246498e-09,-8.731149137020111e-11,3.4924596548080444e-10,-1.2951204553246498e-09,5.820766091346741e-10
10,0.004131386079621791,12894.463419543667,10,232781806.64256144,86864.949512323205,232694941.6930491,2679.8128353201605,75160893994086672.0,8.09086486697197e-09,2.5925442348473382e-15,-8.3164195530116558e-08,-172182.52855780843,8.0653593807376818e-09,2.6416166781784156e-08,10,0.004131386079623711,0.004131386079621791,0.004131386079624168,0.004131386079621576,0.004131386079623054,0.004131386079621762,12894.463419549662,12894.463419543667,12894.463419551088,12894.463419542997,12894.46341954761,12894.46341954358
20,0.008294653147617181,25888.430548118544,20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,81735382123656128.0,5.602487362921238e-09,1.7954387976359953e-15,2.6549317812695949e-08,-174260.02918784818,7.3601282386373448e-09,2.6476523543039754e-08,20,0.008294653147616472,0.008294653147617181,0.008294653147615521,0.008294653147615707,0.008294653147615386,0.008294653147615474,25888.430548116332,25888.430548118544,25888.430548113363,25888.430548113945,25888.43054811294,25888.430548113218
30,0.012514649976135285,39059.45685435482,30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,6.6000861697743014e+17,5.122274160385132e-09,1.6427831317500363e-15,-6.8976078182458878e-09,-177792.67231887,5.9714396510725502e-09,1.8621253053408005e-08,30,0.012514649976136666,0.012514649976135285,0.01251464997613616,0.012514649976135368,0.012514649976135791,0.012514649976135023,39059.45685435913,39059.45685435482,39059.45685435756,39059.456854355085,39059.4568543564,39059.45685435401
40,0.016805624169599857,52452.01051685349,40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,4.4122651139509658e+17,2.117303665727377e-09,6.765421556309548e-16,-1.5250407159328461e-08,-182881.3332878683,5.6613125775101012e-09,1.9993967967368853e-08,40,0.01680562416960032,0.016805624169599857,0.016805624169600533,0.016805624169599864,0.01680562416960039,0.016805624169600384,52452.010516854934,52452.01051685349,52452.010516855604,52452.01051685351,52452.01051685515,52452.01051685514
50,0.021172079261791415,66080.14750871228,50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,3.7818335788033469e+18,6.868503987789154e-09,2.1996293675385914e-15,-1.5978002920746803e-08,-189658.13995154027,8.273541354400679e-09,2.8519865344356354e-08,50,0.02117207926179178,0.021172079261791415,0.021172079261790332,0.02117207926179131,0.021172079261791814,0.021172079261792532,66080.14750871342,66080.14750871228,66080.1475087089,66080.14750871196,66080.14750871353,66080.14750871577
60,0.025612604508877798,79939.464759294,60,251393399.13371146,62075.700007051411,251331323.43370441,4049.7875836302246,93962336163943488.0,4.9622030928730965e-09,1.5890067039947553e-15,-1.359148882329464e-08,-198277.03386854191,9.640095449667502e-09,3.7916477679811322e-08,60,0.025612604508877573,0.025612604508877798,0.02561260450887716,0.025612604508877493,0.02561260450887875,0.025612604508878534,79939.4647592933,79939.464759294,79939.46475929201,79939.46475929306,79939.46475929697,79939.4647592963
70,0.030124578653762453,94021.78106667433,70,258431024.63459456,58041.287347843077,258372983.34724671,4452.537778595608,3.5280463168671878e+17,1.225271262228489e-08,3.923944502659538e-15,2.5911521481496802e-08,-208902.22816476208,1.3196546520349048e-08,3.9005718696638603e-08,70,0.030124578653762325,0.030124578653762453,0.030124578653760777,0.03012457865375907,0.030124578653759518,0.03012457865375853,94021.78106667392,94021.78106667433,94021.7810666691,94021.78106666377,94021.78106666516,94021.78106666208
80,0.03470825535222794,108327.88811556785,80,266636122.53779566,54269.078505956684,266581853.4592897,4913.2236971469702,52003632291022792.0,8.96397978067398e-09,2.8727020762175925e-15,1.2252712622284889e-08,-221695.95658475373,9.9946475364237696e-09,3.2453658954656461e-08,80,0.03470825535222568,0.03470825535222794,0.034708255352228004,0.03470825535222855,0.034708255352226186,0.03470825535222829,108327.88811556081,108327.88811556785,108327.88811556806,108327.88811556977,108327.88811556238,108327.88811556895
90,0.03936951566160561,122876.14126593512,90,276045759.69847977,50742.032378355507,275995017.6661014,5440.1794086637665,1.2552822702947709e+17,3.7107383832335472e-09,1.186550857568136e-15,4.6275090426206589e-09,-236807.28201378864,4.5887237958857966e-09,1.6149233422746434e-08,90,0.039369515661605375,0.03936951566160561,0.03936951566160487,0.039369515661605486,0.0393695156616058,0.039369515661606055,122876.14126593439,122876.14126593512,122876.1412659328,122876.14126593473,122876.14126593572,122876.14126593652
100,0.04412110614814423,137706.3238081905,100,286702444.52567577,47444.215394286985,286655000.31028152,6042.9378406413516,4.4382424539462803e+17,8.789356797933578e-09,2.8171909249863347e-15,3.6234268918633461e-08,-254363.63035443955,7.3827446589007251e-09,2.915662415670095e-08,100,0.04412110614814553,0.04412110614814423,0.044121106148143165,0.044121106148142714,0.044121106148142866,0.04412110614814388,137706.32380819455,137706.3238081905,137706.32380818715,137706.32380818576,137706.32380818622,137706.3238081894
