"{'distance': [0.093, 0.124, 0.386, 0.4, 0.431, 0.462, 0.533, 0.573, 0.593, 0.631, 0.985], 'solute_1': [9.66, -2.8, 6.73, -14.7, 19.44, -19.72, 3.05, -7.36, 15.43, -2.37, 18.3]}","{'solute_1i': '191.0 mM', 'solute_1e': '209.0 mM'}"
voltage,current,solute_1
-150,-0.000000022389357222661643796499026054928611204023578651012926631239317992577773475408909,-0.069879392080716744469538109357165477921147498193809093412004271102980833112483573
-140,-0.000000017234734013329229911506979383070781741880098229681065703416728802532092893154819,-0.05379130466082781143113998224678397952239062504173924892745093657581040305551976
-130,-0.000000013364511250346213869781589374674659458471880294305129030285064746318897696195271,-0.041711957710194177731628473555092379865096528763346688223283498937103438632743092
-120,-0.000000010432207253948461928709701663884200479613388729385065110987083366184766347253856,-0.032559947733921543245772392983012800381968158918928198275794927422651028185349236
-110,-0.000000008180789932894353165658591965231997734686891156523452306894124426885926954954425,-0.025533052225013587949779825660378291389138563016388659468888831126929030458770852
-100,-0.0000000064264396131601077781877051454200334323116332256660556826603815404640776951976019,-0.020057551851311198823267935070162800669170189998456471386214609973590770098453679
-90,-0.0000000050400256529292977421706266756535332299715529722682181177881978517136063248652105,-0.015730417143974088629493343029571201153570588729434250160130655668901245995071701
-80,-0.0000000039312763906391887816721292859770328509566009659077712130195011652814906768637162,-0.01226990134406738133694079367254959931655378060008992000177030140740254536223147
-70,-0.0000000030367933240619542911050533093525272282758979778693051500186870278398621026877315,-0.0094781314733519177421418991584684140694868137312842376906166668162813512435199592
-60,-0.0000000023114264885962497309695704045517282281868150573432625002960830038823383611967168,-0.0072141900393141381017081669516209729065333679103174621907458277200842515856390327
-50,-0.0000000017220998917613573596665729400201334438869836713417701772017954829440550034054724,-0.0053748436072451855390143068352375394583906307800665962887978422095954015809815518
-40,-0.0000000012432874982398802624506094733790811706927371885385544706947129288921113520474264,-0.00388042290337041300026656806764557011366202177405541223842507235169564375061962
-30,-0.00000000085364720656619889906119523364081759354038818527761907141102392122277304716852941,-0.0026643171241142289082517850731466269018654684144161511682786718357642289688182002
-20,-0.00000000053363211290151925903486480296316251882764526131111382531162987702621434509016535,-0.0016655184547488117540706102152415108827927590360193837599851395848766769406021038
