"{'distance': [0.083, 0.167, 0.25, 0.333, 0.417, 0.5, 0.583, 0.667, 0.75, 0.833, 0.917], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_1e': '1.0 mM'}"
voltage,current,solute_1
-150,-0.070084865510604762573175748266939820878618442633390652874933867042723795209853951,-218741.77749876643606495390142158775199620986409115011571232569650088561458677331
-140,-0.064497328355867118184537407438667024874710165246543924127266976322668761644486675,-201302.52295838677104926041307677559910841365987626984598455542594416329547768901
-130,-0.059139892228787233101122165785938549591445180427636867149866792425271587857452632,-184581.43641943581800876114778317968662524592680567693933213547600804978166903724
-120,-0.053978990898458342886804933765069881730253082434627105316586884743608967010273003,-168473.7543647264220189195850271938257368186979190322417977037976532426594167627
-110,-0.048982529788284611734735876506733221469403697292432486836272542656280491825726898,-152879.30645532026907077233462381534935558111505593736694621937484267404765531202
-100,-0.044121106148142996758182075572206954882057377254976014925784050606112756971063628,-137706.3238081866385394164286135547049421914202892468839140137642617273592148126
-90,-0.039369515661605728299810076840610178022931584599457472904117892791172129614660296,-122876.14126593548779499150186034467375840374134059444836399977788600575919266238
-80,-0.034708255352226565463750709197686589669531900513468016044344730824838306558053706,-108327.88811556356809575337014964969589688430871244091617941152656678052210377746
-70,-0.030124578653759897718821131901067041496773805564834951958160302967681663022025443,-94021.78106666635218880864256959371070945692716562471110279222027346308084436057
-60,-0.025612604508878449913268200976348551462618730973477007800210072619137753555787052,-79939.46475929603997412495921945453723403495497527197657573287365966334589098946
-50,-0.021172079261791563467812498150205132313450753917120817905302947645003306511386404,-66080.147508712748245421927331077915978097893014879706725867149709271818086389236
-40,-0.016805624169600138356424304193579028815377913023110162682793759380235112980248803,-52452.010516854367059200037226957102840791485345789526923433979905003325989405269
-30,-0.012514649976135662878331646447201378815630282283287808968163474516201372750124589,-39059.456854356003466955310301068422125047844920973705824924572752519751095318878
-20,-0.0082946531476159822956548584899615773599314823935036633037978254633990789576920753,-25888.430548114802480837335901549540671941251412067347709214246976640453769599454
-10,-0.0041313860796225078936722273312035997325547926130133588147017723957540904222445921,-12894.463419545905438418598368954338363923723875866629276915904944529012947751665
0,-8.8544908961672317380169234189022529058968119793129936913202579294644205543969175e-83,-2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76
10,0.0041313860796225077057484436247106696267712055643456765615748087831580554168027003,12894.463419545904851889935115231056206283782674004339139126773759170568264057403
20,0.0082946531476159815777505139256239155895468607434989659276964504014305610811191825,25888.430548114800240187071967911282080427720708242632660041770081880710355745861
30,0.012514649976135661119346256727952709720852204534264973556141238384413356363932599,39059.456854355997976988426033750201174505105085592760646528244690661245558345447
40,0.016805624169600135922171356510484390293100219207877023662170159629212918697550487,52452.010516854359461656505132404164177997322913900894602355674194845696979813436
