"{'distance': [0.044, 0.058, 0.076, 0.15, 0.155, 0.294, 0.433, 0.492, 0.504, 0.507, 0.899], 'solute_1': [16.7, -2.29, 6.47, -16.65, 16.04, -10.76, 6.32, -14.71, 12.45, -7.61, 6.93]}","{'solute_1i': '305.0 mM', 'solute_1e': '2.0 nM'}"
voltage,current,solute_1
-150,0.0000000004175559245163726561253297933864921269503111272473248190103992745413297543109138,0.00086882214839028850235280060351406589903368556067554503720824270299089612793040583
-140,0.0000000010497506389235436119163892312420346447601806862800348009881408910450683903384347,0.0021842501850260998900402879259225954401017142346711934773405127089155905017666373
-130,0.0000000015732641595660476805323657123170589480343623188453833536929706714512853206338998,0.0032735417385893626163004667339091952241931418350292804528963218151653320349071949
-120,0.0000000019790488579962837923147245251209314316185364413127838514400599813543679055048061,0.0041178711152648434942471885363098433050908633421638304460292397366139701801120265
-110,0.0000000023338421901639531357863855870819491783116326394998393693358292426426564457150465,0.0048561011031293240224657893417915086056965288557447969349972680185358158329489383
-100,0.0000000026911340875184232295879907466064226642288512068920859814941517794652742647535253,0.005599529936575995042400177441771441675250281380642296445632896696296826684673378
-90,0.0000000030847213737374074227292513599789986109999403174290002117896997039294775754602164,0.0064184797622501194522117453551031843052934642709574438904658881070688993648091349
-80,0.0000000035448430322781920166790619510730921500580914199086971569700927688171460121511955,0.0073758698133129255110176203764320281818499048725724744803800076409640320561862079
-70,0.0000000041199639234010609414685766281236114516688465976803254635662793778116014171439627,0.0085725424956326694190076793430907437463622603976639360164009758050600449909901612
-60,0.0000000049181515343598839281843149260264482741728386141534534062836702314646115735896383,0.010233357333249862475799453709031413592634294044559491618085405512738883391253495
-50,0.0000000062083057756841266130591638972746799068700352474364712765000900644597672199557288,0.012917823087149659976883599341506760167413108155206496018846438695159068942749209
-40,0.0000000086832701431164979895510919605818676990957663655792330250902638624083045392524272,0.0180675616793934622350240239822874839713454016417039010457757848124342479932967
-30,0.000000014150566826892038053358427170365038743167844870855757015815564243894607259481619,0.029443543127116183914176343926540835335827062129473381159583327292066138649915319
-20,0.000000027347450304467755405737009551419016815213599361724376720907282357985831379082234,0.056902726392983261093744482623304962699294173909688895617551827232095651096486162
-10,0.000000060707015125120527255477206405969484798545661663340699507246186841186390393794756,0.12631505435938519970876332770020614543572756248462671706931014440135445783551945
