"{'distance': [0.146, 0.211, 0.252, 0.283, 0.349, 0.361, 0.488, 0.504, 0.514, 0.514, 0.548], 'solute_1': [19.44, -6.63, 3.06, -12.75, 9.27, -8.24, 5.23, -16.61, 3.62, -11.28, 19.11]}","{'solute_1i': '450.0 nM', 'solute_1e': '261.0 uM'}"
voltage,current,solute_1
-150,-0.00003757676225185133127889874074879330134458232963474921877106212030316091603244617,-78.187187373806348540162167977267688933414070171490628215230652760038863867223445
-140,-0.00003141687072630563302505196049376934699963576870107243828345214111772345437940117,-65.370101386403730508748219020737755895063815002819192455480024692577934776367116
-130,-0.000026243283402568398905893095122349964962119171913675415797633828040463291759979496,-54.605250525527255070369565824783995337677343690890919266943817174109516283681335
-120,-0.000021896625823043666554168814266110896329372339870763618325924940725992054725616605,-45.561019190685947679603400103504528709531857948533492104938748644010804498793379
-110,-0.000018242820589320849621058095350314572478056095290455294651281016673618791723433385,-37.958428192511130957730050501882153514031783388964703940372288951966437236201949
-100,-0.000015168952632590602072483635409453750928889456140149011897568665958661695967993901,-31.56253148687183105213825162952841211567463166827623730610792169735081799301631
-90,-0.000012579803367982066723386301518764116155428041698601139350506728311179297923320409,-26.175204677449160770511943875189846657979921674194874073381364623562845154072516
-80,-0.000010394970575118735358006534559671359753493743493112916148711646576355195506034697,-21.62915225784172973541718916405966413298624829237350074016759753463551505825549
-70,-0.0000085465282288888123186241658614817598393543533161943124201807402797018842443692459,-17.783038345586375946412938075038852481254943694308794140272009115832411925422153
-60,-0.0000069772261093959549917998555036674235761474663675816272106546702055606583807810039,-14.517740552217967041494240828107404236249371160436322142263488299729140382815238
-50,-0.0000056392786620310416226251571927440829318207298077387050954156224751083354324038062,-11.733829925158222216059288845541734902044104325370473849542669440670794564394595
-40,-0.0000044938185671340127816257050827416583943054133538977886860809534473469410272942778,-9.3504339723970302980356447463922830473367175342853726034213762709550782358393246
-30,-0.0000035110128711030488457706270020450179668208377996471820677505094714563885069569165,-7.3054783002560316892220781889772628715973760275931637250536879854529283156382368
-20,-0.0000026705154081848531022291078033508423611303936530995452182453626082075221895664208,-5.5566279820741845403915841385979718708238617092467806904547379606835152899228202
-10,-0.0000019612789611805457505075742855064026322377835161995994796003644381719947975358493,-4.0808967148991796537841777153654194703204151271676953746285761843987229853827055
0,-0.0000013791665702043717858104282284794470975806682307189143529331699839932332917424186,-2.869676592185542612469297915481794545164241988398004706250428877425545624651219
10,-0.00000092145427516149456072956447813286297252597663144185364349268001552908688426247924,-1.9172997818591230889485141367079141083663741569087702102887823844716337988132866
20,-0.00000057995059841143132490422800041984765483710479942154646079867904073934785887283026,-1.2067220108435940954490675463635561753853766798532779946237177307544712009718133
30,-0.0000003368522852655460744415841953741641283989509126660467191726568764207383203383916,-0.70089946996576378051016745274160939867985353442942220899257003813109293089922371
40,-0.00000016581460713294049675808384050852896168080985021849405535726795420194869251776196,-0.34501582840811588848467391806281166610272676980443223239247986938429376172635373
50,-0.000000036025713090944601528654812811618778559955465434785901660167466997311461731541988,-0.07495986910308905818808900420618453523622746147108094997022880781170817844854403
60,0.000000085207192605381533209288514099601405639736481923075975715673872211757235891543391,0.17729336788468899879874836567258087777201844005055633269080166774675504257229499
70,0.00000023417975930614369793192235235329986741776269448775631333849019118643691364780952,0.4872654167834866767985435487880867372241362309372372096851677933676447403568473
80,0.00000045752187200249380873705445875177870627605655565668520530583990025152979282716221,0.95198059093319560270733124786946810132109829783848036208039405142224686854696076
90,0.00000082461896682211004631894682398355942835425759827597055265598495439284290557673117,1.7158114166086351281261099970719322602269224644564676715663410883394535293119327
100,0.0000014482110793302309261777240788859305648476393987312790464717518692179423574008706,3.0133397405955699534056704521773316592273402105709719700760239513343237971181589
"{'distance': [0.146, 0.211, 0.252, 0.283, 0.349, 0.361, 0.488, 0.504, 0.514, 0.514, 0.548], 'solute_1': [19.44, -6.63, 3.06, -12.75, 9.27, -8.24, 5.23, -16.61, 3.62, -11.28, 19.11]}","{'solute_1i': '450.0 nM', 'solute_1e': '261.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,439783793209946265.65788155310723504666827945214706378531936626495616178533402315,0.0000040341764968392267190133277344365046851417924498433971779414851780586636001175262,439783793209946265.65787751893073820744156043881932934881468112316371194193684521,109014514747809480103928.34686235211580354029838885595959617168288950574813301437,879567586419892531.3157631062144700933365589042941275706387325299123235706680463,1.9471861289064505616300790215657775908000607071689928185295631417895746831192785e-76,9.3556859188581425587175455752847947004457298888939269884112960440107676996277041e-83,-50212199197.96482216181756351250814834063979057186136943255479904556370103382421,1.3243530744203912495355652666167448678245561886986613924709689022661855184087851e-76,4.3823550974731651364956151586647467655494994305478254403881533527871853315288917e-76,1.3723718699172241724591777861168404642602514118509427203339534879533198881574384e-75
-140,378057489690172627.41040553222466141121947872722124185479971049031446438304766298,0.0000069393089240275349278863597174368928966345005305559527240986663235659073511623613,378057489690172627.41039859291573738368455084086152441790681385581393382709493888,54480567709147359600577.745059233421274305754830551192145203345256070451975152486,756114979380345254.82081106444932282243895745444248370959942098062892876609532595,5.4271572362084916935689638370307698492299127915197312660041926541673530270529633e-75,2.608267430583450252821007066298104800393865933811583386535352795323387066520692e-81,-53840220480.337284573919354917102010937652095273089059137845683843971044938910116,-4.1267307342400564395433800940807874165452551311744934382688802428629529529269632e-75,4.3464358901923914013137935809453275348485839211859484982752256775152286830636094e-75,8.2052414180670697461085700740541886479290762704719951232093637412492423135287084e-75
-130,325073178113645594.75718024348496631999194818266448535262900632859895705779686101,0.000011936515018819022788873031057283395590240846919671815418012815340056779481145845,325073178113645594.757168306969947500969159309633428069233416087752037385981443,27233508071756085066189.322520120979052735955641823324548591051230099889283438458,650146356227291189.51436048696993263998389636532897070525801265719791411559372202,3.8831722267180130153866101180594859134063303513653573346379236681412744737438307e-75,1.8662470040616338842712771104921608355689680171766125059964321214614051331499445e-81,-57780395296.389307098316782474858577266749995399418513624706091021290086341205308,2.6406687771288635481648871803768014731576343028394050347857585180020285876101348e-75,2.6293684936103055195640470256548036643441343389818702880524003172813389120069988e-75,4.9487504701019009910610506321750392751046361106787322280656569163313077468488813e-75
-120,279595763299117951.33646233410543249270124786807587824397900765133170532250166207,0.000020532360261574476476566493351719468743606108958541621148217739396170989464375682,279595763299117951.33644180174517091822477130158252652451026404522274678088051385,13617322107014198571496.309865292255354016417771859003901923353031533593450793901,559191526598235902.67292466821086498540249573615175648795801530266341064500332414,2.8118150354184451543982516709547394697364008999053283337567409540568442452874543e-75,1.3513625561750942917344284193406551464839148495636193577071116885578689355404473e-81,-62057338684.199605500240653707300848431564378512890718817906469134269751666790488,-9.2122785882961062585505527375542035698493343340599555856203530639647016723753425e-76,1.9067792769368792941410672851114992623183157643514902359933411131001736036596557e-75,4.9593601450471823231975545045717746557284297244023231292235279812899037267479701e-75
-110,240564761172682240.58581773903064011085699906023600350283004678442831029185196447,0.000035318333470567094468559464363090336389806909402142652948833895906020178736399736,240564761172682240.58578242069716954376253050077164041249365697751890814919901564,6811328212107160163613.1429413869043055303250144239228908767604875256079153735443,481129522345364481.17163547806128022171399812047200700566009356885662058370392894,3.9692640320016107602459303131917773966308929799983315146948787121095176232816061e-75,1.9076526704219173418815573070375237337102116704331685033626127886162946036775265e-81,-66697604386.320925681491777158747160275958290947542509663161896877382136977257166,1.6260286107638759021235240616678877317491844436165186045239941689926801754391757e-75,3.8679565711343406461875666547130280383889135605612079218877922396653085626103122e-75,8.1511883299355825024995186423095263381794583980573694347835177962080020242435322e-75
-100,207069617478508219.72625937496606930242792934340664158388527190773748196102491637,0.000060752132889106447412611596146717305386941880404197439461389774846999139955286692,207069617478508219.72619862283318019598051673181049486657988496585707776358545498,3408433706459023293784.6025083806912989152169969797061529729047188190440520209632,414139234957016439.45251874993213860485585868681328316777054381547496392204983275,2.2325507765921689486853257028447954813159601098360494757011080935636220193026807e-75,1.0729762072896764528053262121090893674503629213359744119343367756664481208744276e-81,-71729559307.531372516428788375703520925317636255257966372107420953496018220915742,-9.3626524997583464418226607978215191209753092232180599773146622757548442425417351e-76,2.1483057263275723899027756715024476311819216511416594017873847237567624692481055e-75,4.817297269354826604797152333771429788107780621823236096210333618766076107800074e-75
-90,178328515353659281.24480915814435288756399565350861565287651519764544587270664729,0.00010450157999814547180992845067676374836175620602255627588451118355637976181898182,178328515353659281.24470465656435474209218572505793888912815344143942331643076278,1706467168791361553717.7937687186800402859337645028383643262522648107747605644069,356657030707318562.48961831628870577512799130701723130575303039529089174541329458,2.5481420142207178919294246156436147703307655137786331177202360074832594267971514e-75,1.2246522088868453423963642747455411027160142059342908451766512708503847244504071e-81,-77182575326.474365261402872533667643522053618339828263555729752546462742979726287,1.4308714424387924561943832588307771398784576385061127927569546198718782083247435e-76,5.8547905450300967619620372597269358606348924451184038702797264681848685514943702e-76,1.6451031837636224155741989087842298605202262051062604233368409430043809970705063e-75
-80,153670178599049232.45710429155324544769200751687324463809749829884031526653067146,0.0001797563262847514402456163484010959013556291874021035294266805045978147082416466,153670178599049232.45692453522696069625176190052484354219614266965291316300124478,854880502818136025108.4758645225506254527721123869506452376730876466275569601836,307340357198098464.91420858310649089538401503374648927619499659768063053306134291,9.9997386058636534213164938248878689096492376094773536255809616508881796183336196e-76,4.8058884544670884986974792229575056133169983865301747370319099142170855535432821e-82,83084071773.027366711568858915410646237925946233587410269368078238744215827741783,-6.7991273102988665704042667429222911389084933337902747333773527964653470115952006e-76,1.0593018848276302960659040769355373072491202008431297175979226910129806268063382e-75,2.5491063622147688960326222481189337591251488691084428801966930962818197500186139e-75
-70,132518247190527511.52052897396322052320862255130918423874916482534593927571349767,0.00030920428992521883015320746519153686923790865856100164568596364299686504914081303,132518247190527511.5202197696732953043784693438439927018799269166873782740678117,428578294378053738339.34471194218122972269343508449068727676804101334860048609789,265036494381055023.04105794792644104641724510261836847749832965069187855142699533,1.8616340841575462195598454734249111325486928285587959060591720792882170705692007e-75,8.9469376740194468874365744042600583982821707477715152195400253554304485674964456e-82,-89450149640.724273766309385676181543110638954833177321349082926426984403266842614,2.1354276153807747843240471598252550502017297776125648893437516783659057075788345e-77,1.4814386041212528485550991368047147176517558575164793983174485678969183927516226e-75,3.5371763988821877456826241119438079991713607040587451817169240325128063371552451e-75
-60,114377861431860370.46553248575302896564113792357322760792318924591045298227963625,0.0005318716447103372934581736832360322032141436770326846669983415490724123043830501,114377861431860370.46500061410831862834767974988999157571997510223342029761263791,215047864591750735197.05902236507327526154654395295403545031800425949828440760372,228755722863720740.93106497150605793128227584714645521584637849182090596455927251,1.8313906266980064945338342841866277020193744913450571315995089927217868262272666e-75,8.8016800332916459464028408476149041751992530364635507066353589123812442478134364e-82,-96258204081.380029801684935765776344090525747750474171278065180443774652111210188,6.4381624527226534552025715674068056880845042560579770348626901904856441510723961e-76,1.3413993968075851964750660232740566973806331069073787788684862364464873824111578e-75,3.6267037357997194540867235988226964418393890548338773663121009976433959172732471e-75
-50,98824142547945400.981747563097300577652626354159473145170625774788144402185628993,0.00091488849173242655189285582548992076555744121209182536833322681969238269940963462,98824142547945400.980832674605568151100733498333983224405068333576052576817295766,108017691162354315702.36791381516124304067403229416728816978341289317306393171927,197648285095890801.96349512619460115530525270831894629034125154957628880437125799,7.3633457442205641733714024261462625562011304669746372574575146735691348940479022e-76,3.5387849815845990053168377770063651756379919502368896117273057371422434426428794e-82,-103373078820.65768180772732381686859611366406607127615774198579764774549343767589,7.1848874174375578762296297646063636744386162406939031616497983010801042274903661e-76,1.4596036471046389185273556753958864866008021069451528091364932317416357414463813e-75,3.2005292168696739349405584046990302880661430431339628444934409193207228525463431e-75
-40,85492301647996061.855861424980090923286379149751399645404944788093854622792769655,0.0015737273468682168197486569117029464210850251509857277698245589311596404510677162,85492301647996061.854287697633222706466630492839696698983859762942868895022945096,54324722651690151110.510840624205838099895817627577355675512519680752546196037205,170984603295992123.71172284996018184657275829950279929080988957618770924558553931,1.4508763172558666970649071129504671279474880612252952726839821829883234229312877e-75,6.9728493384584577973302862457336656788208571783680373653140379920862233059794032e-82,-110371728846.81207469674698320040868217522583674273494959257615461404318101480557,-6.2747162158108074231322712753159153133889690147857356938062845525443674819852009e-77,1.3230531235060740121610700133282370772097252538850755373314279441005421445242737e-75,3.4035303384088154355851919427930564687311994128637253630035474631518530083543003e-75
