"{'distance': [0.067, 0.186, 0.566, 0.713, 0.911], 'solute_1': [6.64, -3.6, 3.99, -7.83, 6.32]}","{'solute_1i': '108.0 mM', 'solute_1e': '138.0 mM'}"
voltage,current,solute_1
-150,-1520.6705216013418,-3164108451.10558
-140,-1317.7122660410053,-2741806629.2988043
-130,-1116.3973812937,-2322924222.4171867
-120,-920.0413990703273,-1914359964.7738812
-110,-734.2689561303849,-1527817220.412786
-100,-565.8680357444684,-1177419966.1765885
-90,-420.8319512687953,-875638683.4556706
-80,-302.51671356559376,-629456332.8455967
-70,-210.89206321707817,-438809952.594836
-60,-143.10561809493385,-297764498.74101925
-50,-94.76858390007601,-197188064.71093634
-40,-61.195707268504954,-127331891.94445474
-30,-38.18142847513315,-79445335.98654422
-20,-22.28933761574799,-46378147.34862253
-10,-10.827707406033314,-22529561.81030652
0,-1.7194006808985658,-3577612.735952072
10,6.5646887533694045,13659360.701975457
20,14.971760797086034,31152228.042209808
30,23.897027604010173,49723320.024989955
40,33.42395233607257,69546301.15703821
50,43.628334837002505,90778890.63046713
60,54.72658812559793,113871386.02912594
70,67.06810651300948,139550783.42282456
80,81.08452923529906,168715208.56283617
90,97.25897909779339,202369910.7319879
100,116.12136497490036,241617488.50374606
"{'distance': [0.067, 0.186, 0.566, 0.713, 0.911], 'solute_1': [6.64, -3.6, 3.99, -7.83, 6.32]}","{'solute_1i': '108.0 mM', 'solute_1e': '138.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,2881700482539.1523,3182921.0016054665,2881697299618.1509,905363.4950680905,1.0449334633082005e+17,9.5367431640625e-07,4.547473508864641e-13,2.4735927581787109e-06,-4067841215.1113501,1.6293450513883407e-06,2.2947788238525391e-06
-140,2330987609236.7729,3796954.6181242447,2330983812282.1548,613909.78920583404,13256683878852610.0,1.7642974853515625e-05,8.640199666842818e-12,0.00025098025798797607,-3778312032.7993231,2.277494666308392e-05,3.8072466850280762e-05
-130,2004224914199.5903,4529444.6091571702,2004220384754.9812,442488.00617798755,32829766761617008.0,2.09808349609375e-05,1.000444171950221e-11,0.00012978911399841309,-3520643919.9293785,2.6760826080633045e-05,4.2676925659179688e-05
-120,1772078051481.1938,5403243.0015079081,1772072648238.1924,327965.64044716326,3.0993651930977239e+18,2.6226043701171875e-06,1.2505552149377763e-12,-6.6014363984465176e-05,-3292020735.5996099,3.6169019814978601e-06,5.9902667999267578e-06
-110,1618453457751.7717,6445610.3236853015,1618447012141.448,251093.90367651251,5.657276025563031e+17,7.152557373046875e-07,3.410605131648481e-13,3.2070034738780316e-06,-3090096254.12467,1.1718273541813337e-06,2.2575259208679199e-06
-100,1531262167210.873,7689066.0725797703,1531254478144.8005,199148.00481056562,1.6397814544472134e+17,5.245208740234375e-06,2.5011104298755527e-12,-2.5019741175758354e-06,-2912917599.0125742,7.7400344966372417e-06,1.2062489986419678e-05
-90,1501665179597.4814,9172403.2480285298,1501656007194.2334,163715.56493880073,4.1541217319768719e+19,2.6226043701171875e-06,1.2505552149377763e-12,-2.3833625005441287e-06,-2758860863.716064,2.9815823506872627e-06,4.7013163566589355e-06
-80,1523492582334.1182,10941898.606447628,1523481640435.5117,139234.75597154448,4.2469082445484301e+17,2.6226043701171875e-06,1.2505552149377763e-12,-1.3274702335345821e-06,-2626573668.4491758,3.1665953627827624e-06,5.2191317081451416e-06
-70,1592801854958.7686,13052756.39069986,1592788802202.3779,122028.00751676068,3.4800572635630577e+18,4.76837158203125e-07,2.2737367544323206e-13,2.2113096210153112e-05,-2514917365.5668449,8.7803124562837113e-07,1.6093254089355469e-06
-60,1707548429030.3696,15570830.577296805,1707532858199.7922,109663.28485521361,1.6843883361056246e+18,6.67572021484375e-06,3.211653165635653e-12,-9.8984463491983955e-05,-2422897703.2881374,8.7224408770397577e-06,1.4506280422210693e-05
-50,1867347656163.3364,14322035.984912222,1867333334127.3516,130382.83510323,4.6835219080073748e+18,1.0520219802856445e-05,5.059064278611913e-12,-6.5285786494823433e-05,-2349565226.9193091,1.4035391487505703e-05,2.2079795598983765e-05
-40,2073312189705.187,11293183.67538554,2073300896521.5117,183589.69882196712,1.0502664952323023e+19,3.0860304832458496e-05,1.482902689531329e-11,0.00013322325315366125,-2293850768.3851581,4.0554479699153668e-05,6.5779313445091248e-05
-30,2327952680294.6641,8904879.0032610781,2327943775415.6606,261424.40334586677,4.473264520191787e+18,3.0368566513061523e-05,1.4594547792512458e-11,0.00012124531125941361,-2254267302.1018844,4.1576122361800505e-05,6.313621997833252e-05
-20,2635132835216.2319,7021657.6956553301,2635125813558.5361,375286.42799644417,3.5783067475520737e+18,3.0487775802612305e-05,1.4654943925052066e-11,0.00011882922276696946,-2228342428.0065446,3.8074686843969925e-05,6.1155296862125397e-05
-10,3000072465731.8682,5536703.7302696761,3000066929028.1377,541851.72476002143,1.811386419375514e+19,7.838010787963867e-06,3.767652856367931e-12,3.7226929951929359e-05,-2211562407.2785482,9.9399794427824707e-06,1.5931203961372375e-05
0,3429394281032.6123,4365790.7470696075,3429389915241.8652,785515.03718644322,2.4605733001573816e+18,1.0423362255096436e-05,5.009548331713631e-12,2.837690184483186e-05,-2195883000.4086246,1.233481987517119e-05,2.1117739379405975e-05
10,3931211991177.9639,3442504.7421257342,3931208548673.2217,1141962.6945090145,1.7441810487846746e+18,5.539506673812866e-06,2.6627589022609754e-12,1.8298167832147299e-05,-2170770368.7634406,6.9093069360524345e-06,1.0658986866474152e-05
20,4515258842847.4746,2714477.0755475741,4515256128370.3994,1663399.1436220328,2.5702340242243256e+18,1.817941665649414e-06,8.739675649849232e-13,-6.3650279051563407e-05,-2137431350.7554195,1.9691432791968969e-06,3.3886171877384186e-06
30,5193057103516.2773,2140414.1303007645,5193054963102.1475,2426192.683930079,1.222867311058678e+18,3.4794211387634277e-06,1.673328142715036e-12,4.1906743138177597e-05,-2127229473.8588285,6.1500520691271357e-06,1.0687857866287231e-05
40,5978130292311.1719,1687755.1446136294,5978128604556.0273,3542060.1805836707,2.2497635784941256e+18,1.6838312149047852e-06,8.100187187665142e-13,-4.3599790179676716e-05,-2175703312.1822128,2.7064595059650583e-06,4.3392647057771683e-06
50,6886261180815.3047,1330825.3705882179,6886259849989.9346,5174428.8416831223,3.4103045057647452e+18,5.200505256652832e-06,2.5011104298755527e-12,5.479704646920682e-06,-2293232291.1350999,9.1071733646543069e-06,1.4778459444642067e-05
60,7935799799446.6006,1049379.8064568881,7935798750066.7939,7562371.3650836572,1.3359438471372145e+18,2.6911497116088867e-05,1.2931877790833823e-11,7.585678709890666e-06,-2474441083.2803664,2.544655386395635e-05,4.568789154291153e-05
70,9148026925238.6016,827454.90320249321,9148026097783.6992,11055619.937513275,2.7203142962063267e+17,6.020069122314453e-06,2.8848035071860068e-12,9.2821500666763877e-06,-2711492988.3458638,1.8177663011334659e-05,3.4227152355015278e-05
80,10547579832643.264,652463.11451865768,10547579180180.148,16165787.150166398,7.2988053102371712e+17,4.172325134277344e-06,2.0037305148434825e-12,9.5404687370912186e-06,-2998957146.2134781,5.0835111733610473e-06,8.5448846220970154e-06
