"{'distance': [0.118, 0.398, 0.403, 0.584, 0.809], 'solute_1': [10.99, -19.44, 19.34, -15.38, 11.14]}","{'solute_1i': '136.0 uM', 'solute_1e': '54.0 nM'}"
voltage,current,solute_1
-150,-0.000000000046149652116806724477106146611058693030346912024359780164849260727831460670718628,-0.000096025077230142996811717905715668755155301103233061812777121378203740998084139332
-140,-0.000000000045863616965407414968215257647038490687161465947394935538723970836527848316538657,-0.000095429914617992956221636625019412572830747470919293822796676809658523375628040619
-130,-0.000000000045564778662448045556800677062737703155319571136555067622052385036048847086670635,-0.000094808112073341750624344358133672248500802532697558397396615596653521541577804327
-120,-0.000000000045226077664168678014802385186717317342189972985653746581541979751294322899321606,-0.000094103365926276899312522664407682438849032274221782392525932396287892261778447919
-110,-0.000000000044763810692638348909672617661586578871664296739191928023221216897533892477180618,-0.000093141512052930396809334302871284233541784423829423046395716907506451681027794181
-100,-0.000000000043914251772774794696137534525546884282998466388720980349591534522901380214276438,-0.000091373807267529743023066335981217130751960878377849342529845579649901522620688288
-90,-0.000000000041840907746455828366184045396282249193064383162186084898642897122131261887654666,-0.000087059733138692942522554229133337141442877938500491023440258582547977318687179572
-80,-0.00000000003590952033999606615630397697330051817837730234777813490548835371506983447266568,-0.000074718103079475792745259967141591232747768373355705625394742751097540708803283862
-70,-0.000000000018095248693086044678864742831134197781449458579227538065703103545802238472874322,-0.000037651370564057521008658524286587042868158360971981894464369682642262609252337798
-60,0.000000000033873255418246959163557521147908115381138414598541209472991554461582849118714457,0.000070481180645540905139127374484447982614890251199501814795705301248090163753984745
-50,0.00000000016887663825286550474544824455380322140888289896497634417617025050323979126750173,0.00035138709582369018722264951075180446384473161266301473829614850702982588222698601
-40,0.00000000044695922836506168391886287309300776408993155643126144888988827177905347849802054,0.00093000255589900474800432298673949368617574607121697047268547798900494415257314163
-30,0.00000000086318440226628295249700860431865308035425217817935809832828429661250585744473549,0.0017960557683443257357063827331718353302619285529180486338373532654108251137914159
-20,0.0000000013396616672923170555304525834282288270203353475599119916783097583082768039726954,0.0027874774600339514137578324515665055239886713970503101247135353760412361993103835
-10,0.000000001836592791312296876782937123410865850840607747369218819992159551491960749040326,0.0038214581592016164553678244034079847379789207144643284293279141262627914770328698
0,0.0000000023766709484187200894296458662844334719556172653412223021604236463978070954104306,0.0049452162888446110666791343866105188358027894044629834826609793895989470342703905
10,0.0000000030022439542746769644377191012672464552695217385177116732413998993496989147916005,0.0062468663218366145460167640996724915696615152589527732340250965832091729430119424
20,0.0000000037558679344127132166851141441362846485791441343616032761450352718430240717504821,0.007814956168149632125767038302934720460725373379423591578486071769668810187928479
30,0.0000000046804206049808295596779343870336265174820518253683511235610702761055845657059563,0.009738702881774510067502063956746858633935140897056019363722436746372943232144346
40,0.000000005823286426213269018652849343686397425410441012597687262143009999621813508419401,0.012116700845221117337142923677913643631498829038829223688903532091339797497560077
50,0.0000000072403291949493120357092959675026020293712121214294392324373799538799193280688805,0.015065187671554956310565536121489994382605653514566342693694926856044600559623201
