voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50,-0.07524946464792151,-469722.001547575,-50,28585916119.716831,337.0361613432537,28585915782.680672,84815575.888913512,95402450053673712.0,7.152557373046875e-07,1.1458889392912397e-13,391424745.79354757,4.76837158203125e-07,6.8554519709067e-07,1.0666208254406229e-06,-50,-0.0752494646480361,-0.07524946464792151,-0.07524946464798124,-469722.00154829025,-469722.001547575,-469722.0015479478
-40,-0.06648122531981963,-414988.92209625244,-40,28662630234.084881,349.25077888000214,28662629884.834103,82068908.553337753,27120902624339892.0,3.5631819628179073e-06,5.708211681110242e-13,324562853.36498731,5.1856040954589844e-06,4.5422135069409274e-06,7.4905328801833093e-06,-40,-0.06648122532003686,-0.06648122531981963,-0.06648122531946604,-414988.92209760845,-414988.92209625244,-414988.92209404527
-30,-0.057025933782120036,-355967.1272292137,-30,28780036344.864475,361.90806963310354,28780035982.956406,79523057.814215645,1.1644399841667149e+17,4.552304744720459e-06,7.292846881945536e-13,282304870.42789876,1.0728836059570313e-06,5.834283262144734e-06,8.8623628471395932e-06,-30,-0.05702593378150176,-0.057025933782120036,-0.05702593378139075,-355967.1272253543,-355967.1272292137,-355967.1272246614
-20,-0.04741673369965224,-295984.6048667431,-20,28933251488.204453,375.02407664081801,28933251113.180374,77150383.909658909,29776321867086040.0,6.197253242135048e-06,9.927961230893345e-13,261088786.43718722,-7.4505805969238281e-06,8.1348738059570706e-06,1.243927727045957e-05,-20,-0.04741673369983128,-0.04741673369965224,-0.04741673370064504,-295984.6048678607,-295984.6048667431,-295984.60487294034
-10,-0.03822687493911667,-238619.69375228882,-10,29118066187.554943,388.61542436144003,29118065798.939518,74927716.097220749,85506277960841360.0,2.130866050720215e-06,3.4136582449662e-13,256942436.02393875,-2.0861625671386719e-06,2.7271942465540688e-06,4.177739356236998e-06,-10,-0.0382268749387753,-0.03822687493911667,-0.038226874939004556,-238619.69375015795,-238619.69375228882,-238619.693751589
0,-0.029938639222691774,-186882.89152741432,0,29330852842.181065,402.69933974469723,29330852439.481724,72835611.950037464,16213113978138152.0,4.207831807434559e-06,6.740961955298275e-13,265717346.89513823,5.7220458984375e-06,6.0973054495008656e-06,8.9849272626452148e-06,0,-0.029938639222672675,-0.029938639222691774,-0.029938639222017678,-186882.8915272951,-186882.89152741432,-186882.8915232065
10,-0.022852410804446267,-142649.25595784187,10,29568486593.460018,417.29367406680291,29568486176.166344,70857739.838937774,68970676984096240.0,9.377719834446907e-06,1.5023086941123864e-12,283887145.97135484,1.2516975402832031e-05,1.1724563299092089e-05,1.8515004740038421e-05,10,-0.022852410804859245,-0.022852410804446267,-0.022852410803356937,-142649.25596041977,-142649.25595784187,-142649.25595104205
20,-0.01706722085782828,-106536.95916247368,20,29828276969.656853,432.41692555683954,29828276537.239925,68980364.104031906,23029880874024588.0,1.0170435416512191e-05,1.6293008608947446e-12,309022426.14883536,1.3053417205810547e-05,1.2754887805650226e-05,2.0617891095753293e-05,20,-0.017067220858413137,-0.01706722085782828,-0.017067220856783836,-106536.95916612446,-106536.95916247368,-106536.95915595403
30,-0.012520833341860913,-78157.51149725914,30,30107908841.298939,448.08826284314983,30107908393.210674,67191915.829846233,4.2004737652519744e+17,3.314737114124e-06,5.310196726782124e-13,339731234.94407326,3.9935111999511719e-06,4.2945143212174883e-06,7.1693420977680944e-06,30,-0.012520833342110372,-0.012520833341860913,-0.012520833341579352,-78157.51149881631,-78157.51149725914,-78157.51149550157
40,-0.009054582890146065,-56520.49244785309,40,30405391419.177036,464.32754924945601,30405390954.849487,65482634.9811133,48052492596605544.0,3.031716914847493e-06,4.856809399100825e-13,375373253.97590798,3.6358833312988281e-06,3.8931700600592284e-06,6.2198942032409832e-06,40,-0.009054582890506526,-0.009054582890146065,-0.009054582890020845,-56520.492450103164,-56520.49244785309,-56520.49244707145
50,-0.006472822177555561,-40404.63281869888,50,30719014199.683376,481.15536797150003,30719013718.528008,63844272.02629263,12031549444457074.0,1.4987235772423446e-06,2.4009527005430797e-13,415791147.85235918,-1.5497207641601563e-06,1.8909860445933296e-06,2.8794170248147566e-06,50,-0.006472822177580626,-0.006472822177555561,-0.006472822177795656,-40404.632818855345,-40404.63281869888,-40404.63282019761
60,-0.004583304468958283,-28609.89056777954,60,31047308911.362682,498.59304816611808,31047308412.769634,62269839.151504852,42555046457772496.0,5.2710493037011474e-06,8.444217547420863e-13,461127619.35619217,-6.2584877014160156e-06,6.3117921972435082e-06,1.0092192042066017e-05,60,-0.004583304468452203,-0.004583304468958283,-0.004583304469296625,-28609.890564620495,-28609.89056777954,-28609.890569891544
70,-0.0032181731249676703,-20088.471441745758,70,31389016645.403072,516.66269198581574,31389016128.740379,60753402.814432003,77841620303332224.0,3.807246685028076e-06,6.099209678978035e-13,511717252.23582685,2.0861625671386719e-06,4.6995369004169148e-06,7.6338669714459684e-06,70,-0.0032181731255775912,-0.0032181731249676703,-0.003218173125285847,-20088.471445553005,-20088.471441745758,-20088.47144373188
80,-0.0022410504648515224,-13989.079056501389,80,31743059464.096386,535.38720259311037,31743058928.709183,59289910.760569364,48068590066541616.0,2.4893124646041542e-06,3.987877736366663e-13,568027728.58015251,-2.6226043701171875e-06,3.1627009198632166e-06,4.8171300477406476e-06,80,-0.002241050464889717,-0.0022410504648515224,-0.00224105046525031,-13989.079056739807,-13989.079056501389,-13989.079058990701
90,-0.0015462222011907577,-9651.823977470398,90,32108515877.442741,554.79031319014905,32108515322.652428,57875047.768611372,22542716205692828.0,7.655627996427938e-06,1.2264314997595394e-12,630630449.33088553,-6.3180923461914063e-06,9.5293257409376055e-06,1.5394716683658771e-05,90,-0.0015462222016073182,-0.0015462222011907577,-0.0015462222024171892,-9651.82398007065,-9651.823977470398,-9651.823985126026
100,-0.0010543037189634562,-6581.171778798103,100,32484599661.124958,574.89661710039627,32484599086.22834,56505115.34572494,1.8575128770885968e+17,9.249171853298321e-06,1.4817173096121072e-12,700188009.50900435,-1.2040138244628906e-05,1.1559193446385013e-05,1.8491572973289294e-05,100,-0.0010543037185027331,-0.0010543037189634562,-0.0010543037199844505,-6581.171775922179,-6581.171778798103,-6581.171785171351
