voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
10,-4.673652527797836,-14586930.486260414,10,19556424370.812939,257258.91505384317,19556167111.897884,76018.45155383581,23111491069029056.0,4.839152097702026e-06,1.5498713423767185e-12,268840515.85446185,1.1937765563380618e-06,6.5537452972438505e-06,1.0854913853108883e-05,10,-4.673652527796286,-4.673652527797836,-4.673652527797058,-14586930.486255575,-14586930.486260414,-14586930.486257985
20,-3.529295566269167,-11015279.545159698,20,22725962374.245522,364921.78002957109,22725597452.465492,62276.256496402995,55323112785261576.0,5.207955837249756e-06,1.6688872506165353e-12,258788208.32748902,5.7921822790253218e-07,6.0095732536336275e-06,9.7042066045105457e-06,20,-3.529295566269679,-3.529295566269167,-3.52929556626801,-11015279.545161296,-11015279.545159698,-11015279.545156088
30,-2.652261273714086,-8277969.019082665,30,26421520819.643635,517641.55777489481,26421003178.085861,51042.116736565193,70927162027193608.0,4.15463000535965e-06,1.3313794511304877e-12,249185474.37496313,5.2521907105546595e-07,5.7371737320170397e-06,9.3683775048702955e-06,30,-2.6522612737130826,-2.652261273714086,-2.652261273714414,-8277969.019079534,-8277969.019082665,-8277969.019083689
40,-1.982951992048769,-6188988.739228368,40,30729794164.769878,734274.56786467042,30729059890.202015,41850.549521461151,44700459492002576.0,4.254281520843506e-06,1.3631318296347672e-12,240035046.09040496,9.6943143169347643e-07,5.1058167264393113e-06,8.3752092905342579e-06,40,-1.982951992047406,-1.982951992048769,-1.9829519920483851,-6188988.7392241135,-6188988.739228368,-6188988.73922717
50,-1.472684238759787,-4596392.755180359,50,35751798538.536964,1041568.5002773892,35750756970.03669,34324.961372214682,6606429229234509.0,5.410052835941315e-06,1.7332801860447944e-12,231350766.69714224,7.6334910768124588e-06,5.3250892783371821e-06,1.0145129635930061e-05,50,-1.4726842387581494,-1.472684238759787,-1.4726842387598826,-4596392.755175248,-4596392.755180359,-4596392.755180658
60,-1.0819465872816978,-3376862.0077456236,60,41605235497.425308,1477464.9541859585,41603758032.471123,28159.879785675606,27125329196131284.0,4.928559064865112e-06,1.5789591856218976e-12,223160867.19747669,2.1642328097873255e-06,6.2242537713903822e-06,9.8771706689149141e-06,60,-1.0819465872828675,-1.0819465872816978,-1.0819465872832768,-3376862.0077492744,-3376862.0077456236,-3376862.007750552
70,-0.778362720727775,-2429346.8187508583,70,48427246066.993942,1893069.0142006744,48425352997.979744,25581.342097790221,30494175247552164.0,4.691071808338165e-06,1.503019930737537e-12,215513023.94625372,2.2415145788598873e-06,7.5595468756781753e-06,1.3481301721185446e-05,70,-0.7783627207283569,-0.778362720727775,-0.7783627207268539,-2429346.8187526744,-2429346.8187508583,-2429346.8187479833
80,-0.5344762409231094,-1668153.0615577698,80,56377619497.630219,2049097.2476156699,56375570400.382607,27513.393794868072,1.0526543262796518e+17,6.2123872339725494e-06,1.9904078385479806e-12,208481783.83591822,7.5616623018358334e-07,7.409395140434369e-06,1.2427277397364378e-05,80,-0.5344762409224095,-0.5344762409231094,-0.534476240921119,-1668153.0615555854,-1668153.0615577698,-1668153.0615515574
90,-0.3253170319724457,-1015346.541736722,90,65642531800.720268,2217985.450445401,65640313815.269821,29595.564654194812,89523186252743552.0,9.842682629823685e-06,3.153588501447757e-12,202179252.14793214,1.035523421028707e-06,1.3489161832244241e-05,2.0840612705796957e-05,90,-0.3253170319692921,-0.3253170319724457,-0.3253170319718213,-1015346.5417268793,-1015346.541736722,-1015346.5417347732
100,-0.12557071170316436,-391918.5758525729,100,76438901524.522614,2400793.5514587089,76436500730.971161,31839.014844936901,6950280939012502.0,1.2682750821113586e-05,4.063555048006151e-12,196770347.7005128,1.5535356351067181e-05,2.9481276702680555e-05,5.5557175073772669e-05,100,-0.1255707117061325,-0.12557071170316436,-0.12557071170206893,-391918.5758618368,-391918.5758525729,-391918.57584915403
