"{'distance': [0.201, 0.409, 0.741, 0.754, 0.796], 'solute_1': [7.47, -6.2, 11.05, -9.01, 8.01]}","{'solute_1i': '21.0 uM', 'solute_1e': '102.0 mM'}"
voltage,current,solute_1
-150,-0.16422077954096953,-1025098.4990073005
-140,-0.14823172935749132,-925291.693866987
-130,-0.13343910261531916,-832953.1998459373
-120,-0.11981492041988086,-747908.3671652988
-110,-0.10732024375252201,-669914.1307897754
-100,-0.09590724105324851,-598671.9166869445
-90,-0.08552124734490775,-533840.4952865653
-80,-0.07610272620985015,-475048.22852590604
-70,-0.06758906871940534,-421904.29912238044
-60,-0.05991618581016056,-374008.65050037805
-50,-0.05301987079227082,-330960.4918368965
-40,-0.046836925570751226,-292365.3281569989
-30,-0.04130605729638979,-257840.5574056791
-20,-0.0363685615617901,-227019.73509232275
-10,-0.031968814274386116,-199555.64465908936
0,-0.028054597513276866,-175122.33154355097
10,-0.02457728562229106,-153416.26480830874
20,-0.021491917107137357,-134156.785937187
30,-0.01875717612447536,-117085.99328636307
40,-0.016335304918563488,-101968.19549665098
50,-0.014191965820537568,-88589.05006577758
60,-0.012296068623970145,-76754.4857925727
70,-0.010619576449359392,-66289.49094481519
80,-0.009137300696379663,-57036.83331073448
90,-0.007826693380811926,-48855.76392516808
100,-0.006667643038585759,-41620.74306233308
"{'distance': [0.201, 0.409, 0.741, 0.754, 0.796], 'solute_1': [7.47, -6.2, 11.05, -9.01, 8.01]}","{'solute_1i': '21.0 uM', 'solute_1e': '102.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,1184759357.6126599,10952.356166359352,1184748405.2564936,108173.92528300904,2.1737986185214505e+18,4.6566128730773926e-09,7.494005416219807e-16,1.9006838820193925e-08,-5059807.9377135467,7.7007411889255777e-09,1.3290673450683244e-08
-140,1093253549.5495441,11009.456751278618,1093242540.0927927,99301.316517963132,5.0263533568238336e+17,2.2118911147117615e-08,3.552713678800501e-15,3.4968339493231532e-08,-4810120.6432345808,2.6440429188735827e-08,4.2893134377663955e-08
-130,1008816507.0004058,11066.855032579246,1008805440.1453732,91156.566525051036,3.1786845406270682e+17,1.3737007975578308e-08,2.192690473634684e-15,2.0382805566891982e-09,-4582364.1349278186,1.6209831330111745e-08,2.7435362426331267e-08
-120,930902153.23124576,11124.552562314262,930891028.6786834,83679.963577572271,1.7722465482999635e+17,4.773028194904327e-09,7.632783294297951e-16,1.1243357921089278e-08,-4373551.0671079364,6.2019024732774955e-09,1.101534508052282e-08
