"{'distance': [0.366, 0.628, 0.878, 0.91, 0.911], 'solute_1': [6.16, -6.31, 1.29, -4.08, 14.27]}","{'solute_1i': '104.0 uM', 'solute_1e': '73.0 mM'}"
voltage,current,solute_1
-150,-0.10872664687039020519111266785879474441655119709655882173648621669241599909159122,-678693.17646935212662967674862836850031382069614759082629943625617863496334163932
-140,-0.10803006754463998847238426322349931968322533299211968087787723936560337402632514,-674344.99091535576736667430909307579955743626802487118947254055932654150887756005
-130,-0.10708701196967174371541596545124869663045838139638018333948197728921557733048281,-668458.25199545411440394269230325639446324257666695139726838419940678481695239477
-120,-0.10580830117503753206833374858317619768133332771898390509286383846896783280777882,-660476.28698525304254559511364306111246757475516230121686701534594871103268228374
-110,-0.1040778624287430001738678915656487803049700329822198521816517943198574326753512,-649674.54699589891032386660355780254036019734054680976204415845475639861688367448
-100,-0.10174994780141540338455124617231941902740132293699562990687839846810309807274386,-635143.24470296759380097228647499213806005721998346207400473715836353742035548582
-90,-0.098651285138274403307624934743717013555806975550631033621108408852874548552145873,-615800.78113779281082013363684247438750232810540348789563648644100354942263535257
-80,-0.094593013209921430955423944283116921315095101583102780266159082756488201349795327,-590468.24725294279485694419376833157090921220408990303281675926808196194441175232
-70,-0.089398272916915944178449764823048481754329170767028416590104893682039847395482776,-558041.6536636451229498756580000681597339339011535267725560834548851379091712872
-60,-0.082949280728086847530603047875892077700214371274318550606197400919540565637291573,-517785.77233512391836951455863801831893628156319266765745921143859430822892741152
-50,-0.075249464647981306933057376578881501316067013584608378067487236730175734404792985,-469722.00154794825677969879745695793139441084456761201034214768946786633299598656
-40,-0.066481225319467039063038349607116984359409115020818051927212002126780390843135704,-414988.92209405145082989146817046386064425324303930156231241117616662582572307393
-30,-0.057025933781391020244104996621098008673071815986540304537208385929147785184011305,-355967.12722466306570631747827573409978293308751999472777370963013481751601588748
-20,-0.04741673370064338042030116997020162023967642521143150490196888186257038496243851,-295984.60487292998012925476392549213421401939709951986989318374636294400508852823
-10,-0.038226874939004089789023459853748216346896027138940407187403364003592540302142265,-238619.69375158609064282442141521187356046063704595497814986272043854663285770136
0,-0.029938639222019048305889381365198622724254198360627651022366342677618502903635438,-186882.89152321504256532647892293896944513461143574746868063733031303263198316484
10,-0.022852410803359975068377836247718702015848701719097561180656362045825524436211424,-142649.25595106102511436450762879759561924182348390247003366882951530541546861667
20,-0.01706722085678699502729811911270433788587177430290606326646127581784379209527944,-106536.95915597375711524596299829376994477014774607292709900258223245310765859726
30,-0.012520833341580319418069233568846075816049440226132612759094674754383535661134218,-78157.511495507615798143390142667128481783510933364793633726480103109227441569982
40,-0.0090545828900216616664868720082713410261802238136212304457673503949623032484328578,-56520.492447076542597369311538619736997810440664910761269947326086621166579499644
50,-0.0064728221777953169073586389208997301439206646960468419858595334121738554756368526,-40404.6328201954883551193477018403011601740524747550076030954420235520956622143
60,-0.0045833044692954167356464556717920669900302438878893668847551942459570423152676684,-28609.890569884001044214462636054075930463198696822099922437939018209163344689492
70,-0.0032181731252862174010100099208704933707331592507162446096209098184049043384302602,-20088.471443734192032796613508617752856061133318388629045625121050758284265356745
80,-0.0022410504652498788127771153618275981821989658402062983627079528035660157806322233,-13989.079058988008277391331289442692713172893388939753872960759628705865906933147
90,-0.0015462222024163124952276056154974623575910923147476497764759822541712159140257433,-9651.8239851205528924625014236498691992812493886597714904911999865403218792617826
100,-0.0010543037199830123557164233503182632481409395131503247048466614122777274553958643,-6581.1717851623745880157722978439393756590914881847254200843303434545510252425408
"{'distance': [0.366, 0.628, 0.878, 0.91, 0.911], 'solute_1': [6.16, -6.31, 1.29, -4.08, 14.27]}","{'solute_1i': '104.0 uM', 'solute_1e': '73.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,31885611133.554389597315842689200410953726194826564704509894614701307910926147249,236.0846030501402425933817839965817606348379638781218356117062162244160094213792,31885610897.46978654717560009581862695714443419172674063177277908960169470173124,135060104.39309522950278370784453859267557517949512901768311264541899146567314107,63771222267.108779194631685378400821907452389653129409019789229402615821852294499,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,4.5331451155891249864698868420461081733152833944184582465334381007965020451169966e-80,4263661176.5847317782588933798746325028985670266212982987851876662873740143001412,1.1306621844978699929527293740070950607591095171048732577263408267521655388091674e-73,2.7968228166234289230934573718454455831986190500677811583964361753478754227446587e-73,4.7793512996096841760513099468924655585708096113799184243478527232063403072440545e-73
-140,31035993430.282430178166728452668418572992328800053942934124417972556683342696515,244.6406082012779103151708218069948625668585820061839972560042818589649929051879,31035993185.641821976888818137497596765997466233195360927940420716552401483731522,126863621.12355274077557258722831509199818340800227176535845313296710204106163513,62071986860.56486035633345690533683714598465760010788586824883594511336668539303,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-74,3.5579918058403015882176437423036314151021119665493712981512450209739986982022939e-81,3378248186.0028660034947754026407182273567961740861120019953073746680906966982017,-9.9593279067917921674413775718969546154913850950233508034733495827337358182764898e-75,4.5553585774792541984225784960534284111792155405059342137285529500705505653732373e-74,7.2892517692290919577326022535604650187599861840725369255206033277281817526545686e-74
-130,30347078657.677888577464493221314445090262936701139629376235880505342448746996654,253.50669382018224045838526736750857763977013586298736412673637918412639409840595,30347078404.17119475728225276292917772275435906136949351324851637860606956287026,119709180.85186233888880404064412484631967771779152022172417228765232384336497323,60694157315.355777154928986442628890180525873402279258752471761010684897493993309,2.1003161925989689328939607730330571756954112886309036328377646839450015265291023e-73,3.3603255944047292777611079788423185587075501906299617815872869642532209927466109e-80,2665462733.4106498512245774568977309777124135384224521247533763535039864052503515,1.3007252703289740499984156622452924682897468655828363502319005721580073479449275e-73,3.2166065158433106138653771520002629947536591683984858205640702901001709657475599e-73,5.5283317711880674657389808286044858467345418337651986821926275411985502971099751e-73
