voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.036287986367913576,-0.006050525886075142,-0.006321156789558907,-113258.37520810164,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,4.0690011881908512e+17,3.8858059674823364e-07,2.0420928060257276e-07,4.5086198952049017e-07,8.066464163292153e-14,124983.62914433582,-2.5780173018574715e-07,5.4006947225575507e-07,9.0175006373202642e-07,-150,-0.036287986367880845,-0.036287986367913576,-0.03628798636783291,-0.006050336367218918,-0.006050525886075142,-0.006050724947815667,-0.006321360998839509,-0.006321156789558907,-0.0063211568631231785,-113258.3752080869,-113258.37520810164,-113258.37520765078
-140,-0.03138462137826995,-0.00524108231586869,-0.005833970580525112,-97954.49052567131,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,2.3904357701292457e+18,1.026582447339816e-06,5.278763951883578e-07,3.289460437372327e-07,1.4296896999610453e-13,146665.92181694138,-7.1103568188846111e-07,6.4348296849937252e-07,1.0657163413810497e-06,-140,-0.03138462137818535,-0.03138462137826995,-0.03138462137832832,-0.005240566779869992,-0.00524108231586869,-0.005241593362317332,-0.005834498456920301,-0.005833970580525112,-0.0058339707320556045,-97954.49052565887,-97954.49052567131,-97954.49052534236
-130,-0.02710548601856599,-0.004534509829942777,-0.005217421443026243,-84598.88804581188,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,2.7519773700053629e+17,2.4002397807851295e-07,1.2584425945760813e-07,1.0346411727368832e-08,5.758241106157413e-14,169494.00609378814,-1.5646219253540039e-07,1.6610133845477212e-07,2.5447935377694067e-07,-130,-0.02710548601858617,-0.02710548601856599,-0.027105486018528586,-0.0045346253277487834,-0.004534509829942777,-0.004534385303770705,-0.005217295722808046,-0.005217421443026243,-0.005217421567067504,-84598.88804582223,-84598.88804581188,-84598.8880458196
-120,-0.0233664034052283,-0.003918061827445817,-0.004369641749988527,-72928.84347648153,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,2.1497409168529219e+17,1.0383417963985564e-06,5.319571201312101e-07,2.989982021972537e-07,1.573775831875679e-13,191119.80651512882,-7.2372495196759701e-07,6.3836405312236317e-07,1.0722367083010879e-06,-120,-0.023366403405313516,-0.0233664034052283,-0.02336640340515614,-0.003918575940051593,-0.003918061827445817,-0.003917537598255194,-0.004369109813488592,-0.004369641749988527,-0.004369641770608723,-72928.84347649936,-72928.84347648153,-72928.84347678053
-110,-0.020092803717905876,-0.003380475364101775,-0.0030812775437797403,-62711.61716972818,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,2.8285803966270715e+18,1.9130386476502725e-07,8.623925396022969e-08,5.52681740373373e-08,6.062858548538941e-14,207625.17894390892,1.4284159988164902e-07,1.8102991989331927e-07,3.114018057344704e-07,-110,-0.020092803717892092,-0.020092803717905876,-0.02009280371795272,-0.003380375091030603,-0.003380475364101775,-0.003380566394895368,-0.003081363601324938,-0.0030812775437797403,-0.0030812773620709777,-62711.61716974239,-62711.61716972818,-62711.61716978345
-100,-0.017216625979823846,-0.002910488810468422,-0.0008956585644732395,-53734.78434400352,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,4.0295866923033715e+17,1.5398917746793292e-07,6.327858415033916e-08,1.715161488391459e-07,8.760700498378071e-14,214163.96367850568,1.1993688531219959e-07,3.0533092838583529e-07,5.1429256181719908e-07,-100,-0.017216625979813705,-0.017216625979823846,-0.017216625979901312,-0.002910405123038581,-0.002910488810468422,-0.002910559112216049,-0.0008957217865273037,-0.0008956585644732395,-0.0008956585079431534,-53734.78434402395,-53734.78434400352,-53734.78434417504
-90,-0.014673088524141075,-0.0024993386933803603,0.0032339863776118657,-45796.15556004237,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,1.5062039133906959e+18,4.932950717021628e-07,2.4731945159808116e-07,1.8327409634366632e-07,6.251943407420413e-14,207226.58452190753,3.3437390811741352e-07,3.0680370845396723e-07,5.0963224264864515e-07,-90,-0.014673088524101463,-0.014673088524141075,-0.014673088524163982,-0.00249910014505581,-0.0024993386933803603,-0.002499593440127512,0.0032337390581602676,0.0032339863776118657,0.0032339863246306777,-45796.15556003363,-45796.15556004237,-45796.15555985909
-80,-0.012397511449625405,-0.002138263683117158,0.011779444682293257,-38693.85971158789,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,5.7565235603991917e+17,4.590410519205064e-07,2.2824758955791724e-07,1.2806412996724248e-07,1.51087475863676e-13,187476.07217412759,3.248569555580616e-07,4.3656275937328053e-07,7.1951180321097684e-07,-80,-0.012397511449588826,-0.012397511449625405,-0.012397511449739914,-0.0021380338346922707,-0.002138263683117158,-0.0021384928757441912,0.011779216434703699,0.011779444682293257,0.011779444408603013,-38693.859711589444,-38693.85971158789,-38693.85971171595
-70,-0.010323463325315778,-0.001818545454220383,0.030588112308365303,-32220.560683113,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,1.4761300866261507e+18,1.4424691425602397e-06,7.046473767015338e-07,2.3949542082846165e-07,2.7266210123055856e-13,160198.909453256,-1.0139774531126022e-06,9.0109319448716848e-07,1.4505515369257406e-06,-70,-0.010323463325428628,-0.010323463325315778,-0.010323463325155966,-0.0018192696624492583,-0.001818545454220383,-0.001817827193306698,0.030588816955742004,0.030588112308365303,0.03058811300434172,-32220.560683093336,-32220.560683113,-32220.56068333283
-60,-0.008386130975956212,-0.001533075400311834,0.07301012728228196,-26173.976844510747,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,1.340751379297983e+18,3.2431700332734813e-07,1.5179555390432142e-07,3.335408109705895e-07,5.153343030084301e-14,132378.85366777424,2.2116000764071941e-07,4.0922812555352729e-07,6.9908477657893796e-07,-60,-0.008386130975931955,-0.008386130975956212,-0.008386130975904679,-0.0015329154423577107,-0.001533075400311834,-0.001533239759361038,0.07300997584663804,0.07301012728228196,0.07301012764219195,-26173.97684451928,-26173.976844510747,-26173.976844185738
-50,-0.006538645447069388,-0.001271243774116873,0.1669588185006051,-20407.83953360052,-50,87258249243.431808,0.0098459988652873452,87258249243.421967,8862305433638.2227,1.4408272855790054e+18,3.8835181918536743e-07,2.0686887580723123e-07,1.8751597963273525e-07,3.621148519927786e-14,109376.59017271439,-2.6059569790959358e-07,2.6681917144475896e-07,4.2078214184033066e-07,-50,-0.006538645447102578,-0.006538645447069388,-0.006538645447066367,-0.001271435151321259,-0.001271243774116873,-0.0012710467995020736,0.16695902531385798,0.1669588185006051,0.16695881844498217,-20407.83953361614,-20407.83953360052,-20407.839533788036
-40,-0.004786386115686758,-0.001023681204755933,0.36201331785988133,-14938.963115583087,-40,81743778637.750198,0.0097870997461502827,81743778637.740417,8352196335784.1318,1.5470619273771558e+18,2.3980971624649496e-07,9.915435583707222e-08,2.7734131435863674e-08,5.206425568449191e-14,93889.136753864062,-1.6459671314805746e-07,1.5492063732531843e-07,2.4383110919708189e-07,-40,-0.004786386115702606,-0.004786386115686758,-0.004786386115650541,-0.001023803043289801,-0.001023681204755933,-0.0010235632335735545,0.36201341691536726,0.36201331785988133,0.3620133177610114,-14938.96311556024,-14938.963115583087,-14938.963115587974
-30,-0.0032163059213908118,-0.0007768394325513572,0.7257176757037148,-10038.770076351764,-30,76584531533.197113,0.0097285529636610898,76584531533.187378,7872140062274.6367,4.6740989266603232e+17,2.3635204808407362e-07,1.26703085356894e-07,8.939605322666466e-08,2.910432311820088e-14,86769.294806293852,-1.5778641682118177e-07,1.5433082807698287e-07,2.5863553252189753e-07,-30,-0.003216305921411103,-0.0032163059213908118,-0.0032163059213819985,-0.0007769587343888062,-0.0007768394325513572,-0.0007767223823407221,0.7257178021095712,0.7257176757037148,0.7257176754064858,-10038.770076358996,-10038.770076351764,-10038.77007644116
