voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50,-20.923554873894993,-354834.7874023318,-43415332.309513696,-8125.049942937585,-50,4384739468541.124,73035.870702651664,4384739395505.2534,60035424.050636128,6.4485516144879196e+18,0.00041879015043377876,0.0002650916576385498,7.511152944061905e-08,7.074874019963318e-11,243450590.66449282,-0.0002689361572265625,0.00026987743198195701,0.00043623948619142539,-50,-20.92355487396574,-20.923554873894993,-20.923554873905413,-354834.78719321406,-354834.7874023318,-354834.7876120042,-43415332.309730604,-43415332.309513696,-43415332.30946551,-8125.049942941661,-8125.049942937585,-8125.04994286655
-40,-13.490300597447094,-205725.4833752541,-28000043.09555532,-3262.5673313985535,-40,4216919423678.5981,70877.334512214657,4216919352801.2637,59496021.580098711,3.0105105128859448e+18,0.0033100980799645185,0.002030514180660248,4.720823199022561e-08,5.273346204148766e-10,229026625.60650551,0.0020043551921844482,0.0021215523180642213,0.0033113200805132692,-40,-13.49030059691976,-13.490300597447094,-13.490300597365355,-205725.48503091116,-205725.4833752541,-205725.48172081308,-28000043.0939062,-28000043.09555532,-28000043.095936716,-3262.5673313784337,-3262.5673313985535,-3262.567331425642
-30,-7.841267699011141,-100780.80952373659,-16282162.527709216,528.6984495106735,-30,4067878763579.2344,68782.592707202246,4067878694796.6416,59141108.287319407,5.8849514121210378e+18,0.0025929550174623728,0.0012892670929431915,7.119160727597773e-08,4.09333900108777e-10,219909115.09370002,0.0014959275722503662,0.0018306615550227287,0.00261846613662442,-30,-7.841267698601807,-7.841267699011141,-7.841267698806048,-100780.81082236604,-100780.80952373659,-100780.80822941102,-16282162.526424628,-16282162.527709216,-16282162.527713895,528.6984495166726,528.6984495106735,528.698449445481
-20,-3.5559008231458544,-26129.592676338274,-7391393.875232279,3676.8666512405325,-20,3939899105206.334,66749.759878590616,3939899038456.5742,59024918.027757898,2.0635265381051712e+18,0.00016834388952702284,0.00039447471499443054,4.238972906023264e-08,1.6262236002262398e-10,-216648355.44299832,9.0777873992919922e-05,0.0003785480994699436,0.00062569909405851831,-20,-3.555900823187357,-3.5559008231458544,-3.5559008230247344,-26129.592594303307,-26129.592676338274,-26129.592762647197,-7391393.875345979,-7391393.875232279,-7391393.874951504,3676.866651236647,3676.8666512405325,3676.866651279037
-10,-0.0012755298141776525,36195.62897827523,-16996.681793175638,6832.307698519784,-10,3836071050301.5054,64777.006339613676,3836070985524.499,59219640.842766114,1.9787419676454725e+18,0.0006988644599914551,0.0006159450858831406,6.466871127486229e-08,1.8407538861231476e-10,-220126099.48548642,-0.00038200616836547852,0.00044751876896335273,0.00070317523375251767,-10,-0.0012755297021828805,-0.0012755298141776525,-0.001275529886258269,36195.6286270665,36195.62897827523,36195.62932593096,-16996.681443074718,-16996.681793175638,-16996.682059019804,6832.307698519203,6832.307698519784,6832.307698455115
0,3.5916978582908814,102421.74627454067,7435681.7669060305,10619.45919264443,0,3760521600680.0928,62862.556478921484,3760521537817.5361,59821327.851040192,5.1810791249870694e+18,0.002937524113804102,0.0019429037347435951,1.0568328434601426e-08,4.6316772639443116e-10,-231667446.31147748,0.0015783011913299561,0.0018039689924986807,0.002937911038586094,0,3.591697857850477,3.5916978582908814,3.5916978583136445,102421.74774347851,102421.74627454067,102421.7448059544,7435681.765500023,7435681.7669060305,7435681.767442927,10619.459192639159,10619.45919264443,10619.459192633862
10,8.11336961156407,183531.7745394772,16815425.926621456,15443.95098984546,10,3718707778048.7378,61004.687162410184,3718707717044.0508,60957738.675859123,2.6181947888504881e+19,0.0013487021788023412,0.0006492994725704193,1.04919308796525e-07,2.9674751544916944e-10,-253207305.95204994,-0.00072029232978820801,0.001328763656214114,0.0021840509180606205,10,8.113369611768174,8.11336961156407,8.113369611860817,183531.77386566723,183531.7745394772,183531.7752143694,16815425.927270755,16815425.926621456,16815425.92701392,15443.950989823294,15443.95098984546,15443.950989928213
20,14.644238354822503,285033.4598500347,30368572.97241195,21472.0600083992,20,3717795611734.6968,59201.726182284983,3717795552532.9707,62798770.432595566,5.3965855390952212e+18,0.0002633149269968271,0.00032310932874679565,7.527705747634172e-08,1.1308998182357755e-10,-287538938.9027198,0.00013935565948486328,0.00023695594422857674,0.00038633757276329561,20,14.644238354762095,14.644238354822503,14.644238354875185,285033.45998029434,285033.4598500347,285033.4597169794,30368572.972242825,30368572.97241195,30368572.972565934,21472.06000842662,21472.0600083992,21472.060008351342
30,24.59211423605807,409091.10065613873,51023657.97474574,28762.9155440232,30,3767149209826.6001,57452.05075196024,3767149152374.5493,65570317.517309278,2.2937609995311706e+19,0.0012975526042282581,0.0006129071116447449,3.091918188147247e-08,1.9060308886764687e-10,-338667934.04942387,0.00069653987884521484,0.00099083607678593431,0.0015491474050861598,30,24.592114235867466,24.59211423605807,24.592114235910994,409091.1013050922,409091.10065613873,409091.1000075396,51023657.974132836,51023657.97474574,51023657.974655926,28762.915544029976,28762.9155440232,28762.915543999057
40,39.86933926234878,557509.5625996841,82759109.13314669,37443.07759058474,40,3878961789680.1709,55754.086045442018,3878961733926.085,69572690.807246804,1.9599188931952471e+18,0.0007640544790774584,0.00040608644485473633,3.304739948362112e-08,2.404973997727211e-10,-412304904.20510375,-0.00041610002517700195,0.00091749376604670732,0.0015212031955229577,40,39.869339262482484,39.86933926234878,39.86933926258928,557509.5622160702,557509.5625996841,557509.5629801247,82759109.13355277,82759109.13314669,82759109.1335203,37443.07759055775,37443.07759058474,37443.07759055169
50,63.08087271104075,734389.1778040142,130993674.25502995,47838.43813457342,50,4069069778458.9307,54106.303779878421,4069069724352.627,75205096.156876564,1.5598032735508345e+19,0.00011591031216084957,0.000189170241355896,6.568006938323379e-08,7.2354566782451e-11,-516547837.68256027,6.3121318817138672e-05,0.00015385377451655055,0.00026366922190845798,50,63.08087271101149,63.08087271104075,63.08087271108384,734389.1778619641,734389.1778040142,734389.1777460538,130993674.25494973,130993674.25502995,130993674.2551389,47838.43813455114,47838.43813457342,47838.43813461682
60,97.69917030146361,947987.5879059108,202949651.33125862,60550.93681757092,60,4358003004248.6533,52507.220840001777,4358002951741.4326,82998165.481433734,4.3821008819235569e+18,0.0004130834713578224,0.0004843771457672119,2.5553163141012192e-08,1.9960566532972734e-10,-662815964.28699756,0.00022649765014648438,0.00054474245320661229,0.00097049370106105926,60,97.69917030159704,97.69917030146361,97.69917030166322,947987.5881118691,947987.5879059108,947987.5876987856,202949651.33146763,202949651.33125862,202949651.331743,60550.93681759647,60550.93681757092,60550.93681758887
70,148.2184839299181,1211923.663318247,307973527.37476647,76507.50775120094,70,4772339358265.0391,50955.397943224867,4772339307309.6416,93657189.44207713,2.4307304605500385e+18,0.00018971459940075874,0.0011896491050720215,5.8455043472349644e-08,5.413767212303355e-10,-867085761.17324531,-0.00010168552398681641,0.0013130825899420192,0.002196533972380621,70,148.21848393015355,148.2184839299181,148.21848392961218,1211923.6632252014,1211923.663318247,1211923.663414916,307973527.3752874,307973527.37476647,307973527.37409776,76507.50775119985,76507.50775120094,76507.50775114249
80,220.31237414390466,1546079.6308057331,457863403.2390963,97007.43033662514,80,5346452118222.8076,49449.438344189417,5346452068773.3691,108119572.17813466,1.047126160494438e+19,0.0010544387623667717,0.0010319352149963379,3.444438334554434e-08,3.270201887062285e-10,-1151421595.3337781,-0.00057482719421386719,0.00081103303323518886,0.0015419573636563655,80,220.31237414418936,220.31237414390466,220.31237414386234,1546079.6302758763,1546079.6308057331,1546079.631330315,457863403.23986524,457863403.2390963,457863403.2388333,97007.43033661602,97007.43033662514,97007.43033665046
90,321.05329934611296,1977455.265699884,667325597.0893631,123776.85018701352,90,6124763671036.9541,47987.986577600954,6124763623048.9678,127631186.63319314,1.8798114051594286e+18,0.0004693975206464529,0.0006656646728515625,5.439505912363529e-08,2.446540747769177e-10,-1545641052.0932395,-0.00025868415832519531,0.00051905159246515948,0.00086519750345814828,90,321.0532993462681,321.05329934611296,321.05329934602344,1977455.265467089,1977455.265699884,1977455.2659364864,667325597.0897635,667325597.0893631,667325597.0890979,123776.85018700917,123776.85018701352,123776.85018706357
100,459.2723727899779,2540982.67394517,954722913.1286143,159021.9475648786,100,7164652322072.2227,46569.727238218613,7164652275502.4951,153847848.09717268,1.6125054517472479e+18,0.001245260238647461,0.0011324882507324219,4.2637111619114876e-08,3.6686742532765493e-10,-2088636035.1716533,-0.0006885528564453125,0.00099157504983987872,0.0019473281646469331,100,459.2723727899558,459.2723727899779,459.27237278961104,2540982.6733214315,2540982.67394517,2540982.6745666917,954722913.1287762,954722913.1286143,954722913.1276437,159021.94756488389,159021.9475648786,159021.94756484125
