"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM'}"
voltage,current,solute_3,solute_2,solute_1
-60,147885940.37330967425474767855560941496471832105170127147186331729956944085742427,50986.179618385186952521824527921212518039588717708981739610584860585135065006106,147834954.19369128906779515673108149375220028146298356249012370671470885572235926,2900.5103241738718091184726254845970786680751168835713516520189983276633010108701,295771880.74661934850949535711121882992943664210340254294372663459913888171484853,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.9649931715335846568480364519196928459184266387911427484593708508116655818352449e-82,280825.55063430301662087266871452297077754985657125019734100636986747445039190345,-1.5080546164989953586603662712457240846357435651544356417561971408954135028739613e-76,1.2605937067162381391654575789386580567289309583529247155488897384537540697363956e-76,7.2751251614126400334946083631681389661889762487607102187928594938429335392303595e-76
-50,140324778.46231746299706612216194575840617774470381319541003198415057814953869945,56348.442938020628877087339346046324194339598710356508460551753707813087875053107,140268430.0193794423681890348225997120819834051051028389015714323968703364508244,2490.3044546708232382241991119656817660731942774024195277659622700681850427758491,280649556.9246349259941322443238915168123554894076263908200639683011562990773989,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,284358.35984343283988260020733089972188513482709701429566932924500403630171825076,3.5919640676673733900657696867154550271327077655261889581761240152459531581376156e-76,1.7328057905660776356339024012257430467441995550415789398632135932362698418355517e-76,8.6031155482769494831239800827117491078356225955454427215756370680628121490023917e-76
-40,134148307.09297145658682250388222217458676686903651538783425930942244985299012295,62274.660413945500006351999126613858535828169054738586977325707815071888812592171,134086032.43255751108681615188309556072823104086746064924728198371463478110131035,2154.139520011431550043747695031510464215946442841809584973008692392530702531321,268296614.18594291317364500776444434917353373807303077566851861884489970598024589,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-82,291289.47247079485915355661157273533237683116866006908395841515707805144181055574,-9.2375453940273510390003462273187600056705821975158691613974331482422186012853845e-76,2.8156692340950704745668549642078454591678761353529158812071108068777619999269381e-76,8.9788086008887263545107401675701145203021854574212899645403269029259523476884648e-76
-30,129295672.16125860177321167810048925721954996850538076953737708896688560448210684,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,129226848.01763607243252911392599714672115790734967708518025977937209908395289123,1878.6382998150974376579705164948840781290879121355381661788186291668965463554954,258591344.32251720354642335620097851443909993701076153907475417793377120896421368,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-83,302020.83298970752509246134222160035576437401004239709733686893018102104911664089,-8.886601077047583564871413735837070822790457581522892967829574114338753412312556e-76,2.7381377262362062432334168602998051651386544714167289370777396405766514882342473e-76,9.9208727177970809260649679626048435965634935933477184666263610779522609202469077e-76
-20,125719222.04114488296106665968617839712125778863404532276898566591673668332583151,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,125643159.59915180198283675678553689849226134936685864028520600789226399248930496,1652.8423062275720106434753558096635743892702175816401186573236966783108625756584,251438444.08228976592213331937235679424251557726809064553797133183347336665166302,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,2.9649931715335846568480364519196928459184266387911427484593708508116655818352449e-82,316989.81702193281382515450132497780631447388860615435762809716172426405795523799,-3.8341413607885799372008024399524976737696896525556844570938084881837225560912254e-76,1.3426953081187206419288290900585233523714715163975169596666055339655858787657499e-76,5.9461595219202377832319517779986507751797619897492663419685531630270175292305791e-76
-10,123384032.95950085980593117192577723438821099824148104561179937021962105386929088,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,123299970.9606522908080316994090255009574637824634818146729340218815659309857424,1467.7741982053909697944700839892697426372873861847559302017660081183658094213123,246768065.91900171961186234385155446877642199648296209122359874043924210773858177,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.8826322501020961941578132171441458224206925654913887832243883271780082045620436e-82,336474.75201641062835942499359410936029183718490968017444168843884655052441895256,-1.7590475553633005977143589451680496771504732123998270495048438415087083566371873e-75,4.8714675893098385077539435688706051106502344816625206710895204267175652542312607e-76,1.1410872336659490571330924495347851636703465399028124362505782345121541393623343e-75
0,122267561.6440497584759732189073601746024726529126169712264139320587518989884877,92902.876442747033460433438324456334359266544372428101542758556697575101967615413,122174658.76760701144251278546903571826811338636824454312487117350205432388652008,1316.0793973844201495508737019358527330990605378556703432227062790656756084557124,244535123.28809951695194643781472034920494530582523394245282786411750379797697539,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,3.0990718136585311083059231966157885170638841927595477919620902753125471940389211e-82,360178.12997003096630671572376923128606294680492187141313854269944480052367165718,-4.8388573562991552883993923671137831887857164033871604873382972940897758801438179e-76,2.0987507905986899776538663203635372947604471460806943348876069767747546434730611e-76,9.1146147936213968438012044664714561549070367522928634092245889749243340124683292e-76
10,123384032.95950085980593117192577723438821099824148104561179937021962105386929088,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,123299970.9606522908080316994090255009574637824634818146729340218815659309857424,1467.7741982053909697944700839892697426372873861847559302017660081183658094213123,246768065.91900171961186234385155446877642199648296209122359874043924210773858177,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.2354138214723269403533485216332053524660110994963094785247378545048606590980187e-82,386756.5698406791086537598992718182038654706768125930294105116193350205777332749,1.265456900979049902577725304323430372482136698026314855972852523047500725491751e-75,3.655445200472981741936471492591779728403957006455832781966420764282732927679824e-76,1.0479257213173045581522440780120715819869128335951204398236050352097949423162747e-75
20,125719222.04114488296106665968617839712125778863404532276898566591673668332583151,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,125643159.59915180198283675678553689849226134936685864028520600789226399248930496,1652.8423062275720106434753558096635743892702175816401186573236966783108625756584,251438444.08228976592213331937235679424251557726809064553797133183347336665166302,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,2.3061058000816769553262505737153166579365540523931110265795106617424065636496349e-82,413827.2720108022339983211043431281741690415693520140673544443796669680486048689,-1.1453839931071246779350319600053917077932144798070547004355738536690858191551485e-75,3.2476096215452804955212932771852382271522948317159361654090440729814769181855981e-76,9.8410994592236270812087840834238697755028275687051357717122890338771347467631332e-76
30,129295672.16125860177321167810048925721954996850538076953737708896688560448210684,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,129226848.01763607243252911392599714672115790734967708518025977937209908395289123,1878.6382998150974376579705164948840781290879121355381661788186291668965463554954,258591344.32251720354642335620097851443909993701076153907475417793377120896421368,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,438900.74331971393999570872066171055620603001458265892063321606861314145742787935,-5.967541879894349137381703353608166474008862190196036933573279447055262740398966e-76,2.5157318431563914551676009798981854956399634127885097469013138035087906315004201e-76,1.0175266788005328900884236741087976091538996960625681852996947171827775950360128e-75
