voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-50,-0.01051595840385144,-20080.97182345341,-22780.857421142966,-50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,1.1005955319037448e+17,7.697963155806065e-09,1.9994331523776054e-08,7.067263441129512e-15,-3.7631220316249603e-08,-35792.98328997293,1.394722648877727e-08,1.3524399137881601e-07,-50,-0.010515958403850644,-0.01051595840385144,-0.010515958403850867,-0.01051595840384617,-0.010515958403844373,-0.010515958403848561,-20080.97182345591,-20080.97182345341,-20080.97182345025,-20080.971823448213,-20080.97182344928,-20080.971823451575,-22780.857421139226,-22780.857421142966,-22780.857421142748,-22780.857421129112,-22780.85742112297,-22780.85742113489
-40,-0.008131844533431834,-16457.63758318665,-17151.4700143737,-40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,5.295922805312873e+17,6.635673344135284e-08,3.760942490771413e-08,6.472253288869467e-15,-4.3697602255704706e-08,-31455.44371481533,1.947911962603367e-08,1.4310521897435008e-07,-40,-0.00813184453343168,-0.008131844533431834,-0.008131844533433942,-0.008131844533430509,-0.008131844533427605,-0.008131844533434077,-16457.637583167438,-16457.63758318665,-16457.637583190168,-16457.637583207543,-16457.637583217223,-16457.637583233794,-17151.470014382823,-17151.4700143737,-17151.470014378516,-17151.470014359118,-17151.470014345214,-17151.470014357124
-30,-0.005887839451939287,-12620.355772358205,-12066.349741596452,-30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,2.9869553226240269e+17,2.232263796031475e-08,9.10949893295765e-09,5.0844745080880216e-15,-9.4493658006620736e-09,-27865.977832042059,1.369697257370117e-08,1.3045729942151585e-07,-30,-0.00588783945193935,-0.005887839451939287,-0.005887839451940765,-0.005887839451937016,-0.005887839451936715,-0.0058878394519356805,-12620.355772365612,-12620.355772358205,-12620.355772356808,-12620.355772349649,-12620.355772344443,-12620.35577234329,-12066.349741592945,-12066.349741596452,-12066.349741601764,-12066.349741593644,-12066.349741595306,-12066.349741592654
-20,-0.003797456366570851,-8568.42183719232,-7568.02493212435,-20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,1.3322449642951749e+17,3.94647940993309e-08,1.7258571460843086e-08,4.3407118177629656e-15,-4.5592854415295592e-08,-25127.738496359794,1.6073319436156737e-08,1.5402913707560431e-07,-20,-0.0037974563665731298,-0.003797456366570851,-0.0037974563665736007,-0.0037974563665723023,-0.003797456366575192,-0.0037974563665739225,-8568.421837185626,-8568.42183719232,-8568.421837202623,-8568.42183721457,-8568.421837222733,-8568.42183722509,-7568.024932134809,-7568.02493212435,-7568.024932127781,-7568.024932117754,-7568.024932122691,-7568.024932117551
-10,-0.001852129058793382,-4336.530285566281,-3612.412319118801,-10,232781806.64256138,86864.949512323205,232694941.69304904,2679.8128353201596,3.8220003301424134e+17,3.2741809263825417e-08,2.3414031602442265e-08,3.69040735470616e-15,-1.0401921284993872e-08,-23388.342458632418,1.2915812955587399e-08,1.3348349866583453e-07,-10,-0.001852129058793559,-0.001852129058793382,-0.001852129058792452,-0.0018521290587928832,-0.0018521290587901439,-0.0018521290587938343,-4336.53028555715,-4336.530285566281,-4336.530285567904,-4336.530285576358,-4336.530285582659,-4336.530285589892,-3612.4123191239196,-3612.412319118801,-3612.4123191150866,-3612.4123191122053,-3612.4123191005056,-3612.4123191084072
0,-1.892948057502508e-15,-2.1675077732652426e-08,4.929461283609271e-09,0,232257191.10686761,92902.876442747045,232164288.23042485,2500.0,68328656695038632.0,4.816683940589428e-08,2.427259460091591e-08,7.250667113112286e-15,4.8708898248150945e-08,-22788.753916058184,1.6640340003655607e-08,1.7515032454777646e-07,0,3.7299469113349897e-16,-1.892948057502508e-15,-3.566761733964086e-16,-2.2123247617855665e-15,5.038342351326719e-15,3.1238305382430577e-16,-2.5553163141012192e-08,-2.1675077732652426e-08,-5.806214176118374e-09,5.107722245156765e-09,2.0339939510449767e-08,2.2613676264882088e-08,1.3940734788775444e-08,4.929461283609271e-09,1.7898855730891228e-09,-9.458744898438454e-09,5.555193638429046e-09,-1.0331859812140465e-08
10,0.0018521290587915876,4336.530285594603,3612.4123190990395,10,232781806.64256144,86864.949512323205,232694941.6930491,2679.8128353201605,2.3252455996127856e+17,4.691901267506182e-08,5.154288373887539e-08,9.331944939017234e-15,-1.0048321945345162e-07,-23388.342458624902,1.9819707100239812e-08,1.8971390737445443e-07,10,0.0018521290587865374,0.0018521290587915876,0.0018521290587895285,0.0018521290587958693,0.001852129058790993,0.001852129058795825,4336.530285600224,4336.530285594603,4336.53028557908,4336.530285566245,4336.530285553305,4336.530285555113,3612.4123190804676,3612.4123190990395,3612.4123191003746,3612.4123191265826,3612.4123191178332,3612.4123191320105
20,0.0037974563665726987,8568.421837200352,7568.0249321261,20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,56797291883422344.0,1.2099917512387037e-08,9.815266821533442e-09,3.811621157590039e-15,-7.206932259782158e-09,-25127.738496359496,1.7034305402208622e-08,1.6010142745012321e-07,20,0.003797456366574944,0.0037974563665726987,0.003797456366575438,0.0037974563665765103,0.0037974563665759777,0.003797456366573899,8568.421837207308,8568.421837200352,8568.421837205009,8568.421837204514,8568.4218372112,8568.421837199101,7568.024932129629,7568.0249321261,7568.024932132321,7568.024932135915,7568.024932130909,7568.024932130473
30,0.005887839451937025,12620.355772365114,12066.349741585935,30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,2.1746323419109187e+17,2.246815711259842e-08,1.4493707567453384e-08,3.603888021341817e-15,-2.8161061361533292e-08,-27865.977832039407,1.2641854337421818e-08,1.3005344265924756e-07,30,0.005887839451935327,0.005887839451937025,0.005887839451936255,0.005887839451937393,0.005887839451933789,0.005887839451936371,12620.355772370065,12620.355772365114,12620.355772357987,12620.35577235432,12620.355772350358,12620.355772347597,12066.34974157816,12066.349741585935,12066.349741587095,12066.34974159248,12066.349741583213,12066.349741592654
40,0.008131844533436357,16457.637583182463,17151.470014389906,40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,1.5696349519268705e+18,2.505839802324772e-08,1.0055373422801495e-08,6.0958182945825e-15,1.4310999830343511e-08,-31455.443714878918,1.4602496090527005e-08,1.5588972510820545e-07,40,0.008131844533435852,0.008131844533436357,0.00813184453343867,0.008131844533440295,0.008131844533441948,0.008131844533439288,16457.637583179574,16457.637583182463,16457.637583190517,16457.63758319171,16457.63758320112,16457.637583204632,17151.47001438978,17151.470014389906,17151.470014393097,17151.47001439758,17151.47001439803,17151.470014387975
50,0.010515958403850507,20080.971823420143,22780.85742115668,50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,51155804290279832.0,5.97501639276743e-08,1.4901161193847656e-08,7.750744490664374e-15,6.6027974266795975e-08,-35792.983289981064,1.4616002278086658e-08,1.4614360444508909e-07,50,0.01051595840385278,0.010515958403850507,0.010515958403856412,0.010515958403857042,0.010515958403856728,0.010515958403858258,20080.971823412838,20080.971823420143,20080.97182343601,20080.971823454835,20080.971823467284,20080.971823472588,22780.857421167428,22780.85742115668,22780.85742116718,22780.85742115973,22780.857421152527,22780.85742115465
60,0.013021455781926383,23514.90172287825,28883.796897382294,60,251393399.13371146,62075.700007051411,251331323.43370441,4049.7875836302246,78796914990113216.0,7.428752724081278e-09,1.7113052308559418e-08,5.839079220137933e-15,-2.1047942673368775e-08,-40826.65299394344,1.0063602133479491e-08,1.0851318280632842e-07,60,0.013021455781926724,0.013021455781926383,0.013021455781929647,0.013021455781932222,0.013021455781930681,0.013021455781930818,23514.901722882758,23514.90172287825,23514.901722878014,23514.901722882845,23514.901722885443,23514.90172288264,28883.796897381108,28883.796897382294,28883.796897392604,28883.79689739822,28883.796897392116,28883.796897393942
70,0.01563145875655045,26796.331383451758,35389.15876692098,70,258431024.63459456,58041.287347843077,258372983.34724671,4452.537778595608,1.1842576269235506e+17,1.437729224562645e-08,8.41100700199604e-09,3.694961003830599e-15,5.5879354476928711e-09,-46536.377238660592,1.7233833800877487e-08,1.5503647226265682e-07,70,0.015631458756549844,0.01563145875655045,0.015631458756550094,0.015631458756550202,0.015631458756549543,0.015631458756546757,26796.331383452227,26796.331383451758,26796.331383447163,26796.331383442528,26796.331383441426,26796.33138343785,35389.158766918845,35389.15876692098,35389.15876692216,35389.15876692481,35389.158766923305,35389.1587669164
80,0.01833290375064104,29965.498734425597,42236.05135264064,80,266636122.53779566,54269.078505956684,266581853.4592897,4913.2236971469702,9.0271570019747494e+17,3.15631041303277e-08,1.2281816452741623e-08,3.597816489175898e-15,3.4808914818061684e-08,-52909.940298240923,1.3320928657189669e-08,1.4494505228088844e-07,80,0.018332903750638552,0.01833290375064104,0.01833290375064029,0.01833290375064215,0.01833290375064088,0.018332903750641606,29965.498734422115,29965.498734425597,29965.498734430817,29965.49873444417,29965.498734448418,29965.49873445368,42236.05135263462,42236.05135264064,42236.051352635695,42236.05135263482,42236.051352628725,42236.05135262836
90,0.021116896722524554,33060.047832603064,49377.89344488621,90,276045759.69847977,50742.032378355507,275995017.6661014,5440.1794086637665,1.004449310983181e+17,2.255546860396862e-08,1.0069925338029861e-08,2.5153490401663703e-15,-5.1305954667852215e-08,-59923.74458555349,1.2273447395263035e-08,1.2520228045423062e-07,90,0.021116896722524606,0.021116896722524554,0.021116896722525872,0.021116896722524814,0.021116896722524998,0.021116896722523357,33060.04783260575,33060.047832603064,33060.04783259352,33060.04783259299,33060.04783258831,33060.047832583194,49377.893444885034,49377.89344488621,49377.893444895104,49377.89344489206,49377.89344489497,49377.89344489243
100,0.02397860860882841,36112.03518686822,56783.584806155195,100,286702444.52567577,47444.215394286985,286655000.31028152,6042.9378406413516,1.3661509134990432e+17,6.79574441164732e-09,1.4959368854761124e-08,5.88418203051333e-15,-2.3026806948791868e-08,-67529.86513933145,1.8020261417508504e-08,1.4185120472817378e-07,100,0.02397860860882931,0.02397860860882841,0.02397860860882952,0.023978608608834294,0.02397860860883158,0.023978608608829947,36112.035186873254,36112.03518686822,36112.035186870264,36112.035186875015,36112.035186874346,36112.03518687101,56783.58480615547,56783.584806155195,56783.584806157625,56783.584806170154,56783.58480616202,56783.584806158586
