voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-50,-6.2373418845696484e-09,-0.04431083798408508,0.0026880598017502556,-50,16470397228.959599,2.6007486064526516e-09,16470397228.959599,6.3329447483295048e+18,78652781692712448.0,3.427267074584961e-06,9.224466082568758e-06,2.785372845260598e-12,0.00066854855476102112,1.0894448411043188e-05,9.7533890004113145e-06,8.5751098306175631e-05,-50,-6.238681792850122e-09,-6.2373418845696484e-09,-6.236490983130463e-09,-6.237529400571295e-09,-6.2358964200048615e-09,-6.236135728836967e-09,-0.0443074107170105,-0.04431083798408508,-0.04430899303406477,-0.04430984426289797,-0.04430847280245116,-0.04430823787104664,0.002682164182318849,0.0026880598017502556,0.002689793074053411,0.0026869776852214734,0.002691388648401418,0.002690524276231912
-40,-5.6556219923008996e-09,-0.041074126958847046,0.002885309446024961,-40,16318864544.088787,2.4336673790927552e-09,16318864544.088787,6.7054621696791951e+18,19874500109823800.0,7.41152798133804e-06,9.360070478941617e-06,2.4963189356812716e-12,0.00072682978396805726,1.068502829207734e-05,8.0771507502197947e-06,8.3870133793443089e-05,-40,-5.656517650678762e-09,-5.6556219923008996e-09,-5.654242440555272e-09,-5.654021331743081e-09,-5.655276233409659e-09,-5.655242213021338e-09,-0.04106736183166504,-0.041074126958847046,-0.041068682447075844,-0.04107049945741892,-0.04107477335964638,-0.041070623905203815,0.0028791314443008015,0.002885309446024961,0.0028868929071981216,0.002888491514779743,0.0028867117940252515,0.002884743247791241
-30,-3.549163603216028e-09,-0.02836047112941742,0.003102945916718609,-30,16185532463.380093,2.2773200367638171e-09,16185532463.380093,7.1072717940779745e+18,88977640036874544.0,5.7482119143227595e-06,1.1712911821347254e-05,3.025313846769248e-12,0.00078975434928470905,1.0492231887744597e-05,6.4714911156421347e-06,7.1105703799273354e-05,-30,-3.5501045529565443e-09,-3.549163603216028e-09,-3.551433869895653e-09,-3.5512837532842236e-09,-3.5516399958987e-09,-3.552188917062797e-09,-0.02836167812347412,-0.02836047112941742,-0.028360597789287567,-0.028361654840409756,-0.028361334306393794,-0.0283559299115598,0.003100612616804024,0.003102945916718609,0.0030959235204376257,0.0030969205747484983,0.0030956484394056988,0.003091233004897262
-20,-3.4252492843079877e-09,-0.02799011766910553,0.0033045179971370724,-20,16070247016.197132,2.1310169969814478e-09,16070247016.197132,7.541116302197676e+18,65598590832252280.0,2.060507094521144e-05,1.0818282104174334e-05,1.1775673045338713e-12,0.00085377566343942674,1.0316006930390443e-05,7.741769836240529e-06,8.8631148004093694e-05,-20,-3.424249395113495e-09,-3.4252492843079877e-09,-3.424794319241888e-09,-3.4250181838918562e-09,-3.424071717003454e-09,-3.4241778417542527e-09,-0.027983427047729492,-0.02799011766910553,-0.02799421362578869,-0.027995020151138306,-0.028003954510127348,-0.028004032118674704,0.003304293439240854,0.0033045179971370724,0.0033079859663216592,0.0033076905253448807,0.0033151117213450283,0.0033148192998047263
-10,-2.127493246394418e-09,-0.02037106454372406,0.003545416022191562,-10,15972874356.519356,1.9941129784626773e-09,15972874356.519356,8.0100147429125775e+18,1.0943991088855997e+17,1.3460689491328476e-05,1.1366085424131811e-05,2.3726431442264567e-12,0.00092312788456566262,1.0378406779011455e-05,8.1346355516806807e-06,8.5154763893387881e-05,-10,-2.1270703166361012e-09,-2.127493246394418e-09,-2.1265208749519645e-09,-2.1252404771766523e-09,-2.1251206032501915e-09,-2.1274258231480368e-09,-0.020371437072753906,-0.02037106454372406,-0.02036618161946535,-0.020366230979561806,-0.020366318916795953,-0.020357976383262578,0.0035469222921943647,0.003545416022191562,0.003546009427235908,0.003550030355022313,0.003550448461986641,0.0035390823765625093
0,-1.5393884250583329e-09,-0.017214417457580566,0.003802625629357284,0,15895166611.918266,1.8660041550611373e-09,15895166611.918266,8.518291113557291e+18,41489699495227672.0,4.270114004611969e-06,5.213989236318734e-06,2.232100553368681e-12,0.0010012814365878025,1.0479782703444508e-05,6.7885739123231455e-06,6.9027721350631803e-05,0,-1.540025643656625e-09,-1.5393884250583329e-09,-1.5383710841413252e-09,-1.5390011059493097e-09,-1.540603184694694e-09,-1.5389950700858919e-09,-0.017217576503753662,-0.017214417457580566,-0.01721330638974905,-0.017217112705111504,-0.017216811623220037,-0.017216935228132734,0.0038022163303517847,0.003802625629357284,0.003805245316780501,0.003805182114262026,0.0038000313275441825,0.003805112214297666
10,-9.004182164404319e-10,-0.013757184147834778,0.004068298015114543,10,15836104268.421926,1.7461254925434503e-09,15836104268.421926,9.0692818677967176e+18,18869259187387388.0,1.0875124359583863e-05,4.3470095881723014e-06,1.8986454238031185e-12,0.0010857561827912875,1.059895901048211e-05,7.2354567014763222e-06,7.4254724820316937e-05,10,-9.002432020360604e-10,-9.004182164404319e-10,-9.017068581947177e-10,-9.018328850589986e-10,-9.016537705239988e-10,-9.021418474598635e-10,-0.013752520084381104,-0.013757184147834778,-0.013756534084677696,-0.013757875189185143,-0.013761027799355736,-0.013763395208740687,0.004066512220604845,0.004068298015114543,0.004063951005526371,0.004064228215507058,0.004066363554721567,0.004066023923159783
20,-3.3484823561905973e-10,-0.010787338018417358,0.004348574640859554,20,15794505312.872612,1.6339482564604537e-09,15794505312.872612,9.6664660281761403e+18,23027367465595704.0,1.991852980297304e-06,2.7602921831059238e-06,8.550591932683801e-13,0.0011780952238895819,1.0735932545542413e-05,5.9220534847657998e-06,6.5417604291920283e-05,20,-3.342550722584297e-10,-3.3484823561905973e-10,-3.3499992656951975e-10,-3.34798612088662e-10,-3.3430629648247867e-10,-3.3414486737625137e-10,-0.010789155960083008,-0.010787338018417358,-0.01078838761895895,-0.01078813336789608,-0.010787530622696306,-0.01078716410710271,0.00435133493304266,0.004348574640859554,0.004348625998713183,0.0043491271955314915,0.004350362388493975,0.004350682966858935
30,1.241691775909451e-10,-0.008533388376235962,0.00465423843777761,30,15770324341.936939,1.5289776801215346e-09,15770324341.936939,1.0314293365409622e+19,15778932015727530.0,7.247405673305868e-06,2.053773850606115e-06,1.4362450875674795e-12,0.0012782764735805403,1.0890696646373166e-05,5.3947086092186027e-06,5.835151817329475e-05,30,1.2458367259968185e-10,1.241691775909451e-10,1.245376810805978e-10,1.2426591508804937e-10,1.2381569517302245e-10,1.2314742751211437e-10,-0.008528411388397217,-0.008533388376235962,-0.008529716171324253,-0.008532334119081497,-0.008533704570637148,-0.008535658794070523,0.004653043623660786,0.00465423843777761,0.0046535524710572505,0.004654013236469742,0.004653293281489056,0.004652184663927004
40,5.589151241313101e-10,-0.006474047899246216,0.00498145317600048,40,15838870160.623413,1.4307507823864864e-09,15838870160.623413,1.1070320810312081e+19,20377038804262032.0,9.44826751947403e-06,9.716048020517142e-06,2.1201555953716797e-12,0.001388302458941171,1.1063243123396587e-05,8.2876261043381888e-06,8.4246498941869353e-05,40,5.58547587839771e-10,5.589151241313101e-10,5.56948178510617e-10,5.580348403458451e-10,5.567949685359384e-10,5.573079195684082e-10,-0.006483256816864014,-0.006474047899246216,-0.00647380854934454,-0.006478533148765564,-0.006477842800596251,-0.0064795922203620395,0.004984910517794588,0.00498145317600048,0.004975194469774071,0.004980948348246219,0.004976733411958358,0.004979209092604266
50,8.861612924468657e-10,-0.005109414458274841,0.005320504022042745,50,16380097906.386589,1.3388343256500828e-09,16380097906.386589,1.2234596613313665e+19,13786223482634290.0,1.2157484889030457e-05,3.9572886288809575e-06,1.5379348728543578e-12,0.0015061514228870358,1.1253564746790767e-05,6.7356398584625866e-06,7.1943607280577698e-05,50,8.865963282966565e-10,8.861612924468657e-10,8.850583934238021e-10,8.858897840343131e-10,8.857864719716284e-10,8.855923043338414e-10,-0.005106866359710693,-0.005109414458274841,-0.005116893909871578,-0.005119023844599724,-0.005115092851234139,-0.0051165746617834245,0.005320587762554025,0.005320504022042745,0.005320801491214822,0.0053244613106716255,0.005322173366851864,0.005322308255778858
60,1.220510695102438e-09,-0.003755524754524231,0.0056870966316392635,60,16939819867.320179,1.2528229050128966e-09,16939819867.320179,1.3521320371410194e+19,3.9335860944442733e+17,3.6172568798065186e-06,6.520398025940642e-06,2.0385677724189103e-12,0.0016326581768963185,1.1461658140840357e-05,5.0703380768736942e-06,5.6787684743394869e-05,60,1.2207968702214125e-09,1.220510695102438e-09,1.2200368534846262e-09,1.2207517379250837e-09,1.2220754212570451e-09,1.2207761809218762e-09,-0.003756284713745117,-0.003755524754524231,-0.0037536751478910446,-0.0037526674568653107,-0.0037539908017929953,-0.0037533833120443672,0.005688369792020538,0.0056870966316392635,0.005684692921900036,0.005686420301232542,0.005691213319925977,0.0056868545178257925
70,1.5146961733943109e-09,-0.00271761417388916,0.006086323233618459,70,17518668006.580898,1.1723371602104962e-09,17518668006.580898,1.4943370048455494e+19,84797364094013360.0,1.0848045349121094e-05,2.482196084047268e-06,1.2642961875228812e-12,0.0017670530512952593,1.1687526963010322e-05,9.9587148195567824e-06,7.6028471734288782e-05,70,1.5156694627789175e-09,1.5146961733943109e-09,1.5144051665913946e-09,1.5146494291249185e-09,1.5153723272221833e-09,1.514562415101327e-09,-0.002706766128540039,-0.00271761417388916,-0.00271446630358696,-0.0027168113738298416,-0.0027116102006793535,-0.0027150463822952268,0.006083936943105593,0.006086323233618459,0.006083841037534412,0.006085775940113793,0.006085431589797178,0.006084621864996949
80,1.7639025851391697e-09,-0.002006024122238159,0.00650832599725881,80,18117295882.047283,1.0970221024145971e-09,18117295882.047283,1.6514977995584834e+19,87270731882675744.0,7.367175046582575e-06,6.440625865569358e-06,1.2009236515103556e-12,0.0019068929227242693,1.1931185234634209e-05,5.1206304002960125e-06,5.5468921259903506e-05,80,1.7642774870692242e-09,1.7639025851391697e-09,1.7635867337602392e-09,1.7640722050095675e-09,1.764398360632421e-09,1.7631974369809105e-09,-0.0020064115524291992,-0.002006024122238159,-0.0020061079412698746,-0.002003377303481102,-0.0019990443773826166,-0.0020002721863929024,0.006509689818253377,0.00650832599725881,0.006507382103469642,0.0065075319882248435,0.006506383489042185,0.006503249192387808
90,2.002775303521487e-09,-0.001413397490978241,0.006957557994931965,90,18736379384.229778,1.0265455485263802e-09,18736379384.229778,1.825187339336876e+19,44073739386746656.0,8.987262845039368e-06,5.704904068429967e-06,6.519485310688806e-13,0.0020497285274745994,1.2192660691996304e-05,5.3261928981476126e-06,5.6537664330761311e-05,90,2.0032935426472986e-09,2.002775303521487e-09,2.003258753143184e-09,2.0029889014859096e-09,2.0028994000639117e-09,2.003427252052556e-09,-0.0014186501502990723,-0.001413397490978241,-0.001409662887454033,-0.0014110468327999115,-0.0014097006579136913,-0.001409922866942311,0.006961801800016262,0.006957557994931965,0.006957199587120226,0.006957049326156229,0.006956096895947832,0.006957855478579009
100,2.2189808352657907e-09,-0.0010118857026100159,0.007431600888963531,100,19376617499.395901,9.6059665605631198e-10,19376617499.395901,2.0171439674738995e+19,51648601354771784.0,1.3477146588361261e-05,8.29361726759504e-06,6.493587048457149e-13,0.0021933339640189506,1.2471998038704879e-05,7.0977270491417069e-06,6.931974720343616e-05,100,2.2188385133880784e-09,2.2189808352657907e-09,2.2193968132172368e-09,2.2189362175895253e-09,2.218747454512391e-09,2.21933674947716e-09,-0.0010107755661010742,-0.0010118857026100159,-0.0010129641741514206,-0.0010185819119215012,-0.001023030733333978,-0.0010242527126894355,0.00743060162009198,0.007431600888963531,0.007433438432947235,0.007434809737451154,0.007436444999976574,0.007438895237359575
