voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-0.015426220063995546,-12361.65753505778,-17892.54836105323,-12361.65753505822,-17892.5483610534,-50,142952307.95982918,56348.442938020635,142895959.51689115,2536.9344831243479,81732710556430032.0,5.369656719267368e-09,5.289621185511351e-09,4.285539034754038e-09,3.2159732654690742e-09,1.1553258350005535e-15,1.743366977769616e-08,-88229.256888746269,9.6609696375179611e-09,6.1627446257261909e-08,-50,-0.015426220063994505,-0.015426220063995546,-0.015426220063995265,-0.01542622006399566,-12361.657535060163,-12361.65753505778,-12361.657535055221,-12361.657535054794,-17892.548361051056,-17892.54836105323,-17892.548361056346,-17892.548361056106,-12361.657535057879,-12361.65753505822,-12361.657535054277,-12361.657535053935,-17892.548361051304,-17892.5483610534,-17892.54836105265,-17892.54836105452
-40,-0.011988973223330741,-9969.612471020364,-13724.577696029517,-9969.612471020766,-13724.577696029639,-40,136647690.46474817,62274.660413945508,136585415.80433422,2194.2743574423075,5.9720080312622464e+17,6.542904884554446e-09,7.012204150669277e-09,5.238689482212067e-09,6.319169187918305e-09,2.2690183065776637e-15,1.3312356444566359e-08,-77559.828363600885,1.0980257116591776e-08,7.1182057581609115e-08,-40,-0.01198897322332887,-0.011988973223330741,-0.011988973223328547,-0.011988973223330816,-9969.612471022163,-9969.612471020364,-9969.612471023265,-9969.612471026907,-13724.577696022505,-13724.577696029517,-13724.577696026809,-13724.57769602834,-9969.612471021886,-9969.612471020766,-9969.612471022218,-9969.612471026005,-13724.577696029344,-13724.577696029639,-13724.57769602332,-13724.577696025153
-30,-0.008748111347433949,-7541.970587239444,-9880.873862801156,-7541.970587239086,-9880.873862799624,-30,131673159.16760041,68824.143622529344,131604335.02397788,1913.1826745243752,1.7214605280421782e+17,1.1452357284724712e-08,7.194103091023862e-09,6.184563972055912e-09,1.1235897545702755e-08,4.133846043252731e-15,1.1210983213820469e-09,-69163.430647925939,8.2750462285317087e-09,6.4043931047308433e-08,-30,-0.008748111347434903,-0.008748111347433949,-0.008748111347437429,-0.008748111347433295,-7541.970587235919,-7541.970587239444,-7541.970587241476,-7541.970587247371,-9880.87386280243,-9880.873862801156,-9880.873862804254,-9880.87386279706,-7541.9705872388,-7541.970587239086,-7541.97058723983,-7541.970587244985,-9880.87386280323,-9880.873862799624,-9880.873862805996,-9880.87386279476
-20,-0.005696853310873238,-5067.307914288895,-6356.566565441095,-5067.307914288913,-6356.566565442408,-20,127980757.63794535,76062.441993080982,127904695.19595227,1682.5749250804638,81850546318240208.0,3.4051481634378433e-09,4.8476067604497075e-09,3.5943230614066124e-09,6.4828782342374325e-09,3.6186331708876196e-15,-3.079663866030176e-08,-63115.799969745502,8.7304914605740993e-09,6.6216372829330794e-08,-20,-0.005696853310872147,-0.005696853310873238,-0.005696853310869619,-0.005696853310871394,-5067.30791429081,-5067.307914288895,-5067.307914288151,-5067.307914287405,-6356.566565438232,-6356.566565441095,-6356.5665654366585,-6356.566565441506,-5067.30791429129,-5067.307914288913,-5067.307914288898,-5067.307914287696,-6356.566565439716,-6356.566565442408,-6356.566565435925,-6356.566565437592
-10,-0.002802852656055586,-2547.5625514480253,-3100.2085121283017,-2547.5625514480944,-3100.208512127716,-10,125535272.16373324,84061.998848568997,125451210.16488467,1493.3653004120808,2.5595682831514926e+18,1.813532435335219e-09,1.6061676433309913e-09,1.0222720447927713e-09,3.432433004491031e-09,1.5317608292875207e-15,-3.9117801972545151e-08,-59467.687638361022,6.0939084403867911e-09,4.2301053326809779e-08,-10,-0.0028028526560555326,-0.002802852656055586,-0.0028028526560570644,-0.002802852656056239,-2547.562551449839,-2547.5625514480253,-2547.5625514486183,-2547.562551448951,-3100.208512127225,-3100.2085121283017,-3100.208512128831,-3100.2085121276177,-2547.5625514484127,-2547.5625514480944,-2547.5625514491167,-2547.5625514483254,-3100.2085121275595,-3100.208512127716,-3100.208512130992,-3100.2085121298587
0,-3.3656942832749337e-16,2.9340299079194665e-09,-1.367880031466484e-09,2.6921043172478676e-09,-2.495653461664915e-09,0,124313883.6742551,92902.876442747045,124220980.79781236,1338.1058631792268,1.6194114623598254e+18,1.0884832590818405e-08,7.392372936010361e-09,1.3504177331924438e-08,4.285539034754038e-09,1.147250077337958e-15,-4.4237822294235229e-09,-58248.442374085062,1.1786172437738912e-08,7.3708122272364562e-08,0,-5.128677003085588e-17,-3.3656942832749337e-16,5.62406057724729e-17,-1.091009471565485e-15,4.6566128730773926e-09,2.9340299079194665e-09,-2.382876118645072e-09,-6.2282197177410126e-09,-6.05359673500061e-09,-1.367880031466484e-09,9.949872037395835e-10,1.3387762010097504e-09,6.664777174592018e-09,2.6921043172478676e-09,-2.799424692057073e-09,-6.83940015733242e-09,2.3283064365386963e-10,-2.495653461664915e-09,1.7716956790536642e-09,1.7898855730891228e-09
10,0.0028028526560556458,2547.562551450679,3100.2085121290984,2547.562551450237,3100.2085121247073,10,125535272.16373324,84061.998848568997,125451210.16488467,1493.3653004120808,1.16068526656964e+17,3.6543497117236257e-09,5.366018740460277e-10,3.6725396057590842e-09,8.789356797933578e-09,2.3505503099485736e-15,7.4505805969238281e-09,-59467.687638352931,7.557695862914768e-09,5.9938756180599739e-08,10,0.0028028526560541526,0.0028028526560556458,0.002802852656056503,0.002802852656055679,2547.562551448267,2547.562551450679,2547.562551447025,2547.5625514472194,3100.2085121290293,3100.2085121290984,3100.208512129566,3100.208512129102,2547.5625514499843,2547.562551450237,2547.5625514472486,2547.5625514465646,3100.2085121214477,3100.2085121247073,3100.208512130237,3100.2085121283744
20,0.005696853310871342,5067.307914287265,6356.566565441497,5067.307914286597,6356.566565438059,20,127980757.63794535,76062.441993080982,127904695.19595227,1682.5749250804638,9.1025770349998272e+17,5.296897143125534e-09,5.486072041094303e-09,7.0140231400728226e-09,4.392859409563243e-09,2.0539125955565396e-15,2.6509704496753183e-10,-63115.799969739608,7.5981784503428923e-09,5.9576564126473386e-08,20,0.005696853310872101,0.005696853310871342,0.0056968533108730625,0.005696853310873396,5067.307914286066,5067.307914287265,5067.307914289815,5067.307914291363,6356.566565444824,6356.566565441497,6356.566565440144,6356.566565439338,5067.30791428384,5067.307914286597,5067.3079142902825,5067.307914290854,6356.566565439076,6356.566565438059,6356.566565441664,6356.566565442452
30,0.00874811134743344,7541.97058724009,9880.8738628008,7541.970587239382,9880.87386279792,30,131673159.16760041,68824.143622529344,131604335.02397788,1913.1826745243752,1.6949470765819382e+17,3.259629011154175e-09,4.394678398966789e-09,2.3237589630298316e-09,5.4697011364623904e-09,1.889113865338743e-15,-1.5366822481155396e-08,-69163.430647922156,8.4828296913259186e-09,5.9685234532480536e-08,30,0.008748111347434582,0.00874811134743344,0.00874811134743533,0.008748111347434986,7541.970587241114,7541.97058724009,7541.970587239777,7541.9705872378545,9880.873862798995,9880.8738628008,9880.873862801322,9880.87386280339,7541.97058723816,7541.970587239382,7541.970587239916,7541.970587237593,9880.87386280339,9880.87386279792,9880.87386280318,9880.873862802167
40,0.011988973223334988,9969.612471022887,13724.577696038687,9969.612471025963,13724.577696029859,40,136647690.46474817,62274.660413945508,136585415.80433422,2194.2743574423075,1.4675972458287024e+17,2.6157067622989416e-09,1.3042154023423791e-08,6.666596163995564e-09,8.149072527885437e-09,6.170411404049503e-15,6.1842439242768801e-09,-77559.828363613036,1.5833079950929584e-08,9.8274220761140896e-08,40,0.011988973223331815,0.011988973223334988,0.011988973223328817,0.011988973223331097,9969.612471021377,9969.612471022887,9969.612471021363,9969.612471020271,13724.577696036344,13724.577696038687,13724.577696025644,13724.577696029795,9969.61247102586,9969.612471025963,9969.612471020984,9969.612471019296,13724.577696023101,13724.577696029859,13724.577696026894,13724.57769603125
50,0.015426220063992354,12361.657535056027,17892.548361053898,12361.657535056815,17892.548361044348,50,142952307.95982918,56348.442938020635,142895959.51689115,2536.9344831243479,3.029767307849495e+17,3.92901711165905e-09,4.642060957849026e-09,2.561137080192566e-09,9.149516699835658e-09,2.8189256484623115e-15,-9.6965753773233458e-09,-88229.256888743854,8.7993121471809992e-09,5.4897270729270531e-08,50,0.015426220063994137,0.015426220063992354,0.01542622006399511,0.015426220063992292,12361.657535058155,12361.657535056027,12361.657535057187,12361.657535054226,17892.548361054854,17892.548361053898,17892.54836105279,17892.548361050212,12361.657535057384,12361.657535056815,12361.657535056776,12361.657535054823,17892.548361047608,17892.548361044348,17892.548361053498,17892.548361049732
60,0.01905567488570093,14737.286675579213,22368.67702066458,14737.286675579868,22368.67702067515,60,150648186.18891913,50986.179618385198,150597200.00930074,2954.6866879705699,2.1627683254206912e+17,7.006747182458639e-09,1.535227056592703e-08,7.283233571797609e-09,4.813045961782336e-09,2.491062911502695e-15,-2.3315951144969046e-08,-101064.28940221996,1.0507437755608479e-08,6.5620533007404447e-08,60,0.019055674885701753,0.01905567488570093,0.019055674885703422,0.019055674885703283,14737.286675581418,14737.286675579213,14737.286675577285,14737.28667557441,22368.67702066136,22368.67702066458,22368.677020675743,22368.67702067671,14737.286675581941,14737.286675579868,14737.286675577338,14737.286675574658,22368.67702067879,22368.67702067515,22368.67702067398,22368.677020675357
70,0.02287434949112578,17117.67264308651,27137.71407035504,17117.6726430873,27137.7140703464,70,159810325.23755807,46134.203121417318,159764191.03443664,3464.0313352105522,1.5705841566301776e+17,3.899913281202316e-09,1.0684743756428361e-08,2.4119799491018057e-09,1.1146767064929008e-08,4.399258735077183e-15,-3.1996876147742504e-09,-115913.74368829068,1.2118302750402567e-08,7.8120407920323487e-08,70,0.022874349491121382,0.02287434949112578,0.022874349491122253,0.022874349491125427,17117.67264309041,17117.67264308651,17117.672643089518,17117.67264308923,27137.714070346396,27137.71407035504,27137.714070344355,27137.71407034852,17117.67264308971,17117.6726430873,17117.672643089336,17117.672643089572,27137.71407033816,27137.7140703464,27137.714070343543,27137.714070349306
80,0.02688747240218089,19521.86543387353,32198.293878231212,19521.86543387193,32198.293878223427,80,170528296.30863476,41743.953235529756,170486552.35539922,4085.1017474667947,2.8195874003383229e+18,4.598405212163925e-09,4.976755008101463e-09,1.0688381735235453e-08,6.199115887284279e-09,2.2239154962022667e-15,3.4458935260772705e-08,-132560.03159661821,1.3014028257596041e-08,7.7812629228901642e-08,80,0.02688747240218059,0.02688747240218089,0.026887472402179972,0.026887472402182196,19521.865433869447,19521.86543387353,19521.865433872663,19521.865433874045,32198.293878230033,32198.293878231212,32198.293878226235,32198.293878229248,19521.86543386412,19521.86543387193,19521.865433872103,19521.86543387481,32198.293878229626,32198.293878223427,32198.2938782259,32198.293878227778
90,0.0311114470981534,21964.61226586264,37568.64127367249,21964.61226586144,37568.641273678324,90,182907132.8635731,37771.490864250583,182869361.37270886,4842.4652741649761,1.1037843987554278e+17,3.3614924177527428e-09,1.2136297300457954e-08,3.2523530535399914e-09,9.546056389808655e-09,6.231126725708691e-15,-4.5431072568213327e-08,-150671.19145994377,1.53445109738183e-08,9.8079095067760136e-08,90,0.031111447098157975,0.0311114470981534,0.03111144709815963,0.031111447098155637,21964.61226585928,21964.61226586264,21964.61226586195,21964.61226586026,37568.64127368016,37568.64127367249,37568.641273684625,37568.64127368052,21964.61226585896,21964.61226586144,21964.61226586221,21964.612265860444,37568.64127368787,37568.641273678324,37568.6412736856,37568.641273678964
100,0.035574506010000374,24455.69550710626,43287.92317341472,24455.695507109205,43287.9231734113,100,197068376.24236405,34177.058268977336,197034199.18409508,5766.1011866911867,6.0394412738556992e+17,7.108610589057207e-09,7.552444003522396e-09,2.557499101385474e-09,4.685716703534126e-09,1.7416623698807143e-15,2.4950200888847214e-08,-169683.04839699541,1.34365644515307e-08,9.4089720903411944e-08,100,0.03557450601000184,0.035574506010000374,0.0355745060100001,0.03557450601000154,24455.69550710103,24455.69550710626,24455.69550710709,24455.69550710814,43287.92317342041,43287.92317341472,43287.923173412855,43287.92317341367,24455.695507106648,24455.695507109205,24455.695507107193,24455.695507107353,43287.92317341409,43287.9231734113,43287.923173412884,43287.923173415984
