voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,1.0757018766872783e-07,8.371342147291342e-05,0.11996824979665544,0.0008792488058051301,0.1553033091998917,-50,3173015554.8970356,0.0011364636954622729,3173015554.8958993,2792007846415.5127,1.7030230660588054e+17,8.704671288785847e-10,5.729785257369002e-10,1.598831304979939e-10,4.5737824638791835e-10,2.568553561863577e-16,0.0011721602063364648,1.0572750030069661e-09,1.1492495886641095e-09,2.0607131279160029e-09,-50,1.0757018792558319e-07,1.0757018766872783e-07,8.371255100578454e-05,8.371342147291342e-05,0.11996825036963396,0.11996824979665544,0.0008792486459219996,0.0008792488058051301,0.15530330965726993,0.1553033091998917
-40,1.5202972239333864e-07,8.575945955027138e-05,0.21138851683355941,0.0009624181993745512,0.15689289370215426,-40,2027482316.0139492,0.0010275689105357783,2027482316.0129216,1973086471599.0798,1.3165593248923763e+18,5.565812782448026e-10,4.064718284180202e-10,1.0699553190055694e-10,2.570769708221121e-10,1.7141281345621148e-16,0.0010609598238268008,-6.7650871796859358e-10,7.4332940924228789e-10,1.3271535966009017e-09,-40,1.5202972222192582e-07,1.5202972239333864e-07,8.576001613154962e-05,8.575945955027138e-05,0.21138851642708759,0.21138851683355941,0.0009624183063700831,0.0009624181993745512,0.15689289344507729,0.15689289370215426
-30,2.239106335037964e-07,8.732749681628967e-05,0.3597587668423414,0.0010550068198319634,0.15863785331410754,-30,1341091339.2456074,0.00093610056142781975,1341091339.2446713,1432635973639.479,1.5525572268665056e+17,9.666895394111691e-10,1.4044594376372288e-09,1.2637512932824058e-10,5.641493938668418e-10,3.5961135823750023e-16,0.00096719705307863615,-1.1777790551647724e-09,1.8003416784012264e-09,3.0616780493525082e-09,-30,2.2391063314418504e-07,2.239106335037964e-07,8.732846350582908e-05,8.732749681628967e-05,0.359758765437882,0.3597587668423414,0.001055006693456834,0.0010550068198319634,0.15863785387825693,0.15863785331410754
-20,3.3250046230254913e-07,8.838622429534992e-05,0.5843715473760271,0.0011581673296097855,0.16058613843412883,-20,930789340.33491826,0.00085934298438912395,930789340.33405888,1083140675194.5302,2.2900980022403757e+17,3.330920263190044e-11,6.048564982208404e-10,2.2732364384978054e-11,5.942872027819845e-10,9.858997637919066e-17,0.00088814857606135298,-4.0479867613289755e-11,8.4891404762503322e-10,1.255192827795534e-09,-20,3.3250046220395916e-07,3.3250046230254913e-07,8.838625760455255e-05,8.838622429534992e-05,0.5843715467711706,0.5843715473760271,0.0011581673068774211,0.0011581673296097855,0.16058613902841604,0.16058613843412883
-10,4.824457261674593e-07,8.891510866384019e-05,0.8948725610561008,0.0012731298569681332,0.16277082933958467,-10,686522517.83595824,0.00079500417093471753,686522517.83516324,863545806343.11243,4.3519990502626029e+17,1.1309529643219402e-09,1.4064786002521146e-09,2.575552553348015e-11,3.012788352130258e-10,4.023711431318938e-16,0.00082152959891792447,1.3791622463206824e-09,1.8299367880813258e-09,2.8644685488865302e-09,-10,4.824457265698304e-07,4.824457261674593e-07,8.891397771087586e-05,8.891510866384019e-05,0.8948725624625794,0.8948725610561008,0.0012731298827236587,0.0012731298569681332,0.16277082903830584,0.16277082933958467
0,6.694544867437471e-07,8.890603102430526e-05,1.2823179076938485,0.001401178249521795,0.16521157554413274,0,542125588.52139103,0.00074114967873451724,542125588.52064991,731465726932.57898,3.8361974448333792e+17,1.87447263398264e-09,2.150165157033257e-09,4.4015496846253055e-10,1.644615277296424e-10,7.152593963752384e-16,0.00076542338133983091,-2.282650219558903e-09,2.8909588023398662e-09,4.6292553577086375e-09,0,6.694544860284877e-07,6.694544867437471e-07,8.890790549693924e-05,8.890603102430526e-05,1.2823179055436833,1.2823179076938485,0.0014011786896767635,0.001401178249521795,0.1652115753796712,0.16521157554413274
10,8.812866114806889e-07,8.837396167606501e-05,1.7212307239392257,0.001543662575833743,0.1679203286585141,10,457819792.37967372,0.00069614685225042163,457819792.3789776,657648297768.90857,5.3848774201917133e+17,1.949913466694868e-09,7.707199323192526e-10,2.5726626731725766e-10,1.436461033454961e-09,4.770597555636994e-16,0.00071821531090905189,2.3696032883276097e-09,2.5545602450169143e-09,4.414361683401655e-09,10,8.812866119577487e-07,8.812866114806889e-07,8.837201176259831e-05,8.837396167606501e-05,1.7212307247099456,1.7212307239392257,0.0015436623185674757,0.001543662575833743,0.16792033009497515,0.1679203286585141
20,1.1045261258404835e-06,8.733537394966841e-05,2.183697629850443,0.0017018832655305294,0.17089392043793986,20,409690402.91497433,0.00065861774482368614,409690402.9143157,622045801430.15979,3.9076116705086176e+17,5.253717473948294e-10,1.048307662898651e-09,2.2551630376489717e-10,2.9741933915694574e-10,2.882311241487719e-16,0.00067855468151180689,-6.3647889682241082e-10,1.2305613375158851e-09,2.0966155709625182e-09,20,1.1045261255522523e-06,1.1045261258404835e-06,8.73358993214158e-05,8.733537394966841e-05,2.1836976288021352,2.183697629850443,0.0017018834910468331,0.0017018832655305294,0.1708939207353592,0.17089392043793986
30,1.3311807206490053e-06,8.583048251197041e-05,2.653092490248736,0.0018771474723612083,0.17412609477869007,30,383360431.94348645,0.00062739938480678838,383360431.94285905,611030933767.24414,3.0453417109862682e+17,6.203103090457159e-10,1.7589134593265499e-09,5.773739542025424e-10,5.612274533994821e-10,4.736472715774487e-16,0.0006452978628376044,-7.472066927867449e-10,2.0314772870344059e-09,3.5178276183700768e-09,30,1.331180720175358e-06,1.3311807206490053e-06,8.583110282227946e-05,8.583048251197041e-05,2.6530924884898224,2.653092490248736,0.0018771480497351625,0.0018771474723612083,0.17412609533991752,0.17412609477869007
40,1.560179728133271e-06,8.390500797682211e-05,3.127196979978643,0.0020706508157147183,0.17760205902802637,40,370187156.20974094,0.00060151024008610712,370187156.20913941,615429516472.98315,3.3658201101584814e+18,1.6240627903109112e-09,3.194477571355492e-09,6.351745865385006e-11,1.6339329333980857e-09,7.617545171576846e-16,0.00061748233828586659,1.949132404847724e-09,3.9390406354246866e-09,6.5159912574251156e-09,40,1.5601797288950255e-06,1.560179728133271e-06,8.39033839140318e-05,8.390500797682211e-05,3.127196983173121,3.127196979978643,0.002070650879232177,0.0020706508157147183,0.17760205739409343,0.17760205902802637
50,1.795164268174228e-06,8.161114258888567e-05,3.6136005809432934,0.0022834203762174474,0.18130134495495784,50,401056321.00654584,0.00058012191406102073,401056321.00596571,691331100042.46509,2.7872975329995996e+18,3.9135848819190754e-09,1.248859238245359e-09,2.4588744452005984e-10,2.9106149157520633e-09,8.664151786698469e-16,0.00059429503895126214,4.6689638385968152e-09,5.0406285494570214e-09,8.3189487116704184e-09,50,1.7951642690406433e-06,1.795164268174228e-06,8.160722900400375e-05,8.161114258888567e-05,3.6136005821921526,3.6136005809432934,0.002283420130330003,0.0022834203762174474,0.18130134786557275,0.18130134495495784
60,2.0417833298520906e-06,7.900540289339954e-05,4.124073201284698,0.0025162420885267295,0.18519972118145778,60,523544656.18875992,0.00056253525698452054,523544656.18819737,930687720793.23462,1.3427211383854833e+18,3.0959057586288493e-09,6.040012934249717e-10,3.04659429194859e-10,3.3952489708610756e-09,3.5039720148836995e-16,0.00057504742295118121,3.6709247471216483e-09,4.6443496702597434e-09,7.3998168305101876e-09,60,2.041783330202488e-06,2.0417833298520906e-06,7.900230698764092e-05,7.900540289339954e-05,4.124073200680697,4.124073201284698,0.0025162423931861587,0.0025162420885267295,0.18519972457670675,0.18519972118145778
70,2.306063509953584e-06,7.614866492087008e-05,4.671170042562523,0.0027696155460716007,0.189273708088122,70,683878007.6740948,0.00054816020387932565,683878007.67354667,1247587845367.6411,2.1350271729569769e+18,4.117256905609946e-09,2.4143469445903065e-09,2.8230831040920723e-10,1.985217268352102e-09,1.091588299785562e-15,0.00055915313503829213,4.8477056640823871e-09,5.1770320714712993e-09,8.7991299804138917e-09,70,2.3060635110451724e-06,2.306063509953584e-06,7.614454766396447e-05,7.614866492087008e-05,4.67117004497687,4.671170042562523,0.0027696152637632903,0.0027696155460716007,0.18927371007333926,0.189273708088122
80,2.593688524553958e-06,7.309731477594107e-05,5.266735696733323,0.0030435624962048408,0.19349581711049785,80,893815151.86528957,0.00053649875769248249,893815151.86475313,1666015324452.2859,3.0596642505703706e+18,1.3483508871871188e-09,5.581943796073574e-10,6.825596988654925e-11,1.838290325517633e-09,1.1564837290394502e-16,0.00054611616570062491,1.5778821325701173e-09,2.3481060809463566e-09,3.8130932860801128e-09,80,2.5936885246696064e-06,2.593688524553958e-06,7.309596642505388e-05,7.309731477594107e-05,5.266735696175129,5.266735696733323,0.0030435625644608106,0.0030435624962048408,0.19349581894878817,0.19349581711049785
90,2.9100055097722163e-06,6.990886248993758e-05,5.921911061015988,0.003337635857242706,0.1978438364039684,90,1168779550.0857882,0.00052713062703864193,1168779550.0852611,2217248420285.9824,1.6692975562313026e+19,2.574775873629212e-09,1.4491075006617393e-10,1.8731281282990953e-11,2.7384198242330626e-09,3.9226604007115e-16,0.00053551141896600806,2.9892766115072536e-09,3.7616172086840659e-09,5.4768392409551862e-09,90,2.9100055101644823e-06,2.9100055097722163e-06,6.990628771406395e-05,6.990886248993758e-05,5.921911060871078,5.921911061015988,0.0033376358385114246,0.003337635857242706,0.19784383914238823,0.1978438364039684
100,3.2600184828148877e-06,6.663195449312902e-05,6.647126224507811,0.0036506251243122144,0.2022912444831741,100,1529003482.0813456,0.00051970110442242493,1529003482.0808258,2942082418278.9048,3.8913639916358333e+18,2.803287178803531e-10,1.354045764401235e-09,2.8643456963933778e-11,1.045074943251123e-09,2.6641515531752695e-16,0.00052698001930018192,-3.2244715177012079e-10,1.7335011246375425e-09,2.7080945375312611e-09,100,3.2600184825484725e-06,3.2600184828148877e-06,6.66322348218469e-05,6.663195449312902e-05,6.647126223153765,6.647126224507811,0.0036506251529556714,0.0036506251243122144,0.20229124552824904,0.2022912444831741
