voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,1.0757087589763744e-07,8.371960209938159e-05,0.11996888637513248,0.0008792745743425173,0.15530448638789882,-50,3173015554.8970356,0.0011364636954622729,3173015554.8958993,2792007846415.5127,1.7030230660588054e+17,9.680501566398632e-09,3.009266296566393e-07,1.942732008109512e-08,3.3889909600848256e-08,1.508205922197293e-13,0.0013100371000160137,2.6350125682712041e-08,4.3085300869461067e-07,6.6963307819215391e-07,-50,1.0757102671822966e-07,1.0757087589763744e-07,8.370992159781519e-05,8.371960209938159e-05,0.11996918730176213,0.11996888637513248,0.0008792551470224362,0.0008792745743425173,0.15530452027780842,0.15530448638789882
-40,1.5202958675216393e-07,8.575928336340696e-05,0.2113882647028773,0.0009623996227097614,0.15689285792511917,-40,2027482316.0139492,0.0010275689105357783,2027482316.0129216,1973086471599.0798,1.3165593248923763e+18,8.23074840217413e-10,2.3771918972181894e-07,1.8655001709729814e-08,6.422447101916973e-09,1.1531047838521415e-13,0.0011857969280845706,2.1782004693739107e-09,3.4610454709074045e-07,5.1439453261294837e-07,-40,1.5202970206264232e-07,1.5202958675216393e-07,8.576010643824718e-05,8.575928336340696e-05,0.21138850242206703,0.2113882647028773,0.0009624182777114712,0.0009623996227097614,0.15689285150267207,0.15689285792511917
-30,2.2391185680951712e-07,8.733096463042308e-05,0.359760707662234,0.001055003374639485,0.15863876013076295,-30,1341091339.2456074,0.00093610056142781975,1341091339.2446713,1432635973639.479,1.5525572268665056e+17,4.486305700565174e-09,1.4782138052504834e-07,9.468564414515449e-09,2.2312649949896013e-08,7.89900864011991e-14,0.0010810307957281654,1.2223109198274549e-08,2.3048754918702371e-07,3.5920518993555971e-07,-30,2.2391193579960353e-07,2.2391185680951712e-07,8.732647832472252e-05,8.733096463042308e-05,0.35976085548361453,0.359760707662234,0.0010550128432038994,0.001055003374639485,0.1586387824434129,0.15863876013076295
-20,3.3249969048713117e-07,8.838497860940709e-05,0.5843701941620336,0.0011581726760314937,0.16058575729271016,-20,930789340.33491826,0.00085934298438912395,930789340.33405888,1083140675194.5302,2.2900980022403757e+17,2.103003790763212e-09,5.0933583461976184e-08,8.238263759759515e-09,6.490577603157632e-09,2.7541129902092378e-14,0.00099270742560717039,5.7598645798903507e-09,8.2148944563679871e-08,1.3132484923483539e-07,-20,3.3249966294600127e-07,3.3249969048713117e-07,8.838708161319785e-05,8.838497860940709e-05,0.5843701432284502,0.5843701941620336,0.001158164437767734,0.0011581726760314937,0.16058575080213255,0.16058575729271016
-10,4.824444795225842e-07,8.891399089469368e-05,0.8948702424635799,0.0012731206985273635,0.16277042146486356,-10,686522517.83595824,0.00079500417093471753,686522517.83516324,863545806343.11243,4.3519990502626029e+17,8.291138312612996e-10,1.4048640273323088e-07,6.099696464936799e-09,7.969788218264995e-09,7.118128076661576e-14,0.0009182676972634352,2.2453317818041349e-09,2.0971966851831184e-07,3.1077000298073104e-07,-10,4.82444550703865e-07,4.824444795225842e-07,8.891482000852495e-05,8.891399089469368e-05,0.8948703829499827,0.8948702424635799,0.0012731267982238285,0.0012731206985273635,0.16277042943465178,0.16277042146486356
0,6.694554991067204e-07,8.890663424757065e-05,1.282319847313889,0.0014011775475824828,0.16521182584811508,0,542125588.52139103,0.00074114967873451724,542125588.52064991,731465726932.57898,3.8361974448333792e+17,7.410911484907311e-10,5.568367766883853e-09,3.324543710638006e-09,2.7794974100103786e-09,4.21802311875968e-15,0.00085557248984190421,2.0336437293098943e-09,1.4297870516608443e-08,2.4826999353518052e-08,0,6.694555033247435e-07,6.694554991067204e-07,8.890737533871914e-05,8.890663424757065e-05,1.2823198528822568,1.282319847313889,0.0014011808721261934,0.0014011775475824828,0.1652118286276125,0.16521182584811508
10,8.812847222445152e-07,8.837321992883479e-05,1.7212270342417293,0.0015436578081519797,0.16791996946704596,10,457819792.37967372,0.00069614685225042163,457819792.3789776,657648297768.90857,5.3848774201917133e+17,4.6192960251963035e-10,2.7272972769054604e-08,1.2452595491221907e-09,1.7746542846364122e-09,1.3801479350750146e-14,0.00080282135757586421,1.2522622396721216e-09,4.0479803846564395e-08,6.0585773846552528e-08,10,8.812847360459946e-07,8.812847222445152e-07,8.837275799923227e-05,8.837321992883479e-05,1.721227061514702,1.7212270342417293,0.0015436590534115288,0.0015436578081519797,0.16791997124170024,0.16791996946704596
20,1.104528005740908e-06,8.733589375220993e-05,2.183701346705501,0.0017018873464852147,0.17089421020960768,20,409690402.91497433,0.00065861774482368614,409690402.9143157,622045801430.15979,3.9076116705086176e+17,5.963782014886329e-10,7.150818515100354e-08,1.0054644315488775e-09,1.9109020754637385e-09,3.401119599307336e-14,0.0007585016778149465,1.6111267036892024e-09,1.0093440626849727e-07,1.4622005662959735e-07,20,1.104527971729712e-06,1.104528005740908e-06,8.733529737400844e-05,8.733589375220993e-05,2.1837012751973157,2.183701346705501,0.0017018863410207831,0.0017018873464852147,0.17089421212050976,0.17089421020960768
30,1.3311836495905394e-06,8.583107918675042e-05,2.6530983271613326,0.0018771522106115143,0.17412647825773192,30,383360431.94348645,0.00062739938480678838,383360431.94285905,611030933767.24414,3.0453417109862682e+17,7.68172843883903e-10,4.5302052775753054e-08,4.83755589839735e-11,2.8880771940631433e-09,2.2566695402945853e-14,0.00072133848127100501,2.0706733005953137e-09,6.5616046792643061e-08,9.6380259502387212e-08,30,1.3311836721572349e-06,1.3311836495905394e-06,8.583031101390653e-05,8.583107918675042e-05,2.6530983724633854,2.6530983271613326,0.0018771521622359553,0.0018771522106115143,0.17412648114580911,0.17412647825773192
40,1.5601753048008554e-06,8.390433123518292e-05,3.1271881141769002,0.0020706442199067976,0.17760155571018807,40,370187156.20974094,0.00060151024008610712,370187156.20913941,615429516472.98315,3.3658201101584814e+18,7.431891197286558e-11,4.6540804987671436e-08,8.221917127161638e-10,6.505294913861093e-10,2.2719561556519205e-14,0.00069025668396687531,1.9965159694367248e-10,6.6929755040465334e-08,9.6175690478936715e-08,40,1.560175327520417e-06,1.5601753048008554e-06,8.390440555409489e-05,8.390433123518292e-05,3.1271881607177052,3.1271881141769002,0.0020706450420985103,0.0020706442199067976,0.17760155636071756,0.17760155571018807
50,1.7951518385018865e-06,8.160966923907294e-05,3.613575560989166,0.002283403575832489,0.18130008978973997,50,401056321.00654584,0.00058012191406102073,401056321.00596571,691331100042.46509,2.7872975329995996e+18,1.0246025756348656e-10,5.61498048057274e-08,7.965686864459809e-10,2.9932419876033123e-09,2.8088655440268906e-14,0.00066434650980119541,2.7096539727956021e-10,8.2264548616770155e-08,1.200841515202304e-07,50,1.795151866590542e-06,1.7951518385018865e-06,8.16097716993305e-05,8.160966923907294e-05,3.613575617138971,3.613575560989166,0.0022834043724011756,0.002283403575832489,0.18130009278298195,0.18130008978973997
60,2.041771220441747e-06,7.900427587309449e-05,4.124048742350301,0.0025162275166500866,0.18519862276850885,60,523544656.18875992,0.00056253525698452054,523544656.18819737,930687720793.23462,1.3427211383854833e+18,2.4873511196153893e-10,2.86774577418214e-08,6.853736545311961e-11,1.0482376078257971e-10,1.3719932630181777e-14,0.00064283804360176723,6.6065749677065587e-10,4.0355975104347103e-08,5.7491992891498412e-08,60,2.0417712067218144e-06,2.041771220441747e-06,7.900452460820645e-05,7.900427587309449e-05,4.124048713672844,4.124048742350301,0.002516227448112721,0.0025162275166500866,0.1851986228733326,0.18519862276850885
70,2.3060470305574863e-06,7.614745176437012e-05,4.671136662115256,0.0027695956512429343,0.18927235549248586,70,683878007.6740948,0.00054816020387932565,683878007.67354667,1247587845367.6411,2.1350271729569769e+18,1.9387996537270722e-10,4.769927475223312e-08,1.7242788316954027e-10,5.294919225296013e-10,2.3152603762671177e-14,0.00062507737584782035,5.0515602251602658e-10,6.8095887464041577e-08,9.7190150338572357e-08,70,2.3060470074048826e-06,2.3060470305574863e-06,7.614725788440475e-05,7.614745176437012e-05,4.671136614415981,4.671136662115256,0.002769595478815051,0.0027695956512429343,0.18927235496299394,0.18927235549248586
80,2.593681256522094e-06,7.309688710984681e-05,5.266720938212002,0.003043554499964303,0.19349527486016538,80,893815151.86528957,0.00053649875769248249,893815151.86475313,1666015324452.2859,3.0596642505703706e+18,1.670037249495212e-10,9.089094721304036e-08,5.106653511513515e-10,3.258409791984107e-09,4.478123812862015e-14,0.0006105091488664326,4.3963771914494627e-10,1.3115258682640649e-07,1.8932004621941977e-07,80,2.593681211740856e-06,2.593681256522094e-06,7.309705411357176e-05,7.309688710984681e-05,5.2667208473210545,5.266720938212002,0.003043553989298952,0.003043554499964303,0.1934952716017556,0.19349527486016538
90,2.909991090278253e-06,6.99081858214693e-05,5.921881717251679,0.0033376191471232233,0.19784285608101795,90,1168779550.0857882,0.00052713062703864193,1168779550.0852611,2217248420285.9824,1.6692975562313026e+19,4.000636939240597e-11,7.901020371292589e-08,1.7095130996555574e-10,1.4906304246498081e-09,3.848369682006667e-14,0.00059865999193930779,1.0230794038321505e-10,1.12956886096702e-07,1.6142358163396154e-07,90,2.90999112876195e-06,2.909991090278253e-06,6.99082258278387e-05,6.99081858214693e-05,5.921881796261883,5.921881717251679,0.0033376193180745333,0.0033376191471232233,0.19784285757164838,0.19784285608101795
100,3.2600215846263128e-06,6.663207174205965e-05,6.64713254913291,0.0036506282794861664,0.20229143696869265,100,1529003482.0813456,0.00051970110442242493,1529003482.0808258,2942082418278.9048,3.8913639916358333e+18,2.1765920808064759e-10,8.026442444020176e-08,3.8614128691424887e-10,2.6264567187794796e-09,3.9443589707762556e-14,0.00058912702729958398,5.6388316946364728e-10,1.1553497508332533e-07,1.6655404525045862e-07,100,3.2600216240699025e-06,3.2600215846263128e-06,6.663185408285157e-05,6.663207174205965e-05,6.647132629397334,6.64713254913291,0.0036506286656274533,0.0036506282794861664,0.20229143959514936,0.20229143696869265
