voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-40,-0.03218339777266573,-18865.908555483857,-40790.825017928684,-18865.908555483864,-40790.825017928706,-40,19796179.221317705,200869.46597315092,19595309.755344555,98.552456070967736,8.0069654124085012e+18,1.0913936421275139e-11,0.0,3.637978807091713e-12,2.9103830456733704e-11,6.938893903907228e-18,156652.39255369917,2.9103830456733704e-11,2.91038304567337e-11,5.8207660913467407e-11,-40,-0.032183397772665726,-0.03218339777266573,-18865.908555483868,-18865.908555483857,-40790.825017928684,-40790.825017928684,-18865.908555483868,-18865.908555483864,-40790.82501792868,-40790.825017928706
-30,-0.023219331434562448,-13986.657283642158,-29241.58308502419,-13986.657283642158,-29241.58308502419,-30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770734,4.8348160170627354e+17,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,1.0408340855860843e-17,145824.45686003749,0.0,3.9182230882102919e-11,6.5483618527650833e-11,-30,-0.023219331434562458,-0.023219331434562448,-13986.657283642166,-13986.657283642158,-29241.5830850242,-29241.58308502419,-13986.657283642166,-13986.657283642158,-29241.5830850242,-29241.58308502419
-20,-0.015052137695297013,-9247.389178973044,-18865.90855548386,-9247.389178972993,-18865.90855548386,-20,17198429.140170936,189534.27152126568,17008894.868649669,90.740471378239775,1.3729972726386604e+18,8.36735125631094e-11,7.275957614183426e-12,0.0,7.275957614183426e-12,1.9081958235744878e-17,137883.1354213481,-1.6007106751203537e-10,1.0962335489835359e-10,1.673470251262188e-10,-20,-0.015052137695296994,-0.015052137695297013,-9247.38917897296,-9247.389178973044,-18865.908555483853,-18865.90855548386,-9247.389178972993,-9247.389178972993,-18865.908555483853,-18865.90855548386
-10,-0.0073997823117830375,-4600.67205336185,-9247.389178973008,-4600.672053361846,-9247.389178973,-10,16575788.975376585,186735.5560986682,16389053.419277918,88.766110331008377,2.3150748591009915e+18,2.546585164964199e-11,1.8189894035458565e-11,1.4551915228366852e-11,7.275957614183426e-12,1.474514954580286e-17,133022.27262539262,-4.3655745685100555e-11,5.2969770981002643e-11,9.4587448984384537e-11,-10,-0.007399782311783023,-0.0073997823117830375,-4600.6720533618245,-4600.67205336185,-9247.38917897299,-9247.389178973008,-4600.672053361832,-4600.672053361846,-9247.389178972993,-9247.389178973
0,-1.748412614688277e-18,2.1827872842550278e-11,-3.637978807091713e-12,-3.637978807091713e-12,-1.0913936421275139e-11,0,16370576.241642578,185805.75288549409,16184770.488757083,88.105863179226859,8.3894074505350016e+17,4.3655745685100555e-11,7.275957614183426e-12,7.275957614183426e-12,2.1827872842550278e-11,3.496825229376554e-18,131384.50784880479,7.2759576141834259e-11,5.0409313045933289e-11,8.7311491370201111e-11,0,1.748412614688277e-18,-1.748412614688277e-18,-2.1827872842550278e-11,2.1827872842550278e-11,3.637978807091713e-12,-3.637978807091713e-12,3.637978807091713e-12,-3.637978807091713e-12,1.0913936421275139e-11,-1.0913936421275139e-11
10,0.007399782311783024,4600.672053361821,9247.38917897299,4600.672053361835,9247.389178972997,10,16575788.975376587,186735.5560986682,16389053.419277919,88.766110331008392,3.3538795007001626e+17,3.637978807091713e-11,1.0913936421275139e-11,3.637978807091713e-12,1.0913936421275139e-11,6.071532165918825e-18,133022.27262539262,-8.7311491370201111e-11,4.4257922347592977e-11,8.0035533756017685e-11,10,0.00739978231178303,0.007399782311783024,4600.672053361857,4600.672053361821,9247.389178973,9247.38917897299,4600.672053361839,4600.672053361835,9247.389178972986,9247.389178972997
20,0.015052137695297,9247.389178972997,18865.90855548386,9247.38917897299,18865.908555483853,20,17198429.140170932,189534.27152126568,17008894.868649665,90.740471378239761,4.6503094723800813e+17,0.0,7.275957614183426e-12,1.4551915228366852e-11,2.1827872842550278e-11,1.0408340855860843e-17,137883.1354213481,0.0,3.9852061127397321e-11,5.8207660913467407e-11,20,0.015052137695297011,0.015052137695297,9247.389178972997,9247.389178972997,18865.908555483868,18865.90855548386,9247.389178973004,9247.38917897299,18865.908555483875,18865.908555483853
30,0.023219331434562458,13986.657283642166,29241.5830850242,13986.657283642166,29241.5830850242,30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770734,4.8348160170627354e+17,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,1.0408340855860843e-17,145824.45686003749,0.0,3.9182230882102919e-11,6.5483618527650833e-11,30,0.023219331434562448,0.023219331434562458,13986.657283642158,13986.657283642166,29241.58308502419,29241.5830850242,13986.657283642158,13986.657283642166,29241.58308502419,29241.5830850242
40,0.032183397772665726,18865.908555483868,40790.825017928684,18865.908555483868,40790.82501792868,40,19796179.221317705,200869.46597315092,19595309.755344555,98.552456070967736,8.0069654124085012e+18,1.0913936421275139e-11,0.0,3.637978807091713e-12,2.9103830456733704e-11,6.938893903907228e-18,156652.39255369917,2.9103830456733704e-11,2.91038304567337e-11,5.8207660913467407e-11,40,0.03218339777266573,0.032183397772665726,18865.908555483857,18865.908555483868,40790.825017928684,40790.825017928684,18865.908555483864,18865.908555483868,40790.825017928706,40790.82501792868
50,0.042257001115710846,23933.97618119973,53977.14598510371,23933.976181199716,53977.14598510371,50,21860503.007356018,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18,5.820766091346741e-11,2.1827872842550278e-11,0.0,7.275957614183426e-12,2.0816681711721685e-17,170172.2479783826,1.0186340659856796e-10,1.0593954196200529e-10,1.6007106751203537e-10,50,0.042257001115710825,0.042257001115710846,23933.976181199672,23933.97618119973,53977.145985103685,53977.14598510371,23933.976181199716,23933.976181199716,53977.1459851037,53977.14598510371
60,0.05379551301017572,29241.583085024213,69329.75934727522,29241.5830850242,69329.75934727522,60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151014e+17,6.548361852765083e-11,0.0,0.0,1.4551915228366852e-11,2.0816681711721685e-17,186234.59320480417,1.1641532182693481e-10,1.1106267282210862e-10,1.8189894035458565e-10,60,0.0537955130101757,0.05379551301017572,29241.583085024147,29241.583085024213,69329.75934727522,69329.75934727522,29241.5830850242,29241.5830850242,69329.7593472752,69329.75934727522
70,0.06721078486781965,34841.849580799084,87464.81938534898,34841.849580799084,87464.81938534896,70,27879643.609289244,233217.62208979434,27646425.987199448,119.54346914040191,5.7466840045191987e+17,7.275957614183426e-12,0.0,7.275957614183426e-12,4.3655745685100555e-11,1.3877787807814457e-17,204765.77822888261,-2.9103830456733704e-11,4.1797194328232062e-11,6.5483618527650833e-11,70,0.06721078486781966,0.06721078486781965,34841.84958079909,34841.849580799084,87464.81938534898,87464.81938534898,34841.84958079908,34841.849580799084,87464.81938534901,87464.81938534896
80,0.0829871642860397,40790.825017928684,109110.1497351675,40790.82501792868,109110.1497351675,80,32044579.69627073,248503.10713354201,31796076.589137189,128.95041863219211,6.8175088831121523e+17,7.275957614183426e-12,1.4551915228366852e-11,2.9103830456733704e-11,1.4551915228366852e-11,0.0,225779.74516290976,0.0,2.6233838256040978e-11,3.637978807091713e-11,80,0.0829871642860397,0.0829871642860397,40790.82501792869,40790.825017928684,109110.14973516752,109110.1497351675,40790.825017928706,40790.82501792868,109110.14973516752,109110.1497351675
90,0.10170039262334615,47148.04874210745,135134.45350557883,47148.048742107465,135134.45350557883,90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694611e+17,5.820766091346741e-11,0.0,7.275957614183426e-12,0.0,1.3877787807814457e-17,249375.19737706595,-1.1641532182693481e-10,5.9999083541590671e-11,7.2759576141834259e-11,90,0.10170039262334614,0.10170039262334615,47148.04874210751,47148.04874210745,135134.45350557883,135134.45350557883,47148.04874210746,47148.048742107465,135134.45350557883,135134.45350557883
100,0.12404013684156215,53977.1459851037,166582.1773844178,53977.14598510369,166582.1773844178,100,43425215.288054474,286713.25911487255,43138502.028939605,151.45869229108803,5.3633475622266624e+17,6.548361852765083e-11,2.9103830456733704e-11,2.9103830456733704e-11,5.820766091346741e-11,1.3877787807814457e-17,275725.10904544365,1.7462298274040222e-10,9.7617214960327975e-11,1.8917489796876907e-10,100,0.12404013684156213,0.12404013684156215,53977.145985103634,53977.1459851037,166582.17738441777,166582.1773844178,53977.14598510372,53977.14598510369,166582.17738441785,166582.1773844178
