voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.04225700111571083,-23933.97618119963,-53977.14598510372,-23933.97618119978,-53977.145985103656,-50,21860503.007356018,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18,1.127773430198431e-10,2.9103830456733704e-11,9.822542779147625e-11,4.3655745685100555e-11,0.0,209519.39143840357,1.6804080396871693e-11,1.7110107024643873e-10,3.4197000786662102e-10,-50,-0.04225700111571083,-0.04225700111571083,-23933.97618119974,-23933.97618119963,-53977.14598510369,-53977.14598510372,-23933.976181199683,-23933.97618119978,-53977.1459851037,-53977.145985103656
-40,-0.03218339777266574,-18865.908555483868,-40790.8250179287,-18865.908555483875,-40790.825017928684,-40,19796179.221317705,200869.46597315092,19595309.755344555,98.552456070967736,8.0069654124085012e+18,3.637978807091713e-12,7.275957614183426e-12,1.4551915228366852e-11,1.4551915228366852e-11,0.0,200869.46597315092,2.7680219266540781e-12,1.7822383544867465e-11,2.9103830456733704e-11,-40,-0.03218339777266574,-0.03218339777266574,-18865.908555483864,-18865.908555483868,-40790.82501792869,-40790.8250179287,-18865.90855548386,-18865.908555483875,-40790.8250179287,-40790.825017928684
-30,-0.02321933143456245,-13986.65728364217,-29241.583085024195,-13986.657283642166,-29241.583085024195,-30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770734,4.8348160170627354e+17,3.2741809263825417e-11,3.637978807091713e-11,2.546585164964199e-11,3.637978807091713e-11,2.7755575615628914e-17,194229.90963791663,4.2252671872433383e-11,1.4220728397552784e-10,2.6193447411060333e-10,-30,-0.023219331434562424,-0.02321933143456245,-13986.657283642136,-13986.65728364217,-29241.58308502416,-29241.583085024195,-13986.65728364214,-13986.657283642166,-29241.58308502416,-29241.583085024195
-20,-0.01505213769529702,-9247.389178973004,-18865.908555483875,-9247.389178973004,-18865.908555483882,-20,17198429.140170936,189534.27152126568,17008894.868649669,90.740471378239775,1.3729972726386604e+18,1.4551915228366852e-11,2.1827872842550278e-11,1.4551915228366852e-11,2.9103830456733704e-11,2.2551405187698492e-17,189534.27152126571,1.4009502783807961e-11,3.7100249854795289e-11,7.2759576141834259e-11,-20,-0.015052137695296997,-0.01505213769529702,-9247.38917897299,-9247.389178973004,-18865.908555483853,-18865.908555483875,-9247.38917897299,-9247.389178973004,-18865.908555483853,-18865.908555483882
-10,-0.007399782311783035,-4600.672053361846,-9247.389178973004,-4600.672053361846,-9247.389178972997,-10,16575788.975376585,186735.5560986682,16389053.419277918,88.766110331008377,2.3150748591009915e+18,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,0.0,1.0408340855860843e-17,186735.55609866811,8.0071590131252591e-12,3.637978807091713e-11,6.5483618527650833e-11,-10,-0.0073997823117830245,-0.007399782311783035,-4600.672053361832,-4600.672053361846,-9247.38917897299,-9247.389178973004,-4600.672053361832,-4600.672053361846,-9247.389178972997,-9247.389178972997
0,-5.828042048960924e-18,-7.275957614183426e-12,-7.275957614183426e-12,-7.275957614183426e-12,-3.637978807091713e-12,0,16370576.241642578,185805.75288549409,16184770.488757083,88.105863179226859,8.3894074505350016e+17,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,7.275957614183426e-12,1.1656084097921847e-17,185805.75288549406,2.1822251190138798e-11,7.7344490366046726e-11,1.2369127944111824e-10,0,5.828042048960924e-18,-5.828042048960924e-18,7.275957614183426e-12,-7.275957614183426e-12,7.275957614183426e-12,-7.275957614183426e-12,7.275957614183426e-12,-7.275957614183426e-12,3.637978807091713e-12,-3.637978807091713e-12
10,0.007399782311783022,4600.672053361828,9247.389178972986,4600.672053361828,9247.389178972993,10,16575788.975376587,186735.5560986682,16389053.419277919,88.766110331008392,3.3538795007001626e+17,1.8189894035458565e-11,2.1827872842550278e-11,1.8189894035458565e-11,3.637978807091713e-12,1.3877787807814457e-17,186735.55609866822,5.5270836415680267e-11,5.3467150634602394e-11,1.0186340659856796e-10,10,0.007399782311783036,0.007399782311783022,4600.672053361846,4600.672053361828,9247.389178973008,9247.389178972986,4600.672053361846,4600.672053361828,9247.389178972997,9247.389178972993
20,0.015052137695297013,9247.389178973,18865.908555483868,9247.389178973,18865.90855548387,20,17198429.140170932,189534.27152126568,17008894.868649665,90.740471378239761,4.6503094723800813e+17,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,5.204170427930421e-18,189534.27152126565,4.1362858165539166e-11,1.6269535826721329e-11,2.1827872842550278e-11,20,0.015052137695297008,0.015052137695297013,9247.389178972997,9247.389178973,18865.908555483868,18865.908555483868,9247.389178972997,9247.389178973,18865.908555483868,18865.90855548387
30,0.023219331434562424,13986.657283642136,29241.58308502416,13986.65728364214,29241.58308502416,30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770734,4.8348160170627354e+17,3.2741809263825417e-11,3.637978807091713e-11,2.546585164964199e-11,3.637978807091713e-11,2.7755575615628914e-17,194229.90963791663,4.2252671872433383e-11,1.4220728397552784e-10,2.6193447411060333e-10,30,0.02321933143456245,0.023219331434562424,13986.65728364217,13986.657283642136,29241.583085024195,29241.58308502416,13986.657283642166,13986.65728364214,29241.583085024195,29241.58308502416
40,0.03218339777266574,18865.908555483864,40790.82501792869,18865.90855548386,40790.8250179287,40,19796179.221317705,200869.46597315092,19595309.755344555,98.552456070967736,8.0069654124085012e+18,3.637978807091713e-12,7.275957614183426e-12,1.4551915228366852e-11,1.4551915228366852e-11,0.0,200869.46597315092,2.7680219266540781e-12,1.7822383544867465e-11,2.9103830456733704e-11,40,0.03218339777266574,0.03218339777266574,18865.908555483868,18865.908555483864,40790.8250179287,40790.82501792869,18865.908555483875,18865.90855548386,40790.825017928684,40790.8250179287
50,0.04225700111571083,23933.97618119974,53977.14598510369,23933.976181199683,53977.1459851037,50,21860503.007356018,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18,1.127773430198431e-10,2.9103830456733704e-11,9.822542779147625e-11,4.3655745685100555e-11,0.0,209519.39143840357,1.6804080396871693e-11,1.7110107024643873e-10,3.4197000786662102e-10,50,0.04225700111571083,0.04225700111571083,23933.97618119963,23933.97618119974,53977.14598510372,53977.14598510369,23933.97618119978,23933.976181199683,53977.145985103656,53977.1459851037
60,0.05379551301017572,29241.583085024184,69329.75934727523,29241.58308502422,69329.75934727522,60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151014e+17,5.4569682106375694e-11,7.275957614183426e-11,9.822542779147625e-11,2.9103830456733704e-11,2.0816681711721685e-17,220266.25739507112,3.8682136812442814e-11,1.3843453482288493e-10,2.7648638933897018e-10,60,0.0537955130101757,0.05379551301017572,29241.58308502424,29241.583085024184,69329.75934727516,69329.75934727523,29241.583085024122,29241.58308502422,69329.75934727525,69329.75934727522
70,0.06721078486781966,34841.84958079907,87464.81938534898,34841.84958079912,87464.819385349,70,27879643.609289244,233217.62208979434,27646425.987199448,119.54346914040191,5.7466840045191987e+17,1.1641532182693481e-10,8.731149137020111e-11,1.382431946694851e-10,1.4551915228366852e-11,1.3877787807814457e-17,233217.62208979437,5.4629918526295559e-11,1.949630824234084e-10,3.4924596548080444e-10,70,0.06721078486781967,0.06721078486781966,34841.849580799186,34841.84958079907,87464.81938534907,87464.81938534898,34841.84958079898,34841.84958079912,87464.81938534898,87464.819385349
80,0.08298716428603967,40790.825017928684,109110.14973516749,40790.82501792867,109110.14973516749,80,32044579.69627073,248503.10713354201,31796076.589137189,128.95041863219211,6.8175088831121523e+17,5.820766091346741e-11,2.9103830456733704e-11,5.093170329928398e-11,7.275957614183426e-11,2.7755575615628914e-17,248503.10713354198,5.30915401921872e-11,1.0134236273868097e-10,2.0372681319713593e-10,80,0.0829871642860397,0.08298716428603967,40790.825017928626,40790.825017928684,109110.14973516752,109110.14973516749,40790.82501792872,40790.82501792867,109110.14973516756,109110.14973516749
90,0.10170039262334618,47148.04874210748,135134.4535055789,47148.04874210749,135134.4535055789,90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694611e+17,2.9103830456733704e-11,2.9103830456733704e-11,4.3655745685100555e-11,2.9103830456733704e-11,0.0,266275.69479826081,1.5616342159752031e-10,2.0476359756823935e-10,3.2014213502407074e-10,90,0.10170039262334618,0.10170039262334618,47148.04874210745,47148.04874210748,135134.45350557886,135134.4535055789,47148.04874210744,47148.04874210749,135134.45350557892,135134.4535055789
100,0.12404013684156208,53977.14598510362,166582.1773844177,53977.145985103685,166582.1773844177,100,43425215.288054474,286713.25911487255,43138502.028939605,151.45869229108803,5.3633475622266624e+17,3.2014213502407074e-10,5.820766091346741e-11,2.255546860396862e-10,8.731149137020111e-11,5.551115123125783e-17,286713.25911487266,9.2122940492152966e-11,5.394032048309058e-10,1.1059455573558807e-09,100,0.12404013684156213,0.12404013684156208,53977.14598510394,53977.14598510362,166582.17738441777,166582.1773844177,53977.14598510346,53977.145985103685,166582.1773844178,166582.1773844177
