"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_1e': '1.0 fM'}"
voltage,current,solute_1
-150,0.00000000016584427560931951700224117753222091959449557634729661696071784116047939947342164,0.00051761634085305719533047434831944513921692399341526709506379505774281070011347849
-140,0.00000000018954957278494796595241931655550665949202185604023803962284777225320762954344354,0.00059160291131382014835240231841368571249769689739533960670125686586767355600998141
-130,0.00000000021664300638871376111098718208600080523348896957135388175925917781527862303194449,0.00067616418972757107384506546129028129704343579237737151967172291045452545516166881
-120,0.00000000024760890850239403810375632765575499468572127432663051960956307464507336785726798,0.00077281182428961938395044045106888059215338214695948966866644050491809742241823729
-110,0.00000000028300082174658791021721571328103476832194382841133344885287175980236454236115928,0.00088327347611294608152266143429128251464065757593315940299500983522684660409795332
-100,0.00000000032345139742131939730528083461275449292739768970720112181895446088383419411263087,0.0010095237123012466094015823695080428510597359997575714971223208097971854995845776
-90,0.00000000036968370658691580251771556225035131238381328804163864881154843380494885720625042,0.0011538193089479270324633185150671256751034601072125762799823996084546509234337015
-80,0.00000000042252416664832498256116503991085542684526479404905745830050620617405688272077119,0.001318739596280664806227257034140364217630352099456741274447843733610788601945207
-70,0.00000000048291731475982269121977331747227513283165105573470315463723946001262040739431435,0.0015072325679145527953372188849054996302157656164555417438169335830244099471606004
-60,0.00000000055194269229635161502335305178589465308696090572155208783739765651081445504049393,0.0017226675789524083736520425567373480889805357051030196166436129448527926859025142
-50,0.00000000063083414231776334687578664513804908302793485329214391087599646561973724838652777,0.0019688955752739181609165466717692467721265562368963012079249971671590048198228679
-40,0.00000000072100186504755934048674916730338968783944323026982031998978306796073553741368687,0.0022503179308600479929014725225785397051952905615635150702696315324836001180055078
-30,0.00000000082405762566266400808712175990121978292304889908160461002660353540768772238803745,0.0025719651237910862975479515714539509672154936453013451343784637918873700767940727
-20,0.00000000094184356502205459547635133417828939905887753486724213091691608379626955430664878,0.0029395866573722055027353449321839052728635739820241366009858622625839886580535291
-10,0.000000001076465128353949900017948199740149124248538259364534328138041767572110699126606,0.0033597538338138263246618982370618224470011908528014388986266081151439081496118534
0,0.0000000012303287005229013615572893833852392555231785226409430272148940354651579024172825,0.0038399772176120518843232228367567329885271238654755090621835706840121766927198259
10,0.0000000014061846206239753680852332943015125718949938559865338946271597896467057890946118,0.0043888408883394988737600754191541177337942754259529857855688957759219880682882118
20,0.0000000016071763448041911646801703642314908163577843097071484179975372985168242285898284,0.0050161558826597729272959837632466571722034855951430022365976885336838296977999912
30,0.0000000018368966361096973963686234209360562396805822877028607180689107663361385829918658,0.0057331355683823267453307553700638875950289198761780675265849310825752558718321183
40,0.0000000020994517857649087859557679187595031881887456627402886032063248554892544277896046,0.0065525960854085795632348779772715366300427707779552800365381266768574334306829261
50,0.0000000023995350138519916528901010693458154150404193576432975057560831854808406230460983,0.0074891854364918594699149962910673575569190771750110107192835182341786134843790149
60,0.0000000027425103614417284643233538488196721907682034613910348230317934189482031819285874,0.0085596453228518370877894171400199454507452314973224997785332338866713463822549274
70,0.0000000031345085737627693935101856647610119555497220201174266203455364659290725349907149,0.0097831104050024018474589600649232390546107016511638089970032159820925091417330078
80,0.0000000035825366883378021113794830971917058122131607289306382687674291935025058163908593,0.011181450338132965956423677798022553079522230086994720569105868500054610338926365
90,0.0000000040946032869935222737115013973728557626582932911729017970518695015005901624356531,0.012779660695984776781053741530031668113116063099987168722986600107860526237462836
100,0.0000000046798616506455215087860739474135687783794382410835490488992481811511284300824985,0.014606309771053438655751252373649891569141747511001604653746063862976288412901643
"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_1e': '1.0 fM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
