"{'distance': [0.47, 0.505, 0.735], 'solute_2': [9.31, -18.82, 17.55], 'solute_1': [10.54, -6.81, 16.77]}","{'solute_1i': '65.0 nM', 'solute_2e': '331.0 nM', 'solute_1e': '51.0 M', 'solute_2i': '88.0 nM'}"
voltage,current,solute_2,solute_1
-150,-0.00022293969993777773,-4.172143738918024e-06,-1391.633578460676
-140,-0.00020334458243412374,-3.8010363651597566e-06,-1269.3169901697736
-130,-0.0001854717366854147,-3.4626721923515765e-06,-1157.7511618645108
-120,-0.0001691697890793404,-3.1539117920875684e-06,-1055.9911896010221
-110,-0.0001543006698406374,-2.8718524059143124e-06,-963.1752146102787
-100,-0.00014073844387115208,-2.6137831397778424e-06,-878.5171251711861
-90,-0.00012836824431848622,-2.3771372027972466e-06,-801.2998997357606
-80,-0.0001170852998497014,-2.1594386508037316e-06,-730.8695349797712
-70,-0.00010679404739867859,-1.9582403630646423e-06,-666.6295073968071
-60,-9.74073228783986e-05,-1.7710489591813933e-06,-608.0357215647725
-50,-8.884562300844702e-05,-1.5952309563235594e-06,-554.5919023276593
-40,-8.103643200972476e-05,-1.427892524636355e-06,-505.8453918912384
-30,-7.391360746680652e-05,-1.2657225495220429e-06,-461.3833162549175
-20,-6.741682015902767e-05,-1.1047850847459492e-06,-420.82908852709795
-10,-6.149104311796747e-05,-9.40242339802393e-07,-383.8392195214772
0,-5.608608558545436e-05,-7.659826142523832e-07,-350.10040863136044
10,-5.115616792624194e-05,-5.741184232540076e-07,-319.326890351237
20,-4.665953389603768e-05,-3.5430758051174005e-07,-291.2580139780125
30,-4.255809698174498e-05,-9.283302135738132e-08,-265.65603599795963
40,-3.881711781916385e-05,2.2864595986903175e-07,-242.30410646562382
50,-3.540490995639606e-05,6.347898221737382e-07,-221.00443232265542
60,-3.2292571471159994e-05,1.1588837719313698e-06,-201.5766021024543
70,-2.9453740169047063e-05,1.845971341353601e-06,-183.8560578325323
80,-2.6864370289330647e-05,2.7571153669542363e-06,-167.69270119238783
90,-2.4502528826971878e-05,3.975192763074996e-06,-152.94962212108464
100,-2.2348209745471805e-05,5.612775750902701e-06,-139.50193910510913
"{'distance': [0.47, 0.505, 0.735], 'solute_2': [9.31, -18.82, 17.55], 'solute_1': [10.54, -6.81, 16.77]}","{'solute_1i': '65.0 nM', 'solute_2e': '331.0 nM', 'solute_1e': '51.0 M', 'solute_2i': '88.0 nM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,138085036940.29337,3.0059783008388625,138085036937.28738,45936804301.534279,3.4487164350204379e+22,5.418590550484038e-14,4.160938260611147e-11,6.667843360785852e-18,5.0419668440326859e-11,-3.0092121805596395,8.0542358375187262e-11,1.1392994143585855e-10
-140,114419292457.49699,3.0479617413855116,114419292454.44904,37539609144.006325,8.012489612275836e+21,7.721702864924929e-14,4.7975845518521965e-11,7.670730370334944e-18,7.191269801865019e-11,-3.0512380589876344,4.0171839249526609e-11,5.6871077291908989e-11
-130,94809508521.441452,3.0905719095389359,94809508518.350876,30677011018.192268,3.6873126303593613e+21,1.6226004541993345e-15,6.957634468562901e-11,1.1167282376600696e-17,1.510347402700063e-12,-3.0938915408005196,3.9867329563393791e-11,5.6351939173998611e-11
-120,78560553146.370972,3.1338145801845982,78560553143.237152,25068666679.616806,1.9663875554728789e+22,4.2705749062798204e-14,3.501554601825774e-11,5.6107462426124854e-18,-3.9827696696193016e-11,-3.1371783889357894,3.8626515062905287e-11,5.4542853306777106e-11
-110,65096429745.420273,3.1776958786717833,65096429742.242577,20485418438.667374,1.6282331060427479e+22,1.7966511558934004e-14,4.149569576838985e-11,6.640738306473715e-18,1.6766144028679264e-11,-3.1811047188025712,4.4607873962784027e-12,4.4787181775751694e-12
-100,53939859075.397133,3.22222226210677,53939859072.174911,16739956057.571861,4.3446693106929096e+23,7.926973930505368e-15,1.5688783605583012e-11,2.4936649967166602e-18,-7.3998585037315934e-12,-3.2256769794284748,7.6668931463801826e-11,1.0811541939492741e-10
-90,44695360535.935539,3.2674005024607791,44695360532.668137,13679180284.839308,5.749358431142169e+21,8.105791479516697e-14,3.979039320256561e-11,6.396792817664476e-18,-7.5720762993114477e-11,-3.2709019364401755,8.1332707723165104e-11,1.1509427308778464e-10
-80,37035233085.146996,3.3132376713356089,37035233081.833755,11177958468.103985,4.1422850734668969e+21,1.3390054801840643e-14,2.2168933355715126e-11,3.537209587733958e-18,1.2513989844364914e-11,-3.3167866567226256,3.1617955242022267e-11,4.1472865506403389e-11
-70,30687938820.147217,3.3597411262436858,30687938816.787476,9134018862.4763069,1.957083613086225e+21,1.4738076820693287e-14,2.944489096989855e-11,4.716279450311944e-18,-1.3778755914017893e-11,-3.3633384946153462,6.5839903132361761e-12,6.5987120281829625e-12
-60,25428477441.035217,3.4069184982718914,25428477437.6283,7463776269.944066,1.036160407655147e+21,4.105326994490095e-14,9.322320693172514e-12,1.4907779871675686e-18,3.8394620816006864e-11,-3.4105650795155587,3.0052715218831134e-11,3.6636950417889835e-11
-50,21070410390.181244,3.4547776810100506,21070410386.726467,6098919333.0729828,1.1580968897347555e+21,1.795783794155412e-14,2.2851054382044822e-11,3.6591823321385775e-18,-1.6800782987047569e-11,-3.4584743047768405,5.8171592185205244e-12,5.835089789824055e-12
-40,17459251936.738045,3.5033268206354671,17459251933.234718,4983620664.1923056,5.2602771475729895e+20,1.068417192588158e-13,4.7123194235609844e-11,7.535205098774256e-18,-9.9988906043790848e-11,-3.5070743177974095,7.0506022371813267e-11,9.3429476828721381e-11
-30,14466992932.06801,3.5525743070544737,14466992928.515436,4072256251.8510551,1.7675778445231359e+21,5.3329968970761013e-14,5.3375970310298726e-11,8.538092108323347e-18,-4.9920512168455389e-11,-3.5563735112103205,7.5349242386221542e-11,1.0610839073707523e-10
-20,11987563112.949692,3.6025287660107059,11987563109.347162,3327541261.0304379,3.8926765357205481e+20,2.482866576012765e-14,2.921751729445532e-11,4.675621868843738e-18,-2.3248514224860628e-11,-3.6063805150971273,8.557862347209719e-13,8.8025507022360117e-13
-10,9933071099.2777596,3.6531990520777771,9933071095.6245613,2719006262.0946622,4.3360600631882982e+21,1.2338188429753926e-14,7.929656931082718e-11,1.269871794523647e-17,1.1555201240298629e-11,-3.6571041901588179,6.4030334616199625e-11,8.4898676196848433e-11
0,8230688800.8579721,3.7045942424613214,8230688797.1533775,2221751766.0961237,1.8875835469531432e+21,5.372052082790516e-14,9.993073035730049e-11,1.6019087098473328e-17,-5.0317972011271195e-11,-3.7085536217948709,1.2349406202663062e-10,1.7470067927016775e-10
