"{'distance': [0.352, 0.732, 0.846], 'solute_2': [10.14, -8.9, 8.52], 'solute_1': [17.69, -4.86, 18.74]}","{'solute_1i': '399.0 M', 'solute_2e': '190.0 M', 'solute_1e': '42.0 uM', 'solute_2i': '223.0 M'}"
voltage,current,solute_2,solute_1
-150,-0.04063178806233547,-253632.24910552285,0.6132607321043695
-140,-0.036897407567387165,-230321.707237879,0.811061929154218
-130,-0.033220109898413216,-207367.53816669172,1.0594000674153996
-120,-0.02962260701731588,-184911.52104290068,1.3648798802059519
-110,-0.026131712604398425,-163121.0369680505,1.7323213686846781
-100,-0.022776083957934526,-142174.9724538279,2.163727644845414
-90,-0.01958337380902507,-122245.93960065112,2.6573969989971005
-80,-0.016577184152278032,-103481.26080516505,3.2074201585978956
-70,-0.013774304657124276,-85985.73047246732,3.8037738138995483
-60,-0.011182679750950938,-69808.92594136312,4.433113954022181
-50,-0.008800385523528239,-54938.822553973325,5.080209851984766
-40,-0.0066156656591953395,-41302.01980134516,5.729793883611676
-30,-0.00460785433474748,-28769.50416704468,6.368494463651581
-20,-0.002748869181401234,-17165.97016356481,6.986509374831364
-10,-0.0010049151140715828,-6280.457129697199,7.578764706043877
0,0.0006619146799967557,4123.656545211386,8.145452271483045
10,0.002292359131648186,14300.665885209426,8.691990247415111
20,0.003929144652529515,24517.267397001997,9.228561359517796
30,0.005616602033960396,35050.16836050726,9.769429507699316
40,0.0074007142408166705,46186.385882448376,10.332225021482332
50,0.00932953672496195,58225.87117787538,10.93734248635033
60,0.011453926800752285,71486.0628791115,11.607537569436335
70,0.013828527768253112,86308.03029561952,12.367758394918823
80,0.016512969619693195,103063.96839462136,13.245211453517223
90,0.019573266337731706,122165.91973122575,14.269642879804469
100,0.02308340717414435,144075.70705230223,15.47381002205987
"{'distance': [0.352, 0.732, 0.846], 'solute_2': [10.14, -8.9, 8.52], 'solute_1': [17.69, -4.86, 18.74]}","{'solute_1i': '399.0 M', 'solute_2e': '190.0 M', 'solute_1e': '42.0 uM', 'solute_2i': '223.0 M'}"
