"{'distance': [0.172, 0.28, 0.303, 0.353, 0.537, 0.659, 0.835, 0.856, 0.967], 'solute_1': [8.16, -17.49, 14.93, -13.5, 15.67, -10.04, 18.04, -17.35, 10.35]}","{'solute_1i': '401.0 mM', 'solute_1e': '172.0 uM'}"
voltage,current,solute_1
-150,-0.000000036783197261938103546879118756251928317239457094344576724916890108627657672017424,-0.076535990973653981231758121693896392580656363184215921424497227858171187105912557
-140,-0.00000003559262739721744235050290129723035176571747711442267089346761496200750826235466,-0.074058733660460761941341449964353491868408683942839052231919485153978427334885296
-130,-0.0000000341214717985424262281089085398014867577692712332276329667804288778566389655708,-0.070997652514653404230731945434360043135982078758538089732200264183782751266907178
-120,-0.000000031868691944315790615982781474176729628419640200487601130999318564267043537807513,-0.066310220441772348046993694385383092009204722350947593057255113301565859175429472
-110,-0.000000027753788883661529930511881785433569751040632677953802902644272641792410875240311,-0.05774820824731903829501621545684986189546075802442595827813774033676303956539815
-100,-0.000000020520876544934345187658053356718323606239221974092941742915915506347090697915127,-0.042698453068943705981166898820439889724658709482887581799328139185410274807317545
-90,-0.000000011349029020069894637196273089670333130395707382789326368298066303529937279787365,-0.023614292592738024522893042795137083682144653056368963414328207541325684406016604
-80,-0.000000004318998586893956829361270371896204093983695875852187389079509797210208892395711,-0.0089866803722304552845707568279432668727386405855524803114531087743689577895138715
-70,-0.00000000087001154600952216391146305110302420822308109689150052570304970528256892825235827,-0.0018102612276519395754556080581445939421907492903889470821388566076538797981940881
-60,0.00000000044221537064166157518297708684195804983037294051327717217288378761693577458217213,0.00092013185734844272404601772046750979537302588647628971972018947294150155063719842
-50,0.00000000090000615723684942811551606726037512190374195913986953155960669450025300314274246,0.0018726719875922792842944733487087123786172738707655514064118791219349303625851387
-40,0.000000001066403997478274707675081500493345301374196362670166866801857488519388556984978,0.0022189013680363601806835070105810553758856631646976589068932141535650546248773011
-30,0.0000000011392467150353559378163310943635737602708480623464881147258491894790197701336604,0.0023704675718588346497029427113691169300922679597234344076884034915906895313585498
-20,0.0000000011829179329257383836517099841620985882805638017581970743100039288270878860700681,0.0024613356906486441495723346223644483977545175140366533133195440562763997663572906
-10,0.0000000012178616202394938002521629614347783039884966601859257001735455259832938061903048,0.002534044153640228453446456987147722054091399791037827314615105528114456446980061
0,0.0000000012505444783827443975867269661931659544614733187428307953748016989356340493264167,0.0026020484360856104700637526211952818916380120171450048205185937525544452212789357
10,0.0000000012830303581403102042884325581829937971432796665820169974854740982597364146351705,0.0026696428592182900509091700529953534665182410702001674984341088271245897604551011
20,0.000000001315995598639051603036626692465676761949672447803098963518402376922267198767855,0.0027382347037849596276853272722913283149496564803836334326737128255494678958903608
30,0.0000000013496763697364598525310558279899005033768071216273866748392718563691096452019853,0.0028083153760642110828280854671109303962299123650347692974754687548980268872150042
40,0.000000001384167432394546310563377184213244252509311754427797233055660175101407876811825,0.0028800820482616444117415795961542310302315264738831812814282179042838100896665527
50,0.0000000014195172298511327843049030181572299266626262507861470394794760116196416566843533,0.0029536355177926191799087319561933085021990473219436120516193398802516356910484314
60,0.0000000014557586558045659600699604047364898014255692029703752282747315850816418517428995,0.0030290442276416270359233374422504095514986244048394677713848792334625891131153247
70,0.0000000014929192885246099450320536266730655814941294404508422292992916713416368437309998,0.0031063655608085932964174791837786810929975610924773263220199920653768072103511524
80,0.0000000015310249502160179734391940068251099459352115504420277826707677033983509791421623,0.0031856532463920473709789519371947394875373050014123855829908389865293197632152649
90,0.0000000015701010323517693814060582889335710135205120100595900596969618657478814767290325,0.0032669601172529533380816665122637567190002571113652363064153223004227577180120221
100,0.0000000016101730386518665747334269143698753853168289833004135231241043593090079695208106,0.0033503392398082949800823951176955141217298100351927646313855970824173626961499833
"{'distance': [0.172, 0.28, 0.303, 0.353, 0.537, 0.659, 0.835, 0.856, 0.967], 'solute_1': [8.16, -17.49, 14.93, -13.5, 15.67, -10.04, 18.04, -17.35, 10.35]}","{'solute_1i': '401.0 mM', 'solute_1e': '172.0 uM'}"
