voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-40,-0.024490256834666345,-76436.50697461407,-40,126429272.1582548,67461.334270276828,126361810.82398452,1874.0997865789172,18615813585467740.0,6.79574441164732e-09,2.1788126858268697e-15,-55348051.01586549,-1.4901161193847656e-08,1.8372330645599463e-08,4.4611617511236545e-08,-40,-0.024490256834666657,-0.024490256834666345,-0.024490256834667663,-0.024490256834668524,-0.024490256834666806,-76436.50697461504,-76436.50697461407,-76436.50697461818,-76436.50697462086,-76436.5069746155
-30,-0.01896617564423632,-59195.30475729188,-30,123700262.64094689,73079.990983088384,123627182.64996381,1692.6693747071297,2.0842089007312806e+17,1.726584741845727e-08,5.530298441414061e-15,-26354606.988972366,-7.4505805969238281e-09,2.050789864925191e-08,4.0651613630870997e-08,-30,-0.01896617564424185,-0.01896617564423632,-0.01896617564423909,-0.018966175644238845,-0.01896617564423924,-59195.304757309146,-59195.30475729188,-59195.30475730053,-59195.30475729977,-59195.304757301
-20,-0.013022014672135315,-40642.992110285006,-20,121763357.12485696,79166.60913778223,121684190.51571918,1538.0645761010048,36577010385442224.0,1.1961674317717552e-08,3.832004158432767e-15,-17553001.405944124,7.4505805969238281e-09,1.6374706535238817e-08,4.3842081964839963e-08,-20,-0.013022014672134784,-0.013022014672135315,-0.013022014672135455,-0.013022014672138616,-0.01302201467213814,-40642.99211028335,-40642.992110285006,-40642.99211028544,-40642.99211029531,-40642.992110293824
-10,-0.006649829611207945,-20754.77406744053,-10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,28750079576937948.0,1.1707015801221132e-08,3.750472155061857e-15,14474515.192906752,1.6763806343078613e-08,1.5626980108230732e-08,4.1034631692582479e-08,-10,-0.006649829611207612,-0.006649829611207945,-0.006649829611206679,-0.006649829611204194,-0.006649829611207761,-20754.774067439488,-20754.77406744053,-20754.774067436578,-20754.77406742882,-20754.774067439954
0,-4.723045276477933e-15,-1.4741090126335621e-08,0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,17682032545690676.0,3.795867087319493e-08,1.2161958147771655e-14,14320646.690063389,5.7741999626159668e-08,4.0042177638746648e-08,7.5033085522591136e-08,0,-7.198797538876533e-15,-4.723045276477933e-15,1.0443851351737976e-15,4.963160608895123e-15,3.3196527510881422e-15,-2.246815711259842e-08,-1.4741090126335621e-08,3.259629011154175e-09,1.5490513760596514e-08,1.0360963642597198e-08
10,0.006649829611203747,20754.774067427425,10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,65062383876720104.0,2.7263013180345297e-08,8.735200063281212e-15,16935916.647613898,2.0489096641540527e-08,2.5075464605520419e-08,6.2368087583308807e-08,10,0.0066498296111995175,0.006649829611203747,0.006649829611200487,0.006649829611208253,0.006649829611207947,20754.774067414226,20754.774067427425,20754.774067417253,20754.77406744149,20754.774067440536
20,0.013022014672136208,40642.99211028779,20,121763357.12485696,79166.609137782245,121684190.51571918,1538.0645761010046,62883526894294408.0,1.522857928648591e-08,4.879777137922758e-15,23930948.608616281,-2.0489096641540527e-08,1.9488734029995916e-08,5.2762551661089674e-08,20,0.0130220146721409,0.013022014672136208,0.013022014672141088,0.01302201467213643,0.013022014672136314,40642.99211030244,40642.99211028779,40642.99211030302,40642.992110288484,40642.99211028812
30,0.01896617564424178,59195.30475730893,30,123700262.64094689,73079.990983088399,123627182.64996381,1692.6693747071295,28094976577728660.0,6.18965714238584e-08,1.983135877736686e-14,40988814.852946013,-4.9825757741928101e-08,5.2538280857193518e-08,1.0984115306200692e-07,30,0.0189661756442555,0.01896617564424178,0.01896617564424405,0.01896617564423567,0.01896617564423646,59195.304757351754,59195.30475730893,59195.304757316015,59195.30475728986,59195.304757292324
40,0.024490256834661616,76436.50697459931,40,126429272.15825483,67461.334270276857,126361810.82398455,1874.099786578917,17522242639041390.0,2.495653461664915e-08,7.99707522425308e-15,84535003.063083917,-2.9802322387695313e-08,3.3291038158852581e-08,5.7736748715342401e-08,40,0.02449025683466897,0.024490256834661616,0.0244902568346619,0.024490256834669613,0.024490256834667795,76436.50697462226,76436.50697459931,76436.5069746002,76436.50697462427,76436.50697461859
50,0.029706555519828613,92717.08963741765,50,129967860.65469803,62274.660413945508,129905585.99428408,2087.010347238981,1.2341056864821189e+17,2.1056621335446835e-08,6.744604874597826e-15,103370858.11396927,7.4505805969238281e-08,6.3514975729246821e-08,1.3171895574259906e-07,50,0.02970655551982389,0.029706555519828613,0.02970655551982736,0.029706555519830636,0.029706555519830577,92717.08963740291,92717.08963741765,92717.08963741374,92717.08963742397,92717.08963742378
60,0.034762240307195054,108496.38048437907,60,134338687.17761287,57486.756993789844,134281200.42061907,2336.8632047225269,82575359558233120.0,3.1082890927791595e-08,9.957312752106873e-15,-72898891.842036039,-2.9802322387695313e-08,2.975328113695573e-08,6.6630668982270436e-08,60,0.03476224030719973,0.034762240307195054,0.03476224030718977,0.034762240307191675,0.034762240307192556,108496.38048439368,108496.38048437907,108496.3804843626,108496.38048436854,108496.38048437127
70,0.03979601387747597,124207.28426178519,70,139569739.93901694,53066.965081723654,139516672.97393522,2630.0682491278358,47032505089206064.0,4.857429303228855e-08,1.5563939026463913e-14,-59606717.924476542,-6.7055225372314453e-08,5.2954050503299428e-08,9.62753858857468e-08,70,0.03979601387748374,0.03979601387747597,0.03979601387746817,0.03979601387746832,0.0397960138774696,124207.28426180943,124207.28426178519,124207.28426176085,124207.28426176129,124207.28426176531
80,0.0449226925932619,140208.1541612419,80,145694515.53571963,48986.982920067931,145645528.55279955,2974.1475561671027,89614691773573392.0,1.0026269592344761e-07,3.212707877509047e-14,-55318997.231565915,1.1175870895385742e-07,7.3567731198306762e-08,1.3337496795884363e-07,80,0.04492269259324722,0.0449226925932619,0.04492269259327273,0.044922692593278614,0.04492269259327935,140208.1541611961,140208.1541612419,140208.15416127568,140208.15416129405,140208.15416129635
90,0.050233334244396674,156783.19052558264,90,152752233.44190088,45220.684693677635,152707012.75720721,3377.928363461011,9.209032150676704e+17,2.5203917175531387e-08,8.076872504148014e-15,-55474597.414677866,2.2351741790771484e-08,1.8271951302195863e-08,3.8196226626041607e-08,90,0.05023333424439276,0.050233334244396674,0.05023333424439822,0.05023333424440084,0.050233334244400143,156783.19052557042,156783.19052558264,156783.19052558747,156783.19052559562,156783.19052559347
100,0.055800817875065536,174159.8560395304,100,160788087.14764395,41743.953235529763,160746343.19440842,3851.7695303182618,2.0183686447818787e+17,1.8189894035458565e-08,5.828670879282072e-15,-58486707.242583968,-5.2154064178466797e-08,2.1572021097616583e-08,4.7361391253275542e-08,100,0.055800817875062726,0.055800817875065536,0.0558008178750653,0.05580081787506025,0.05580081787505971,174159.85603952163,174159.8560395304,174159.85603952967,174159.8560395139,174159.8560395122
