voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150,-3.678319726176989e-08,-0.07653599097330396,-150,57409346.665393919,0.001784369561639611,57409346.663609549,32173462212.974514,45542845154508032.0,2.7569058147491887e-10,1.3249689054623752e-16,-5.8597020569095548e-09,-6.0581514589755541,2.6246456857317226e-10,5.5186626975726365e-10,-150,-3.678319737219015e-08,-3.678319726176989e-08,-3.678319724690546e-08,-3.678319725575235e-08,-3.678319723969326e-08,-0.07653599120305898,-0.07653599097330396,-0.07653599094237507,-0.07653599096078309,-0.0765359909273684
-140,-3.559262739677468e-08,-0.0740587336595395,-140,56499332.066786245,0.0018299070369643317,56499332.064956337,30875520409.230232,44576562909298952.0,1.48929757415317e-10,7.157564723663787e-17,5.032437522256572e-10,-3.986396016580235,1.7441578552003916e-10,4.745383775327499e-10,-140,-3.559262741326243e-08,-3.559262739677468e-08,-3.559262734168678e-08,-3.5592627383973214e-08,-3.559262737709214e-08,-0.07405873369384608,-0.0740587336595395,-0.07405873354491632,-0.07405873363290306,-0.07405873361858539
-130,-3.412147179779218e-08,-0.07099765251309234,-130,56161954.585415505,0.0018766066379515439,56161954.583538897,29927398448.681004,24061798487823876.0,1.0732037480920553e-10,5.15781721163642e-17,-1.149536910105553e-09,-2.5824686026869932,2.3119400378164442e-10,5.6225098538022385e-10,-130,-3.4121471805246985e-08,-3.412147179779218e-08,-3.412147177290135e-08,-3.412147182432453e-08,-3.412147182447952e-08,-0.0709976525286038,-0.07099765251309234,-0.07099765246130119,-0.07099765256829907,-0.07099765256862156
-120,-3.1868691951254485e-08,-0.06631022045620992,-120,56305447.056683049,0.0019244980222852929,56305447.054758549,29257212220.889553,16297535390275012.0,3.346874860588045e-10,1.6085080229487299e-16,-1.1045384668473181e-09,-1.6590993550471393,5.1811239824535576e-10,1.2574154354186556e-09,-120,-3.186869179827154e-08,-3.1868691951254485e-08,-3.186869181488146e-08,-3.186869183498923e-08,-3.186869179040368e-08,-0.06631022013789334,-0.06631022045620992,-0.06631022017245414,-0.06631022021429302,-0.06631022012152243
-110,-2.775378886503389e-08,-0.0577482082085599,-110,56856008.74722822,0.0019736116045197733,56856008.745254606,28808104196.905876,2.3422528198478765e+17,4.147295840084553e-10,1.99319038513721e-16,-1.2251726300149812e-09,-1.0901394759813545,6.4762080793389636e-10,1.6280040046362954e-09,-110,-2.7753788787867233e-08,-2.775378886503389e-08,-2.775378898718627e-08,-2.7753788976383058e-08,-2.7753788868294216e-08,-0.05774820804799674,-0.0577482082085599,-0.057748208462726325,-0.05774820844024773,-0.057748208215343766
-100,-2.0520876447110274e-08,-0.04269845286539799,-100,57754442.892150357,0.0020239785753948087,57754442.890126377,28535105852.533272,32293712062443872.0,1.2500544904758826e-09,6.007761867734131e-16,-6.0795135592428551e-10,-0.79015575871823718,1.802718523627723e-09,3.9338381036262311e-09,-100,-2.052087704788646e-08,-2.0520876447110274e-08,-2.052087665274521e-08,-2.052087671789647e-08,-2.0520876647499972e-08,-0.04269845411545248,-0.04269845286539799,-0.04269845329326927,-0.042698453428831606,-0.04269845328235533
-90,-1.1349030543191518e-08,-0.023614295761946562,-90,58953429.670200147,0.002075630921644268,58953429.668124519,28402655335.033539,5.4079490607765638e+17,5.140884697107939e-09,2.470709186236207e-15,7.4427894514172976e-08,-0.69658988621469731,6.130450176033023e-09,1.1065874852458479e-08,-90,-1.134903008335823e-08,-1.1349030543191518e-08,-1.1349029490646353e-08,-1.1349028072482332e-08,-1.1349028285990062e-08,-0.023614294805156533,-0.023614295761946562,-0.023614293571881717,-0.023614290621061865,-0.02361429106531432
-80,-4.3189983044567804e-09,-0.008986679784554266,-80,60415314.768573008,0.0021286014463099954,60415314.766444407,28382633523.671169,38455098693728536.0,7.098422578899477e-10,3.4115018912530905e-16,-3.8342531627467112e-09,-0.75614833734652487,8.4088082664512074e-10,1.7875494197100873e-09,-80,-4.318998434618697e-09,-4.3189983044567804e-09,-4.31899842937346e-09,-4.3189986456069696e-09,-4.318998577988532e-09,-0.008986680055386387,-0.008986679784554266,-0.00898668004447245,-0.008986680494396524,-0.008986680353700649
-70,-8.700120248855336e-10,-0.0018102622240647806,-70,62136150.742413931,0.0021829237895741554,62136150.740231007,28464645004.640976,33819800707863584.0,1.0956526866334748e-09,5.265706812167557e-16,2.7972457683489438e-09,-0.91906360950712984,1.3907675420055552e-09,2.4016581844457131e-09,-70,-8.700115962259587e-10,-8.700120248855336e-10,-8.70011625074767e-10,-8.700115176719108e-10,-8.700114983148524e-10,-0.0018102613321389072,-0.0018102622240647806,-0.0018102613921655575,-0.001810261168688953,-0.001810261128412094
-60,4.4221525561771786e-10,0.0009201316180143942,-60,64468863.656562656,0.0022386324501232286,64468863.654324025,28798324465.016079,9.0549475560735373e+17,2.4639553548519433e-10,1.184176943922289e-16,-3.7821217269140561e-09,-1.1413353790622469,3.0424084859779309e-10,5.6607212000530163e-10,-60,4.4221528836060315e-10,4.4221525561771786e-10,4.422153019108009e-10,4.4221537403541225e-10,4.422153604826235e-10,0.0009201316861435771,0.0009201316180143942,0.0009201317143379129,0.0009201318644099297,0.0009201318362102029
