voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-50,-0.02970655551982747,-92717.08963741407,-50,129967860.65469801,62274.660413945494,129905585.99428406,2087.010347238981,36436473743360472.0,4.6158675104379654e-08,1.4786782909226304e-14,156683.0380810498,1.0755485955945782e-09,3.1805504968313263e-08,1.0275838846496299e-07,-50,-0.02970655551983273,-0.02970655551982747,-0.02970655551982492,-0.029706555519826566,-0.029706555519839705,-92717.0896374305,-92717.08963741407,-92717.08963740611,-92717.08963741126,-92717.08963745227
-40,-0.024490256834666456,-76436.50697461441,-40,126429272.1582548,67461.334270276828,126361810.82398452,1874.0997865789172,18615813585467740.0,5.413312464952469e-08,1.7343765312816117e-14,150214.92569613454,1.1694851113926421e-08,3.1950893543184734e-08,1.0788207305267861e-07,-40,-0.024490256834662518,-0.024490256834666456,-0.02449025683466507,-0.02449025683467307,-0.024490256834679862,-76436.50697460212,-76436.50697461441,-76436.50697461009,-76436.50697463505,-76436.50697465625
-30,-0.018966175644238862,-59195.30475729982,-30,123700262.64094689,73079.990983088384,123627182.64996381,1692.6693747071297,2.0842089007312806e+17,3.032619133591652e-08,9.71445146547012e-15,145622.76374993083,3.3888217881919075e-09,3.7224561394238085e-08,1.0238421310759804e-07,-30,-0.01896617564423482,-0.018966175644238862,-0.01896617564424103,-0.018966175644239375,-0.018966175644244535,-59195.3047572872,-59195.30475729982,-59195.304757306585,-59195.30475730142,-59195.30475731753
-20,-0.013022014672137686,-40642.992110292405,-20,121763357.12485696,79166.60913778223,121684190.51571918,1538.0645761010048,36577010385442224.0,1.8444552551954985e-08,5.910202882652982e-15,142875.05091101746,5.5168516240373679e-09,2.7084590008224758e-08,8.1117672579011924e-08,-20,-0.013022014672135212,-0.013022014672137686,-0.013022014672137656,-0.013022014672131776,-0.013022014672136761,-40642.992110284686,-40642.992110292405,-40642.99211029231,-40642.99211027396,-40642.99211028952
-10,-0.0066498296112067375,-20754.77406743676,-10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,28750079576937948.0,1.257285475730896e-08,4.028027911218146e-15,141665.55478877071,1.0440270638671919e-09,1.3864638446291079e-08,3.8622211206984502e-08,-10,-0.006649829611205076,-0.0066498296112067375,-0.006649829611208805,-0.0066498296112077636,-0.006649829611204777,-20754.774067431572,-20754.77406743676,-20754.774067443213,-20754.77406743996,-20754.77406743064
0,2.14471947401762e-16,6.693881005048752e-10,0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,17682032545690676.0,5.791662260890007e-09,1.8556485883891582e-15,141384.48873654305,1.1204927320568117e-08,7.5100175883895769e-09,2.0431301095413801e-08,0,1.8649734556674956e-16,2.14471947401762e-16,1.8649734556674956e-16,-1.4686665963381527e-16,-1.641176640987396e-15,5.820766091346741e-10,6.693881005048752e-10,5.820766091346741e-10,-4.5838532969355583e-10,-5.122274160385132e-09
10,0.006649829611203427,20754.774067426428,10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,65062383876720104.0,1.979060471057892e-08,6.341281666433218e-15,141665.55478876916,3.0015778086181649e-09,1.9321088525194556e-08,6.3665453353678458e-08,10,0.00664982961120832,0.006649829611203427,0.006649829611202054,0.00664982961120625,0.006649829611208395,20754.7740674417,20754.774067426428,20754.774067422142,20754.77406743524,20754.774067441933
20,0.013022014672139717,40642.99211029874,20,121763357.12485696,79166.609137782245,121684190.51571918,1538.0645761010046,62883526894294408.0,1.83063093572855e-08,5.8668347957535616e-15,142875.05091100631,4.6393767025671165e-09,2.1704892448359014e-08,6.9651957090854921e-08,20,0.01302201467213385,0.013022014672139717,0.013022014672138588,0.013022014672136067,0.013022014672134373,40642.99211028044,40642.99211029874,40642.99211029522,40642.992110287356,40642.992110282066
30,0.018966175644239452,59195.30475730166,30,123700262.64094689,73079.990983088399,123627182.64996381,1692.6693747071295,28094976577728660.0,8.258211892098188e-09,2.643718577388654e-15,145622.76374992219,2.3855060206742416e-09,1.4848668211053285e-08,5.0292285891373467e-08,30,0.018966175644241065,0.018966175644239452,0.01896617564424006,0.01896617564423842,0.01896617564423918,59195.3047573067,59195.30475730166,59195.30475730356,59195.30475729844,59195.30475730082
40,0.02449025683466762,76436.50697461805,40,126429272.15825483,67461.334270276857,126361810.82398455,1874.099786578917,17522242639041390.0,1.3023964129388332e-08,4.173744683200198e-15,150214.92569613561,1.3103169621748663e-09,1.7266781424522485e-08,5.6355425215315336e-08,40,0.024490256834671695,0.02449025683466762,0.024490256834670238,0.02449025683466752,0.02449025683466828,76436.50697463076,76436.50697461805,76436.50697462622,76436.50697461773,76436.5069746201
50,0.029706555519829057,92717.08963741903,50,129967860.65469803,62274.660413945508,129905585.99428408,2087.010347238981,1.2341056864821189e+17,1.7345882952213287e-08,5.55805401702969e-15,156683.0380810427,6.0557470293730125e-09,1.2339971970314826e-08,3.9526977246850947e-08,50,0.02970655551983344,0.029706555519829057,0.02970655551982788,0.029706555519827958,0.029706555519829102,92717.08963743271,92717.08963741903,92717.08963741537,92717.0896374156,92717.08963741918
60,0.03476224030719152,108496.38048436806,60,134338687.17761287,57486.756993789844,134281200.42061907,2336.8632047225269,82575359558233120.0,2.0721927285194397e-08,6.6405214660392176e-15,164970.57131418923,2.7739688769663867e-09,2.4778436239383037e-08,8.1672514085084913e-08,60,0.034762240307194624,0.03476224030719152,0.03476224030718798,0.03476224030719265,0.034762240307191425,108496.38048437773,108496.38048436806,108496.38048435701,108496.38048437159,108496.38048436775
70,0.03979601387746908,124207.28426176368,70,139569739.93901694,53066.965081723654,139516672.97393522,2630.0682491278358,47032505089206064.0,1.5832483768463135e-08,5.072331443756184e-15,175031.48388024719,3.184451846451204e-09,1.4533491067779718e-08,4.3270286909091737e-08,70,0.039796013877470386,0.03979601387746908,0.0397960138774703,0.039796013877470664,0.039796013877474154,124207.28426176775,124207.28426176368,124207.28426176749,124207.28426176863,124207.28426177951
80,0.04492269259327677,140208.1541612883,80,145694515.53571963,48986.982920067931,145645528.55279955,2974.1475561671027,89614691773573392.0,4.8603396862745285e-09,1.5612511283791264e-15,186854.62204174139,2.8177486979496799e-09,7.9613816648268313e-09,2.620924277607628e-08,80,0.044922692593275346,0.04492269259327677,0.044922692593276886,0.04492269259327604,0.04492269259327691,140208.15416128386,140208.1541612883,140208.15416128866,140208.15416128602,140208.15416128872
90,0.05023333424440291,156783.1905256021,90,152752233.44190088,45220.684693677635,152707012.75720721,3377.928363461011,9.209032150676704e+17,2.0838342607021332e-08,6.675215935558754e-15,200457.50318366973,6.9971783973048499e-09,1.5648776779904502e-08,4.9529022660976807e-08,90,0.05023333424439783,0.05023333424440291,0.05023333424440451,0.05023333424440003,0.05023333424439882,156783.19052558625,156783.1905256021,156783.1905256071,156783.19052559312,156783.19052558934
100,0.05580081787506194,174159.8560395192,100,160788087.14764395,41743.953235529763,160746343.19440842,3851.7695303182618,2.0183686447818787e+17,2.0838342607021332e-08,6.675215935558754e-15,215870.54242206001,7.9098258438038656e-09,1.9183632712856695e-08,6.8487038262787792e-08,100,0.05580081787505527,0.05580081787506194,0.055800817875059305,0.05580081787506081,0.05580081787506027,174159.85603949835,174159.8560395192,174159.85603951095,174159.85603951564,174159.85603951395
