voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-20,1.1829150028937211e-09,0.002461329594036041,-20,75538753.634595886,0.0024760515292347714,75538753.632119834,30507747008.779453,20875065203095280.0,1.0188863002868337e-08,4.89676755901952e-15,1.3869864937085334,2.1777809397955523e-09,2.0464917273079576e-08,6.1225160955620181e-08,-20,1.1829130208792777e-09,1.1829150028937211e-09,1.1829175111853374e-09,1.1829179176468367e-09,1.1829163791154884e-09,0.0024613254699943354,0.002461329594036041,0.00246133481311972,0.0024613356588573383,0.0024613324575852857
-10,1.2178739975895428e-09,0.0025340699075937223,-10,78749648.655729324,0.0025392408695145167,78749648.653190076,31013067567.23148,1.3186167372805632e+17,2.601177745073513e-08,1.2501260242805982e-14,1.4820812401718115,7.0427613078116379e-09,3.6376488784127785e-08,1.1881500306112691e-07,-10,1.2178719471401565e-09,1.2178739975895428e-09,1.2178689690197757e-09,1.2178614963293e-09,1.217870514671165e-09,0.0025340656411572127,0.0025340699075937223,0.0025340594444855924,0.0025340438958162716,0.0025340626605725447
0,1.2505564274737427e-09,0.002602073298946614,0,82148767.256033897,0.0026040428146523785,82148767.25342986,31546626957.821423,1.6532148700005789e+17,2.5206059765456312e-08,1.2114032323479033e-14,1.5788685827590663,3.4814750080549329e-10,2.9228091639700786e-08,7.6941043931307615e-08,0,1.2505555294377701e-09,1.2505564274737427e-09,1.2505529184020816e-09,1.2505443134414193e-09,1.2505537422800585e-09,0.0026020714303740533,0.002602073298946614,0.0026020659975074523,0.0026020480928868484,0.0026020677117770674
10,1.2830288960621473e-09,0.002669639817024859,10,85744871.742670611,0.002670498518653397,85744871.740000114,32108189217.759834,27733408961096284.0,6.74300952852036e-08,3.2406903794137406e-14,1.6793006139226103,4.2947941938080381e-09,6.7531128688896487e-08,2.254696360999848e-07,10,1.2830283222363504e-09,1.2830288960621473e-09,1.2830362434060418e-09,1.2830303363043846e-09,1.2830607291401446e-09,0.0026696386230469216,0.002669639817024859,0.0026696551048814854,0.0026696428137835716,0.0026697060531422068
20,1.3159918574450435e-09,0.0027382269193613057,20,89548559.788977712,0.0027386501857812203,89548559.786239058,32698064270.458595,34650989296660080.0,2.789020214777338e-08,1.340403115214755e-14,1.7846537671851235,6.7099787400307688e-09,2.3952248946394764e-08,7.2308131056802122e-08,20,1.315999975618979e-09,1.3159918574450435e-09,1.3159865715878269e-09,1.3159955987895395e-09,1.3159975524112965e-09,0.002738243811108987,0.0027382269193613057,0.002738215920906839,0.0027382347040980845,0.0027382387690622068
30,1.3497009746995795e-09,0.002808366572408613,30,93572292.053476259,0.0028085410973609165,93572292.050667718,33317045686.603168,35319917736203508.0,1.296692309082914e-07,6.23190323745554e-14,1.8958174072976002,1.8813684643983262e-08,6.6287431696242691e-08,2.0958224074171332e-07,30,1.349708016247496e-09,1.3497009746995795e-09,1.3496655864770404e-09,1.349676348372039e-09,1.3496456972151214e-09,0.0028083812239856343,0.002808366572408613,0.0028082929389867672,0.002808315331610568,0.002808251554754726
40,1.3841498182593773e-09,0.0028800453979595866,40,97830462.361485526,0.0028802156392658002,97830462.35860531,33966367319.08852,14920988945625826.0,5.2072847166184655e-08,2.5026210348162116e-14,2.0134726581861315,5.1851161969170759e-09,4.1915644901109015e-08,1.2674969811141624e-07,40,1.3841673733801144e-09,1.3841498182593773e-09,1.3841592913573162e-09,1.3841674384843133e-09,1.3841748444697255e-09,0.002880081925468403,0.0028800453979595866,0.002880065108941565,0.00288008206093282,0.002880097470806753
50,1.4194895674013858e-09,0.0029535779596366746,50,102339508.78724384,0.0029537193301057314,102339508.78429012,34647675472.801437,56226522692402960.0,6.475540862511606e-08,3.112144938532564e-14,2.1381967729588234,2.5118044103930208e-09,2.7766844440443375e-08,8.8719852409671094e-08,50,1.4194861398948432e-09,1.4194895674013858e-09,1.41950308830967e-09,1.4195172613442285e-09,1.419507665602032e-09,0.0029535708279126993,0.0029535779596366746,0.00295360609302886,0.0029536355833213244,0.002953615617149463
60,1.4557488083867835e-09,0.0030290237378002155,60,107118065.17507395,0.003029098850134782,107118065.17204486,35363014043.040443,66759570127028296.0,2.3243669970522685e-08,1.117090778783676e-14,2.2705224898794683,1.404348787685048e-09,1.6504088871464056e-08,4.9233185491331875e-08,60,1.455747494554862e-09,1.4557488083867835e-09,1.4557533919632037e-09,1.4557586654626499e-09,1.455751651369357e-09,0.0030290210040675447,0.0030290237378002155,0.0030290332749962623,0.0030290442477375152,0.0030290296532862193
70,1.4929144661351186e-09,0.0031063555267064474,70,112187153.73225057,0.0031064020708966322,112187153.72914417,36114820674.153381,7753152558095699.0,3.4405862284203614e-08,1.6535457413857107e-14,2.4109717495839296,3.3268227767289741e-09,3.2021389411573853e-08,9.3628418621247822e-08,70,1.4929229744048371e-09,1.4929144661351186e-09,1.4929177530999914e-09,1.4929192885370515e-09,1.4929310015925324e-09,0.00310637323013907,0.0031063555267064474,0.0031063623660008144,0.0031063655608344807,0.0031063899325687316
80,1.530988959597707e-09,0.0031855783595457904,80,117570420.35097986,0.0031856780856265275,117570420.34779419,36905932486.225227,38206501620354048.0,1.2131856474972835e-07,5.830570221874268e-14,2.5600749188710661,5.651323008934793e-09,4.8840542542932403e-08,1.5462697251280545e-07,80,1.5309702723944384e-09,1.530988959597707e-09,1.5310055882125703e-09,1.5310249633349237e-09,1.5310285780966571e-09,0.0031855394764761513,0.0031855783595457904,0.0031856129592438,0.00318565327368898,0.003185660795040901
90,1.5701217633508085e-09,0.0032670032529147075,90,123294415.30470714,0.0032669772404290915,123294415.30144016,37739600318.89093,9375823967804394.0,5.2420938673192197e-08,2.5193503126361253e-14,2.7183822448735375,3.3855674760332734e-09,3.083724347028434e-08,8.4069113847095756e-08,90,1.570114289023809e-09,1.5701217633508085e-09,1.5701104176118482e-09,1.5701010259908516e-09,1.5700965698476821e-09,0.003266987700840218,0.0032670032529147075,0.003266979645467849,0.0032669601040175855,0.0032669508319760343
100,1.6101449658424138e-09,0.0033502808278036075,100,129388922.94373581,0.0033503511662518136,129388922.94038546,38619510768.624573,52882659619109280.0,6.029503791128016e-08,2.897779522003029e-14,2.8864709813991452,1.9731234624286722e-09,3.4938935967425249e-08,1.1713203757347963e-07,100,1.6101440661267362e-09,1.6101449658424138e-09,1.6101577021822948e-09,1.6101730439219562e-09,1.610162298249283e-09,0.00335027895573603,0.0033502808278036075,0.0033503073287188823,0.0033503392507739415,0.003350316891904459
