"{'distance': [0.041, 0.096, 0.359, 0.373, 0.391, 0.433, 0.555, 0.758, 0.853], 'solute_1': [10.73, -17.03, 19.45, -12.06, 16.98, -14.02, 15.69, -12.29, 7.25]}","{'solute_1i': '127.0 nM', 'solute_1e': '27.0 M'}"
voltage,current,solute_1
-150,-0.000000047854423961549343272093658946020940439655101427582376709949551519512456760777879,-0.099572251272470543185526607248861450178714865494697339279213258245737813008280454
-140,-0.000000034902742027709911344958027882064052540256688124892798570633521374012669768804034,-0.072623266807552873879721264894902260276582876347186505125920242935201484995020413
-130,-0.000000025456397056343707681759186516809797459242987742353184526141339561307627042440187,-0.052967950595804634969321762612045921103914348885910840944052399201175164968602843
-120,-0.000000018566676779496778221299570265731469711485292060825483898610582119697430981981013,-0.038632286266118972403364766059282064125271812259410757448873269780532424586151509
-110,-0.000000013541634823323437988621295272756977716770247971635176597217517628580843480319915,-0.028176518567048351908403916511071780313440206584229751900934392775135713699125534
-100,-0.000000009876596641366264164642374009294122343734757196021541181144349203033960302250381,-0.020550554809334715188991584047297652403754192098303075026274466370648616680960659
-90,-0.0000000072034734737654888518524003709037907711411258030386476488044769106177358000790563,-0.014988500777705969245043958158938732918007406796198252791285217991805160953605011
-80,-0.0000000052537935987909568011147883513485334294544786069235053983558447416114096290704817,-0.010931738657492627501616280248733046816794522025888736447068795009238531393803782
-70,-0.0000000038317377506821811807487758582022522753659904426598135068802834981107409578359756,-0.0079728209543948838188994105093114203851525401787618314971443762005484944728099762
-60,-0.0000000027944702378161783865681090499544022749871555783124603639639394116872095593394945,-0.0058145448144323311982704476250942457257751226246675875144537050404213302793237682
-50,-0.000000002037789968188203539877385197746867481002786267357830193735316065378426301058343,-0.0042400956474993831265737282978192520024994339789420903849836404849936782147762569
-40,-0.0000000014856600847822105141665546759841070475568265821842679409045501394297649778325869,-0.0030912611002542873645977500701329811487042345311089984216132723108126460173470254
-30,-0.0000000010825656468025029524503138697600012047194146438191203256502140297646682593032399,-0.002252529435710576253721172889162206488580891511164124223534986598538917079660961
-20,-0.00000000078793707797226582378207405529095550477327146733651504830786937679104264044962259,-0.0016394862213322218481210407727021659208228344970157073483659978104887721194738314
-10,-0.00000000057209648261302271082828239604470687814377404542607401496829989506447984253274785,-0.0011903796974886032214575794584715771655981416387583852829098030255427509779189318
0,-0.0000000004133609422027753044322689884359964257732150422284110271280770721476410790028228,-0.00086009351269824241064654396898836546933549747015528448714317279423429826959801928
10,-0.00000000029606870764344436787412920116976127532138776945976488239745634051653328685308171,-0.00061603975789314266860336776790105508060976060530855313342839159661858155081675866
20,-0.00000000020928543256543217847803895499048019420515255232448388678245954889631740743972519,-0.00043546698411450723580617873812973790261515032897337732945466615713224731342692562
30,-0.00000000014569435452852494482985298454733942360905043256262488005883566928569921623997791,-0.00030315096655956084929004353392151000418787265146346556323017772467199305007384401
40,-0.00000000010016229925109086701869028508767412477319334247287333419333312974782808617206467,-0.00020841094309423817429093742380641079030783790167605943984854268115543488426190854
50,-0.000000000068409464294890837358769263756216618639021761760034405458404470733860053808455753,-0.00014234179004346824188176329449010026784994138833932112561275443207224039937719537
60,-0.000000000046635103782591838442944628050262604588227075818364576901394428723615997914376638,-0.000097035172248422468230019704932564244715911337161515671272868642523699484074019293
70,-0.000000000031776509088622311345170216225707131323411067066587839724629782041070250124562092,-0.000066118412585564526011216947470199798133852791821529217821560795643794916982965498
80,-0.000000000021624000809188157175635015783603960152019081787708888592015334109032873708598087,-0.000044993759486450597331503485928847047764998166557943068966843396852606211725756642
90,-0.000000000014673050013203576775115235204404993788348461255095755761026631399599467971094986,-0.000030530690830635823363585724736876932638230344374504313080385018954298434591727649
100,-0.0000000000099118704420627244237892394702857839221831584135306120900775189204214183740056066,-0.000020623950149943246730786877161937033287092919081711516150096685040912217022281501
"{'distance': [0.041, 0.096, 0.359, 0.373, 0.391, 0.433, 0.555, 0.758, 0.853], 'solute_1': [10.73, -17.03, 19.45, -12.06, 16.98, -14.02, 15.69, -12.29, 7.25]}","{'solute_1i': '127.0 nM', 'solute_1e': '27.0 M'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,832343331150384.71865134388348028803486969804365609191011837121834377220824775787,0.098009573834713295666780007094850041074570027350077175921694015458638378086173342,832343331150384.62064177004876699236808969094880605083554834386826659628655374242,8492469649486253.6456369325533912778317667113168213450267357717849206266044914647,1664700215344974.3876730946572426337435467645246870904675345378329149965282728473,6.7285578372668814479404773882230896316708828522966999438371322507752730937114491e-79,3.2335609564700289078055478374859999307200587554972374351441960649017399860221376e-85,10878027798.040642553158428418536658618716322790397285568071491469059720657570462,1.3800395995060206808373805218990659257280321322106774414773671660055630135897601e-79,9.1411169606520356444059002058749139735235659234436857669476737803362264727133627e-79,1.4458048234586045521003609097829038797930104902344216784517541772883525075576119e-78
-140,742665528296972.56490058325021411143362277631967988391649286274766651519363935019,0.072636326818601351026352989780842616928655264208365315480074106994731176955927315,742665528296972.4922642564316127604072697865388372669878375985393011997135652432,10224436736065571.918847205681048882385299568632899384282148838739680025799393267,1485347311204829.5149281709330859134761291252398782671766836654972473908551449386,2.3376006164370781434589919386934858397220875620229369428853679787799171447189071e-78,1.1234519304455430789478311268249551644256496402941140323152561493272096620693703e-84,10973544942.525438682214826806175005342709802953012401329249771101290552876751522,7.8987418089654695258431691079140617415266885657396042818957639465622771100090924e-79,1.8415010897739483863688713069433395761813748104623409159150931922022052791333338e-78,3.0622863530754193064802665802835277727767002727815619949507333696246540897339679e-78
-130,662649779761738.42456559823676226102811636096382731832608500890938522448895692448,0.052977387209823275101269521593750294828481050765347473720769316825358453571818081,662649779761738.37158821102693898592684683937007702349760395814403775076818760765,12508162721148076.950543093343955384733490431135843146756944887578465428692606265,1325318617170229.2423937341679211258942758168916586019223022290139136397551800169,8.1807456039468860220944934637855347499829300327179618588603441074839199697925334e-78,3.9316733199830880054681913756606882173562782030987591588995792417586838500856033e-84,11163503036.249843105753495893385092396923979339472220020637229541734617704471145,3.6532669197522474418576939802919842118842907425425266851350728043134135522319331e-78,5.883413495802580034373608700660844769905066126785492391986776511246440480884114e-78,9.2031436717220848852295416031434496989175458390071024546124669580836956572311479e-78
-120,591255077417294.82879186968432312364393193113145337498711554936893207101233777099,0.038639117346732498749547119857174146473515666874118180121566051805597484486948273,591255077417294.79015275233759062489438481127427922851359988249481389089077171918,15301981981410195.801238584443277277832663283085756018803499963267105701940526455,1182532128013888.7984927221031151758554014480689579491468029233898859955082413334,6.4399651685709458746739351735695728613348226594543620496537534879629376437461519e-79,3.0950067025054658735709727698284672869727262728724529706184877026182511273128719e-85,11461666682.328630527686995392862908762919629796526194212446010443782722870627565,6.5131016668021076295428534060502586182008105165445435707824179689496253947647546e-79,1.2084601922758992168850434914275696358373095076925024726910887636806405679026269e-78,2.0418812475479535223712549212598967551645694791343978541004960338690331191973321e-78
-110,527552573446432.38999806020457660524812643042306662147700781484448104810449176546,0.028181483987147793842011327898208236107681002945176364184752914505248889406423314,527552573446432.36181657621742881140611510252485838536932681189930468391973885096,18719829434355674.709351140185380759544267117954509984839859803219627794635310474,1055130159690756.8605765622809701561679873971641740961202504564752008594948763362,3.1308351229280298253210699574637343324334639687875273328565316604003980767125629e-78,1.5046803471362478085175213469964973637975617364775912868628627860500790070984475e-84,11884963949.349709398091751383393887717825351485612985887625070694258469365917152,1.8287418994647698255737167049562461097436873635477370440775519547617284049741605e-78,2.2526053155420834398186490156759548052693718335104226693538354981776186679120128e-78,3.6889666484256681578944098479686446095826803759273858710194741144200194766113164e-78
-100,470713495964273.62726421502748781085737163120612769058004446442118290695476955853,0.020554197255363255177486787770364443039224651357572133729379098727867172637184549,470713495964273.6067100177721245556798848434357632475408198130636107732253904598,22901088771124313.519098782364469107988002349847525546611452225564007286824549251,941455180630143.03989435110284714293429218762156566355208957292099490763934366467,1.1807261696418186011270402937422421288635156748252728456087094588121121605886131e-78,5.6745978639023928408793142505590155216381987186565637324967836403247936997220013e-85,12454254581.983230315241495399328616381765593133661736835317057215093613357167444,-3.9045665632240050392181031142391332899805769469947359838600514804244289417679247e-79,9.038714563561525638750409863598843957345175440120463774576086182344965599655161e-79,1.5163831532343849118046773330203206346538337189933438229741718221463700709401291e-78
-90,419998366635924.94185521022385972698589804955584715094987253762328364455771103196,0.014991227041310269986676111503504093238706004476612005403704333896797581915605514,419998366635924.92686398318254945699922193805234305771116653314667163915400669806,28016276818339484.984661422036831020561746145859918067645558521299423346339058907,840028247021666.44321101502216744688982851440099046878657050457851879240208997185,2.1305287877740298505632326818208055132440845549326955234915749178601757667786245e-78,1.0239347877170275662634736377534733845912560714247251907313148256235926643456517e-84,13195289452.564874328587780676916673211854459104489719930424358074403724475020975,-1.113651435228014397112122491341036632926961045529953216321339691564861592537318e-78,1.381447261483607292963671716699571926613912989756458839118472179768205250512966e-78,2.1261283873808088541950912047203664191452138729929821016064234777430364506649564e-78
-80,374747380009981.26248899323790905083294739235116054198795151056987526323251647499,0.010933868416849563167104852285607769741527878689368042774031732688356263254216519,374747380009981.2515551248210594876658425400655527722464236318805072204584847423,34273997612087536.624725007649696810146747199015418550292713384092890365143440546,749529761535949.00136619502023568325558170070037528052412459651258121591158308864,1.0088718709828747748776204920595857096331437574780062217493949249981226771703514e-78,4.8486134338052585619616320445008447270537608573854563464693748320633601179835443e-85,14139866963.145756842837271615422743342453426454355662237438765353744343049820478,-3.4262143315499200479132865666627561775057374492697649537752729831601468945651719e-80,4.0182806626843614412982724807533166919970382351841981539003395971677544860142243e-79,7.5433634541843583429901212625181300688136656924378918080680550840939763231236667e-79
-70,334371819402248.93724868058758779300699494868838493571624870658629349007800870399,0.0079746293100322130387352382234549434022639641571403161702661976569937342769631568,334371819402248.92927405127755557996825971046492999231398474242915317390774250633,41929449809234864.894030852193410814172937174815760846444669223359871973836725875,668782305149013.00913899043244403032191234129591854618422735408550207234427963717,4.094985013573606364957899233040198008307338124463767151483331075065444798023566e-79,1.968035933863997384229882593666177960166191998098979332854959594883841748196917e-85,15327118717.072072075202196721830584820561751888055671414698370407598503157161519,2.2454881619081014467862462729205140486422217744444921081665635243480347339765588e-79,3.0779266340929460635522274343719515577368008750753580437755394499191573100641289e-79,6.2602341761935466388819169439772562096612218836748513977253187323177627748570144e-79
-60,298346397649654.4528675635163745143931343831138971658464673665109700914804422427,0.0058163049167870576318914291033943516903424187336387667303386325373692758722374378,298346397649654.44705125859958745676124295401050281415612494777733132475010361016,51294834421174362.991352336065143349296310056787621010991406458013871263201951605,596735318710560.94857928755153402644362995228042593214191328405882739666556369455,2.2968319603284913544273314374795900630907091957395587300940516295812567429686725e-78,1.103858756606846792729115281798213941079406960140626229210982934490692487576725e-84,16804665591.29393853696134540588447716691188921243325330322637075109785513787188,1.0331353984365912759861602570244618627555762154721137399076207764605981405150364e-78,1.297827330148074769373498041295800579178742353691112255560488616461622422326865e-78,2.3991215100708914147196258041967712810925092514334098983873502996205421310622369e-78
-50,266202423086943.72645998671721364358319072241846725061259670318734756658022146229,0.0042421285767456756622017538286953310436286437047833993075907990762629109057232272,266202423086943.72221785814046796792098896858977191956896805948256416727263066321,62752087370996041.718061524950917955445110967520608227290265874886119501309133206,532451434961605.66326723035489728766514212492662154222318804960517873792511341562,6.9006921630586923349630439489039829107811470654931857311782457251696170122124397e-79,3.3165049996596992956466540004374480439837679967964281349963207987857333164059157e-85,18628930057.572728612631085727409819457116580235009471031150175189380138350217071,-5.3290810603030294899082041829169946083973854787872805665643092091921669390852135e-79,7.9199418197493130574053694074479783956698647891966817347375658104452539009119284e-79,1.330530286343488714537865591844673058364642522074387163005052831643645889287741e-78
-40,237521701834987.36824794459082157703381000040281179246955712511071695743274213895,0.0030940012807277551817785470043838974005331636211841089018231046011780967230935187,237521701834987.36515394331009382185203145339842789506902396148953284853091903435,76768456210567154.789142448370750574536636852028343948229845418907381371207832569,475094283179357.03913875080693554788225669292852033681942345692660816285060467754,3.4421923503076288096751898742092123000642978594899172230308595927450764257561729e-79,1.6543252250576114665808503826547350014775038259882145078460711600991169739991805e-85,20862876588.935720269823184345754933890490715016791231583314171889725083650401999,1.3388591387902764494922689045112924139791650955608004588598759041887343249531595e-79,5.116308085801568950070718653975630622198906473404963646184656291312589948463712e-79,1.1242578973305187911034171200763992114435111083279255800711723144774445428752353e-78
-30,211931097068982.47251970966358083751723053767245806447270077246230704306688630257,0.002256613337375252300921481346986841186269933211792126186000308266128676587059051,211931097068982.47026309632620558521630905632547122328643083925051491688088599431,93915556359995245.345525663884808325435613921840632813744522782907907099269395561,423917607786239.63548764828932236278753490375488625207798289440160154522148662447,4.2929806686949046292651958894406130527958908366763756839082290618807571329883418e-79,2.0631938015953285157350910372416319272296235755932686632250818629713965964544427e-85,23567373760.23414705610710767013705453883767832812923071382714995497690682744192,1.6445828791439616229983775519981229652027539756494871778121310319168705093912825e-79,4.2909470366575742086574993432618423669468842995825447506373092259678099965568773e-79,9.2408731828262898914751806317888060854821303077651848429028396296733207132944137e-79
-20,189097674482200.77680930462288590492611764840905837558368117106581374299971454154,0.0016458634927332960178357536310012007962800923707498473176260529410479520725774521,189097674482200.7751634411301526089082818947780571747874010786950638956820884886,114892684184983689.4115853043341883617067115909744320679669440950700557839264062,378255559354653.51391514119769050684874933634563066521388583565208458952170755379,5.0180862209777290547899212484045290476699416180074095938370151999514766825016056e-78,2.4116923103342002428299811266348896296346913149118095876321767794201560733292392e-84,26778726834.833496649198100155383684782016679576942033350564026831185314103395512,-3.9216976348817546394576695470724470708681056342410848086289278453402296762407506e-78,4.4369274930536663334126809275831954628268161640311531337195487983582210865915018e-78,7.4178132368019742398488799836087512875019628555971418503833128002919846940382215e-78
-10,168724370787384.12177219102609288148670926178580525012440560204842126062165849807,0.0012004124020037141337700259202795820449377433554546470827698013329815574798042929,168724370787384.12057177862408916735293923586552566807946785869296661353888869674,140555337903666610.43970588175793499400082988735064814120138014301354985336549394,337514031692013.28958614770764546735362603077457028157490611595225586282646308662,1.3830745994607710306875152481005448335439236328117733750962762720014632879422776e-78,6.6470598248170806846882681002100668088577310603896296946479908511448561280508449e-85,30460778755.457529103174089301572900304992227153519316262485044782292366780055362,-1.5201849434138414489510643781931367409117764313375387887212134282205944067578393e-78,1.766473853967668711086579616514661337621724501672479548234161766021495106207571e-78,3.2236886879907564205294742342415709880929282153008166307524787371602929067023656e-78
0,150546128902648.79365902888282106344239075673187652162923940224418416629944283839,0.00087552214460463267042007519514104019040884219889388538128689205348488105599588904,150546128902648.79278350673821643077197068153673548143883056004529028091815594634,171950109806339906.33570591493152928647428066644928586724228283373948873137794615,301162932300143.76299260653755107793334758270625076781960866470716582923938901677,1.5298837655216135303174650663203051583988695958093178156672849702036938995055315e-77,7.3526212467543825526225791627492512701546011000098180831734742926322197056278254e-84,34423255070.33097747586538419490048460079819597271178849045468349025210937814742,-8.9355669766821914849578513658564681109349632676955469994459119400816631010259682e-78,1.0493916043052828488543951354492378616412812585968856037329560788218051893593323e-77,1.5638540706264691401776367568899219320047091033089542874507025866827782578794492e-77
10,134326449540363.13827541907530835984899232632934131800844915137441513250213771209,0.0006385630675037990915304894488911868765368326164309242798549040042399710819446099,134326449540363.13763685600780456075746183688045013113191231875798420822228280808,210357373259085284.25862098065402230060819587513755396044374742323288638246099139,268729285646339.67960382924000460376272642706066109758203891481407373896414541345,2.0384393943030539706600402785535708753307981328947746198830362585349107801019127e-77,9.796739592154913868653723791878411746293836605946340285018082387436131765296078e-84,38231309911.637439205631078632985575857813752803418878816220304528707667514133468,-8.3620714085704510215532889374673790769155413684947001887216816315157800515972133e-78,1.7941984079876878188451286279827339332177105901146161041157882449327221862989879e-77,2.9827466860266155108677287231706590332515507620193663494651004329413098424526438e-77
20,119854314334897.9318994249774346475050572701027587697025452218129209873177068916,0.0004657366963162291563085289878368650437462414544682280587021606734986730012575631,119854314334897.93143368828111841834874874111492190465879898035845275925900473093,257343506068756094.09532855099577921020812747461303837240109808500883681918226921,239791079518292.5768619107753138211725196498661971315566771678957429412122196812,1.1107398222286835959151555558231558414956470877874194766115982437621799911431279e-77,5.3382154887452224326901198359278594461475581087444226995613405382521637173263835e-84,41217163306.984025606226480082858006245046936870596380290370799495805350022257656,1.0512679788989477759320398043926462954488373490497875728937545288637841486955044e-77,9.285250069843661368720765804524813637847067640395360685827115938685955959318305e-78,1.5611868652175630215459296950713376213932045233673954462268438772551161818230723e-77
30,106941440478899.07871850250253783608374804248005194298284370892372436821416571923,0.00033968558680269269462589633059098993879821251861371059152356887248513894996422841,106941440478899.07837881691573514338912214614946095304404549640511065762264215036,314824781014380536.33238845133691832691482117550188929029188376262031485755565448,213971774402614.81940816269837382270920994793423063085027738532541108761659279709,1.4218262366035006672678921822947874635698424916400406132789878991963354205230915e-77,6.8332968399741003315920453652321743958666282575696481877170624567359509181650109e-84,42782632455.143920268004770233188326686338136962417601060772566939874874821817955,1.0322920226011328341282123711003602612349594185615242593036145554185894889717589e-77,2.7975403120482784422229250787175652302946959316401790788037110524570619917091552e-77,4.5295870812208236534809520168461140561278979346913441391869744776385674796948301e-77
40,95419831150684.017207977036749740539335843425099882692500719203363455047275089186,0.00024775006735381632580970232601742739116018827554330844848398447864763867079258135,95419831150684.016960226969395924213526141099082455301340530927820146598791104707,385145530614178363.32629618763977623943020244382732671934109752312639135394663778,190935404452623.39500926518040582675767511167462556639849939706329084744199305289,1.190846679667319903422414924831461347110917237752346612856784111316215979107944e-77,5.7232090573964738860828706857945772442807411208455992194391486053591876424082008e-84,42857588789.76410103407443172608676958980186557707631267983497763659802510961383,7.2530321849425999783518189472737730773044534310695331944535009612744032721871946e-79,1.8166383939121437626059619956643524623899725115090971131691496114236931704544456e-77,2.641469522591794055726553989597733153478991569880762414990484274208816135481705e-77
50,85139589863628.745389020223939459394314422277924823479481968907921981527548184263,0.00018069679214700778557940795324960294791174582369633443959191066789207394179962419,85139589863628.745208323431792451608735014324675220531570223084225647087956273595,471173775981382845.79456782705884146947905985903120897935078112679469967051608389,170382206307607.94357599047367360174501364278422959991598342104382928118827214423,4.4683678390786521531217128167789665615991980570978352541062981710460123496047375e-77,2.1474975900384843943655064325880319140523023069611890231149990192876139971871999e-83,41829917985.196534875239688279400655297010683137459209570310826333588042717496196,-2.5697661706418723411672084107375798333193801865661474004069555150003612523667886e-77,3.1341417678362470700656016128934773564713802975908697104607460526652817814714374e-77,4.5733702143606926893704119527279985076763630522804786030037231811048910654523992e-77
60,75966970302058.178221690970231055484760825736022327606300800919040919036496750849,0.00013179140995182445232424682274667881174781154000048169957971257649577405610104419,75966970302058.178089899560279231032436578913275648794552989379040437336917038272,576418222779674652.50114633850120424634618382394138527318795674360001896858851268,152044718893132.07734131151058121455846540276178531399093665712190101805313260684,9.8168947247362632265133921565426416999795160392615542306324129289807039637510401e-78,4.7179995771571462842051074742833529468304952486619458353721148365825574371849753e-84,-40211884890.212566138106865630601656151915045177368062012658497237995081735756719,-3.331334550060845338894149400201326006436347796828448385824573115934173595946444e-78,8.7914536768229170047693481447955042023929159558734309077164809875104900084073345e-78,1.4368194939303682423093152835558393020158408444586229952567598467597018239667929e-77
70,67782636271849.947199736505415952158318186197554294554270266420776609430991969341,0.000096122214073170371807236266289134996781405261299323278186461561084177367249917381,67782636271849.94710361429134278178651094993126515955748886115947728615280550778,705171400028845503.61892976332511398252678385142966662292811802362596512029835145,135684303459347.10148235620965308700111965831553719539141536436630308816136968522,2.0106079917329253893477600430582180251504438348453217599508309641486252791737525e-77,9.6629820134152932430341786029980961924772552063988190326624445197950464271312009e-84,-38439343149.96698646357140658886207552472945650473067644650646228569971379604124,9.5217131823258085762316320831070811677636371205552360192302355642776759236038869e-78,1.707910726123483553963815991991500818634520830552615236853997952317510723016902e-77,2.7656546201726826386040968221601285327472874400285935392785494667802395603941093e-77
