"{'distance': [0.089, 0.199, 0.317, 0.635, 0.687, 0.778, 0.854, 0.884, 0.891], 'solute_1': [10.05, -15.64, 15.48, -18.35, 19.56, -15.96, 12.4, -6.32, 8.38]}","{'solute_1i': '434.0 M', 'solute_1e': '490.0 uM'}"
voltage,current,solute_1
-150,-0.00000057540272853962908079204582999689623450678541477290569587677710868580126483575513,-1.1972591105693488934275378968282620124353942960357780202379127185939051403499064
-140,-0.00000042507505772003954580275628119181757983317104884011964771551973520641802161052883,-0.88446745260099780248453171640172998808045746078738066204015531040544913818437686
-130,-0.00000027298405122456721472074838188101497802120669156202338328473162293033524424092598,-0.56800676492835458485671992042905518442571421959387087155431618798285027970218554
-120,-0.00000010936272573771345439994898097175223277148439422781125231875548053623472363441164,-0.22755456874264139389042485552208439578114606146113257639143824711332562373101521
-110,0.000000086681272747564703861763201491497530693325716148782658166769004500707458057129467,0.18036053422298107255194510516289284396805604960122558420103263002907205528697528
-100,0.00000035474986805188020046853281655780053697921095639347178447719179367988427210063762,0.73813955066974656441724617387766771918873701551546897339679257792421613125363987
-90,0.00000076161241304580308196179044234506861706417029722613307209744367255276085063607854,1.5847116376317167675949465586124375498779389302391970814851207896224585670876281
-80,0.0000014139812151340166450971934412815366629651716726265620722420498719375251423051761,2.9421165525052364516886090832462877340373274934585177419472632686074032828152057
-70,0.000002480804937653720047861459710454398415020134575532002301165064278633706462676681,5.161891256041864412412233349207905050331128572749005696908413686472125964581392
-60,0.0000042295843365710272546086040225089892860933142968582642875747810198981420711624989,8.8006332429692618298329964372246515309252604787363405082729700095878245092526926
-50,0.000007080531552477983632498336446419067092755228399499412363954115344959755518126669,14.73269153657508031704512267821549459041029222502500431777886262226922619517951
-40,0.000011681295503704128764821020840929522555963287780492630126010909939183131969638074,24.305650236587866649645346503124050565242705371619685815784618349549549075423377
-30,0.000019000494026773993373444513160860791445689116502569648565561653119953136836374624,39.534943875934234888126702547266336661661347220896868677744824123391552152350993
-20,0.000030427291636199497286323958381142377264758986055819814137737479207749976345753845,63.311052093631912501594679191677476688110671496659198140604183440930019831221124
-10,0.000047845788526495797012897775827416172384480060131090864030089543022435671520481545,99.554283242812727415329558529727522077356438539239361158144057153365783060667983
0,0.000073633012027139389448630188750124240486186892033495846895680153200382012009484593,153.21059514594130069607905667641971142651845610576959966700349052143163144986772
10,0.00011052591442396559872033517951470109283219866397125402734657643368261611890187433,229.97485315015729966468301191603173366333074113591005883347335066317755083997006
20,0.00016134097995482351604399687506136882953484847426930021425299747895923386013540117,335.70740731340723119422696531693760772536518485096699605850428064014387428971373
30,0.00022861431023942925268958000968909522012528453547293963514729041945690117379405652,475.68520649069756898104403517834851244265889168300839944615268208030982812773026
40,0.00031431177397683290494791213176040276160333153722728570541813685962866376875254321,653.99869741330192160172145599624085061252518369257296519822366458392178862593749
50,0.00041975610510019919484379210807373731590168227197393048263703879384302117477872807,873.40013545609486670669042750206551654706393330855980959552052489405148443281094
