voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1
-150.0,0.0000000000000007586925358526434131686232132129610915813539592187793425015382104289642977458862470406387884474136142,0.0000000000000003082898691974102788156554124952845979074078864532952142404907913023753985390423010961371739297885218,0.0000000000000003576175656782182074235424832008313282738652426541399751424507976217359405629179081361099057712546747,0.0000000000000003576175656782182074235424832008313282738652426541399751424507976217359405629179081831973143624611326,0.0000000000000007586925358526434131686232132129610915813539592187793425015382104289642977458862470406387884474136142,0.00000000000000001180485231760582877962817521718910893922066724832715278211790921702651034643626418553826619089615191,0.0000000000000003576175656782182074235424832008313282738652426541399751424507976217359405629179081361099057712546747,0.0000000000000003576175656782182074235424832008313282738652426541399751424507976217359405629179081831973143624611326,0.0000000000000007586925358526434131686232132129610915813539592187793425015382104289642977458862473927485099258075244,0.0000000000000000118048523176058287796281752171891089392206672483271527821179092170265103464362641852035663043597924
-140.0,0.000000000000001096208106747731195361292549395255198772077252350561818273671211052695627088329604970734331434411527,0.0000000000000005042655008273493426151253891671133354610655161575500168393722915443139173390632173889071539545726114,0.0000000000000007791580449937497578241449596660564779919444563787701886322004903220764153874061441246766775820177591,0.000000000000001121499344993806208692065779450980539225972758609795507554452197393091657320258174570042151566252245,0.000000000000001096208106747731195361292549395255198772077252350561818273671211052695627088329604970734331434411527,0.0000000000000005042655008273493426151253891671133354610655161575500168393722915443139173390632173889071539545726114,0.0000000000000007791580449937497578241449596660564779919444563787701886322004903220764153874061441246766775820177591,0.0000000000000007791580449937497578241449596660564779919444563787701886322004903220764153874061442272682075930419007,0.000000000000001096208106747731195361292549395255198772077252350561818273671211052695627088329605479485258732672085,0.0000000000000005042655008273493426151253891671133354610655161575500168393722915443139173390632173746098462568389957
-130.0,0.000000000000001326643083936338705127567203690006687335146440879546449493381739396133420986367042045605342550005875,0.000000000000001447511169193800894031557223151432105335634357867847398035893665212048029859452554694240790673269861,0.0000000000000001993992175909042203269723111538692086781969516092596987464434741175075130436546967533987029642022037,0.00000000000001197593993759284613018344851175525691512877054835653066967190219736043183553376454057086886188640418,0.000000000000001326643083936338705127567203690006687335146440879546449493381739396133420986367042045605342550005875,0.000000000000000366358919391290382341716440552585566795260779774679348425555637731229453824925981901946678097525133,0.000000000000001911105717591186474666576410078489514848338462764386293357702009472583722707914848241872461507542842,0.0000000000000119537169324110997854842167912109349651298077775921391229934921269035335755725923803885970844252488,0.000000000000001326643083936338705127567203690006687335146440879546449493381739396133420986367042661301299359562033,0.0000000000000003663589193912903823417164405525855667952607797746793484255556377312294538249259818915593995909595299
-120.0,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083564575385687875641967,0.0000000000000004822677128194481983740260258633195896428975908756149213359072966287735897889201923218072713278600448,0.00000000000000003815411816453694301010850066976521395053334957579632220301689469745466616879767640318961124862277896,0.0000000000000006465284818355759587257331389000829085175232548862543156414865194445758176969063842773185069196406371,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083564575385687875641967,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083586171241831178797889,0.00000000000000003815411816453694301010850066976521395053334957579632220301689469745466616879767640318961124862277896,0.0000000000000006465284818355759587257331389000829085175232548862543156414865194445758176969063842773185069196406371,0.00000000000000058471469223060549361025259984492609984586425479645963540612170510256610649600835672890505480981624,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083586005459205627564198
-110.0,0.0000000000000006702885977379985234138105447153289097517291176531152907234815055021058113805065502671586701785837163,0.00000000000000131047804076803073860437772014027632344498622505636002476869890654090962915146368330617386257323898,0.00000000000000206864220363637819629698015908446743520639648542388770329901706173924821146426146130770757685675253,0.00000000000001984120099636723465924995230715067248377141485736173270772509219080572727223826848035706261993732769,0.0000000000000006702885977379985234138105447153289097517291176531152907234815055021058113805065502671586701785837163,0.0000000000000002434956357179770466200990944320306339562243793842854680266699048095699328665351323672424081274991468,0.000000000000002724135996364412115853911317904469422069999745810466761612506837254965175595666962859983686978873472,0.00000000000002123975500363953944490054606704021486431198141036130556294511265771610175970397516077507340050996905,0.000000000000000670288597737998523413810544715328909751729117653115290723481505502105811380506550578240063900782885,0.0000000000000002434956357179770466200990944320306339562243793842854680266699048095699328665351323603386401298801432
-100.0,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424183156660746858122,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805428859913655284307364,0.00000000000000005475293308026048313541901407849530614214882536904962514544730203565082162387409909965499204542342176,0.0000000000000001916894530802830634825873419924649306357601462614597527143479848640569183970149112439738735922123554,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424183156660746858122,0.0000000000000001934700344198354908567430440400352894090755508464793714376883082958494037995980223956840745922539373,0.00000000000000005475293308026048313541901407849530614214882536904962514544730203565082162387409909965499204542342176,0.0000000000000006983979269198637087740067894483376285727134395392060764835064535205827106284003676472223534264400924,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424770822694066480403,0.0000000000000001934700344198354908567430440400352894090755508464793714376883082958494037995980223901986693685113748
-90.0,0.0000000000000006505055303570306373926932216964332871536442447898448777842875647002683624846668485226648430851186357,0.0000000000000001170143278320037914005539088423104424092633219538075994132730638345985143422025754557766533654592398,0.0000000000000008998417094684921147588020687110106599074548831032156881498622221051486197078560057549569372681360156,0.00000000000000004398845946835098758900001924870050682238412752565239084423295442761051487572593001652002026746487011,0.0000000000000006505055303570306373926932216964332871536442447898448777842875647002683624846668485226648430851186357,0.0000000000000001170143278320037914005539088423104424092633219538075994132730638345985143422025754557766533654592398,0.0000000000000008998417094684921147588020687110106599074548831032156881498622221051486197078560057549569372681360156,0.00000000000000004398845946835098758900001924870050682238412752565239084423295442761051487572593001652002026746487011,0.000000000000000650505530357030637392693221696433287153644244789844877784287564700268362484666848824564901791714287,0.0000000000000001170143278320037914005539088423104424092633219538075994132730638345985143422025754524589767698706954
-80.0,0.00000000000000007309580869844620234352221191128316671259929349629215444884655697080016388940778793198732409770636735,0.0000000000000001797940492034515715419500744821077356614754780634996101230494571439341335179006432958545737554608637,0.0000000000000001689730715037927198956879748659784066925050259942016993623770256561091912082446031578467208975479088,0.000000000000001337328648496455663923163632187687462737219503822309703895530485456357873296304330328085952784877899,0.00000000000000007309580869844620234352221191128316671259929349629215444884655697080016388940778793198732409770636735,0.0000000000000001797940492034515715419500744821077356614754780634996101230494571439341335179006432958545737554608637,0.0000000000000002076023584962693760590249268974380606649261064599261514520998521220075749178926301696130183347125862,0.000000000000000648250891503871751110777122564872092420144649117637145853529415555530529914237445659970867636353203,0.00000000000000007309580869844620234352221191128316671259929349629215444884655697080016388940778796591113858880708473,0.0000000000000001797940492034515715419500744821077356614754780634996101230494571439341335179006432907569201593578897
-70.0,0.0000000000000003495400842327098492112409246048995829664796804728459656056732993217026682847220113143300491629007752,0.0000000000000000772528777873116275824705256783986928290250577959838570911383013708332102292494077702489661919011521,0.0000000000000002813547912076259543175385734071177921271642448488166540201350958693876721751041868571949651442407178,0.00000000000000007595001120759208379678608153616335538674726351020146266678407162677852701539296868857650836926186548,0.0000000000000002428418437277044800128130620340750140176034959056385099314703991485686986562291566145142546186378299,0.0000000000000005629365652427205876080966497465487208642320496072608769540790996679706075417077227931119045820613863,0.0000000000000002813547912076259543175385734071177921271642448488166540201350958693876721751041868571949651442407178,0.00000000000000007595001120759208379678608153616335538674726351020146266678407162677852701539296868857650836926186548,0.0000000000000002428418437277044800128130620340750140176034959056385099314703991485686986562291567272173193221361421,0.0000000000000002428418437277044800128130620340750140176034959056385099314703991592385227067296944243789252869510778
-60.0,0.0000000000000000948066654126180777014732441832839586763141743329785942164264303688256270782487609052946177108039216,0.0000000000000001612691117993948083747536259866950068009886686283192994016605300466959000301340909698897335106837755,0.0000000000000002842998457011466979201645288387261967567869566844730901947813786762511978303424509308327980385157789,0.0000000000000007084899242990170095968058485375535808218951197855003346797485718296930037749284370257539143750425399,0.0000000000000000948066654126180777014732441832839586763141743329785942164264303688256270782487609052946177108039216,0.0000000000000001612691117993948083747536259866950068009886686283192994016605300466959000301340909698897335106837755,0.0000000000000005030851442989831390760533566665991440814781384468851433263975475870838586152172187538564761431059127,0.000000000000001550962655701355566131471562042945223322691674939266770207112694839007592981894963236514047568909614,0.00000000000000009480666541261807770147324418328395867631417433297859421642643036882562707824876094929445555712734784,0.0000000000000001612691117993948083747536259866950068009886686283192994016605300573657240806346278851599904428336215
