voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2
-150.0,0.00000000000003525473735262945339683739979097384804810615321232934765713171826555279987004844952759061121959576156,0.0000000000005703612633694746222553238372639793760559357402106086309192482003730977759807918129547476259744330726,0.00000000000114139782769623592983724642851537581575592285815785240328042360820419837133517236386098631619415535,0.0000000000000571090963388438951905813838187361140691539873138198507879835090109935235562959762972279192520008392,0.00000000000004556899669028080528101713772857909559509348658576716839184295188905378038264758434184440296384221028,0.00000000000005059933554185175602458248316461471105414883833300918374071053066513678950933934399973787099151017023,0.00000000000006864219310126739562154018278393300417508594741418306092524880732593911400692912284560825465980073643,0.0000000000005217461659054563784951031185043163148702896228634950837214997671038821126344609912043866413957650431,0.0000000000008362921400887807320881454791852938537383658603327685283304472209175133572421656089325044094830058919
-140.0,0.0000000000001199265974158592358044930419507380807847477425863112214398289878325662261846371101517173594790514271,0.0000000000008454424388321044636242794275925949003302860351433903337240914377396777247394628995818593263519621652,0.0000000000008432217410819448363170163952932839141758971963513732746093535333758901113130847526574553579257610114,0.00000000000004281921040396893004721950877509262355849804261858136631022415196834159720114171857319980510948540209,0.00000000000002198339009568037659047523537148383441403854753706577259577583344119834390153447679502178353525913524,0.000000000000007543358568817882691299420237452185331573773109688693241379489660442411820207543847733838631097212218,0.0000000000001170535767797467068420048334185914416907469113617949440900588064173405208874308183049376168445326075,0.0000000000008644948287908085629682554428768644385491198347097451846240949223767846135717099731320971528121537292,0.000000000002103168309576274965998042530399685215665008558056974800837544577863746988327920445530271285405140779
-130.0,0.0000000000001833842807824275178533696077695090290220914763127616610368801087490918994565496073739183915469639109,0.0000000000009015851914384189665522833156081442064078840477870015064493531661299992317167734399818577735799805892,0.000000000001057668519021067057291342157216859233259213860025914804228074444270500061113637456932623630665671131,0.000000000000007333129395358794852509484357751537420715743083610867081113040828533602924219110098750386938844498346,0.000000000000005557715683039635766545244792091908435166795408113685193277424789916070291269077315361302434347510924,0.00000000000001709790481311416982531280196887949684123495529884536746420892904093003240544429022132506107331269586,0.0000000000001874722434942302424595567862154256587608446019540872111243499200034395427486008723639010238894978336,0.0000000000008965455011194049731001262661768085826029642769490972167412813958625997540991315400893727631703858938,0.000000000001687113900176232294485765764731519653565390886907170261587975349370990133889751720205907420709651175
-120.0,0.0000000000000250877231094812422722058113329598974451271435625848706748038831009910984348046733956046281994819991,0.00000000000005041600039594608617473728684361363180409337536599513922628486526778775806205231058623267585639230984,0.0000000000002186056699091059076194129117014886908990116668669285935305355490881974113049003046344494966712431178,0.00000000000002293369429001262184626573997014924381810106395776721618122230058463819129320658095417647505708006299,0.00000000000000003085740109546963732704957314002990451963894385356982814285368647202032815115843905680534154061650931,0.00000000000001642384401150903853106352822939727087108825581427754925915837510976641876280043281032781819787732515,0.00000000000003836078403793668079245225436163970696598253620933110403199338443579785660457094332271550748630152628,0.00000000000004935677709336859784443752146114424613237659607534273100015383793381287373736584682974295967347099598,0.0000000000008059802248263273303904849548692445287348595273554407293787112533100211625819200745555737227099247303
-110.0,0.0000000000000683558218685564970423112166563717201685608657103505923843850429137660046560642433094949831125354257,0.0000000000001795692198099790373328401750452762340678502079984110787824252799862368371602959793206954360768040379,0.0000000000002349280422961011752067543373638143889165434035994077667141058959120852004321512049007290920799490527,0.00000000000000836972608147267168476164798106495144321294289874803150990443731825612699932974010804848585697615626,0.000000000000006002507798380459570142661893518779462481012664751788992790282600099416822063029737869415010647683311,0.00000000000001180219259195637925095917780800690081527424173804258315971996165952417629928916478107200391085472379,0.00000000000007947919978492726369834207641204535810932468815821362868245259044695226058568094364937472492094975592,0.0000000000001714596459831106220223805734100960773366140953397140512829306026610480565950496206195192290185019366,0.0000000000008416345027277124343928313923093043989289600879305765341234767410183813941984545703791084050288732016
-100.0,0.0000000000001091389094572732102612338615814942353235984340823814608551379530729344924472340661623214728546208818,0.0000000000001088067125941073554658665940794554058285633159341499122627106609159355681130211774703557102638183326,0.0000000000007033192245654132945817126696378536991606610153970025952654010577356322147051838522928840446720545208,0.00000000000000127344052210141645568731075485324952528948617933660883517629324688390552870136963775846427946654799,0.000000000000001865245092874469484342057276739792520472468737835669464454831926423083073018047211957701900346217612,0.0000000000000004449141230191422155706656242120893320333105974379239541863390955882374237353263220056472930343396724,0.00000000000009104113059283033700776233568496751659345260559801343934480742600563466070199600459967798342038851457,0.0000000000001061251053677708589156626034610007541140707242932154520565650828649370170828637244354053275689466967,0.0000000000005467749875065883345997128697099950067492274503091718963952721059079363098313273813618271686832980007
-90.0,0.0000000000003545557978592196265582016183636418096128508691220969829481738893320784547824362743223868045015485485,0.0000000000003508329803521991331131344269960692924276609957421788658546447325081727528678221452061703802076722285,0.0000000000004625023529316546777069326226185645961912140321407509813386079233729054516103363761406677858898442145,0.00000000000002774243837128184932715798280486269880582781959730007957426995391154154870277680119216857834950229831,0.00000000000001143502421389426116978623694402644747528562577533773408396930667389282427390994952764732886959403869,0.00000000000002658522122568441870334774790432194815196997927291368619349989687009576940841689571947831812040320178,0.0000000000003757365194075606679160127177811996371590215450526558859270626600163465555939902196591586045098246809,0.0000000000003412316113582618627146234245677758926865178363699946282597464631493369120973805405457092213981273818,0.0000000000008707094035034644306891949827892095914972281140666334371879696607438248797741832055314255863993314305
-80.0,0.0000000000003453392953504404433636265688496688578847838772672151689778161592575693139971157628863569810348524416,0.0000000000002195110395294476167194918609965041203851200469022667958494465149886784961141388109214127233930575625,0.0000000000002142765376897856380666575705766996530212034983210837279361357404168934073233903224486122067733203359,0.000000000000007290755532517160948317929140682014571001382118852221962641035527530737645259491791564195102388651206,0.00000000000001119666569961931093743925618513319833920906700494602211587939081243012898067225848448525381623111004,0.00000000000002451226854201300408217105292758041573082617457117488627464651110200244327072019886297721923004788059,0.0000000000003326080035197200645822448630971279152479230510957070207643126443730048084718258473085849798132678258,0.0000000000002071801710369379158903336307996782192795925495638681340537651091962113643988753575715432445238982556,0.0000000000007081061349658024184858090594585420961053034713631447543639295363991601644347458499646504694767681472
-70.0,0.0000000000002153832636369464376390733077959923378036729921454994114171807487491362778503752696847779088600175393,0.00000000000008837646433131686903297718171690326831451459976254831749161116958322498227384864108023853098612733105,0.0000000000002697598841389978565940684270213398874247743968105131101846678581540045453658768310701131809308117149,0.00000000000001031068681452796257496721698581936396749075574046614649467795354670659290997468249879052252033097796,0.000000000000007174122589430781523097060419820686093020948180421125159501698545148951925096291262550248127386077902,0.00000000000003096466633450751327501787059965971449937684703208336245649895346268306966370403546077747900731620912,0.0000000000002236010951892513175645296842285186752156921047764442385854728460210064427015179240262212524722801859,0.00000000000008039656468081480631901327303073167941903714843074817522846956206463363813089049960622473377893833728,0.0000000000007495562453110579319204295628788264073408053861452600024737069441413624903268785852868325971262288122
-60.0,0.00000000000003399958998203650169139377216712375587479734472141909000620180110974934953766374967775189294736735316,0.00000000000001652128383409501954884021264220117913754873779696900485408552316640299378565223069012570797400887423,0.00000000000008187324619593548030543802030763877168099170796204245880208670872929561747620911597992041923394550952,0.000000000000007598650713070735451838971204948646602475953524124454288702811125175290716319960912600582107185759652,0.0000000000000005682523635973963435965307970856467310492057831625823953410226524653593952501897485484482400384985232,0.000000000000001041696020215838766520328014594881127195591829961830898763853596096701430703531817952680048955946588,0.00000000000007774909323135331530623524603748979739426957877686792044614488633938847327186284630052427691246804817,0.00000000000001623400798075948323328951377263586663968663438528261708829856619946430425342543148219125183047853491,0.0000000000003004040093672575061591268255023238448959441126637512888063668281798102502556684108078322204168354825
