voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1
-150.0,0.0000000006268956812271471626497209278778249133180903720764380221250189759700000000000000000000029651861684871,0.00000000002689568122714716264972092787782491331809037207643802212501897597000000000000000000000355140786578314,0.0000000001316709684561428677036899579691818231430281019887251896741183141000000000000000000000000399667653693,0.00000000002832903154385713229631004203081817685697189801127481032588168589999999999999999999999999097450287279,0.0000000006268956812271471626497209278778249133180903720764380221250189759700000000000000000000029651861684871,0.0000000001268956812271471626497209278778249133180903720764380221250189759699999999999999999999997083631658134
-140.0,0.0000000001630514871056400085725798000733716665919213161779036400503130836199999999999999999999999673201608642,0.000000000206948512894359991427420199926628333408078683822096359949686916380000000000000000000000045710567512,0.00000000003812276537314014759360539329433882548519080074073684836789565008000000000000000000000062209945543711,0.0000000001218772346268598524063946067056611745148091992592631516321043499199999999999999999999994088418128049,0.0000000001630514871056400085725798000733716665919213161779036400503130836199999999999999999999999673201608642,0.0000000002630514871056400085725798000733716665919213161779036400503130836199999999999999999999998696165446481
-130.0,0.00000000009791707603761241037459460875756133831351737673818487152980840405000000000000000000000066691473726899,0.000000000202082923962387589625405391242438661686482623261815128470191595949999999999999999999999039974414083,0.00000000001807344813104861122071250475268979751937764237598065209900131619000000000000000000000044077616075702,0.00000000001807344813104861122071250475268979751937764237598065209900131619000000000000000000000044077616075702,0.00000000009791707603761241037459460875756133831351737673818487152980840405000000000000000000000066691473726899,0.000000000102082923962387589625405391242438661686482623261815128470191595949999999999999999999999137678030299
-120.0,0.0000000001278062143292998480043258865948892625778914857733341609042118392000000000000000000000006026312157812,0.0000000002721937856707001519956741134051107374221085142266658390957881607999999999999999999999990065543193548,0.00000000005922847253643471533460087430793961614177781843917627591445431445999999999999999999999970914969020962,0.00000000004922847253643471533460087430793961614177781843917627591445431445999999999999999999999953165299764353,0.0000000001278062143292998480043258865948892625778914857733341609042118392000000000000000000000006026312157812,0.00000000007219378567070015199567411340511073742210851422666583909578816079999999999999999999999920196155178679
-110.0,0.0000000002698955458421269263238611386768965115590872591334003240312142047999999999999999999999973088757539761,0.00000000003989554584212692632386113867689651155908725913340032403121420479999999999999999999999790812817964829,0.00000000007787838197779645135075756255406976086064504387029867487826344753399999999999999999999949618939087543,0.00000000004212161802220354864924243744593023913935495612970132512173655246599999999999999999999982476510710229,0.0000000002698955458421269263238611386768965115590872591334003240312142047999999999999999999999973088757539761,0.00000000003989554584212692632386113867689651155908725913340032403121420479999999999999999999999790812817964829
-100.0,0.000000000242540223937035214303182255380522709932215161647648247457233007430000000000000000000000966849353222,0.00000000001254022393703521430318225538052270993221516164764824745723300742999999999999999999999969343123701737,0.00000000007931089758862058492497408184363228809065476127229306891941778020099999999999999999999988591470286569,0.00000000004068910241137941507502591815636771190934523872770693108058221979900000000000000000000037137506605047,0.000000000242540223937035214303182255380522709932215161647648247457233007430000000000000000000000966849353222,0.00000000007254022393703521430318225538052270993221516164764824745723300743000000000000000000000075841139241389
-90.0,0.00000000004880975817126271546059919723221619596145627260902985687572038073000000000000000000000076130776170707,0.00000000001880975817126271546059919723221619596145627260902985687572038072999999999999999999999929248241307037,0.0000000000181257455316618269871482947519930809078274301388203921935083132169999999999999999999997547468752615,0.0000000000328742544683381730128517052480069190921725698611796078064916867830000000000000000000002141509858871,0.00000000004880975817126271546059919723221619596145627260902985687572038073000000000000000000000076130776170707,0.00000000001119024182873728453940080276778380403854372739097014312427961928000000000000000000000113838640388481
-80.0,0.00000000008558558140154187541613533069276934933930503698725082566023976783999999999999999999999858217672835697,0.00000000003558558140154187541613533069276934933930503698725082566023976783999999999999999999999863102853646497,0.0000000000278341798962727978321001424366606549154860166031173231445800769469999999999999999999996355930391335,0.0000000000221658201037272021678998575633393450845139833968826768554199230530000000000000000000003155551527585,0.00000000008558558140154187541613533069276934933930503698725082566023976783999999999999999999999858217672835697,0.00000000003558558140154187541613533069276934933930503698725082566023976783999999999999999999999863102853646497
-70.0,0.000000000008122765373140147593605393294338825485190800740736848367895650080000000000000000000000089609377738855,0.00000000004187723462685985240639460670566117451480919925926315163210434991999999999999999999999986153881415314,0.0000000000102285476621710367227202987491535853676137682098803943679019020519999999999999999999998774166037779,0.000000000000228547662171036722720298749153585367613768209880394367901902052000000000000000000000168087546681034,0.000000000008122765373140147593605393294338825485190800740736848367895650080000000000000000000000089609377738855,0.00000000003812276537314014759360539329433882548519080074073684836789565008000000000000000000000062209945543711
-60.0,0.00000000004077152746356528466539912569206038385822218156082372408554568554000000000000000000000019314669357437,0.00000000001077152746356528466539912569206038385822218156082372408554568554000000000000000000000059699188681455,0.00000000002639832736684653015558604971290247892509581428527276951567758907800000000000000000000019221894542515,0.000000000001398327366846530155586049712902478925095814285272769515677589078000000000000000000000216644849479149,0.00000000004077152746356528466539912569206038385822218156082372408554568554000000000000000000000019314669357437,0.00000000001922847253643471533460087430793961614177781843917627591445431445999999999999999999999993549819088371
