voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150.0,0.0000000000000001037609540362775858741370015805500349443944133697037895760710338430547420295324428378817170977905232,0.000000000000001209147392004578045791442519706197504469443841268215601107486851788138250597361262867004953596820828
-140.0,0.0000000000000003740563753640327623400126416333128613823740905847748162398050543355229635082983180910591766917994885,0.0000000000000008162109505513529463069348488835718491923938617441795408523713815135563669354298461027349676065447107
-130.0,0.000000000000000796827631593139746597139748952538849348356163703836617635130911113203000312213395169740988929232285,0.000000000000000796827631593139746597139748952538849348356163703836617635130911113203000312213395169740988929232285
-120.0,0.0000000000000008309607438946330345649547570919751693605734487961626703088779559807205947367829929569744592730536416,0.0000000000000006098834563009729425814936534668456754555635632164603080025947923917038930232172289511531240126392181
-110.0,0.0000000000000005166819726423073573535895962907534432747824135224415917034706773543679616418015236828060705644176903,0.00000000000000007452739745498717338666738904049445546476264236303686709090435017633455821466999567114683984663065571
-100.0,0.0000000000000004895229305113198031213361366639113630676814662676116977705370649680343971506678394355623624600939521,0.000000000000000268445642917659711137875033038781869162671580687909335464253901379017695437102075429724467002721341
-90.0,0.0000000000000003507685855280286032694032553570181182095525906141223228013698030189557935542583332321401265479343202,0.0000000000000003507685855280286032694032553570181182095525906141223228013698029968480647948923240337921708223284666
-80.0,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848
-70.0,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574
-60.0,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973
-50.0,0.0000000000000001731972846817246345330942099644341762681414064143362915995239974978341105914615220077421220597966945,0.00000000000000004055091212552857934301754778935647992513547506651487421575409934442408956332206360424600886415640284
-40.0,0.00000000000000006026369175096304725106171097027883347140943705093585664688547672373069553038504650579487107358443473,0.0000000000000001608135958426970447323993926548506604336004485287665056593976868652860061831807175000347442853090826
-30.0,0.00000000000000001397066993030299320482849482076530208386793691246166576392723223104063445379195649484253519293431764,0.00000000000000005235251634779503439020983626677354608763502876144904292795771684566437606027777270690552140488582817
-20.0,0.00000000000000001949260487060164909195513244970278970271965515523591029546927425571845350686932692418203732273615371,0.00000000000000001949260487060164909195513244970278970271965515523591029546927425350768063093272600434848376494743243
-10.0,0.00000000000000004314547632653213648759511863055987553690841018088479506915368117245790577993383333054714872963061079,0.00000000000000004314547632653213648759511863055987553690841018088479506915368117245790577993383333054714872963061079
0.0,0.0,0.0
10.0,0.00000000000000004314547632653213648759511863055987553690841018088479506915368117245790577993383333054714872963061079,0.00000000000000004314547632653213648759511863055987553690841018088479506915368117245790577993383333054714872963061079
20.0,0.00000000000000001949260487060164909195513244970278970271965515523591029546927425350768063093272600434848376494743243,0.00000000000000001949260487060164909195513244970278970271965515523591029546927425571845350686932692418203732273615371
30.0,0.00000000000000005235251634779503439020983626677354608763502876144904292795771684566437606027777270690552140488582817,0.00000000000000001397066993030299320482849482076530208386793691246166576392723223104063445379195649484253519293431764
40.0,0.0000000000000001608135958426970447323993926548506604336004485287665056593976868652860061831807175000347442853090826,0.00000000000000006026369175096304725106171097027883347140943705093585664688547672373069553038504650579487107358443473
50.0,0.00000000000000004055091212552857934301754778935647992513547506651487421575409934442408956332206360424600886415640284,0.0000000000000001731972846817246345330942099644341762681414064143362915995239974978341105914615220077421220597966945
60.0,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973
70.0,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574
80.0,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848
90.0,0.0000000000000003507685855280286032694032553570181182095525906141223228013698029968480647948923240337921708223284666,0.0000000000000003507685855280286032694032553570181182095525906141223228013698030189557935542583332321401265479343202
100.0,0.000000000000000268445642917659711137875033038781869162671580687909335464253901379017695437102075429724467002721341,0.0000000000000004895229305113198031213361366639113630676814662676116977705370649680343971506678394355623624600939521
-150.0,5713.290265480687324702349416100093860471706553406343225083208532474894179637190357541971429363243863,5713.29026548068732470234941610009386047170655340634322508320853247489417963719034177902422831171896
-140.0,5500.442400383051407879993497813843947569410743501853524933497984401846761681410364935020067445738799,5500.442400383050023055552084259150932560559446398789422726901072573801513304276886950300869587939647
-130.0,5294.874187223373835485722816916178726843030463943441306352648313063886485327170113322713339727309266,5294.87418722337625892849529063689150310852023387380348521419290876296566998715365862995694023323783
-120.0,5096.520782374661076219239534361027432050663024329777098295279038281388293109745386728972858378646556,5096.52078237466107621923953436102743205066302432977709829527903828138829310974537266769043290494074
-110.0,4905.270876431980992074083408275178197442546132852694918074191048378871706146621056770963484576053691,4905.270876431979953455752348109158436185907660025396841419243364507837769863770946095954381887384697
-100.0,4720.973139453248067395290096616887670480774902084442666047358949017078796178966278399790387118900306,4720.973139453248067395290096616887670480774902084442666047358949017078796178966265374642551658280048
-90.0,4543.446741064949806754584033578747662970216252512731151679242520732573383941438893909659790570866948,4543.446741064948768136252973412727901713577779685433075024294836861539447658588784232922170134076126
-80.0,4372.491430285135105180109885809637854048408864658150252774461441045686840088783038837435687584578542,4372.491430285133720355668472254944839039557567555086150567864529217641591711649563964729141079860435
-70.0,4207.895562713346807775747038414749155057526827012948623332756394077833624205052105746586036112789704,4207.895562713346807775747038414749155057526827012948623332756394077833624205052094140479442295390925
-60.0,4049.441835632612411064280267633137083433518289293112348020668405675492677307941084765259895945377005,4049.441835632612064858169914244463829681305465017346322469019177718481365213657707890609879662088233
-50.0,3896.910986765699047386398525280010993716865537561363553300216818275681003640204927209879239042283947,3896.910986765698354974177818502664486212439889009831502196918362361658379451638185050344600699797926
-40.0,3750.083782258799019737438870527666990385403312008975377190921317717318116565989804390397564238626656,3750.083782258801096974100990859706512898680257663571530500816685459385989131689988247071505690502178
-30.0,3608.741498030876279791204508202608780572317047732854200410733318471277750032079595664942449916877116,3608.741498030875241172873448036589019315678574905556123755785634600243813749229488608597951279295047
-20.0,3472.664867835606943152163530538181965931005182375659643044402001790360611308623982007538081018888426,3472.66486783560590453383247037216220467436670954836156638945431791932667502577387531970439125498552
-10.0,3341.631096209110049828674525668760151130758649337949412079901070845388780013549790812236784687799973,3341.631096209110742240895232446106658635184297889481463183199526759411404202116512991312403078732526
0.0,3215.407816434136631529484220758939511284588700750446389448515407816243184363827741854494244366592031,3215.407816434137670147815280924959272541227173577744466103463091687277120646677830092729210290867008
10.0,3093.741218545451581307598684257589391717101837850613912589215855811042932055128531714696714216477424,3093.741218545452619925929744423609152973740310677911989244163539682076868337978620284454910825053541
20.0,2976.331238736167024533655743687688122706376301599921630165257854713415394781471063517990766756110127,2976.331238736167024533655743687688122706376301599921630165257854713415394781471055304918807757525944
30.0,2862.774482916375012624670993092609215063195279710192407425832235603060320433328595697631389957191042,2862.774482916374666418560639703935961310982455434426381874183007646049008339045222091245291104051181
40.0,2752.419670128291448403746202040793389581737379458851348746825971690267931922387654814157246372727442,2752.419670128293525640408322372832912095014325113447502056721339432335804488087841422551974091026807
50.0,2643.972717440257458346556209084695662858699843963677169458653983173065786643101209719517136892619454,2643.972717440257112140445855696022409106487019687911143907004755216054474548817836728090637681945438
60.0,2534.363092282520284529550178181218596444032892220889670219321699814815222439084675237091582653450932,2534.363092282520284529550178181218596444032892220889670219321699814815222439084668248255028489284724
70.0,2415.405413133105602223932372937343719669618181616233977100847581549202049300091355672882684008594816,2415.405413133106640842263433103363480926256654443532053755795265420235985582941446112089680344513135
80.0,2263.948774618240367289473218739717902690161617014519554940464216016857707545495408800418540156558036,2263.948774618240540392528395434054529566268029152402567716288829995363363592637085405319361303400096
90.0,2013.764708087592940575532302338418798492287801237509133464826679234505471667443045671405699715848996,2013.764708087590344029704651923369395350691619169263941827457469556920630960317797341602359094266024
100.0,1484.15730721159285802081856007709150582083793017376465538603638130180781364287733066530283016218346,1484.157307211598743524694567684536819608455942861787089764073256571000119245694543508846754017016019
-150.0,0.1271355960965634059194707000031901616030417660683936856200722997339112148187199529795246439043485167,0.1271355960965633252792388723058065801786436001861493450996577636729070436290833786233269692988620607
-140.0,0.1425567849335498683490874752592821523829371109201642415417562825176147161029223070157037142421634939,0.1425567849335498683490874752592821523829371109201642415417562825176147161029223083434955352111994705
-130.0,0.1477499095808930021449177950137212629032805933216532950760357547981774476347982050004059210012225195,0.1477499095808929618248018811650294721910815103805311248158284867676753620399799157967278117384699097
-120.0,0.146597772952164523262968488123458171448634359001172157935659649119189029956794754590865504573097074,0.1465977729521645232629684881234581714486343590011721579356596491191890299567947544397935204552484072
-110.0,0.1414509290243209649699911290568495786471998533376099344023546547224139518477489507201868782245061408,0.1414509290243209649699911290568495786471998533376099344023546547224139518477489512417021426147440157
-100.0,0.1337188770565748485396716431929238384324910367066771451510688989108241245888188797393493579508484535,0.1337188770565748082195557293442320477202919537655549748908616308803220389940005913436692237433995202
-90.0,0.1242502884828470080873741300837064353856515823862557054765746100103541340512809909000564463486184865,0.1242502884828469408871809403358867841986531108177187550428958299595173247265838467211466822195543617
-80.0,0.1135648156986974546295492793786106491849871037683797194585030445530909781146591869488468765725938086,0.1135648156986974277494720034794827887101877151409649392850315325327562543847803293909804075572945774
-70.0,0.1019785661999967439044895757244951513241310534837633491527695169887484516271617681836177437969170627,0.1019785661999967707845668516236230117989304421111781293262410290090831753570406264427339721925693189
-60.0,0.08964575007182480033146351362955734192638653487552403450253294453125671467479789697769443318782508469,0.08964575007182480033146351362955734192638653487552403450253294453125671467479789679277911105476825564
-50.0,0.07652303394316384601046841389442815252981269659691057909355862534124317743692142952849327666009029377,0.07652303394316384063445295871460258043485281887142762305886432293717623269094565751620709656679643665
-40.0,0.06225005099476294166579041540614542264217353196345630716301162739129859940087893802131161650553786773,0.06225005099476293360176723263640706449973371537523187311097017378519818228191528079509900883660749676
-30.0,0.04592627366620465076165902661822414694174737304740199440024660047577299404416263319803139452122243813,0.04592627366620464135363198005352939577556758702780682133953157126865584073870503300973935857839884688
-20.0,0.02574620001042066415665517911572656454869270365069475748796105164785147505374260518874388399302155605,0.02574620001042068297270927224511606688105227568988510360939111006208578166465780528315345328222889312
-10.0,0.001574029324404849284990170144636196642930673811273438482070746867960066069445367938113316360198238179,0.001574029324404869445048127068982091999030215281834523612174380883211108866854511187368191905330384414
0.0,0.04168949977962886310702678970451198284943519279755423346466908467345614185014281119830188670569583924,0.04168949977962895718729725535145949451123305299350596407181937674462767490471881302425225263471868396
10.0,0.1040110941334696624065028021656398311277471303412192036841508384369443324182514848174963618261096754,0.1040110941334697296066959919134594823147456019097561541178296184877811417429486289704474645543538505
20.0,0.2038300646021963465374787596866257377086282141126901917944709985529550236231655833175244875372729683,0.2038300646021963868575946735353175284208272970538123620546782665834571092179838697932119978171509911
30.0,0.3655093673928376225000796092201853317241334102827119150968340489334204661558552458624811030702567058,0.3655093673928376225000796092201853317241334102827119150968340489334204661558552458209141336677839049
40.0,0.6271126830787128047437584999048410733135276268870504695609968281181886889489200771085052358600860572,0.6271126830787126703433721204092017709395306837499765686936392680165150702995257887076286501523433761
50.0,1.046759377244143899417803260007902125829983735712435262769041007770921555362970388273126420137694789,1.046759377244144168218576018999180730577977621986583064503756127974268792661758964813203774304606976
60.0,1.710576504499315811032899921769396261769184140497816495283291609116732325233169453814929097702100938,1.710576504499315273431354403786839052273196367949520891813861368710037850635592300302159727910141486
70.0,2.740951248229836944773170776306109385085956748867887826474729955146657315320916825235813230879301426,2.740951248229838154376648191766863106451929237101552934280947996061719883165465419890135696178153323
80.0,4.301153489632858344538656479799338072707373349652748662816495433191995639831752025990920889954071623,4.301153489632859688542520274755731096447342781023487671490071034208731826325694908797371042435758014
90.0,6.587426789313568780614845106442756092980673853923147004467916757657267319379743788615275728644083303,6.587426789313568780614845106442756092980673853923147004467916757657267319379743787866131131487604483
100.0,9.792621287852953313688249354123533215027746819101057042604170116624366768744239665098863757322921706,9.792621287852953313688249354123533215027746819101057042604170116624366768744239663985213531760566149
