voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2
-150.0,0.00000000000009378250062933982101812403581829653823552786108315172892590171867424039031715803542278722292985333556,0.0000000000005620686565150009652181080468553141063524181977896996540284275319507924793926463865470480576026114018,0.0000000000003977766267218843669067128709825933853325048311721459596838255330665140084272251721292699225821536844,0.000000000000003262131587983449469546139516676331475310229688748688450519462650776433145615318893469990801298813226,0.00000000000002715707541010401552629369257509448138233947445887956427662806335811644020801956332806874563114919668,0.00000000000002181585267339471252537365130321277728547411386320325085667437614118161509995273249938568883898600637,0.00000000000004397920763119954435127012027010322498772525108984841878045462567805939330763639801098915695832330605,0.0000000000001937183271326517761041690221190012246040599329690991978228155908946226378741714176077236413951935818,0.00000000000003525330395675089580054292719293159154286981026313412008730211317950128375296620689655182777080533657,0.000000000000125548020560012228701136558109757451587754011747653758854722301564810586935566451815772909174284319,0.00000000000009990780232634887691664623662967026871151015655405168129279649569738571499441241879678374841298955628,0.0000000000001007511532847766616010020326199673798846994240165268886748944463105859505377913934148929707463726984,0.0000000000001465022181863629423810477775083763951613379780403830726199891261060354588911184364684844394641065594,0.0000000000008363043235107039458694005949004513902936758646196738074580220142536661639136624530493003969790567732,0.000000000002170967896259567074467492214818592973239658796063587839732438590846127038318180622736857794398124198
-140.0,0.00000000000006005411360808231655141208970969409667653943773029937878582059110231382444832936021522083958532554906,0.0000000000002297105001992792931466470552979760894924939295034653347876897681481614547155120243361308391022111584,0.0000000000006142307299057000006589152733940919950226062884777356968846806355017926588994160930279440050627186042,0.00000000000003782138570726309309495443117057463719196494471497258554877912400372610986409852747242850362726706828,0.00000000000001376358124990307009814175690259866290144524840642759932287885517035496420591534127878716295013696262,0.00000000000003203618534917173825918400335903607165387937676005709260166778512288617581938846644834452844714702866,0.00000000000005229256145252798772021407689698864526129747253653782395795870647953237036892339074844712956889427268,0.0000000000001530651726631802959385666787725097567669795232150699808625536574981945956813780755752705364389437526,0.0000000000005954736455297770393168534090967204874357715392594786060506810809967374782075183335182370148797295504,0.0000000000000635435899393105259678062088746365279742376023204664107027666177063332939371572140526370446688814854,0.00000000000002810054754317540973219028873764955284566279526850612481854401559475896844335788793446744807541894353,0.0000000000000002922680572266746411215096023531899850425426348258570454203217164561866768055117171188929036687393847,0.00000000000006736470094560124842742195396555373072368282420061947963824534812164937355460382904933594054965311841,0.0000000000004267874529580243538255181951100266760467222931355328444022946395287375297002614202276380449359465654,0.0000000000003475549413700739136737051476469918595161272317825503055345379006711445128390106709139761407299780538
-130.0,0.0000000000001009718224904959473342275866459162561898879215616306230639472557721227036916123561413189934806180731,0.0000000000003666616948816523647454526853195871915784404813625030553147312927504922443932454485911915234227076301,0.0000000000009267870421074897620635759433031639353784023028456285953920972996945538471237095753916048461724841367,0.0000000000001068790447101256979405427695742027701508097226503212373245154689524539574341931251519783338807546268,0.00000000000004590803725837462737524893733462387072531256596810383339889658380565538184129754334248672011728476843,0.00000000000006642957724678405469457330643185357593958474088833387969661338206033500522325719273279903312882949417,0.00000000000001900883791411471918137502808382218027072745705860007865008437735504060728587158853255816132158208861,0.00000000000005213872351179996177127342269931112436899055721754750727198289835375704864136832206414222471197359746,0.0000000000002646112137700997135253190234471228568612393543967700706847019899023993540651067355353012408166109404,0.00000000000005431016830146045261569815284568284035534538415603331050707654739630594189690378755089637740731045519,0.00000000000001653131220647346087018871033927449819255308269188410958915130411251384374692997225388697471859135424,0.000000000000000929319475559444209606484518777941488551634636092773020339217768450044687490263058425353328045753601,0.0000000000001224961999881724369306818655865615324739536596420874763549095056588256681452659915296927095815563473,0.0000000000002510284974978796380707225010248883168845659153076873497359436918125641492267944340913627388107957839,0.000000000001044000409390346900324786143389628603141786692603659534649166237440101714140085793607943357329407361
-120.0,0.0000000000004751141071404918382944288554507945546632312725428084948441672470202535695974735824761621948746811411,0.0000000000009436329472935431859749745699383227519478729485001890480654197463190063906672759230416596270633784484,0.000000000001742749421309157625220403305779788187242160281574555797217366283939514593792134046366084494329547514,0.0000000000000129449308374544452761085944643884831337937444126711701919937237606659688409596981482853345033135778,0.0000000000000000135494748950801159863892798327784782249766547179903331584810250695823355534045280673004548372526229,0.00000000000002826580658222586704190555495478600278006543664763743763343982656727747303874901153371037252325133989,0.0000000000001655373436992217206473737854646012475698659378255931765722658128851656192068274805937855945737038709,0.000000000000386179655358098487103618291971877923863583754697624012441583152384216074937613517062380782972440984,0.0000000000001171125139655484209554205144647556081351956279805567784090378187944913399855213836395172605650522239,0.00000000000001572900174909023399198846920571329675464134931148588079933659708814203963392539508866845245891309006,0.00000000000001210157987902666059175279847409137196060447695019596280989577314760629179065202229658203098153981435,0.000000000000004484322303386438200577856001751814445451116478483115704697255578665007229134453303476475602757698685,0.00000000000030653887452512536108080435156208361494676163884559475594509005019899636184872111721274799859250373,0.0000000000005378533203978893296799461256868302869364371578590477297027174810543389771380422196709033707744825852,0.00000000000222728450625688157193738024791905021165410491503447949723398770061306980862142676948616143872158212
-110.0,0.00000000000089024103505747975492391855014232289316476663083370399355891127925331149530437724221462721751225479,0.000000000001138305300397940371183275415231686046303847988932493040326357782615811373799034598444925608124116067,0.000000000001463773054120851893504845419177801308982994396057560906108032811131113681528791577914574158048439376,0.00000000000004480069080822149060121665371083892646966152165061069122056228710831696687753784592393475023426015582,0.000000000000009595446010370621539732187663324744201046229679040184924755527443098225670405933918127050352313625954,0.000000000000007974365623541559384346895467865071907063509122526635535618443665240014816656010614593697976948516109,0.000000000000311876040266089684852479962048888338538986191145238799636069843445713475487309084115538575854426779,0.0000000000004039977868812045776783500863763111303268310652260352739870579815954959724365681678271643789586552904,0.0000000000007503570518228165017705614081432918997320037619976446581803945828871183607300595524246841406371710171,0.0000000000000008058824769053895673226295503396269349547356914873727877858634530380126979347371829223293763332387229,0.000000000000004600961789830420646923711506676627214306439272625806007226641212439072643140117182105370131120658643,0.000000000000008330419572728944513198493677879077441262328485327373851608601523297872355337474025379143989367567038,0.000000000001242051380877183233226955519828182246887582257022439156525444973740323476660427723634604874992281922,0.000000000001546415590208301971528117216683129598228347771589628774631068108404293592267490254027927700719965683,0.000000000003347742486309869121101989356965186447515753860308456290930680497941489393196292338153718535280669573
-100.0,0.0000000000001109703593343896157878119310077006367579867979398570823291554767226885214054619514539658826474564954,0.00000000000006896829147187824094879533270018741188537276180218163043010921511546152233543310759951598096741146946,0.00000000000009419333597742980965018887434148012898490914868190668362066034013946890829285436490521426931974695562,0.00000000000001349775543168903209053013363850178303988612919454510851721010469810998974038757121602961518858958402,0.00000000000001334891674492878036146270538595625597330555169424899314624132315545895342245733932896176151875154498,0.00000000000001448166488318811422227856229384841274194027456743285046299104707999420516667035364234246708766176816,0.0000000000003090839781049138592041412080520072841320379595106207693103300817191851367822993220933651828322808478,0.0000000000002413394289264806270749845339156876453988714054803028272322085694463996483489073467958811403471774416,0.0000000000007154409064282575465139964832251123026799014460659044679674386884879344618986405031491302816793848261,0.00000000000002234466030149181699459119594912544182065773796065120522195279636290002085321879533016261440138516667,0.000000000000004915407160650933517904745482985144241412877069496919325261817023456597988667606002091018143058990068,0.00000000000003457324919869469491775023780843355383190211616654171226237308025448616227320659583481722300466335356,0.0000000000003692756802905344806425651117784491695601097984241391226447986343118816099571342674818108099695721417,0.0000000000002900034957225094674941127598874397160695681284092902803585029486881807288370929823272057367962112212,0.00000000000114066961197126390739341496415995719118008751364555668949216550334493107653804280954283330019464483
-90.0,0.0000000000006296809672838346755282143452887588586862871445166617013277353632773492521538624950925319160929954891,0.0000000000003648972618491562781162176798860055280818436786872668702391996354269689222726470630521234197325555793,0.0000000000001989940845241824993493601560144265040810466726706136357936518516150153413253444640123278849884341187,0.00000000000002176353842455035432509031086918472167464433956539745262730468163138934894075938601202733092791881988,0.000000000000004053168297566875953618595072945387037669722853418097603247718754128179132572427103116491263646440852,0.000000000000007426572131278014691041779034133831730426792703318927131639521206872897908859801549658805631076342733,0.0000000000003737437849544306823194598727897965982686833422523744308789897178411308038854506519256683778728461212,0.000000000000216134178867698308851589100975817709289706012473503736038513513490324385750699314402352372941123484,0.0000000000003703950279593405943716496056283385561676400706995146382422684703681057855788929560837883130447288522,0.000000000000005926484710495242811258324145570428511736608785871856418244696835351718066850238339344707394103764408,0.000000000000008410481582777096822790207689480461432480938076206669077420463588996062773363789321999702916488909758,0.000000000000009018771558063786653896242776659836146763922814947616819270515750531695187030178647555184077382276118,0.000000000001077666468134228809114568523186122816381564148981036321931182706619130468166058214056739594051255523,0.0000000000005647426475823634576405243047557899151787627023955233592679575952667444196894992208030131569411553552,0.000000000002370403076970781774145148668858273974839678888347534410346459537051821564815877022011483169851607337
-80.0,0.00000000000008733737816440553821458704379941386941927230005619318720604306159230759313499710442999476695340848505,0.0000000000000260136231073358057577006016528053272908238999610328530925232117528965591496609080848477160889551186,0.0000000000001861279761162919809379562743015748687777529402706722612289573399503266324620917430652663963858767626,0.00000000000002200327894663027788789688146840837706350918572138041269543980016965566564630051918793871167674075491,0.00000000000000224306110816853178733225325263356916568225382478179953987627995985110622584496406971778405190913714,0.00000000000001587723493608438418441762176243686646557541113479765221712648153979507820004086544807334848325800273,0.0000000000001757543931364286008166510730908168034579036868884602326201030305868263241895634399389921046035881187,0.0000000000000603584913956637108357518083490269498032695959434277332058120512087044934510323230992079073285920071,0.0000000000001898793929914765732063686471610491702951198901143236793957572508513376686004712949672077929084297733,0.000000000000008720501351392669109293094621228876085778223187395896427397078011751955838081689232585121485219963139,0.0000000000000006969176843842598660132939370888653481685968102439193393633705023173410629835129597914868576308532069,0.00000000000001587723493608438418441762176243686646557541113479765221712648153979507820004086544807334848325800273,0.0000000000001814063652216630975656441498405123858334807447778006487086746934715002543644345889543794299482017388,0.0000000000000829391652762580852102415032055474469506351864463949728035879936393981024900003889249539094613741103,0.0000000000002896476779909978417240597701910338270285426510424669987455652261067389558474651484191394104605140977
-70.0,0.0000000000001515271299757597073333744048820472316436821050359305153797477544199601435269981123418944112520518709,0.00000000000003630243218865505038161750518542469260517345265309911145450985345138338499527449192177401298848575206,0.000000000000161457460696968602784685461790300096675950141402504183053782742993734332025695749141312146746664353,0.000000000000009529380439638170037118758737002452880940496462617284338344017922164499008692215751427011728434702399,0.000000000000001728384074181161706827645826754174528939772434721616053937974750034208533822452959321079825753681882,0.00000000000000473730660709852087323345676552367779884461144425497387547964661790454321195199137541652508941666675,0.0000000000001835455445396502969168031399197910271618262340164172745014063563160342136260237611799495476438080612,0.00000000000004244498238957324421824566647681603321196898587527333023650551761725345118536524024392001814693762947,0.00000000000006734864081087236570640955643624649826614131342814533076595739194250920131289836953226500817310092778,0.00000000000002182824858337669668397411692883532415661731362371405866060579769800126734963557682119885327975141059,0.00000000000000109587085536032319356079883403134114904782183786521051736451179013403187628822295980577941922789965,0.00000000000000473730660709852087323345676552367779884461144425497387547964661790454321195199137541652508941666675,0.00000000000001317746280300379591726982649557256016699407545713080057310966101881604496029042056645015474739562058,0.000000000000002248622106160432634736223969679524520799330365470289647265834668897415421232657732824298726643702126,0.00000000000000421933802346817472459545337424168499190230729599767270928573585015180924623526959438708201595668149
-60.0,0.0000000000001491100010066585589796773048520400773760868227547342646469985657491303058000653544660600247017504584,0.00000000000002972909657757243450584357370738136565011345858485489451165235910076002547893238240129129958061152189,0.00000000000009833651398907399120892363770225858270137896711221076014806873717513396683126611372423979573443496347,0.000000000000002333554434441906029533454595669225044225638410711769975776506393999854466865896220829781466362241256,0.000000000000003288785288409991866171852006311516110369478005789612571543164360724605886222444969985690584958013796,0.000000000000005818838163693345919239239977202849629937280393215234717837016200423703461509273255460743829209270818,0.0000000000004079901051950435685369276905424864881219698701549894579679751757714867220735852943890752657190940188,0.00000000000006594967330349263571810096683334013892124262948907548370834115400707347784949357337688773001031324956,0.0000000000001519735430275531135972122755074922254401744103865993830504770419095679272295764011121948676679058587,0.000000000000002333554434441906029533454595669225044225638410711769975776506393999854466865896220829781466362241256,0.000000000000003007668302267396971386586676212479052639722184964543444177180822991194038429453859090002429348462614,0.00000000000001048594703257715797830614916854129971838855721463877466939002898811418371048421138451210636272398062,0.000000000000587817036362576820505777353327622928453574264204618026446704621331309156712904304059961289006424648,0.00000000000009012220462444565986257240747547864662024788728214644795524824261602359459722813012707346029724631826,0.0000000000005990536474242726299315854392819190171271762466747530659805085689022255037269992924421983633045731835
