voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-150.0,0.00000000000005371002771144652100141185586289835931792285273674971486716090312645233568353903173732869339353927337,0.000000000000007194912858868134270192598171277868054769877846840911084989924765936177538565547363217467458823166801,0.000000000000001762850591786016367590038757418907235043228902899044446014310386344769602540003815891562646920571208,0.00000000000001346338455079264745031107475112514960812995374299861204202339658675235870298614085988020920266798664,0.0000000000002229269977284288605127885551794744721263772501419690756207042844058452859330620223141942538323758652
-140.0,0.00000000000002571229439377964956207337041883580316878082250999528787989108015231305813763300383422246442634912898,0.00000000000001445204479313055553595767494424257380131924846945366545071649283618098841964677264025159301084733723,0.0000000000003601133397143045743844097173659412245407410446196286841550110987020083678962963858035508629909329086,0.0000000000003318830767202262949814903555636135948261010357139914075312438906383742327136181831678081038261003068,0.0000000000006796996697609691776541936295479767527679922241548751714147430780346362014657991939147414051665892313
-130.0,0.00000000000000617419765019881530784382233209624338616290885086894831240913895561354473806580911038985767431769524,0.0000000000000300395507970153040428399070936301620786814174420768292807616235749958415021044811299068176654049786,0.0000000000004985988725585671700240728067732805249683529184206293740850015758206952671811086384036762037819296021,0.0000000000004629612519275587298448772275884179486813583882277986429535403481485273939038501494528058541504923077,0.0000000000008263332960058549501477605580761044944251940713717886613031969767227102126546497615634742337678223201
-120.0,0.000000000000007664096255722692547562960973208022156823512518689759879034534843046231372124962918873940350223965472,0.00000000000001291189718019442071987097620050016276638349105684761375344885295843637444615361108705462219556844676,0.0000000000001250295628141939066250061386120395089587962609135549390787197788627030149595859480863148923563657319,0.0000000000001470870277774970520476953192622546831964741687465310036127419705858923683967805795554744508995305833,0.00000000000008963885410441647180501976667326143089088021476363065643084835184415293295214680094715454272764416399
-110.0,0.00000000000009392384569245874893769577970750078365290294018354491699031554690350109529387238980805457074435541358,0.000000000000001743395099550081499591741169288115196935564165137483116789969552859021227984378178908656148993011948,0.00000000000008475808130504546267670053070898109422022667886642163563417019276457385363205874629323504851091438848,0.0000000000001515889079849042465693259586491852788508030264797670251924762363437893573298275544663396773533773938,0.0000000000001513419960636732412101167514031007806317245424368605767088864356901715660600082110657275968047061058
-100.0,0.00000000000003765251233034581584386409895408854707756525385901285352896592439987679598179105582200967284836554071,0.00000000000001675041431421903163523123093319589385939406359470796235532015294724321380173749387376493561119017066,0.0000000000001231663410500173385833195418480197636184135607189461783455668841028385057625568084164343974965250189,0.000000000000135841153006542280356058847147024005531109074921477200503176650988551790946616410187412527265389343,0.0000000000001555118027312790406397256910850890303176949703396909296958307697267691621088907262992179878602956258
-90.0,0.00000000000003541781670573194251250018242931306855776108050339248557468782163263621372349868460687516187193796826,0.000000000000006693729869191652391162406134816442404964103511942311983741012261766496001181795260340347345192840811,0.00000000000002694050741013409184631740031374529636939979503027108763810466585842538012636791187969975345967676657,0.00000000000002614555565453206038366215759442182073247427419461533633370247466939974288479080870374542742214754573,0.00000000000006463572738473424335225637321597869114871502558065555613281423231074151398545425908426637637848092365
-80.0,0.0000000000001517853249620292104154035901229036243386136331613401205556025415351969318836420649088898586455430794,0.000000000000001053154279963106935095695203400773270967989397751490786484063054215864134531182938612195223499468516,0.00000000000002261679540080424163936646136144695107048892914491465835332665347008733105834345987141934913499253739,0.00000000000009422125255779579581003656272595143460324930158778471859436884301924679930595289705907337731722920802,0.0000000000002803928411659738366537788262736630917884262699392468752210785358470614167497374326735317588253121458
-70.0,0.00000000000001208469064591320027252515401093978845951392329542219323328028084361050083200101285260014028903964725,0.00000000000005084986227918104166837069164620600885483591803173460515687898346160373019363784624300922348078938594,0.0000000000002217408987598488748985941080310800250078104653369845207262609381324378316869167004663229605432928774,0.0000000000002154857967553300724652941911302727367911555362500211591419859882407871195181600144608342668503167066,0.0000000000003614107422028542397579356735662111842665396056077322129435581745289017599813916592692003097298328481
-60.0,0.0000000000001266663806234820465380354006356744944363821803371995424456479919999650036919932138374939325973366406,0.00000000000003086455518585196716486298915488918543393037168949753081280533839626199100208817313979504074844816706,0.00000000000004386745297339898822245707066001894220715746529685421022037432609880513730364327575155680854186683679,0.000000000000166994197693926994014781750707488720787628174692869854037154918702877050520222262006340918764791863,0.0000000000002618906794203767204041870689526308696534588751832482212301683032433148285541230439027434292983659243
