voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150.0,0.00000000000002712941393376276792910613030995518031525960624686277419462201901161607585020526236575042923367825597,0.00000000000001548506699725950346254589544037044056076064260171311339752396502745531096577100415394183508040720696,0.0000000000001366918283338556360273266572056408540359985635070887936801031163516993374013756310480473197771128518,0.0000000000002923172329733702141630587364546044538322643023602956746860747328022963780689690454618044451665519535
-140.0,0.00000000000002164890775338220822650031787367216329667392220796271553792981496599691642910536718585842978349292899,0.00000000000002725295561008597205900200675784904098728374040515715546945082245588828155644116816786030123797322294,0.00000000000009180341524986397003586507527145703064210785505447538519919326385277674289736259481990250215265485181,0.0000000000004591808652468125126952161166839825953401408378450623614225368609278069092626452969884365052300496061
-130.0,0.00000000000003351274606169876512722834706027130828235891378008473937741351098570981790083434851616064897072241088,0.000000000000004241487848422811499191955602260758860961398587374416588709958014609963678057208075769442371586140905,0.00000000000001287416432879105160073385801877166263842378332721753826387326508304985561688407929717148381446529596,0.00000000000008322298776738027666859220216726002365834573511494855269877655348853327614752030942733415061755296434
-120.0,0.00000000000003742535571844041760855798561349054172944468843388051993657284190636134365607777059638671232760453108,0.00000000000001776389007747367157079463789922624596245038794378333448604244889833766549903903358406854065539676539,0.00000000000006317276320069412469304679648563879279755393179882321470718161221865963505704653068815607441478482488,0.0000000000002076038402233096850021060753311843326376173543275376710422574601345218326457797135948028434056727484
-110.0,0.000000000000007022488078605311318340878869390232170347715832633734933582658994220222747559098318687187904572641014,0.0000000000000142847523869058243774851340057725782676624085916542088624903330253154706604290349434025750302940982,0.00000000000003489339480436741464066111367191365721590170926432615450131503022453851838290936055050877139953063325,0.0000000000001345166318476473527769719395158562290535230505025533986313964637012780603527339940379439207989604429
-100.0,0.0000000000000112156301892683578365890212211449581454357209992665132562340949175119398211898984300052867368440468,0.000000000000001568714090038323580906586503952728117370353655306253021409700294209476223602981524847207609787702727,0.000000000000006947919060019823412311842213420060588605696542749438832221570410616848002013100412706119432567350923,0.0000000000000005208170179640054319315366904201308827141180278822557855372580637405076953412700526440998088930920563
-90.0,0.00000000000002627124815096262142561689997783270753597896153769860971058074430461017574569712164137943053035127778,0.00000000000003618341734466674025329606890871008764953268185677162554741681263134034853870088208227092446328453394,0.00000000000006971612365104492102049766294175319915853222193433953709533496400634734144307564916832268432525414654,0.0000000000002389244939772442511242870088040477730222177115296084487769616876077795224142737696246218985884150169
-80.0,0.00000000000001272031601575667686758299439390328121130902326017033033199465938751439012324795793087524729498007921,0.000000000000009774541131438686063748074936596472759311501541864810331400433826552800950103448330888229872958082615,0.00000000000001452500785817559500576830075794424688975310305285359780068883860467879161155654033349652632363630264,0.00000000000005393760085067985739393495372618543910778762460551422160964405378596048556820860914970345253678357437
-70.0,0.000000000000005704464270435977053447344638215919526581500904724485512725012549666131783377114041560644503116936014,0.000000000000004075908402257659003653120288088321330210031617899488688751114934710907813732193028711653902235086472,0.000000000000008966094738604477032203352751240441758605797879211475789489178676899427612286846562416865132938156156,0.00000000000001806964972091293121135293243790056689552508130832765289601983086919996041686530940720911000038994015
-60.0,0.0000000000000135431111165466214002934451141692978929944192705553971731078215244116032540267689418215116244533377,0.00000000000001614730592555905948733296626925429042226559017312452450994470833887583838005505609422799035851674929,0.00000000000004094753663131792234640914518952575830912983335549245909225917445997476021558222758780548481956376175,0.00000000000006642698335389721065190095903711437166864577726788645767680373942207888164696780787852143378735214311
-50.0,0.000000000000007025107599539884599392129280364832834735566341821529462844454710969646066402698312204546672268732621,0.00000000000003824404591407065943633002266424336770241381276289515112684504964528979435450323727684447076159117671,0.00000000000004529988619937106830609535807536285574909913265421673251505282733045450175861258996396420814283000286,0.0000000000001315152797619688806976280471280373843118963588797924010844905916906761212434135256916947663150925812
-40.0,0.00000000000002131783161120619111222012636190897836850034672859525191327451905249443228002387788141687112560074283,0.00000000000005154594480036139751317833733905761601459657056495335588772263070611451271844045979937557376334606311,0.00000000000006943005483042976058901918749001394215272965860632290871327897810611125628695984011561188386575326493,0.0000000000001434327704102667327394459312989076427804403385110717298002764536431518840872691501671191408986400973
-30.0,0.00000000000002121932824331610455746592780496058303539819879311260629185499723908338325206192972700835150867955895,0.000000000000032153562627669166496996609364299702783092735830349652921914727032802747120734574574162241062677509,0.00000000000004319141178685198433286713406684306032147175110588242380643778519374254895175793540121510259647111692,0.00000000000007009324768486230302566225110812091805976502845616783737294570286815607541018815276546973043392287399
-20.0,0.00000000000001327466302387974588269833922863158361774555099672535027130895779063076644017524657539840564509876081,0.00000000000001488582429299743050742449942703441273491635443091553544736980641616499516216398425726090009613115906,0.00000000000001945465552724145763695571661403653667801754176648416339577365454101668392586554172438690263280380738,0.00000000000002630351662000376820162145857688687590197141396436371590398965618946160847489585920643477836500861855
-10.0,0.000000000000008760085118936246152286539788781291319605256180506379900935566906268590850483094166815348894542395552,0.00000000000001392339350123249404586003850815433015325339103446508026491656590928301455795542016127067832336223045,0.00000000000001238647779552349409402996544830652087575757878090988431897031730460218003031873878663310730303613422,0.00000000000001404148636219080962312079084898558138227268374272332596973267574783219223292211998400757382130709693
0.0,0.0000000000000004066375829567815328111985005960115102694328453038433725288443174708523292576014644539043596886375701,0.000000000000004066375829567815328111985005960115102694328453038433725288443174689217018991323950962585531891652606,0.0000000000000008132751659135629957625921962374797555355447884345377679753134733380276789687827587094283850458790598,0.00000000000000345641945513264313368489446249791273479516053834239213211873944088748868074531747352678445214101696
