voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_6 transport over barrier 0,solute_6 transport over barrier 1
-150.0,0.000000000000002173379763504058146111362443320769726844296617420217825410233798587919728618031947313581236623049934,0.000000000000001534150421296982270572553957274776097932787275696662395806507379652882816103604918617951750216544297,0.000000000000001230580389931090652455759480949448837267072316290150737601848922193004054753152165089219856199260298,0.000000000000001230580389931090627216957879566864080682070619921863572013051673647356915177670805467275462099591531,0.000000000000002173379763504058184583956441221767202169063811041196660562425626870239593248229590433092419035435492,0.000000000000001278458684414151796590947126471603362277232802096538763811604549629856757834080775966688632990621126,0.000000000000001230580389931090559617760532125606665561288666573320583027884519534091773912353157854482930576430087,0.000000000000000656309541296581685638915700083168433107524201355248248972677404905763446031151650632393291975575075,0.00000000000000217337976350405816534765944227126829424875822307426881896130058562306125979901200589235845952146617,0.000000000000003835376053242454956013203167786010401977631403572632287629024656909305536480307151821837022183482155,0.00000000000000164077385324145400395252819957784665155312830555202114592853458594886974064495369114873839351633234,0.000000000000009024256192828004042138072587901439888537979095381068373924726943813497509762002674792122575052611933
-140.0,0.00000000000000370753018480104036689585357978248953402850599442272452569981059759115718411311332188787528255221301,0.000000000000001917688026621227838215692446593470122415984094620827994758134224566103520129506148272403775791920735,0.000000000000002871354243172544855730105455548713953623168738010351721070980818450342794424021718541519399108400793,0.000000000000001640773853241454169622610506089152107576094159895818096017402231529809220236894407289687813512535178,0.000000000000003707530184801040432525572752672426403700167677658511950371196657602173423776391654268217887843929551,0.000000000000001917688026621227694886420689707405043415849203144808145717406824444785136751121163950032949485931689,0.000000000000002871354243172544639108107908293082219643006888671081360398397212246214139128824034993799905988463634,0.000000000000001230580389931090660572966937655940812076607877541090466823770134198306461308409344935754225893286023,0.000000000000003707530184801040399710713166227457678424352262891399749992806881356986854951255774757554074555393648,0.000000000000001917688026621227478006601583893005200988815701786316143814512328454652768240153575910918511091741077,0.000000000000003691741169793271508893188449050154965994538687492047578339202818384956916451145805084690191307318207,0.000000000000007588579071241730671797924676189847178997846057479534768982156748206804724118047703802461473404138136
-130.0,0.0000000000000007670752106484911103922455682308599035921046885012533501447883995016187277475406872871589936241680833,0.000000000000001789842158179812649001312950153905447588251821646106128440925276261696618787539071720919767266795256,0.000000000000000615290194965545326227879740474724418633536158145075368800924461096502027376576082544619530064820296,0.0000000000000008203869266207270848113052530445760537880470799479090480087011157649046101184472036448439067562675892,0.0000000000000007670752106484911239708081557253296007655519333086576449043855153659669152640810319175747050638335746,0.00000000000000115061281597273661693185241382444302604950952188688488743044409466687108205067269837002934621922825,0.0000000000000006152901949655452798088802660628033327806443332866602915139422597670458869561765789272510672534051906,0.0,0.0000000000000007670752106484911171815268619780946920877970199085654655157531478669627975761218844326097781765502843,0.000000000000001150612815972736486803960950335803120593289421071789686288707397072791660944092145546560683182713883,0.0000000000000006152901949655452514821980748416924943324231145820079297232004697308261527418576341807913005164098484,0.000000000000001640773853241455280388740470527534525188723471887466977077223080693363183593091395416758288159738667
-120.0,0.000000000000001917688026621227775980613920577149758980261721253133375361970998754046819368851718217861572081660573,0.000000000000001917688026621227838215692446593470122415984094620827994758134224566103520129506148272403775791920735,0.000000000000001845870584896635978683639221424173255900608474435226106402773383289506082129728247633820182333700299,0.0000000000000006563095412965816678490442024356608430304376639583272384069608926119236880947577629158904885493183068,0.000000000000001917688026621227809927020389313324001913879833271644112260963788414917288160202579793900850680824301,0.000000000000002556917368828303593181894252943206724554465604193077527623209099259713515668161551933377265981242253,0.000000000000002050967316551817599362934220209344442602147777622200971713140865890152956520588596424131816317256713,0.000000000000001435677121586272437335128093931930947422709190464605544627731823231357538193144235758383130863897076,0.000000000000001917688026621227792953817154945236730219492549771413663789382869667406993940304711081488533462616075,0.00000000000000153415042129698198240528126711440416079105256142905291505160986276372221459212286072873959713722748,0.000000000000002666257511517362756422858324314000808773833496522034362133868702166913328548049748116704690446635127,0.000000000000006727172798289966649593835929162891553273766234738614606016614630842789052731674721208653290056825681
-110.0,0.0000000000000007670752106484911103922455682308599035921046885012533501447883995016187277475406872871589936241680833,0.000000000000001534150421296982270572553957274776097932787275696662395806507379652882816103604918617903867578198116,0.0000000000000008203869266207271016371729872996325581780482108601004917345659481286693698354347767261401694893801003,0.000000000000001230580389931090627216957879566864080682070619921863572013051673647356915177670805467256258169211237,0.0000000000000007670752106484911239708081557253296007655519333086576449043855153659669152640810319175747050638335746,0.0000000000000007670752106484910779545682758829620173663396812579232582869627297779140547004484655800036032667034395,0.000000000000001230580389931090559617760532125606665561288666573320583027884519534091773912353157854482930576430087,0.000000000000002871354243172544874670256187863861894845418380929211089255463646462715076386288471516766261727794152,0.0000000000000007670752106484911171815268619780946920877970199085654655157531478669627975761218844326097781765502843,0.000000000000002173379763504057808407481795078739227787324462024491629656447305581939804005507386032379100834474506,0.0,0.000000000000008614062729517640222040887470269556257240798227409201629655421173640156713863729825937928202030082193
-100.0,0.0,0.0000000000000007670752106484911352862769786373880489663936378483311979032536898264414080518024593089639044486856032,0.0,0.0000000000000002050967316551817712028263132611440134470117699869772620021752789412261525296118009112157776716619709,0.0,0.0,0.0,0.000000000000001230580389931090660572966937655940812076607877541090466823770134198306461308409344935754225893286023,0.0,0.0,0.0000000000000002050967316551817504940660249472308314441410381940026432410668232436087175806192113935778962417563218,0.000000000000002461160779862182920583110705791301787783085207831200465615834621040044775389637093125127830274417853
-90.0,0.0000000000000006392293422070759253268713068590499196600872404177111251206569995846822731229505727392871906938868575,0.0,0.000000000000000738348233958654391473455688569669302360243389774090442561109353315802432851891299053533834112594208,0.0000000000000004512128096413998966462178891745168295834258939713499764047856136706975355651459620046651089124661888,0.0000000000000006392293422070759366423401297711080006379599444238813707536545961383057627200675265979669502269414335,0.0000000000000001278458684414151796590947126471603362277232802096538763811604549629856757834080775966592867713928764,0.0000000000000005742708486345089278216215816586164439286013777342162720796794424492428278257648069987580608046546974,0.000000000000001066503004606945239163238012635148703799726827202278404580600782971865599800621432277651101916797181,0.0000000000000006392293422070759309846057183150789100731641832571378879297942898891356646467682370271628444875386917,0.0,0.000000000000001312619082593163203162022559662277321242502644441616916742827668759095792515962952918992635206103902,0.000000000000002543199472524255684602547729317678514042521381425573814469695775074712934569291662895966704878923801
-80.0,0.0000000000000007670752106484911103922455682308599035921046885012533501447883995016187277475406872871470229645815381,0.0000000000000006392293422070759460718974821978233741386613648736093315860447415220345067098353827574679252639735785,0.000000000000001066503004606945232128324883489522325631462674118130639254935732567270180786065209743987981515308219,0.0000000000000006563095412965816678490442024356608430304376639583272384069608926119236880947577629158808865841281596,0.0000000000000007670752106484911239708081557253296007655519333086576449043855153659669152640810319175627344042470293,0.0000000000000007670752106484910779545682758829620173663396812579232582869627297779140547004484655800155739262899848,0.000000000000001189561043600054207630501847721419776709245711020876563593621702216288714781941385925999526092869741,0.0000000000000009844643119448725284583735501247526496612863020328723734590161073586451690467274759486091418937429068,0.0000000000000007670752106484911171815268619780946920877970199085654655157531478669627975761218844325978075169637391,0.0000000000000003835376053242454956013203167786010401977631403572632287629024656909305536480307151821908846141001426,0.000000000000001517715814248344953656088584609508152686643682635619559983894492002704510096582164312589735378240518,0.000000000000001722812545903528044408177494053911251448159645481840325931084234728031342772745965187577958833864321
-70.0,0.0,0.0000000000000003835376053242455676431384893186940244831968189241655989516268449132207040259012296544819522243428016,0.0,0.0000000000000002050967316551817712028263132611440134470117699869772620021752789412261525296118009112157776716619709,0.0000000000000001789842158179812622598552363359102401786287844386867838110232869187256135616189074474340978482278341,0.0000000000000002556917368828303593181894252943206724554465604193077527623209099259713515668161551933425148619588434,0.00000000000000143567712158627231955405395414654110982150344433554068019919860612310706956441201749689035102904167,0.000000000000005578631101020944327930783450706931681413955711519610116267757941698989291264789030375410195548719168,0.00000000000000005113834737656607447876845746520631280585313466057103103438354319113085317174145896217398521177001896,0.00000000000000007670752106484909912026406335572020803955262807145264575258049313818611072960614303643817692282002852,0.000000000000001025483658275908752470330124736154157220705190970013216205334116218043587903096056967966296930302786,0.000000000000004594166789076074785088473317477096670528425721284907535816224625941416914060655907166900162130811915
-60.0,0.0000000000000001278458684414151850653742613718099839320174480835422250241313999169364546245901145478598322706946806,0.0,0.000000000000001517715814248345138028770026504320232629389190091185909708947004038038334195554336943366034930986289,0.000000000000004307031364758817195259352578484024282387247169726522502045680857765749203121847819135454515383380211,0.0000000000000001278458684414151873284680259542216001275919888847762741507309192276611525440135053195957841773055958,0.0000000000000003068300842593964311818273103531848069465358725031693033147850919111656218801793862320050325045573394,0.0000000000000007383482339586543357706563192753639993367731999439923498167307117204550643474118947126820767737059344,0.000000000000001353638428924199726630263631421534893284268665295199513506147147618137107439250279429331568875652655,0.0000000000000001278458684414151861969211436630157820146328366514275775859588579778271329293536474054349630294250474,0.0000000000000003707530184801039790812763062193143388578377023453544544708057168345662018597630246761058844673769259,0.000000000000001353638428924199553260835764651723487531330852080417445391041033407817536032086795197721657205721372,0.000000000000005373534369365766043273125040977675569993069370431454349927905589270764426267374319989850266943238127
