voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1
-150.0,0.000000000000001375272274247463970799934038203530287396169732125369770982519793033715094823970846955637140307472529,0.000000000000001375272274247463970799934038203530287396169732125369770982519793033715094823970852035068628375528355,0.000000000000001696430234322120497783982435508713039130304570732011938391059444804355511034194273650045782631398533,0.000000000000003438689265678726265234829861265147879380119962733367845442716161260873117958586181268098700874576441,0.000000000000001375272274247463970799934038203530287396169732125369770982519793033715094823970846955637140307472529,0.000000000000001375272274247463970799934038203530287396169732125369770982519793033715094823970852035068628375528355,0.000000000000001696430234322120497783982435508713039130304570732011938391059444804355511034194273650045782631398533,0.000000000000003438689265678726265234829861265147879380119962733367845442716161260873117958586181268098700874576441,0.000000000000001375272274247463970799934038203530287396169732125369770982519793033715094823970847593901937387648927,0.00000000000000137527227424746397079993403820353028739616973212536977098251979303371509482397085199607589371329731
-140.0,0.000000000000002163190511797784887345571175103500888260839098022636375015700212784035323373258151968872295811854599,0.000000000000001096208106747731195361292549395255198772077252350561818273671211052695627088329609019470046648850757,0.000000000000001121499344993806208692065779450980539225972758609795507554452197393091657320258174422374634753024777,0.000000000000001274889755006588947383379959043487889412225357007381724901309752104015036209706037829311346999442374,0.000000000000002163190511797784887345571175103500888260839098022636375015700212784035323373258151968872295811854599,0.000000000000002589983473817806364139282625386799164056343836291466197712511813476571201887229580333982075298961077,0.000000000000001121499344993806208692065779450980539225972758609795507554452197393091657320258174422374634753024777,0.000000000000001274889755006588947383379959043487889412225357007381724901309752104015036209706037829311346999442374,0.000000000000002163190511797784887345571175103500888260839098022636375015700212784035323373258152972810482389400311,0.000000000000002589983473817806364139282625386799164056343836291466197712511813476571201887229580260548952080213558
-130.0,0.000000000000001767605890708817001626840810863905812182262911569469765058502365624751698239925744249002746570653586,0.000000000000001447511169193800894031557223151432105335634357867847398035893665212048029859452554694240790673269861,0.000000000000001854648582409434484880552607555675158725972861776892214787066768308583938553457485032740958126756555,0.0000000000000008840818175910171220628139507237173311462535560713103365909468882595379969093587574652014322064168452,0.000000000000001767605890708817001626840810863905812182262911569469765058502365624751698239925744249002746570653586,0.000000000000001447511169193800894031557223151432105335634357867847398035893665212048029859452554694240790673269861,0.000000000000001854648582409434484880552607555675158725972861776892214787066768308583938553457485032740958126756555,0.0000000000000008840818175910171220628139507237173311462535560713103365909468882595379969093587574652014322064168452,0.000000000000001767605890708817001626840810863905812182262911569469765058502365624751698239925745069349841671024375,0.000000000000001447511169193800894031557223151432105335634357867847398035893665212048029859452554653199885539139626
-120.0,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083564575385687875641967,0.0000000000000001579217302105840168165411495616278240503595165276298127093101044100302279820369382415436089135093027,0.00000000000000003815411816453694301010850066976521395053334957579632220301689469745466616879767640318961124862277896,0.0000000000000003041871818355195078578123191151588472834949526552289967192348123735605757640543539345605902581247409,0.0000000000000005847146922306054936102525998449260998458642547964596354061217051025661064960083564575385687875641967,0.0000000000000001621729913044320907787424381508458827962690371739925543132985961093716809034416270401318312071753711,0.00000000000000003815411816453694301010850066976521395053334957579632220301689469745466616879767640318961124862277896,0.000000000000001331211081835688860461574778469931030985579859348304953485989933586606301562610444962866394866061327,0.00000000000000058471469223060549361025259984492609984586425479645963540612170510256610649600835672890505480981624,0.0000000000000001621729913044320907787424381508458827962690371739925543132985961093716809034416270355337828514239834
-110.0,0.0000000000000006702885977379985234138105447153289097517291176531152907234815055021058113805065502671586701785837163,0.0000000000000002434956357179770466200990944320306339562243793842854680266699048095699328665351323672424081274991468,0.0000000000000003277468963640169597784655794100009934318016301932895291567448877578584820657027507761460687169076953,0.0000000000000003277468963640169597784655794100009934318016301932895291567448877578584820657027508193004143216159033,0.0000000000000006702885977379985234138105447153289097517291176531152907234815055021058113805065502671586701785837163,0.0000000000000002434956357179770466200990944320306339562243793842854680266699048095699328665351323672424081274991468,0.0000000000000003277468963640169597784655794100009934318016301932895291567448877578584820657027507761460687169076953,0.0000000000000003277468963640169597784655794100009934318016301932895291567448877578584820657027508193004143216159033,0.000000000000000670288597737998523413810544715328909751729117653115290723481505502105811380506550578240063900782885,0.0000000000000002434956357179770466200990944320306339562243793842854680266699048095699328665351323603386401298801432
-100.0,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424183156660746858122,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805428859913655284307364,0.00000000000000005475293308026048313541901407849530614214882536904962514544730203565082162387409909965499204542342176,0.0000000000000006983979269198637087740067894483376285727134395392060764835064535205827106284003676472223534264400924,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424183156660746858122,0.0000000000000001934700344198354908567430440400352894090755508464793714376883082958494037995980223956840745922539373,0.00000000000000005475293308026048313541901407849530614214882536904962514544730203565082162387409909965499204542342176,0.00000000000000005475293308026048313541901407849530614214882536904962514544730203565082162387409910686429600292821752,0.0000000000000001266246870951806167385405436724384174375530028551429955849203922235525050858805424770822694066480403,0.0000000000000001934700344198354908567430440400352894090755508464793714376883082958494037995980223901986693685113748
-90.0,0.0000000000000002030803936830123161947296788701632644373652317478147676093356366848033945432759890758415322037985454,0.0000000000000004371090493470198989958374965547841492558918756554299664358817643540004232276811407374620840187371044,0.00000000000000004398845946835098758900001924870050682238412752565239084423295442761051487572593001072807165231292044,0.0000000000000009830354405318183650147624401060716768797007791674235659225221667854352109228301610117857843404717156,0.0000000000000002030803936830123161947296788701632644373652317478147676093356366848033945432759890758415322037985454,0.0000000000000002030803936830123161947296788701632644373652317478147676093356366848033945432759898258987867552254339,0.0000000000000006406941405317619141468416203211476156456724769363982470002704597144199689899781305846678426897011145,0.000000000000003125060159468859045400287397313017057928638847604880261144498318066747692271394203101421406779580179,0.0000000000000002030803936830123161947296788701632644373652317478147676093356366848033945432759891700912809206310173,0.000000000000000203080393683012316194729678870163264437365231747814767609335636684803394543275989820140901531867654
-80.0,0.0000000000000001797940492034515715419500744821077356614754780634996101230494571439341335179006426318031186419693127,0.0000000000000004998887707184676791372336621945814425081040317651219771456581576633360424033792085775300138761455374,0.0000000000000001689730715037927198956879748659784066925050259942016993623770256561091912082446031578467208975479088,0.0000000000000004472412684963088916665695007468849035287459180216438746976760470717182442708890514368897257662254516,0.0000000000000002864922897084569407403779370529323046103516626307070657972523573170681031463934973316189131862322581,0.00000000000000007309580869844620234352221191128316671259929349629215444884655697080016388940778820195943020436824216,0.0000000000000001689730715037927198956879748659784066925050259942016993623770256561091912082446031578467208975479088,0.0000000000000004472412684963088916665695007468849035287459180216438746976760470717182442708890514368897257662254516,0.0000000000000002864922897084569407403779370529323046103516626307070657972523573170681031463934974645801795331900062,0.00000000000000007309580869844620234352221191128316671259929349629215444884655697080016388940778819988696388124737623
-70.0,0.0000000000000003973475993023277351777541133908723996756536114976062241137470018902351191147279715843605315817534605,0.0000000000000005629365652427205876080966497465487208642320496072608769540790996679706075417077227931119045820613863,0.0000000000000006087325887925208179390555580336847670813093409518491751777193425152519568503110919168036961886830791,0.00000000000000007595001120759208379678608153616335538674726351020146266678407162677852701539296868857650836926186548,0.000000000000000290649358797322365979326250820047830726777426930398768439544101717101149486235116884554727570083706,0.0000000000000002428418437277044800128130620340750140176034959056385099314703991485686986562291575114264739287835216,0.0000000000000006087325887925208179390555580336847670813093409518491751777193425152519568503110919168036961886830791,0.00000000000000007595001120759208379678608153616335538674726351020146266678407162677852701539296868857650836926186548,0.0000000000000002906493587973223659793262508200478307267774269303987684395441017171011494862351170194452925062279708,0.0000000000000002428418437277044800128130620340750140176034959056385099314703991592385227067296944243789252869510778
-60.0,0.0000000000000003960052409104066206112949236425090584885162746761757018849069104275906332128183707138480466602124362,0.0000000000000002015049059176234468999011067541085276251903589001860498906293305419595967067416163493437640304379468,0.0000000000000005030851442989831390760533566665991440814781384468851433263975475870838586152172187538564761431059127,0.000000000000000284299845701146697920164528838726196756786956684473090194781378676251197830342450968266482179725787,0.0000000000000003319862966074033990922382061000143171191905639358512284803851703237102514357226578939635651999512644,0.0000000000000001185898155973926606953824809583651792214381948014363171319793699774423121787369489323316760902467269,0.0000000000000005030851442989831390760533566665991440814781384468851433263975475870838586152172187538564761431059127,0.000000000000000284299845701146697920164528838726196756786956684473090194781378676251197830342450968266482179725787,0.0000000000000003319862966074033990922382061000143171191905639358512284803851703237102514357226580480386310653418997,0.0000000000000001185898155973926606953824809583651792214381948014363171319793699881121362292374858488120079315894161
