voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2
-150.0,0.0000000000002456357446715426839442852095681724590237313125214933448447388310472970889394668452528882427802658701,0.00000000000008434266718778529951621129932046590283057243674501252188762199848902231085639819650694751687536960748,0.0000000000001161215862563131639872519891302551027237821660057565009305089219763081399261253419879573778181608766,0.000000000001186401774324553918014857262590407493445696427606343810650612387532541645788076140151625325991342825,0.0000000000004109714564066131379815664114845436993226735222436011099885754721179415471092192222730643875616079784,0.0000000000008020797494960011675017245862889825327458886556891265297931387905171597480054732750086354305270718483,0.00000000000004424981649896560681551864163032170171970151619485871732399581439596543744717827472461377432941142064,0.00000000000106915211456718395815276543131860564735851677255741114662864677328054574160930592500751788710353893,0.0000000000006511726252021326790777281839052632288808164859023594139940611529080561615261869499883877905037943925,0.000000000001353298070084202936788198201866866512761610802350082900516680956866383717083366829679729339189658281,0.0000000000005767697502204749921577143182657628566694042497850787584739462219166925521459882624299319699024717244,0.00000000000008618248084276985013186739939259252883815067981466674957816045363778454744935793611662297575025676973,0.0000000000002184463401814235819978384646978447824083131020334580061176819935589021977768924158222974017686299039,0.0000000000002576175161417646610732278429008592317695088290077462059786960814659117867399233747550591140057610232,0.0000000000009783671538120405160603924018363251000155102053346490834213552989548421399232690684888112880688832988,0.0000000000007893642707279151996698567123116734053888895992686066073902808436436120867066478060765139774597331948,0.000000000000155795804205676085593905659590799777684393912438042133114402212162777748628787931316488259032567135,0.00000000000007344565827163874080442822244781012999562037226843402956206574703094777923966423390073999992925171289
-140.0,0.0000000000001034217591078734547496026271448345116106801261285742849287693958270226909243515214637760074001295917,0.000000000001038921608513666284432431306581532537531001605632163058080047024665016403806149691774029536694312333,0.0000000000006144903960492647099802711027582818568055749639460520925271767309902419163361319014375647406602407603,0.000000000002435108792265191716149101978395544632204909314162863117689554569848408446638320154391415344386794563,0.0000000000007231840045970085312169366909123943359549334984219468697496535408875345393733518146457413474697086655,0.000000000002761514816756300889446082215075674095547456164700086648877085725830589941692941575076706942449208181,0.0000000000004647182526714899958684881860996971974833560078678913283527111007575581938304252955923050699923531826,0.0000000000002698565059259650634982255651427149470077732720969956196291295595221275097821787822276643241165598013,0.000000000000857884982695320556441717877931496563300546773499251419895646926220294986450737631814340868933175827,0.0000000000020582745244710368263924532260292240043810815943467364358340629054051545067136901238253278707477516,0.0000000000005139048337299749589919446973196766446285303416709161425886491374991773104991254632954171295085121706,0.000000000003157893519185467309032766945857264266422752804716466987308998577998464861019256969769983778925351331,0.0000000000002283086848167256009781969976509158736916688556583637221327084290364297333829561041025915447892510765,0.0000000000006495140357314520277417957232692124232932323198289450712264363860600387252913125225728213552285573061,0.0000000000004951335187112842455034964091749790052226373958714562835389102748971185805546611004634665966535189449,0.0000000000007487974039252643277800426722061646199326639409297414452138433278555488868007712414957847940824098598,0.0000000000002535985263752530944459850168529868718308390527098313825191267175294780042075073782040272937229455519,0.000000000001611028377960509824507222766563346724236830626170548370181910416962170716013957372860007753054515657
-130.0,0.00000000000001849004999073631714102241065629226270673817006281643338936667532886104724431074415435740232648433904,0.0000000000005221852891042986633692646503727015939042314592733694033668772410037019970865794139939559981554544202,0.0000000000004687993789559067065568214541892074873465366734973287728816485782343382394557943713909885417037990783,0.0000000000008397306509662551371421803514044804203119304575963778545981325796674583142205916084253723829825658692,0.0000000000001273894628830794400654426704027900021450259981554997135205068668407528462852770713437451802157353013,0.000000000001473979049196458102062977722564956721151850927008931422808312744676436505736227766353684626393223063,0.0000000000001065099865604439183574856016771835548007191565579816824888218610963767118553567784127107644935438045,0.0000000000003194168488390036658025431632041562089756888725829363687922160800732994189250073968951020194160951611,0.0000000000006619363183086001917391236707172469664909734873199662383140133340205466951546917176776469794842593769,0.0000000000003140073193233607280061563926836345094668001771535997215200165862658557896404259364118447606847087331,0.00000000000009945773911654876571463784311376548068831551383171407573166264910906144272529566836757165699680532436,0.0000000000002004739181289679086563968326758327818532110564397666827558620463374395385092874051345347346905052711,0.0000000000001645754944545965767515922093663579150302563518375147787533839208173556319652614921119386403066166322,0.0000000000001357270754532159702795995614191966852654227929129213515616253101940756287995469286778220224882253049,0.00000000000009579761634061177239658424574779695425298583334451854973453325174100222408312075630050578641047031953,0.000000000002262521572317263022184911858736293559980100502286753595706367133238461972012944860239945708908312994,0.0000000000007442469560263085107684883262285444564323989963859774811965418816549138703227396326062371473877797222,0.000000000001691383434462316692307198156622449391050213073056696816186481012624467624923514249428055800851916653
-120.0,0.000000000000086189204531603471815746238451192407143455163205309931950296623126382459768268069115352048266674503,0.00000000000005667037838258164010626208205391911405619984105385879695457828571094662939102130614018613571363550948,0.000000000001591975292183538482154979100549424328175302667775741614842808767081179507465911468111874769278608071,0.000000000000433635669137778687272380810335343746964921247736337270837456056621114148318460450437758217427077668,0.0000000000001546737734149841039036460006141742961236769232353430209404356502807669931531022032251357986473711628,0.0000000000003921311955870238654984841820152769645297793834908547866470784781946279236685106283148199860977674234,0.0000000000001456119896807678549480285525619401578998560211248896507566455676645095784482563038268036915493486537,0.0000000000002728283370485227309396603345949671364526818623180948842292461008009575601215332216454515878284160046,0.0000000000003647653912142644400636624634361598734827824215106889533148026953592202673653062828067653106390098974,0.0000000000005629802983515066768217200382745994869347548881627350654836591978548417535723107348220388308685782385,0.0000000000002014486563055173157440691849113924160109002940516804237581627624756464157661244622362785519837339822,0.000000000001333488662412084015450085687503690106239240559583226487257614703154491808224113400216908250355752966,0.000000000000240569721551771254054045552545425825214050087162798719637822734289302604504919490458537286998600556,0.0000000000003262602364625761255074713320393715008361939619945481724686164201297773299012931925102533581821556805,0.000000000001863152846200664345700689876828232543419579249750444014074286810363578060184966255066892822021722824,0.0000000000009125147163972851088862770288287270272542302222361898618980706934008185651349862711594616700371555556,0.000000000000316588661716866941211603546342774461049944455975267619655068494180406485160052637699526272517342869,0.000000000001525199802146522954119989161172570006058705361098074152327453993980777095872352485221078223083243301
-110.0,0.0000000000001153937659176808140602461524532650089799308439584541088137741338694879323577492036847008096124198453,0.00000000000001880225437312210612846246220206702561397055720773873598002645357177860613356973770246819065930519515,0.000000000001492053044285445279149938437075378530041090512029953772776852219406232422281689030612515404830242722,0.0000000000005553197350706016708968391932669947974808980040692872956510461293099283692730308954909862222528393796,0.00000000000002310768997007663890445032522536448788504734208204002370056520177606729575508968491496136364133687156,0.0000000000005727674640311312362592823923424393896583811315341175788778936610426331047321115780137388788398243802,0.0000000000001097713702496444946013450262525333434657189466255131200343609643818636578462146305489717339171510866,0.0000000000002693134455736092894858938268039335511756881711280100941499941969394305186077300751909614313163359634,0.0000000000003224938975825085193213419318820800472907536239352946853972327641215308242902035256234664855263334563,0.000000000001644976866069783817151204641543033815698749487593541721855562235934302524229915634225791591789591223,0.0000000000003142978059928326900800425429629758821125505801217742778616269424822180675150310719984135477391357123,0.00000000000154901149600798563135653360145906987959209872211589174518257280856734333323512351535271034529459978,0.00000000000006046177227603866564761957369109162485809609031670326844461381842833393997510507209010362229214017295,0.0000000000001881599857310673597779400679621589096167873767730436000849991277579671231207918201657155583215409558,0.0000000000005734200222351278551547108935823951409810182914848663657768553335257320216277786526535381243987977225,0.0000000000008827439153043341537798014833475216366914615997836491153751359146742819679144284466088757320207261722,0.0000000000001034814324016970874189803038769223840292903172875775327676455917447772659567058982416499680880210352,0.0000000000001046997365195493202088186572205554453279291922611917530126609921081814561141783949079599475931185119
-100.0,0.00000000000006362806279019682204806706854168937712006462047879315548348251845340440768735399055365158628933364876,0.00000000000008015319485246690349924453145055189582926557735624117812400448657001804965454827920920533230336842311,0.0000000000004889809499830770101255305518520698095951664557407697257389649083141800958671368142387143739578945481,0.0000000000001294957685888515946435520709219243713649409933463123773878326653584485080348382999475613793120913812,0.000000000000004240868408025053294559286998290816481627235889131182781161754015577482136351351651225146792545209763,0.00000000000103381017113916035689173363400147468918459282912883549853055683445958243878676311953993889592037758,0.0000000000003935226025351955361023595570746674907188313931505467770121171898260486776223720093640790110607332676,0.0000000000002336770501945010359165221339171285749351378352259972231154142647790823042727938654369754949409743856,0.0000000000008081569084552209085680562382451028405076859910630286342535338175423546995823749484265922477556218807,0.0000000000004168699996348415089197008987094309445008418544989808536474023353028660622055343784023369954109334108,0.0000000000001031437218899596443109192910361676841045334604920377842510849965163287979470659472053420645684862189,0.0000000000008932659220784032884510254746107723571290859872393710018012359339679259576959920100642063848882972374,0.00000000000001385762745235168628168997623668278263760416738205050154242932440685104759314995024002768965314066566,0.00000000000002900024742190384729491251991485067372229233389570011712903314824439376289106079307744898487191621648,0.0000000000005170920292016747256972805762095272379602598598046706691686338419886222714759002075183282027207536946,0.0000000000002812396374966377419756291617640732955061210366988435762002713251084730657408451107066007332512046148,0.00000000000003520452327922309493540280336405492401260608699290382971684026490521143074340909101033273174061043544,0.000000000001046656793904870182678892114195781074224041501395294362684721323019423232727246840046817266886531451
-90.0,0.0000000000001735971184320352288720206236257856400790483779056664531722507759391694196308790549529511981019681879,0.00000000000002728188863987861076282914059414375376266006195424209176205558780979014167958165498922306577607311,0.0000000000001447486994306546224000279756786244103142148189810730259804921653159355002015884222448728251628549125,0.0000000000006938574030833168628970448982558284719066099078451337726556683144880479525589249937277289691598010897,0.0000000000001021940076123774700679036607930714557515343137944112283502508484530409649860179591658099326533795096,0.000000000001018806031955502475804647187819308227626042998242262492956790596347326598066879710162841509746532695,0.0000000000003888542512682154410616015478449391612156898375490784314673058401905127020383115293093745472778929046,0.0000000000001282052714082868027335382444348515703520937585115258066980801201819677885372731816816072077928688264,0.000000000000022626797907238317047343443633932303482251670178880402884389420664670311081550730128517586251372661,0.0000000000004127689049618027260156285794744238077955962240662047791970265135047349903773827797856590603107799218,0.00000000000006508154184477130668277916245396412119312703835797450968266454816696292544798621375321309548792966387,0.000000000001018806031955502475804647187819308227626042998242262492956790596347326598066879710162841509746532695,0.0000000000003412497515422950473146871623346874833449660893556199485773910721811704603926515537131028078318847754,0.00000000000009986377350756943375546240020561170404958155605365846209275816246101379181696254747347192838492532947,0.0000000000002321240970442504889864830066087310801279718341903727369175939651587991098450788404447698737845954143,0.0000000000003440339831555262222313447452724084485246999092046385487653430106071119209594663358134326561015935083,0.00000000000004125489962118983492369035730725911646184189406890123172152186425537698744348770807541312281939857705,0.0000000000005460063940995494002533273953690236636955645129484858344283095045360374252405860785636237400424073139
-80.0,0.00000000000005255348026935986358209340537225573748761523911033088142028666875061397865346389406226017326322368701,0.0000000000000002023556917746096648671305032858381060642440011645343119196053830821383735068246817430239704275491428,0.00000000000002790872352682310590688289385417159025902916006273640911774932829131395349883263791660566286129776442,0.0000000000003582321373619477426002753002740610065707219461707153200656010249259979174471149975503740047611250399,0.00000000000003638976195395921363090057851514538515388085832204671215719531598575325590448149451216414990225767973,0.0000000000001632269917901473101387927291194615208437062030490833308536682754940002302449960358725500419397742986,0.0000000000001721508185337261382668461335899777390831969546857035450765423814077139693274054583166566068300790905,0.00000000000005573325808261108058938971960285338102399465694706721764429840059243102625639188845540644822291932399,0.0000000000001611728470205644793240848929304969811868368020260923956231222042762864506368332680280756772214476603,0.0000000000003821685797801079308190834086702899974989254551800147421648134907909831618828869517063783831074061212,0.00000000000003419375806238488443651451352466566121551356391752382939579967691557112338743819596704007570864575526,0.0000000000002655607731375110505971833576758166563716221222998496675347050561644876055392137499595677798281340421,0.0000000000001721508185337261382668461335899777390831969546857035450765423814077139693274054583166566068300790905,0.00000000000006011121304288449530958029716671970183495182643242883998170585747615562737578946609731351425650193462,0.0000000000002626131931339020655903630152517628733138172041569126466379196220682549377208522477085291389910606085,0.0000000000009237031394423375101546870353225899207003002553353576311249780854976994002355227340828122332985693223,0.00000000000009787787091804043107371039824857765542816510164868742947627320995085296638169385376737129711435207835,0.0000000000001504901692190162008113535521746791220011758955028506108375735688870756218796393569861925534972112013
-70.0,0.0000000000001086549110795871417682904190272163024908032126575100680404549733649301142732827373499522840774036382,0.00000000000003982688767831751326806790634938670438187047241443884955035372220724132627133538576874927488716818113,0.0000000000001133093684584041405760719804372215488266629402156313717886460591045149844629609353265897667089498293,0.0000000000005744223043471533609887160676748012901513407159968580166741444489934652823431539075094546568284487414,0.00000000000003731849972870752269141005672313540735963648627108143416783872678714941289068202525343145674450134593,0.0000000000001749640236525864765955286103264045038164984995465757256521173837063411593702819276189102654782922809,0.0000000000001025718578716282918412887744121599409429469350567970770032151385370180369284355768671760298043698968,0.00000000000002899720961869380317075437237561212132318694789801799429466159202118573402861506212824229736965447825,0.0000000000003734981443079167669991877796539504677599700866824915793360408124256633836221053918129828557138275601,0.0000000000002085241359330386306201099189610696875405821223152552909704030671197183623533995037045508456648286486,0.000000000000006310924779677994466678819057561705349890289279218329576932303116177701750030649796279534785239694164,0.00000000000004235252145760914048091638113146897712432895472500875241559505867888267451632290040794112421116353158,0.0000000000001629626314030602936085860458299215381384763341500836378193297726632046120186048678431025795200480795,0.00000000000002017413714564023373917558826276013452198462937441201658969373950443689117556615201822979242070285728,0.0000000000001093211622056049806159351796789699863073800680347054441273057746352065735139832498108110472867498339,0.0000000000002325044984290303054228057486571082729475529772126451707248434457657119687390289572767693803677528214,0.00000000000001186681462536104732847556348347540691395954412266122296326326996369457694031870853055342903188249377,0.0000000000001493805783157455414809309531873157199345195197338841414818581885382361946905811398830541975160355504
-60.0,0.0000000000001129844395829994156739822012550581346923157892935106059508973151576897516990497415262082876279061309,0.000000000000007985368529818622647073231430721782452553367538850011266940309261016331863251745386813428488572332437,0.0000000000001820897247394287364668627265495318879661974340198627395903652788053483637483469909776021433029349214,0.0000000000005075339654811728919835835034665956423655597701848150195800173453237362459631692918017192702214270766,0.00000000000001621296265930462087749299676281851693503994529389251901284257291472431939057315480238641757910320873,0.0000000000003552759635183810484907014312928878930189502013522256173723292453509993002944686597547216920362791259,0.0000000000003034742864800621509193046350045201933984204279613628789243783465077757253114335106165872375693141227,0.0000000000000384670377855035040682120547206177057310763886847764657447093385157668042246720258031058468173301753,0.0000000000002417423991514617391288503456070844541219403318419355829058071523484953888316479729447069641173359133,0.0000000000002071206331138046581915698127689694075969138956460846578210939205228205176316460506511320593156836227,0.000000000000005307875478123805227490440143882777660959539870431732048834689973060579276451170939829508233171214288,0.0000000000005342502806816888778331657280169853939958846953208405624260738295708431004334974944777248121560950793,0.00000000000002846686698151054623367147228525989924710053838663465472136809489715376798352176936399881603363169053,0.000000000000004180737886099077206930057799390940643159187662575970807539360394807822826442575639117810667287501408,0.00000000000004860545979876825394654812907904497497750351801929811747344239656228693313275062665804854791178952977,0.0000000000004212310125423017546442111493407424915877251000870657270571687298650953171872213295137844645429014045,0.000000000000008307348649637035777703162797091510756917685437610141071818272262046682290301536747294233509093946487,0.0000000000001379813784471011747062003004849192093175064200246863681322307593559941668768879060178696900690567593
