voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
50.0,0.00000000001834241435061440094349109932992611957941206372394462798816685173999999999999999999999967853989360447,0.000000000001657585649385599056508900670073880420587936276055372011833148260000000000000000000000676453491527706
60.0,0.0000000000715771291478119626780870464658574277845541562344480402071139387400000000000000000000002978166355162,0.0000000000584228708521880373219129535341425722154458437655519597928860612599999999999999999999992006345550276
70.0,0.00000000008480411313997407742604573193308466176448383680984322496576178501000000000000000000000248986585866921,0.00000000001519588686002592257395426806691533823551616319015677503423821498999999999999999999999741243052511478
80.0,0.0000000000415922590949084028194386885010048863389033627214878233642893694900000000000000000000018100647782868,0.000000000001592259094908402819438688501004886338903362721487823364289369490000000000000000000001100078008022457
90.0,0.0000000001586633296192510878368681814266667848879169689789403334418836648699999999999999999999993868521266705,0.0000000002586633296192510878368681814266667848879169689789403334418836648800000000000000000000001238625206499
100.0,0.0000000001214261518401938352135663594227289381708566007159103249457336274100000000000000000000003254074108896,0.00000000002142615184019383521356635942272893817085660071591032494573362741000000000000000000000416845211085934
-150.0,165025.69118866402830624125064545478629825276732128585182243713084620886361609223912,165025.69118866406830624125064545478629825276732128585182243713084620886361609223912
-140.0,158877.68112378174526215888213499023356191881649005375147782283465867475340791949771,158877.68112378180526215888213499023356191881649005375147782283465867475340791949771
-130.0,152939.94036727574255445977884966505880605338437594436540509824007587568792720261143,152939.94036727578255445977884966505880605338437594436540509824007587568792720261143
-120.0,147210.59594160268740922920648473513536761123510130043950329990928500172531619316317,147210.59594160268740922920648473513536761123510130043950329990928500172531619316317
-110.0,141686.432727167725148553891242355309258509767503801824726863523540622840103717026253,141686.432727167725148553891242355309258509767503801824726863523540622840103717026252
-100.0,136363.079630060003512619208860318456620029223391840989169498154334404496044206095107,136363.079630060003512619208860318456620029223391840989169498154334404496044206095107
-90.0,131235.313450338607406394010797872401641988414396727311297882089245555573294941953124,131235.313450338627406394010797872401641988414396727311297882089245555573294941953123
-80.0,126297.350032959461430761244134596027402381111932677412452830941050043053680179832337,126297.350032959511430761244134596027402381111932677412452830941050043053680179832337
-70.0,121543.0761293656014945003703685739606110407707660623289338517254636946496040911210251,121543.0761293656014945003703685739606110407707660623289338517254636946496040911210252
-60.0,116966.2150531993257812735470520422519711583876848700612417879984500261876153456724854,116966.2150531993357812735470520422519711583876848700612417879984500261876153456724854
-50.0,112560.4335171305839350862864470329200391830801058981153318126258111980042583137128617,112560.4335171305939350862864470329200391830801058981153318126258111980042583137128616
-40.0,108319.3990548264485503896179209365570315532534624643753063506896025986851444519451256,108319.3990548265185503896179209365570315532534624643753063506896025986851444519451253
-30.0,104236.7939244995985667085177558942279310414572804652354985279645387966548254626019764,104236.7939244996285667085177558942279310414572804652354985279645387966548254626019766
-20.0,100306.2847241746940325975363310589295020936169836574966833172606506789904465601088746,100306.2847241747240325975363310589295020936169836574966833172606506789904465601088746
-10.0,96521.43611209379941355486254122582695987102683871721468743432693247921124450943767627,96521.4361120938194135548625412258269598710268387172146874343269324792112445094376761
0.0,92875.536285365396265475622748428740118583070286670299675300586675152934783612883153,92875.53628536542626547562274842874011858307028667029967530058667515293478361288315308
10.0,89361.25406300674704862533521946003393609632346769506579486974914633820135549383274928,89361.25406300677704862533521946003393609632346769506579486974914633820135549383274924
20.0,85969.92224366249081432190362211831894164784158493115835267597795863530452528689348718,85969.92224366252081432190362211831894164784158493115835267597795863530452528689348714
30.0,82689.888979550651895282436863789087334730081005566952675287691939000210092492416220604,82689.888979550581895282436863789087334730081005566952675287691939000210092492416220438
40.0,79502.342327776008407465025605731170641536550432427325123734118497379767391949568038599,79502.342327776098407465025605731170641536550432427325123734118497379767391949568038275
