voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150.0,0.0000000007671909424004423934361496907225948270126161482376179225633022776900000000000000000000009765490400828,0.00000000006719094240044239343614969072259482701261614823761792256330227767999999999999999999999708041925964576,0.00000002423280905759955760656385030927740517298738385176238207743669772230999999999999999999999706959340844
-140.0,0.000000002057579940358415694501634667192906596796106603440030695687575797650000000000000000000000084051572713,0.00000000004242005964158430549836533280709340320389339655996930431242420235000000000000000000000160951357050403,0.00000003475757994035841569450163466719290659679610660344003069568757579765000000000000000000000184303882386
-130.0,0.000000000512365371264485714814229335588576064259769296563626316088542970429999999999999999999998660594642295,0.00000000001763462873551428518577066441142393574023070343637368391145702957000000000000000000000044704208338471,0.0000000004823653712644857148142293355885760642597692965636263160885429704299999999999999999999990644398355352
-120.0,0.000000001407709758558024274187588136202200594078597667705319007467879419410000000000000000000000037134047553,0.0000000001277097585580242741875881362022005940785976677053190074678794194099999999999999999999997896039016167,0.000000005542290241441975725812411863797799405921402332294680992532120580589999999999999999999998790476251064
-110.0,0.0000000005419886213919167008356316340285719611157435202037675250512138548800000000000000000000007526072800558,0.0000000001480113786080832991643683659714280388842564797962324749487861451199999999999999999999974496354429276,0.000000009801988621391916700835631634028571961115743520203767525051213854880000000000000000000002192207452963
-100.0,0.00000000041163382827572541711631680811948442960779460584640566272056524015000000000000000000000155506631365,0.00000000041163382827572541711631680811948442960779460584640566272056524015000000000000000000000155506631365,0.0000001009283661717242745828836831918805155703922053941535943372794347598500000000000000000000013053664911
-90.0,0.000000001237275076742973373533032120632658290663688365117267186953461130450000000000000000000000340471434299,0.0000000001872750767429733735330321206326582906636883651172671869534611304499999999999999999999994936888626901,0.00000003976272492325702662646696787936734170933631163488273281304653886955000000000000000000000079979783843
-80.0,0.000000002113906388885346137413989556926634230905533680655181412379521867529999999999999999999999719359470805,0.0000000003560936111146538625860104430733657690944663193448185876204781324700000000000000000000001145658589121,0.00000003782390638888534613741398955692663423090553368065518141237952186752999999999999999999999966107019898
-70.0,0.000000001449136339614909332989333643918619683314205051386269579993193601510000000000000000000000312149469534,0.0000000002908636603850906670106663560813803166857949486137304200068063984900000000000000000000006095463669354,0.00000001972913633961490933298933364391861968331420505138626957999319360150999999999999999999999893142919376
-60.0,0.000000002188664709659206936754409850640751501649011230048245513950477333800000000000000000000000176247182056,0.0000000001786647096592069367544098506407515016490112300482455139504773337999999999999999999999991438170009946,0.00000002304133529034079306324559014935924849835098876995175448604952266620000000000000000000000101598392454
