voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150.0,0.0000000000000001037609540362775858741370015805500349443944133697037895760710338430547420295324428378817170977905232,0.000000000000001209147392004578045791442519706197504469443841268215601107486851788138250597361262867004953596820828
-140.0,0.0000000000000002891754874169475136103706692420756203326555661543322706790444364315271416323989739264213892864019696,0.0000000000000008162109505513529463069348488835718491923938617441795408523713815135563669354298461027349676065447107
-130.0,0.000000000000000796827631593139746597139748952538849348356163703836617635130911113203000312213395169740988929232285,0.000000000000000796827631593139746597139748952538849348356163703836617635130911113203000312213395169740988929232285
-120.0,0.000000000000000388806168707312850598032549841716181550553677636757945696311628802687191309651464945315228555266607,0.0000000000000006098834563009729425814936534668456754555635632164603080025947923917038930232172289511531240126392181
-110.0,0.0000000000000001465498901386729185967937145846350384402472432166654952153788134126821434988957683346910556107419554,0.00000000000000007452739745498717338666738904049445546476264236303686709090435017633455821466999567114683984663065571
-100.0,0.0000000000000004895229305113198031213361366639113630676814662676116977705370649680343971506678394355623624600939521,0.000000000000000268445642917659711137875033038781869162671580687909335464253901379017695437102075429724467002721341
-90.0,0.0000000000000001296912979343685112859421517318886243045427050344199604950866394299390918406925692263105111890408029,0.0000000000000003507685855280286032694032553570181182095525906141223228013698029968480647948923240337921708223284666
-80.0,0.0000000000000001291262493377091962943818515967911656138603934241719589767861826590724153065999528615893307268377988,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848
-70.0,0.00000000000000005483626054151732375923320579164459824542302915632978945228322263466894279957543083329102216352636575,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574
-60.0,0.00000000000000006283651193626633429527247139610914044919641825683220238784273909034642324830787107615852307383341999,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973
-50.0,0.0000000000000001068740984036266069380558788768953280966384407404255829076390484211291000773917928059940654619765487,0.00000000000000004055091212552857934301754778935647992513547506651487421575409934442408956332206360424600886415640284
-40.0,0.00000000000000002816722328650098954232273047977296409059451718094508827562778871187598515504125909653449104042924405,0.00000000000000009449040956459901713736106156731181226209748285485579696751273778858099566911098829828254763824938986
-30.0,0.0000000000000000802938562084010207998668259083041502553709025863723744558121813077456449678616856965926618153742369,0.00000000000000007446024510716104358855594662928649547813601731941927915858603320456604623163434910748889694569913459
-20.0,0.0000000000000000468305814074963785030831986378360584687833105186747983964156748209865570072004022775660192750839921,0.00000000000000004160033362996765829030124281221573909322064371320614652609759061240935080228930240493185930576073885
-10.0,0.00000000000000002096693707562929018760860142072767769554445663722888999966843626835693771700023823114257031410820438,0.00000000000000007851784234151775120494889521058059456170999187363717303815898734670057805410435557148054959493190106
0.0,0.00000000000000006434195895960440827796635500105049117230665089111698200594120278655623732681858580945828862785128507,0.00000000000000006434195895960440827796635500105049117230665089111698200594120278655623732681858580945828862785128507
10.0,0.00000000000000007851784234151775120494889521058059456170999187363717303815898734670057805410435557148054959493190106,0.00000000000000002096693707562929018760860142072767769554445663722888999966843626835693771700023823114257031410820438
20.0,0.00000000000000004160033362996765829030124281221573909322064371320614652609759061240935080228930240493185930576073885,0.0000000000000000468305814074963785030831986378360584687833105186747983964156748209865570072004022775660192750839921
30.0,0.00000000000000007446024510716104358855594662928649547813601731941927915858603320456604623163434910748889694569913459,0.0000000000000000802938562084010207998668259083041502553709025863723744558121813077456449678616856965926618153742369
40.0,0.00000000000000009449040956459901713736106156731181226209748285485579696751273778858099566911098829828254763824938986,0.00000000000000002816722328650098954232273047977296409059451718094508827562778871187598515504125909653449104042924405
50.0,0.00000000000000004055091212552857934301754778935647992513547506651487421575409934442408956332206360424600886415640284,0.0000000000000001068740984036266069380558788768953280966384407404255829076390484211291000773917928059940654619765487
60.0,0.0000000000000001582407756573937576881886322290203534558134673228701599184404244986702784652578929296710922850600973,0.00000000000000006283651193626633429527247139610914044919641825683220238784273909034642324830787107615852307383341999
70.0,0.0000000000000001874826330977133789493098679667222945884289605041512068360531207880789638277148892367871353591666574,0.00000000000000005483626054151732375923320579164459824542302915632978945228322263466894279957543083329102216352636575
80.0,0.00000000000000009195103825595089568907925202833832829114949215553040332949698092994428640696581114424028463205571848,0.0000000000000001291262493377091962943818515967911656138603934241719589767861826590724153065999528615893307268377988
90.0,0.0000000000000003507685855280286032694032553570181182095525906141223228013698029968480647948923240337921708223284666,0.0000000000000001296912979343685112859421517318886243045427050344199604950866394299390918406925692263105111890408029
100.0,0.000000000000000268445642917659711137875033038781869162671580687909335464253901379017695437102075429724467002721341,0.0000000000000004895229305113198031213361366639113630676814662676116977705370649680343971506678394355623624600939521
-150.0,5713.290265480687324702349416100093860471706553406343225083208532474894179637190357541971429363243863,5713.29026548068732470234941610009386047170655340634322508320853247489417963719034177902422831171896
-140.0,5500.442400383051061673883144425170693817197919226087499381848756444835449587126999232765445541314594,5500.442400383050023055552084259150932560559446398789422726901072573801513304276886950300869587939647
-130.0,5294.874187223373835485722816916178726843030463943441306352648313063886485327170113322713339727309266,5294.874187223374874104053877082198488099668936770739383007595996934920421610020195820938452615544833
-120.0,5096.520782374662807249791301304393700811727145708607226053525178066444853581162215240245967900767578,5096.52078237466107621923953436102743205066302432977709829527903828138829310974537266769043290494074
-110.0,4905.270876431980992074083408275178197442546132852694918074191048378871706146621056770963484576053691,4905.270876431979953455752348109158436185907660025396841419243364507837769863770946095954381887384697
-100.0,4720.973139453248067395290096616887670480774902084442666047358949017078796178966278399790387118900306,4720.9731394532470287769590364508679092241364292571445893924112651460448598961161682678786859450103
