voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150.0,0.000000000000003312820502664706091000658299040994583995331244212944420025710707544369922266920067316254208270975461,0.0000000000000002901383726990942225274349683217671873969111832593692025065901139035300096189132211980850400839648428,0.000000000000104640112710392860640185889226645698151662528075557599062800024778086299340689644983420456030621536
-140.0,0.000000000000008884871595281560836093896958137972682881347042713471473833290067776169266673934812946428044687728989,0.0000000000000001831747946152747693257730340197095069139131401472541787240717130168069514144166472738596718744123489,0.0000000000001500873082379608581204859011217361667811218270329733423493693520829810846626211219058958772547185244
-130.0,0.000000000000002212453788191938837189197697524556114995432887820404637613354087600559315009212484795398357843013183,0.00000000000000007614839592488157751195711002000177100051372975873088422255150469481087336546669331537434166400528643,0.000000000000002082910268336269757111773840493732083712643456636679985433963205017802511893664607834877831306402861
-120.0,0.000000000000006078655901959351476234603656184597855533096440778508746987367184645684846437403106307692718885080797,0.0000000000000005514657214508040595978524228694391874674140436062569206666895277813945801740269793964787985666924626,0.00000000000002393225953127065207503525655595630272497978845011770234123818728035964120866452197522731943206935546
-110.0,0.000000000000002340370457894349088665683161180756123929984240516620710146975845903913671113292016558857920618607238,0.0000000000000006391304987860397531150655505281965955741726767090462899790144534994928005443091785813206826719971264,0.0000000000000423261369200108718058971803646951071132176553325596300161856282697815135661124037131292009930742581
-100.0,0.000000000000001777483166883383732680958143621712564504722430155993309955728135402518842599339908473801560042808104,0.000000000000001777483166883383732680958143621712564504722430155993309955728135402518842599339911752201623415757432,0.0000000000004358205269055667687688568309065018651087579761084658817520266732291499620817213921869978004073744444
-90.0,0.000000000000005342698949032595201671815843061426915582164767179653505291784983024001649742070393053531587327143728,0.0000000000000008086757540841773989619808469825858206845346757492906790131040926275135406978946646038382061947504383,0.0000000000001717001115203818142374741220990647491708967245172440378065424212134102959415066962901996967166999176
-80.0,0.000000000000009128095808719818710699296931523786393363851891647621125822883303954095648123009838015818854505519378,0.000000000000001537653992730268882341933964014058848919144609145708570280299362026214475057098786681955566884046806,0.0000000000001633280656102512470295261614172146582969775381440078654366911638716289436233301673633938777379072076
-70.0,0.000000000000006257540739482520616214527257240803714490969647905736306090505742991053868776087333203725240737184228,0.00000000000000125598341214628602827605645054699009991081736075029352031416544680884071192568959301540801277777049,0.00000000000008519272550487021341005813080802291344280399638252195770073268353008419923384992770262710632519557408
-60.0,0.000000000000009450911009104655868279742249719861441720352676044968437090036643375941598554030961122522004646164615,0.0000000000000007714951787748275030923438286546513457734607867354167410708475103312357898123231366579972336432153991,0.00000000000009949518918951304047683372151320314886710555894946746404577769560872252982162173448503789644411323768
-50.0,0.0000000000000003868728228871096067408423299653829222293406157711721437387864987954302917086820747899486267417221156,0.0000000000000009050469023097859270505377580886790473604983405060707524563500291264575041708735884525052077557339602,0.00000000000007876421780892669832056513431586810019155500183748459033786904275926897641189107142142766564031682943
-40.0,0.000000000000005157640046757168392416527672612925265068428303901701149448173565204944590127051987179511965147616914,0.0000000000000004077109853826354562443195814827107846994824938317972362038412038371951425569631279930803816373802764,0.00000000000002450782600019105094531353558744577789869035143717124419963233854624636332333341208664675364682108664
-30.0,0.00000000000001792215527562483672102437772277051964730029012244881053449770686287836638244543118686113059189327334,0.000000000000003326918705219453698967956497297678789439347542415833055619667425221099898093703605186546944631507415,0.0000000000001751408704826073156210296438721675616411502254850288294301878384796278406447546120465679750874472002
-20.0,0.00000000000003387597848500394206306042465717304069878347481471151234140108874130354233196457147690034352248816492,0.000000000000002526446679932024684323851255713625128348432468250146513988495156280714095330507308635833229406276541,0.0000000000001345305973273658620375905894828981999688427857241305354918070586162673473662621030799376077108700135
-10.0,0.0000000000000230439174434086859732342572584710420218626345446430562934324831370612646794737637259019283198567828,0.0000000000000007704996233918132476654951256954423956234892212983255988788741110688609599344545142104291864685520438,0.00000000000000912605665408246891265933390418359241336340753264856566444958603766099287821581495089723748576612026
0.0,0.00000000000001558354557307802384771639893720803486514156588003128541686680505788233179096825393204549296564028086,0.0000000000000002199290705877946886133412246639503828564579694182042961726754760325539910863564875052471175181369726,0.00000000000001005390036972775750218969373623077959111392867536560421263047696082781902598919018948474722808588242
10.0,0.00000000000001098261060118312371049011798248080305125784365323124748555493613229579647035208717847426699813602339,0.0000000000000002013132796896402028608083411803383161563105722969808192658100640112227479616906530827885194209518329,0.000000000000003591035382579647798220065933486900468055967354937775884626538158255707645490004492787502073827038448
20.0,0.000000000000001848413328009441388157316746625523912878179310457600209042835646592932772005871043343716795389416592,0.0000000000000004660975600785128425593228323251987793743251933582802432289481222189887769919177110859489543733718378,0.000000000000007392875977832078015471057827544792451781566965121015322320765421134923945351320225355289943922994497
30.0,0.00000000000000693414249279263899015281704147595148391832487534938106198991388851331787527500877134397900964502996,0.0000000000000003634757924100525208753935712604689450121464146671076774491058303153153669008550232318035247232963779,0.00000000000000291829337726689750775267747352040651415185250865391684442879652844785697869302455485006949935687766
40.0,0.000000000000003510879413533275223848258614958862090780879444814672617436342346714572318187309509889637980822885367,0.0000000000000001859290705711021685277129511677119545226173777657398781653096937571477048882473082756765983006680934,0.000000000000005254898763366999194724089044126897359354538731950695513369107374718638025964763570614934028695809367
50.0,0.000000000000006250663187611204737555166556071142794209627938979615615343796110886660471322214364880621663300704382,0.00000000000000005378811203135715954612781942896006155279104529498412405322684147417061363444903113684621668028969468,0.0000000000000004643859673913191607635676086943360635783666794399144846643366888568565988277424811870214741278513456
60.0,0.000000000000008295174815480072710120121327111766454580818522556276015011307241701720341917633165782440713708607407,0.000000000000000004389544717251585164994477139028452482294926797898275530290756405284942522568973898026164381249524005,0.000000000000002284212639399568829536160330405529433513651690781237246305614835890085245852110205218498132074857899
70.0,0.00000000000002417863016952921643569780097742565998612018090763122156479939400959935375193818028712220259025829667,0.0000000000000006073632961888008857826303344720046659868635921880952188573948579014479108366470376766718441677447901,0.0000000000000006937256427592469391675795724925540201753898796439116536436554462899524462470122889009661272655918399
80.0,0.00000000000004424768033600173249915989456676666130392779675591362362887799264290248205142716311048710332916600081,0.0000000000000004880151874893231542438107278779041657288201461992895904049921423428672911420374258329929682499218453,0.00000000000000007334006521857619275835931925566663649660072226351723570570168218241218902533671309636609037544574001
90.0,0.00000000000007361358984151708911509197133845534340237652517618694229443290655507556337384954925397273516170225648,0.0000000000000004853035159256246891944748831760024913790294609035587521786782822613280082438369619616500729406363761,0.000000000000001348926981630085223043967263381496033264292335461723100041284166146373362347489481727450879055079564
100.0,0.00000000000006513623835879689790115748107536772980699384133576012788360285868174246436273685357037173990375608465,0.0000000000000004991450347421026714039398202497793762861371306603625539551884935209825491407379496979165582156413095,0.0000000000000009309567675943329383286860103525261472287685679394447278864914354635052261925642092355356176145578672
-150.0,0.00000000000001250406443972900277748414921612585848510793065965103010633837285693417412491211573417875052354091436,0.000000000000000000380321238194730067465417849131885744511030291674114140570778324765258706209965141475492546024994775,0.00000009791022565796536845906817518448920977258621256531261450537046786473966320808379708835707396478136143
-140.0,0.00000000000007608569580877744106910451900681836575176903134124247106163109731822597065877112788240245802642795387,0.000000000000000008800814257011912459846207441381099976046084483790920651863223322513525009324610459776415580886301212,0.0000001218908241483097957218900794820975016429496458464612507036206472830351353453897027238473156466371895
-130.0,0.0000000000004825882146838559222600065449939321406333430193705079161737211910200047150120118491663492952489879748,0.00000000000000000231126767539163161513457004013914648303860210853232602433800361037860495279296940349999671540393325,0.00000004676042670930363630038409552215364188571966746318546140182756247520967448430362319028513653088136165
-120.0,0.000000000000009089602497896934794662568253101465437059108802638040411721923809104822766256480501076549362703036278,0.000000000000000012010727068230765515765784377205041202949179809191626101891289127339467522355391540950272084755698,0.00000003503435027386538713665105519925342420671875688157126932932430865962428654148969382754842943478135917
-110.0,0.0000000000003156426572265882183910875411660990555367088342382301458768500891421384575888059135365232486087324718,0.00000000000000001154811425152145658090155939155336843808543952073225589230664446225865697305227843816585105877471586,0.00000001404624881548534838001639037925025280908868084819366223788286775509704727279070958057835144665420473
-100.0,0.0000000000004279777775514851226577272813536697309945482555498276048273196143846485635610323748989573428085800658,0.00000000000000002707544247966545801408290785345707116379270941639905672501272933334565486350394720418969749477878735,0.00000001416511679553759546283453558474064932503697334018525966202706998284345354101376080524619743631240731
-90.0,0.0000000000004167116330290842534450738107636551849482460586445433214471068551746241849027687602210254509680363403,0.0000000000000001040807708866614132006107361969770249236431041692228675029900754686403092143779386935317643603164647,0.00000002713393584999845937290257096426824626960473923336209326443859297227281467276232814460829913472809998
-80.0,0.000000000000729917500573054014605743677495555551874872129793021298396033577203504903382914646694267366343877766,0.0000000000000001129953639488073910819268206595805856140973249094124500932769552416428487412724876197771261933372741,0.000000008775978585729929531672542405976469531697572809261697737843618422841544896742841816816375390158439248
-70.0,0.000000000002694320740154029304857275721539766395341781604307220219143454039370978139128477998921622584905934443,0.0000000000000003532104268107602975936131894035963992962123623273862042840773562061740088594822737018085946931310097,0.000000007405938794915744677346917292869854311374869153171447259376858707018867323810740616398928708430914831
-60.0,0.0000000000005326381987614715801813420897453278896424223069153525163345244605937449702672908424302101458373019413,0.0000000000000002320301966724614593373276269095738812212639175397402946173598738764981737753197644362070932174809427,0.000000003400202176644167333622981598047368182370155690252104739262362575538917548603626343250010102744810996
-50.0,0.0000000000006455402350001676919906910959181628539244601825910065565066484925817466978557314310635557489569251846,0.00000000000000132561207469601958352466666477076498380138418350919716870500102574646665186907872760809077816105108,0.00000001092598282977862214543642833178519884487454374531616081362046889074345031653525159304291387549168206
