voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150.0,0.000000000000005006096276516321972795397305044468214198286327473141038799542722765625683153889431980031435375366714,0.0000000000000001159099401695039442451648418923477858025200661611539380614789805771058845992358975825423052518675016,0.00000000000001101403948974241269358568290263135902622737059137072519113487817745437857852103520367793650572096696,0.000000000000001979884203979132353704934785172846683509951188686840533683405480360831171924187045787454326401572151
-140.0,0.000000000000000007631736153700185650711606001512886221614092133227336767324463695099821636669895220776078015581493912,0.000000000000000900545726310708876794331565726738050480456784967570267655458802711339569523480047197833419241606607,0.00000000000002653909408972902625505055033682428372506968846927470263866787870818543622766002072226635371694786104,0.000000000000008390808312748245377451110114262290763471499111525205223746862307446848047730361668541785157027612034
-130.0,0.0000000000000006486984879240065293582768608913615674343676739375705120281057275785561204974454601224008846623168016,0.0000000000000001197593649304934465567596690325430713135384528400274609450185747653541335611429524731014482943134499,0.000000000000000119759364930493446556759669032543071313538452840027460945018574765354133561142952440923118072738101,0.00000000000003602769903467712868476846661274954164553387928590233274350737233883534236866245604815693861198616809
-120.0,0.0000000000000006482379002598084708688242781938244630652060291913796334592258006778462040977462074461243213993415879,0.0000000000000006482379002598084708688242781938244630652060291913796334592258006778462040977462076684352115135920243,0.00000000000001856320842110269092700708896990379150563244714024856969086888175791991014736696410779288376126341049,0.00000000000001807418978746800912415206572358857946279287051411737098079507538370105816751149875297077415099444003
-110.0,0.000000000000004926693934456675020390779242325037701035244577785740461837774533282285691035675375356929093599707403,0.000000000000000315946817329675164900560062781609868547807817120152623999028719218824166684144900138746564883548303,0.00000000000001449433180132068800728014396847909771459365571713900830966482147140926436608137723391296692541352535,0.00000000000001980367696649723329542039635704425703685191622942059430475186210578537157594071535593998881850644891
-100.0,0.0000000000000004572202493053581737785098022102932029650352243801416346103546846971962643696606542433403482917682145,0.000000000000001149555261208596321316566578539689223507859404336654127060723402021888812298296936037414662483398902,0.000000000000005347406585652176202328742265362413631360801485692128735348418426885716062924314189077664596710776101,0.00000000000001890020871781335759573938652038400453291478226704249298596533794095104236177578255554952107479867955
-90.0,0.000000000000001393234551799377707324415099427859458945659026294917316451730579770593400412061210579847100629015195,0.000000000000000003961544299713157975651318615603520595988476937078998044859060854697970603554084975008649301650561268,0.000000000000004754428271036622099995877139963377651037589987925866467333263838980688632056646090208590423915114833,0.00000000000002179229755484610434070538480286241896025371257348206350810193933289984741724004452566092122394549902
-80.0,0.0000000000000061534943640909498006726822290990052074632799949799476538606880765755206794745660417738054459338159,0.0000000000000001338880683549590931776166520965782004741337695640357613739653062382904900957027882628612605605751158,0.000000000000007469167572875186136002965346824758843067783161532016412481060919521070187927683090427427151247330367,0.000000000000001740663578868913588272693032846560626947028398280831523045043392957375566763660378103463930826006578
-70.0,0.0000000000000008623573812297500134629675265883564772642423604658971654089587612727376603962778475407973459293273001,0.0000000000000003951191052594317653070922496507602043232403924428995176379719152900245735177759185928652537301301059,0.000000000000001792315201358522630607158667694223183864887895674895832134561555915315944533391214143945892680204989,0.000000000000005193665279136931695893173422523091713843349620485085740348386647211140910544685263756641134718999787
-60.0,0.00000000000001263493365408221233784840194244104695629234839345459956868503825800516386286661899971174109191030604,0.0000000000000002891302348343781661772124244609856044678910114413663404084159177787813190278224842572768389863393499,0.000000000000000009691015614559993117199140852293008559561510794967077509097989653723044824699425048142132969668162541,0.000000000000006995671496110014319617531231069607906267799026954948649992046192780179899902775902814914830586655293
-50.0,0.0000000000000042307154073417028687919964442779068756522713353575368338512754297190633243714677210975458263380311,0.000000000000001008769953029887876083252623385079297628906801762449345510935722625779316937089637574029115864528745,0.000000000000005549657265351933188308468482026333981139261187266437367624852054664962253218334802515527008265721629,0.00000000000001519870476171956616139751782591909126505420423572870790264950410862061460636355233686601063954788155
-40.0,0.000000000000005180216701261691618004359233506980954794318066265694480838908703272316944793521217773964625212176906,0.000000000000001316745145599080905640949610395121900074342823763088381570233125635287930429089907001380679467921187,0.000000000000004809735385846808068891115655503779348928461581843079167811707227191530377487632691464199902012603985,0.000000000000003154282361918009863319262927343959634458929186579299824818853724372630437301374493547885511808763787
-30.0,0.0000000000000002555757537269220421960930403674429601569233315631770619575855373273451204480773656489192158581305267,0.00000000000001025133888893824126486040642331939864599626589274143522305676856017484598958934966042905003948142988,0.00000000000001102795765465091261365960512348254253242302558148186864672629166654834159097847129518527417159773584,0.00000000000002768253512015207572803639682656062124855946382000726471552564018280181473348460561736409461229849493
-20.0,0.000000000000009006228950297023289206636321508804215245817874351601530521876438520501301722541847482467134974704462,0.0000000000000117726772205732232025007678292348609147382799307509542332251239269655641968139555910422924277624781,0.00000000000001284591799269275784408640245669095678478554907619682082820478554085905574096168137592812395004275488,0.00000000000001620617460381107137513306219208548525058321132146977196456908362656288148825423616078041305096759549
-10.0,0.0000000000000005941427444471671908974048800196933284260738536318354246191007377177348784664502369153229132384308373,0.000000000000004589454772080459919365841530921554325673438383358870902163246829002096108001482511162092627370036086,0.0000000000000101509640417649487095498591794369801084909427757386902157757738796017138366937543135815130314214428,0.000000000000003025263951659585296519520447415318912828540509255509011843166712405741864033620851178410967297971511
0.0,0.000000000000008946026825049193582126757403203166695920880792338256241469824661114715364763479557023442155345611694,0.000000000000006811179514526089853734868426767309433223979558304876009140234168806603740064053750503650294244531696,0.000000000000007929432867657239226150225114554063432722391912780030482029900155445723801153002405233068891892512029,0.000000000000007726114076178848494674528266733329310089335941214683284306665577509240185259708153301051393367765361
