voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2
-150.0,0.000000006238056587285223982726662987134981019158205387451446824071124318459999999999999999999999924954353741,0.000000006438056587285223982726662987134981019158205387451446824071124318459999999999999999999999729547121309,0.000000005458056587285223982726662987134981019158205387451446824071124318460000000000000000000001061576668601,0.000000006044365682672651308285565629462405780423707729136074196839686186187999999999999999999999867722282007,0.000000003286634317327348691714434370537594219576292270863925803160313813811000000000000000000000033260721379,0.0000000115556343173273486917144343705375942195762922708639258031603138138120000000000000000000000245599586,0.0000000041380565872852239827266629871349810191582053874514468240711243184600000000000000000000001040597524,0.00000002087805658728522398272666298713498101915820538745144682407112431846000000000000000000000135157749148,0.00000002041805658728522398272666298713498101915820538745144682407112431846000000000000000000000067741180095,0.000000004473365682672651308285565629462405780423707729136074196839686186187999999999999999999999838966190293,0.000000001634634317327348691714434370537594219576292270863925803160313813811000000000000000000000205368144023,0.00000001097363431732734869171443437053759421957629227086392580316031381381199999999999999999999999394043158
-140.0,0.000000005987781144487217914444128780680264563145094800028808220717177973360000000000000000000000777798617562,0.00000001757221885551278208555587121931973543685490519997119177928282202663999999999999999999999979887822959,0.00000002458221885551278208555587121931973543685490519997119177928282202663999999999999999999999969146868361,0.000000002296874388295160667468585506437688525451979324737816599795590831312000000000000000000000090669518823,0.000000001574125611704839332531414493562311474548020675262183400204409168688000000000000000000000031741577268,0.000000001168125611704839332531414493562311474548020675262183400204409168688000000000000000000000081974208858,0.000000002632218855512782085555871219319735436854905199971191779282822026639999999999999999999999601701211439,0.00000002498778114448721791444412878068026456314509480002880822071717797336000000000000000000000000448168435,0.00000001824778114448721791444412878068026456314509480002880822071717797336000000000000000000000022262557493,0.000000001008874388295160667468585506437688525451979324737816599795590831311999999999999999999999935225836569,0.0000000005151256117048393325314144935623114745480206752621834002044091686889999999999999999999999513851272138,0.0000000009288743882951606674685855064376885254519793247378165997955908313099999999999999999999999400794545963
-130.0,0.000000003044160820622554056579512056533350480477716161448397988682454898500000000000000000000000584559043023,0.000000009615839179377445943420487943466649519522283838551602011317545101499999999999999999999999405788720417,0.00000001374583917937744594342048794346664951952228383855160201131754510149999999999999999999999967777161701,0.0000000004454324462321008196566325556746206848435966680638074330535258287029999999999999999999998400456535262,0.0000000002645675537678991803433674443253793151564033319361925669464741712980000000000000000000001115312349226,0.0000000004775675537678991803433674443253793151564033319361925669464741712970000000000000000000001570318289008,0.000000002685839179377445943420487943466649519522283838551602011317545101499999999999999999999999996836535993,0.00000001017416082062255405657951205653335048047771616144839798868245489849999999999999999999999979810399501,0.000000009594160820622554056579512056533350480477716161448397988682454898499999999999999999999999802983806504,0.0000000001575675537678991803433674443253793151564033319361925669464741712980000000000000000000000849871663424,0.0000000001074324462321008196566325556746206848435966680638074330535258287029999999999999999999999268367058924,0.000000000128567553767899180343367444325379315156403331936192566946474171295999999999999999999999824654827784
-120.0,0.000000005681254188629768024194213431449369124871789115698169729413618515994999999999999999999999846859899298,0.000000006988745811370231975805786568550630875128210884301830270586381484005000000000000000000000320984556708,0.000000006418745811370231975805786568550630875128210884301830270586381484005000000000000000000000503361060764,0.00000000281262529284541659057778795996530799847083777007606105312190478218199999999999999999999985367673604,0.000000000557374707154583409422212040034692001529162229923938946878095217817000000000000000000000047413444745,0.000000005017374707154583409422212040034692001529162229923938946878095217817000000000000000000000090607934921,0.000000004498745811370231975805786568550630875128210884301830270586381484005000000000000000000000132065841859,0.0000000160212541886297680241942134314493691248717891156981697294136185159949999999999999999999998567269087,0.000000009821254188629768024194213431449369124871789115698169729413618515994999999999999999999999360004217521,0.00000000377962529284541659057778795996530799847083777007606105312190478218299999999999999999999991932608648,0.000000001029374707154583409422212040034692001529162229923938946878095217818000000000000000000000222161587079,0.000000005597374707154583409422212040034692001529162229923938946878095217819000000000000000000000065403871283
-110.0,0.000000003898264291705748899147400497599940726647232521979438142871388357420000000000000000000000078490792796,0.000000004521735708294251100852599502400059273352767478020561857128611642579999999999999999999999560080997698,0.000000005311735708294251100852599502400059273352767478020561857128611642579999999999999999999999537290646342,0.000000002178724054732880840441297472580295766718106226686854779747086746023000000000000000000000032874360042,0.0000000005472759452671191595587025274197042332818937733131452202529132539770000000000000000000000144156712759,0.000000002332275945267119159558702527419704233281893773313145220252913253975999999999999999999999989380117357,0.000000007131735708294251100852599502400059273352767478020561857128611642580000000000000000000000006289481463,0.00000001197826429170574889914740049759994072664723252197943814287138835742000000000000000000000023652193261,0.0000000140182642917057488991474004975999407266472325219794381428713883574199999999999999999999999287716495,0.000000003357724054732880840441297472580295766718106226686854779747086746023000000000000000000000009232726336,0.000000001008275945267119159558702527419704233281893773313145220252913253977000000000000000000000004079577861,0.000000002215275945267119159558702527419704233281893773313145220252913253977000000000000000000000009261047871
-100.0,0.000000004808684324139199483303069162576719511093529885608345479848312049692000000000000000000000360943577121,0.000000001676315675860800516696930837423280488906470114391654520151687950309000000000000000000000034428735953,0.0000000009103156758608005166969308374232804889064701143916545201516879503080000000000000000000000252056400721,0.000000005755662064312013424980958898961840731240637056476092248603746773346000000000000000000000007035610526,0.0000000009793379356879865750190411010381592687593629435239077513962532266539999999999999999999999201559703477,0.000000008970337935687986575019041101038159268759362943523907751396253226655000000000000000000000009849235527,0.00000001032631567586080051669693083742328048890647011439165452015168795030800000000000000000000002024549779,0.00000001286968432413919948330306916257671951109352988560834547984831204969100000000000000000000019189312714,0.00000001387368432413919948330306916257671951109352988560834547984831204969200000000000000000000021202878687,0.000000006032662064312013424980958898961840731240637056476092248603746773345000000000000000000000018095948254,0.000000001101337935687986575019041101038159268759362943523907751396253226653999999999999999999999978861260042,0.000000008621337935687986575019041101038159268759362943523907751396253226653000000000000000000000038760087086
-90.0,0.0000000003108214262133572055364720278702895368136982336002400950553517557089999999999999999999999025839004241,0.0000000002548214262133572055364720278702895368136982336002400950553517557099999999999999999999998347755669181,0.000000001734821426213357205536472027870289536813698233600240095055351755708999999999999999999999897060606497,0.0000000008246552838289936892121572560693435586367830971920426794337552691549999999999999999999999680647913143,0.000000000150344716171006310787842743930656441363216902807957320566244730845000000000000000000000015660221518,0.000000000308655283828993689212157256069343558636783097192042679433755269154999999999999999999999938504346554,0.00000000255482142621335720553647202787028953681369823360024009505535175570899999999999999999999993859269737,0.000000001319178573786642794463527972129710463186301766399759904944648244290000000000000000000000013145714831,0.000000001094821426213357205536472027870289536813698233600240095055351755708999999999999999999999773295533529,0.000000001445344716171006310787842743930656441363216902807957320566244730843000000000000000000000081592022983,0.0000000003336552838289936892121572560693435586367830971920426794337552691550000000000000000000000311203513673,0.000000000890655283828993689212157256069343558636783097192042679433755269152999999999999999999999989448125726
-80.0,0.000000002089166307215723114508843230475164536107628734987768464380339009235999999999999999999999971806786161,0.000000001040833692784276885491156769524835463892371265012231535619660990763999999999999999999999872709366187,0.000000006320833692784276885491156769524835463892371265012231535619660990763999999999999999999999957435947237,0.000000001119923013651003019609575897641909221813070392573530396525294315666899999999999999999999947752699813,0.0000000001430769863489969803904241023580907781869296074264696034747056843330999999999999999999999980330687611,0.0000000009449230136510030196095758976419092218130703925735303965252943156670000000000000000000000006759067164,0.000000003260833692784276885491156769524835463892371265012231535619660990763999999999999999999999950893736444,0.000000001749166307215723114508843230475164536107628734987768464380339009236000000000000000000000023098500014,0.000000003284166307215723114508843230475164536107628734987768464380339009236000000000000000000000115117951693,0.0000000005959230136510030196095758976419092218130703925735303965252943156672000000000000000000000072300809123,0.0000000000730769863489969803904241023580907781869296074264696034747056843331000000000000000000000430172183388,0.000000001584923013651003019609575897641909221813070392573530396525294315667000000000000000000000007399070817
-70.0,0.000000001522596032578381930015315336232711008272837102703876158607483815583000000000000000000000083872097887,0.000000001500403967421618069984684663767288991727162897296123841392516184417999999999999999999999958021677541,0.0000000004274039674216180699846846637672889917271628972961238413925161844179999999999999999999998734158017031,0.000000008675752374620753013184747408504133750927512645468993803858398520394800000000000000000000020641657614,0.0000000005502476253792469868152525914958662490724873545310061961416014796052999999999999999999999951601858906,0.00000001111524762537924698681525259149586624907248735453100619614160147960560000000000000000000001622923872,0.00000001365759603257838193001531533623271100827283710270387615860748381558300000000000000000000011899621099,0.000000005509403967421618069984684663767288991727162897296123841392516184417999999999999999999999954965135963,0.000000002464403967421618069984684663767288991727162897296123841392516184417999999999999999999999980584146285,0.000000009432752374620753013184747408504133750927512645468993803858398520395799999999999999999999987159639052,0.000000000659247625379246986815252591495866249072487354531006196141601479605399999999999999999999997666425943,0.00000001169724762537924698681525259149586624907248735453100619614160147960619999999999999999999998223053566
-60.0,0.000000006601160716899076467404988956129598752120526099771882589774482510749000000000000000000000172679300631,0.000000001752839283100923532595011043870401247879473900228117410225517489249999999999999999999999943163169144,0.000000002538839283100923532595011043870401247879473900228117410225517489250999999999999999999999839212014687,0.000000003482547609049071390434433978881681722460339735297551818245163176368299999999999999999999963045584612,0.0000000001544523909509286095655660211183182775396602647024481817548368236321000000000000000000000398239109252,0.000000004550452390950928609565566021118318277539660264702448181754836823633199999999999999999999989238409803,0.000000007253839283100923532595011043870401247879473900228117410225517489250999999999999999999999960979628341,0.0000000009971607168990764674049889561295987521205260997718825897744825107499999999999999999999999449093799963,0.00000000736883928310092353259501104387040124787947390022811741022551748925099999999999999999999989543723324,0.00000000121254760904907139043443397888168172246033973529755181824516317636610000000000000000000001459065426,0.00000000007154760904907139043443397888168172246033973529755181824516317636799999999999999999999999116022697254,0.000000004201452390950928609565566021118318277539660264702448181754836823629899999999999999999999972839070825
