voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3
-40.0,0.0000527094313955598752608184300717499511699582571742227626154599582789890387195839,0.00002516349681745802473918156992825004883004174282577723738454004172101096128041385999999999999999999999,0.00007093058869277567526081843007174995116995825717422276261545995827898903864034663,0.00007038571029304257526081843007174995116995825717422276261545995827898903640177204,0.00011047125814710956493906541840575127033927837711928524736877917152019852449465229,0.000000009363138152514939065418405751270339278377119285247368779171520198524494651170000000000000000000000328,0.00000008008467437208506093458159424872966072162288071475263122082847980147558458765999999999999999999999882,0.0000008044301637094550609345815942487296607216228807147526312208284798014756638433299999999999999999999989
-30.0,0.0000138671894204011336087631118752783653780096711905892012523113307943355964554343,0.0000251276945896930663912368881247216346219903288094107987476886692056644035445663,0.00004601142323154993360876311187527836537800967119058920125231133079433559552412390000000000000000000001,0.0000451286438623898336087631118752783653780096711905892012523113307943355957778619,0.00007751891695414488742549206557062942933614862654416924643865752891305541844351815,0.000000001058258863347425492065570629429336148626544169246438657528913055418443523750000000000000000000001496,0.00000005702397836690742549206557062942933614862654416924643865752891305541751221046999999999999999999999953,0.00000107557976062292257450793442937057066385137345583075356134247108694458341912798
-20.0,0.0000005359510702055010083584800428467393584326797433217033786039647805012141802651999999999999999999999909,0.00004510437209733540100835848004284673935843267974332170337860396478050121418025590000000000000000000001,0.00001287393236061670100835848004284673935843267974332170337860396478050121505328359999999999999999999999,0.0000123266051059870010083584800428467393584326797433217033786039647805012166345774,0.00005572267976892501817115702158864382728557427790616040040888038610495338320176781,0.0000000137932755590818288429784113561727144257220938395995911196138950466167982343200000000000000000000002,0.0000001430045775108218288429784113561727144257220938395995911196138950466176712609000000000000000000000002,0.00000008134227882012182884297841135617271442572209383959959111961389504661854431112999999999999999999999983
-10.0,0.00003331887357065666385334183495235361956075367422381156627966654184142783188811979999999999999999999999,0.0000155918684030383361466581650476463804392463257761884337203334581585721681118925,0.0000326118150552532638533418349523536195607536742238115662796665418414278317626792,0.00002996745049604106385334183495235361956075367422381156627966654184142783271863839999999999999999999999,0.00002597450467849221677745924725124958974484037288811936617485330295211311361355271,0.00000001022031665064322254075274875041025515962711188063382514669704788688638642917999999999999999999999894,0.0000002478124514884932225407527487504102551596271118806338251466970478868865118547500000000000000000000003,0.00000266136467637273322254075274875041025515962711188063382514669704788688663726726
0.0,0.0001089472317223727397646768309921051286719080446759630056052165745084226101063558,0.00004587430669258286023532316900789487132809195532403699439478342549157738989365510000000000000000000001,0.0000753757337296046397646768309921051286719080446759630056052165745084226104422292,0.0000759805301946248397646768309921051286719080446759630056052165745084226112950519,0.00015330028091504073333039157682913119321142459640068512065588772616224614454147086,0.000000008973952232883330391576829131193211424596400685120655887726162246144541450970000000000000000000001187,0.0000001685338154354333303915768291311932114245964006851206558877261622461448773344699999999999999999999996,0.00000033855319098603333039157682913119321142459640068512065588772616224614521324502
10.0,0.00001454653447736144528910932568711282118550369848720784407158724387280015382134939999999999999999999998,0.00000798637887424174528910932568711282118550369848720784407158724387280015382134810000000000000000000001,0.0000238816350357000452891093256871128211855036984872078440715872438728001541346308,0.00002392261803758114528910932568711282118550369848720784407158724387280015268031249999999999999999999998,0.00001948752590687080713176594742498237002293453101071355858064060039689017690305597,0.000000003971181962012868234052575017629977065468989286441419359399603109823096924809999999999999999999999848,0.0000001591771789904771317659474249823700229345310107135585806406003968901765897941200000000000000000000001,0.0000002144421450536671317659474249823700229345310107135585806406003968901762765120700000000000000000000002
20.0,0.0000718439665578647975072431868985117683114640925808287648041892122565069869509857,0.000019275969615864597507243186898511768311464092580828764804189212256506986950977,0.0000252377690775502975072431868985117683114640925808287648041892122565069874331015,0.00002443752656207529750724318689851176831146409258082876480418921225650698823459519999999999999999999999,0.000067083691020407919950270182132673064643007116680975567866217550008391177408492247,0.00000000874941161765995027018213267306464300711668097556786621755000839117740849065600000000000000000000068,0.000000002759419519719950270182132673064643007116680975567866217550008391177890615107999999999999999999999549,0.0000003204524161256500497298178673269353569928833190244321337824499916088216272339910000000000000000000003
30.0,0.00002572929757203415830723365956458591086816176237774306247415127445778751453373930000000000000000000003,0.0000310635734857178416927663404354140891318382376222569375258487255422124854662664,0.00004156769521477615830723365956458591086816176237774306247415127445778751363213150000000000000000000002,0.00004182629078062615830723365956458591086816176237774306247415127445778751187395960000000000000000000002,0.000068692665663952176710203836646512461797271067705441801314135712707747062789196044,0.000000002075820983278789796163353487538202728932294558198685864287292252937210796213000000000000000000000609,0.00000005734892912913878979616335348753820272893229455819868586428729225293811239883400000000000000000000015,0.0000002911133332752712102038366465124617972710677054418013141357127077470609859741709999999999999999999996
40.0,0.00003065042675311216366459328756651311225697964900043878885372618140439185063661160000000000000000000001,0.0000207733670179418363354067124334868877430203509995612111462738185956081493634048,0.00005078455993905183633540671243348688774302035099956121114627381859560814916784650000000000000000000005,0.00005126106855167483633540671243348688774302035099956121114627381859560814901415489999999999999999999998,0.000072288588252365553968381204762039770534434868984030577353518105957897249575220024,0.00000001081907612325603161879523796022946556513101596942264648189404210275042476015499999999999999999999992,0.0000001705009419799339683812047620397705344348689840305773535181059578972497707969019999999999999999999999,0.0000001400111963050860316187952379602294655651310159694226464818940421027500336728659999999999999999999998
50.0,0.00001590621194290699986378418380044123899343381867660289297818314323377608960613859999999999999999999996,0.00004573419538170599986378418380044123899343381867660289297818314323377608960610350000000000000000000002,0.0001101780930913950001362158161995587610065661813233971070218168567662239098873415,0.0001114318393480410001362158161995587610065661813233971070218168567662239082865351,0.000082432825329314735175438019218912698315235094379499474748263597047480540421736965,0.000000006520167406774824561980781087301684764905620500525251736402952519459578270236999999999999999999999809,0.000000781590110003075175438019218912698315235094379499474748263597047480539915174111,0.0000009787071002962451754380192189126983152350943794994747482635970474805394085895739999999999999999999998
