voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3
-150.0,0.00000000000002167644236944346713959154150098577059640260097609301332017210337414928608518083966668333560719165829,0.0000000000005182745412610824070986203237392135301522785004022535743411844718472151277503436701425599119941798516,0.0000000000002146044555433340511068439576019522353887975857461441709678865859366166607573408733625048656027600588,0.0000000000007411516683933747784687314181518823703456589882232513015876416358182617468638184573515564882887565005,0.0000000000002127970471650947265261194238290328507429557402524024937583796303618991373369946769071368871225122595,0.0000000000002210464062142893037501763430132187609925299510676881239308789724089917907258113441736690486210437376,0.0000000000002096136383721141351298578692684160139426350438068258191651426153318131716461870767523305758322462322,0.0000000000002276653770702854540040449330759992987582585815871347214268316001905162544034885526600064627032743199,0.0000000000001035141374883320722520542089806376103549094988478656162934805932697807536807721896757235086151952564,0.0000000000001205781675343982069350783396466075684322151924466607547857874698863166767113423010026551675503626933,0.0000000000002981833782179436903706356180067030504613152686790183186853080224257722021315618265856159619916637266,0.0000000000001740375348936007714697872632801390546984096398917206159181230937379914311839009796592245417804586413,0.0000000000001953470330901957849477385954817023420878529870647705549054136116650926515426093455970425720819576248,0.0000000000001458308283052421417743969104816217409274318769830676978405082021643354401080612927886990320304371178,0.0000000000001626791177568687060569715033686994734220138455780226732847512546991249840148760037127578387702747051,0.0000000000002156308846048379080879202238709437755478428897335954532523722769512605209739664277405878653539453278
-140.0,0.00000000000007845921501200339731415551508906929983061136655366310681197696082302432368898948466081330612950430792,0.0000000000003211863362795155580094171288478664586037148040712184441413217159602802084299561697103027974034473197,0.0000000000006227669489303986730195987034750089829903827766540059938216840659586497868886034425473421836537608285,0.0000000000009828528074535085355144344403854770779278131272898054469042414214994282443092053818434560543288727673,0.0000000000001957021040018708747088813955075218556811799248589259516657271319925773670046866036123854136816639193,0.00000000000006303948400525136248779985240117189334275744999216831408514831764883348584996787194521307038953054377,0.0000000000001105757292437691688564924537611412100238994328136484233742626444434182704441950895727391993933350995,0.00000000000009793951215504924564456150909583291065296295636743219179108035504226594005175681969142290904508175642,0.00000000000008960307136861801588266106980970274184028039094471299317429981902157839587221894508757622746771613869,0.0000000000002598951263181351558826365778843825275505351699204440691485459958682328114221941373384785891875347664,0.0000000000005207310141651460717517197180642090295893507720734554718166653955781390634609086954874606823753383097,0.0000000000005395362717669332405860728416552779629806672507333521550530852187881990602701084095014757381042803357,0.0000000000004700885322140749215965247653827877848786576991196212660433997018448642249156690217499667301457637959,0.00000000000004858043361177462588425682547571808443384809194940839823296190539414724253267958163939951203901783798,0.0000000000006515261655656363577862981325283869783320847816302385278162092240425539837379959573392889859163795558,0.000000000001325698433480007880007604342195597388579571839265508330949420511898978620243008959138468266363342973
-130.0,0.00000000000007827469044706566763220116580182076186063904967830480807025928066621358233071931598130706924636084323,0.0000000000001284220440518314511904761620446712509041496594380292967007121425597069071552518879533429686257562034,0.0000000000000004287950715250760078693144126529223326484350834850143636459053610745524633387482828209084473000351347,0.0000000000002987140990013485911904516701193510366144044384137603726749583194063613227052270798728960302992663991,0.0000000000003280001132554595661073574769962893327501430336603163049739136646165698393940852381700573576441025856,0.000000000000320177650933545256935119360788001147362846129571308678902465485043322357940413629838596674965368829,0.0000000000003391921490289523794825964013319888740353029226999007226181112157611562717781045170261346746303400885,0.0000000000003313095564640842369075347168026775063324806445358325019638403590394624198450889697967899702883593767,0.00000000000007479223533562359932954317995162281123261747955610171858203338747916543477346010959794366040410158399,0.0000000000002785158593549845950350353521882029229718793317049824536432481389214820668731236831366170015550527636,0.0000000000003115991829136842439102862177650834539380842478659118037813941241984394686670861437501272412575298632,0.000000000000288127435462564703550371393134749266705218865242262980630751604117734954131159092473684551738865847,0.0000000000001985089743272439720498556059498919030060701893162337794167313465634128866193820850818648386748628894,0.0000000000003166275178756116352166196267975118633163002048587216965490496041555868972569853064174084494459190557,0.0000000000001933942728100553607087455493127412103411168158942724886845365147189708675793056989918290441053545072,0.0000000000006500430894114624904960976400985730385603402432768200195643955350279631843965086837655449333163126088
-120.0,0.000000000000009548647053426652880350622952605201616255838466497699346179964005103526553339102289010074598744911397,0.0000000000002018363782111068930909891181544104015046534679512298325891317524487190301722947252622512962344408477,0.0000000000004057689495371544128946407695420023902815966143074427530196400574822585511253938510996083300498327862,0.0000000000005154662855475795644283673238232378350642760731568400718987556928742751991790588517643312691972706674,0.000000000000321285730248170966402174030618347942593809135957038485322775934364526892592785867935013274343046571,0.0000000000002699688845792669644570329326260299127339138048073457600884106163741947446513617777477663246132673586,0.0000000000003096827097152438659802444730027131393282855879240253450641263830633415267174250229548891105073180316,0.0000000000003358577308275922783478157155237089023109397177054732533435754111084609967155121630429735024909436915,0.00000000000006845834744287567709918826009182889245142733227085150519008004338477497872926712069833035846501015248,0.00000000000006323466477571257464520128131653196650939497708754687095774120360420275739337831114869430845952579807,0.0000000000005250082125529308315776502050527802197850551752916765370964946402067871234859490776979135146653408009,0.0000000000007430099025292043073240401192751719290992054649415899390594355537160011605703753967197514782668199364,0.000000000000166702674529497239109552140879409746956019574098326585621845927357832827247760902437193143563440408,0.0000000000003626242118669832866240624067377136648215870374739458715020437096909569521070062429455717035666905237,0.000000000000176942257821357434525388930470950718317400506779487217099840047735618019046407605219127762962780809,0.0000000000007140416565542814087620347022925787191982528342029447557259596438982304080186508308136517548022516825
-110.0,0.000000000000003937460787254400251299730254778599585575673203699419348127961155416602107955905340842882373660040342,0.0000000000002426203611028440355768856679392363048783514914482793164182652764875922449459959066987768480129403651,0.00000000000005805024019641441553601241787874492159320827497151557354229293757404042441125796829857642931670696093,0.00000000000004328920354654977207133497036201544168221941558459433056508055416906066950498493744744304384657583129,0.0000000000002079175785268229291871834291514247132862441068527972825371444212470146979330498625525997396166026243,0.0000000000001287473481940721678164053108600035485251348727499637446433551463677977954906226468890124576761357714,0.0000000000001721918659943378085736155110902539873147355203412405027531533032610765479931948635384871194368990997,0.0000000000001641889285048151905393925794688920643798090852586368894171378533070515146374578768995982682178014382,0.00000000000005787611744084231212087951858623502406180719646540541906788164291468801703339500796385768979135281717,0.00000000000005129427728021680302885592532936089737484642893444157993513470479116701815017510791991199388426655625,0.0000000000003234133196883000201985509396638287594484519182833909925451059984271092682744094947819542108930321359,0.000000000000655639537319873336272122789772713249361709707941565729721856208471502545236937783283393147967969684,0.0000000000001894446325923609462059320005216644851582560198576145058893493600749418765780780187511188553574362611,0.0000000000001284899282548691261407603483980582600975005406194381125857128878687211338009233713625506807848956136,0.000000000000255470553855234826313198498789238207930812107967732238520411820075893436446879001376460779217720558,0.0000000000006475543183795158722605415246899471541261553485560415956442965712069243939354670438312723955306505001
-100.0,0.00000000000001741200098272115913277540769375842223491074646491185812331390079120588619350134362194819084863515068,0.0000000000001485612604796294514108751548122132428862030772670802082499010382154391231998830560791094371300868119,0.0000000000005272434292978399586419045361627383941772686123554441591995846633750546885762491582875903269673450926,0.0000000000007135547777599906128341067791483287527764226138933094468196699488821305828896166992375096445366578093,0.0000000000001480373154113664031550171820112011596820189850265806129629103361518722064616759044384242207797522511,0.0000000000002492814533353843252658400923937069391098550815180183258168642205881826450265295610571349097095206682,0.0000000000002503645576572746043982913162221619361987924937848368599525655596797048299919676496747594241640251717,0.0000000000002170891859903121399402064952701834145219931058098007834501855309234954807760085981858139763244235241,0.00000000000005328128863057446265015266195079731370353291872360367985204060061780180603327116937059133779210657415,0.0000000000000376102406290851552881917256249065358774358531736897771550240812760851420256047406605685941660572041,0.00000000000005432602516400708314095005770585669889193938976026460669850836857391625030044893130015328247604735559,0.0000000000002500400024270513217503288624869815241867516306280782359368035656860221430184163298838758823017004555,0.0000000000005809520656831186907142370780850371587889115490015605567049631690586937797583547551895387363145477499,0.00000000000006469845508814214768585357076619166144989031894082118085477952272085964106546742748812455164727469245,0.0000000000006913344777639958635384671790734327550162353937546108746988764837826393205139259638688008458095004095,0.000000000001313517738227633987402114644974803304994726662582591039318423495245938906215583479801875452639354128
-90.0,0.00000000000005229225940961683854589147444036353920656620951152530913484817883951836123846506970655858609489048757,0.00000000000001067692082788412232912854353049802920170844655119838975054875525429299792921755342965602372309240561,0.0000000000003841702315300459477891975259642282340570218421574797373627757995652068234452674381440037462863978075,0.0000000000006107039365293524908770995055196049224098249786067907085718701513826888220449788129204601518483531555,0.00000000000004340088207017055054316642336350909298014736330858467879829526807576911584334272126664229570597695109,0.0000000000001144314866141740141468091378607940939244544353505828233097387562054915043979965087683437343720326919,0.0000000000001034199260082895096335550289381682901869240773045943929301084754416826239160426090485283482656519942,0.00000000000008717336117993532264678667151134333385286289330231638089458838906884984943447128184816595769864859471,0.00000000000004312701064389583294693733785506030800122481183683934284254129448560088183043718519759890748388862401,0.0000000000001644273139980514378914786188167375494288607674464647906557219394624687125822115153169309316917416735,0.0000000000001045290860812478630857612621933327986268897613445716514582365766452405745973531654850111407259633674,0.0000000000001186330292825882397115261048866344986703771203394941638855514440527855722042529512400059756896377718,0.0000000000004124055200586552510300569377779688486143469656442151033093515996064837237785195213510337773736088215,0.00000000000007793987544600500732244433878201844459404039892824237845899352577208768085231287623766840516575294229,0.0000000000003973353054789828759363941210841920305984728607211745558091439645387408917715003079675081841957716584,0.000000000000765771292308659494158552093396966873685349266817279250970216145504870810848023419095750424483258498
-80.0,0.000000000000009090022093253325501037664993223141491419534135930075927855672929271411139734942727456186391965954729,0.0000000000001622135733433610687689093028264270306055279724091999207251481963637784592324222474691263588441546235,0.0000000000005571239829808916142903248982388746318231740242670302686899644837750383922256162514265993856155960171,0.0000000000007226450744277331207156589656987832251730392521753431120653411869554368456221463302544996137225367945,0.0000000000003238632651209307853450946068433081083434926465050872559898630329892601911019671166331752746968127985,0.00000000000004848393176001628529980389596110977978676885944341770132790842802958872923863797519990407346676047556,0.00000000000004210565075332908596425780008243035248524854276104188919544498671284697333105812070914961857734711054,0.00000000000007098843267040319616295710217456360819024620320953613281414736248677190574274048104028255353547527962,0.00000000000008566758148908535301428612999066309509704738888921598904677088069030868389328806296386226341967855796,0.0000000000002661648584199068076032501804548358568519718405569621419486911079971656638166095580542941037512728486,0.000000000000343301239138348620507124567036720463262649618763760574112894642090282132209900979430806792101828455,0.000000000000579759941205265058257601806265161310905314230061350350363432789490851351347801092428957963526320331,0.0000000000006698549235025477304336799964886544006429437872943412160055685761144026106169120513743857379689033768,0.0000000000001228872409479567685458119631188808707295505925509814774763923348956992030706773602035038447838809475,0.0000000000006905241047916428599250571320508219430624460198297376584353133228374617059733271031470045623919699812,0.000000000001380100523061787240919002969500503423019265163037537724831832544439979639764570697391120208259144006
-70.0,0.000000000000004129692972346426280909683417920578267503891261412622820975862103998633036472858222870615750023498755,0.000000000000004129692972346426280909683417920578267503891261412622820975862103998633036472858224530016180819752627,0.00000000000008119642458855939781873091028280122566562123806576699319541487833337413847861909550845392787695338079,0.00000000000002884915693300996054526144258345401417986037779585063463252334637734732433077182621064935258961684371,0.00000000000003843699433033350789941288926051135018228018240330431530222049187935564821239488497199308269319601088,0.00000000000004038893131834791785120395603260232684594259923737789124048807533698114649448822268250337948598315709,0.0000000000000582601526295375235366491492021097788134099016398837044795601703470971984242166829881716386932991401,0.0000000000000596441192630639913170034907606911639826077062030407203196229925195375956399492252394643449170161422,0.00000000000003404398237963379300074178187112097416220917861113716152483628458074222055332944105596232802996415342,0.00000000000006430651729806536655083967890934116511971662297308200917751929637619062282591194455323013647110628798,0.0000000000000105025858262854112747737975237828279167833645850442765844292466362967430662572059072391121999613647,0.0000000000002767711036471459536960033956299181329353126161286924988541810397179981052942961258139554558378053358,0.0000000000001795678366812487863711862179890694527744000755235595276781101485975819145532825943305393919157384074,0.00000000000004231445011281952519778390950541121055960910993394417414840156705524280865526704638539758944470947244,0.0000000000002173297248292112779426066915936617027051094418061655367155583318291031983372525022975859988156329456,0.0000000000004938221892228686453655718855798123484644099621412302230237612832482989216989140029198706143104355459
-60.0,0.000000000000003130417000423535157026558022105796824946291885292413583680335164825615515210101022473604538643383143,0.00000000000003684058247918275632675586105202195890419509066821831982970698121545168386947921882823478541404243953,0.0000000000002058441290374663310547479143621285028820818886987342526933095775828982848232685046531995989981603401,0.0000000000001440305508093696186825686655211148792346990190296294142772999735127936656819175912088258625864818276,0.00000000000004108422770657066578077502000125391772463487900644555280991246517668402477094295952260626152195475384,0.00000000000006903137835227437935176606922500411965066870145343875098639034246140478004859603818406380364767388778,0.0000000000000639768915167864100669936913588807999022941108749522583531174267009679168765516252055588269629123235,0.0000000000001151836569572657179401043290263920511626128797117618444354418470834889949647634765018290337499969553,0.00000000000007842868170954970449122347058953020688331888037670394223057008327584200027580051247589750684851434528,0.00000000000003405461839002910168462947237186359840177783457045584823912626666581316582367185372042459413150095984,0.0000000000001158923135089177067970921398515154381602847324422284512124347565614446334192632037468262649613190998,0.0000000000003148101494744886482449162916148223780328768178224689227798977754056348218899090721487372143913462089,0.0000000000003586414395332695718233071962446652857093223259088612396047539562111979044182360342504792691467969577,0.000000000000004526498737475533241337627885906515242840593118468273571288369899639097662505434048354162328575280948,0.0000000000002694988947007650872688220007132077482583247103866208627611504202554736985933309566316874292458615478,0.000000000000537988421604899836657564263077996471082698795639081935733337921720584216136928232620020494662348783
