voltage,largest element,smallest element,element difference,element ratio difference,condition number
-150,152492796.92616007,437091.23965534702,152055705.68650472,348.88092711810685,6.3249812773560704e+17
-140,127735025.29915944,399649.3087426264,127335375.99041682,319.6177811517764,2.5568519901293706e+18
-130,107308145.48287363,366207.20243857335,106941938.28043506,293.02576456254496,1.711940830255682e+18
-120,90458926.709870115,336430.22090301692,90122496.488967076,268.87871864503757,1.2443524137785618e+18
-110,76570426.319253787,310020.34609636012,76260405.973157421,246.98516495254242,1.0386054093198223e+18
-100,65137822.932081707,286713.25911487249,64851109.672966853,227.18803843663207,6.7233769412544064e+17
-90,55748682.364207648,266275.69479826093,55482406.669409379,209.36451750297616,2.2576462208780529e+18
-80,48066869.544406094,248503.10713354198,47818366.437272541,193.42562794828811,2.0099166778605875e+18
-70,41819465.413933866,233217.62208979434,41586247.79184407,179.31520371060287,6.7069551330564915e+17
-60,36786167.811966568,220266.25739507109,36565901.554571487,167.0077307664362,9.370930501140992e+17
-50,32790754.51103403,209519.39143840355,32581235.119595625,156.50462845427916,1.0058187288223261e+19
-40,29694268.831976559,200869.46597315086,29493399.366003409,147.82868410645162,1.4240070032098235e+18
-30,27389656.935691785,194229.90963791663,27195427.026053868,141.01667959765609,2.3641084458672195e+18
-20,25797643.710256405,189534.27152126568,25608109.438735135,136.1107070673597,8.2621275430550118e+17
-10,24863683.463064879,186735.5560986682,24676947.906966209,133.14916549651258,1.1638159086031214e+18
0,24555864.362463865,185805.75288549406,24370058.609578371,132.15879476884027,2.5520854217207163e+18
10,24863683.463064887,186735.5560986682,24676947.906966209,133.14916549651258,1.1638159086031214e+18
20,25797643.710256401,189534.27152126568,25608109.438735131,136.1107070673597,9.6125123790787707e+18
30,27389656.935691785,194229.90963791663,27195427.026053868,141.01667959765609,2.3641084458672195e+18
40,29694268.831976559,200869.46597315086,29493399.366003409,147.82868410645162,1.4240070032098235e+18
50,32790754.51103403,209519.39143840355,32581235.119595625,156.50462845427916,1.0058187288223261e+19
60,36786167.811966576,220266.25739507109,36565901.554571502,167.00773076643625,3.016413277719593e+18
70,41819465.413933866,233217.62208979434,41586247.79184407,179.31520371060287,6.7069551330564915e+17
80,48066869.544406101,248503.10713354198,47818366.437272549,193.42562794828817,2.3376301495579087e+19
90,55748682.36420764,266275.69479826093,55482406.669409379,209.36451750297616,2.2576462208780529e+18
100,65137822.932081707,286713.25911487249,64851109.672966853,227.18803843663207,6.7233769412544064e+17
-150,440053822267.53058,0.15466686003107816,440053822267.37598,2845172017968.8647,7.381940765824529e+23
-140,294933233458.98608,0.15975024427614687,294933233458.82642,1846214600768.6836,1.8333422379214347e+23
-130,199286461374.79465,0.16500989760441298,199286461374.62961,1207724289682.0327,3.574656159390355e+23
-120,136019896517.1832,0.17045181065222068,136019896517.01276,797996196090.34131,1.016941852500895e+24
-110,93976819752.589035,0.17608217917607424,93976819752.412964,533709999457.78992,2.1349667074918456e+23
-100,65871275014.071014,0.18190741105649125,65871275013.889114,362114301069.43103,7.0392403984494864e+23
-90,46941539397.229439,0.1879341335412508,46941539397.041504,249776549436.27344,1.7471184941654596e+24
-80,34072493205.820908,0.19416920073621571,34072493205.626736,175478361535.35666,2.679851487281384e+23
-70,25223541762.896957,0.20061970135218854,25223541762.696331,125728139324.74628,2.9762354144160563e+23
-60,19055654099.259308,0.20729296671654815,19055654099.052013,91926197020.065598,1.0019361248536236e+24
-50,14688166247.855103,0.21419657905871514,14688166247.640909,68573299874.358925,3.1703485754646439e+23
-40,11540158708.740255,0.22133838007880119,11540158708.518921,52138082444.769478,3.913527947008707e+24
-30,9226960870.7743225,0.22872647980911925,9226960870.5455952,40340588804.910416,2.5981664977063152e+23
-20,7492593191.1911058,0.23636926577855991,7492593190.9547358,31698677772.30592,6.0141120840475536e+23
-10,6165642028.0956774,0.2442754124901832,6165642027.8514023,25240534711.382217,2.609707186034661e+24
0,5130417521.5101357,0.25245389122272771,5130417521.2576818,20322196250.022617,6.21969197202441e+23
10,4308083261.3464441,0.2609139801671046,4308083261.0855293,16511507963.610441,7.853721118508961e+23
20,3644296422.14465,0.26966527490932279,3644296421.8749852,13514147950.158115,1.5807803034591307e+24
30,3101103204.284225,0.27871769927168144,3101103204.0055079,11126323202.249922,3.7522245212476169e+23
40,2651621522.1194558,0.28808151652447372,2651621521.8313746,9204413924.6059208,1.3330801465855168e+24
50,2407837106.7112927,0.29776734098085839,2407837106.4135261,8086303550.8856497,1.8163090297295307e+24
60,2347135028.7064729,0.30778614998799481,2347135028.3986864,7625863050.6864014,3.3485570778899606e+24
70,2287978061.9631066,0.31814929632797923,2287978061.6449571,7191523251.4122458,4.1670376548979176e+24
80,2230327908.5322137,0.32886852104258585,2230327908.2033453,6781822417.8513098,1.413656963231954e+24
90,2174147290.921174,0.33995596669629408,2174147290.5812182,6395379119.3889771,2.3962672995376881e+24
100,2119399929.948884,0.3514241910925765,2119399929.5974603,6030887980.0211754,8.0070086865513583e+24
-150,1381825067760.9033,0.36106855569148272,1381825067760.542,3827043496253.9688,3.0427715383935008e+24
-140,1264170419716.6089,0.34456105341163362,1264170419716.2644,3668930098743.209,2.3102900693363437e+24
-130,1161866488583.2524,0.32880971197374043,1161866488582.9236,3533552830933.54,1.821356608055064e+25
-120,1073855143753.5454,0.31378162638447232,1073855143753.2316,3422300904380.4414,6.855471967748627e+24
-110,999273068329.99878,0.29944737120819914,999273068329.69922,3337057407778.0977,9.3073110574566659e+24
-100,937443845350.72461,0.28578318015501963,937443845350.43884,3280262487254.2168,3.9045544063564201e+24
-90,887873010427.32996,0.27277579522499773,887873010427.05713,3254955263515.8564,6.0701939708921691e+24
-80,850246061210.46289,0.26043314235106224,850246061210.20264,3264738326062.7271,2.1037580912798425e+24
-70,824429468471.58655,0.24880772877755866,824429468471.33789,3313520333641.4463,1.5476910697215517e+25
-60,810474789821.5769,0.23804782218066256,810474789821.33887,3404672146954.0693,3.8240423740029366e+24
-50,808626046337.52112,0.22850930413266571,808626046337.2926,3538700751843.5962,4.9980915169980892e+23
-40,819330585876.2583,0.2210000385271865,819330585876.03735,3707377570323.2178,5.2307374229311126e+23
-30,843253725960.44531,0.21731366160761076,843253725960.22803,3880353033133.5273,1.9005577007783621e+23
-20,881297545311.02734,0.22139549222553601,881297545310.80615,3980648099254.1978,2.3392337689047519e+23
-10,934624278021.4176,0.2418890476625542,934624278021.17566,3863855296686.5186,1.8275137809488856e+23
0,1004684859886.6162,0.29769792568092063,1004684859886.3184,3374846692628.4878,1.2354152106687247e+22
10,1093253284633.6552,0.43013351997402688,1093253284633.2252,2541660284229.1162,8.2384243538345549e+21
20,1202467551173.6179,0.72944679650698929,1202467551172.8884,1648465051778.5862,5.0945233895623305e+22
30,1334878124302.0859,1.392776174047321,1334878124300.6931,958429752874.802,1.2899378914142666e+21
40,1493504993742.1624,2.8507110517585343,1493504993739.3115,523906129602.59698,5.1473580537937055e+20
50,1681904603797.4463,6.0437181932052653,1681904603791.4026,278289713390.07013,1.7863708941947335e+20
60,1904248142519.5483,13.025882314617355,1904248142506.5225,146189570619.92209,9.7387561050934166e+19
70,2165412930279.3125,28.283530876373511,2165412930251.0288,76560912417.345245,8.157047581784662e+19
80,2632385508884.7246,61.615231458296776,2632385508823.1094,42722967139.487434,1.7476325352243796e+19
90,5749365578812.6602,134.42196988336633,5749365578678.2383,42771026074.094894,4.2299195020379005e+19
100,12557135829686.215,293.44547547873293,12557135829392.77,42792058078.933563,1.3793546972326218e+19
-150,4055713504.9926782,149.37612952975678,4055713355.616549,27151014.809128199,5.7285858803881533e+19
-140,3830802129.1809826,98.613274003813515,3830802030.567708,38846718.840638414,6.4133965329460849e+18
-130,3630793703.7125673,65.303805861859459,3630793638.4087615,55598500.819278032,5.4102795234968443e+18
-120,3457203538.0325389,43.466203226139221,3457203494.5663362,79537739.241818219,1.7082917554028773e+19
-110,3312628517.155961,29.170720969237305,3312628487.9852405,113560049.49789809,1.8636311387502275e+21
-100,3201085453.1715088,19.835764705355352,3201085433.3357444,161379483.00562698,7.1027611185429004e+19
-90,3128472389.744235,13.765579092969167,3128472375.9786558,227267764.66252092,1.6738244068371389e+20
-80,3103195970.8135448,9.8464912727160385,3103195960.9670534,315157540.37301505,1.410261165247471e+20
-70,3137023229.2648354,7.347332818646426,3137023221.9175024,426960817.84991997,2.3071670674260237e+20
-60,3246236776.2155976,5.788312250998727,3246236770.4272852,560826132.98124778,5.7214003383174283e+19
-50,3453200276.5359373,4.8548632112650605,3453200271.6810746,711286832.65951729,1.5947569732551016e+20
-40,3788478851.9495783,4.3410442331521404,3788478847.6085343,872711414.23008931,8.3479302297103814e+20
-30,4293710137.8131905,4.1123558210787197,4293710133.7008352,1044099860.1835237,7.1198772384725082e+19
-20,5025490839.8614025,4.0813161839847591,5025490835.7800865,1231340727.6754544,1.1477250382811955e+20
-10,6060637161.0269489,4.1914206325995078,6060637156.8355284,1445962524.9466212,9.2916894449763451e+19
0,7503304012.6461153,4.4066101252488812,7503304008.2395048,1702738340.6700482,3.2820019558834949e+20
10,9494619148.1918945,4.7043603365153084,9494619143.4875317,2018259331.5598156,5.8976573109044334e+20
20,12225720037.200384,5.0711504046168452,12225720032.129234,2410837593.3929944,1.6150931163395525e+21
30,15955394778.770006,5.4994961429345004,15955394773.27051,2901246653.1627197,5.5921811672892661e+21
40,21033952521.769329,5.9860121670579929,21033952515.783318,3513850612.8541842,6.4635315600524763e+21
50,27935522795.314529,6.5301511504279999,27935522788.784374,4277928971.5956392,8.1838109820508145e+21
60,37301759740.750206,7.1333891705544881,37301759733.616821,5229177723.083724,1.8652458347237399e+22
70,50000978030.5644,7.7987054551663331,50000978022.765694,6411445889.0662098,1.9726009401659e+21
80,67208169081.680809,8.5302569831990311,67208169073.150566,7878797697.8949451,2.7064615913967442e+21
90,90513270029.128784,9.3331826692110536,90513270019.795593,9698006911.1601315,2.9295533001946641e+22
100,122067661088.9304,10.213494391947977,122067661078.7169,11951606022.828484,5.9038863253534902e+21
-150,32686653966210.25,0.0042953198053444965,32686653966210.238,7609830105208822.0,1.3349121963861076e+19
-140,28416116017086.75,0.0036894109979776391,28416116017086.746,7702073862918261.0,1.8926059100492263e+19
-130,24742124516870.129,0.003178434423602773,24742124516870.125,7784374701311218.0,7.4315210711194141e+19
-120,21569212613182.078,0.002747583521470514,21569212613182.078,7850248207063850.0,3.2124292309801804e+19
-110,18820760390939.531,0.0023843615364916955,18820760390939.527,7893417211649894.0,1.020852320214419e+21
-100,16434357950854.77,0.0020782211950914854,16434357950854.768,7907896421069514.0,2.3847559281617498e+19
-90,14358499969645.535,0.0018202605907842019,14358499969645.535,7888156257593661.0,1.2078907347938804e+20
-80,12550197577652.275,0.001602966510884472,12550197577652.273,7829357314974365.0,3.2127919398482136e+20
-70,10973226772508.822,0.0014199978036489821,10973226772508.82,7727636440219003.0,1.8967380400895096e+20
-60,9596822412759.1113,0.0012660025396357293,9596822412759.1113,7580413239550402.0,1.7338294637229051e+20
-50,8394687403903.0107,0.0011364636954622727,8394687403903.0078,7386674503920998.0,1.9608148189010336e+20
-40,7344227597324.8828,0.0010275689105357783,7344227597324.8828,7147187426579085.0,1.0113977286470099e+21
-30,6425950610084.4561,0.00093610056142781953,6425950610084.4551,6864594334056432.0,1.2555429093803346e+20
-20,5622985563882.0713,0.00085934298438912384,5622985563882.0703,6543354243916065.0,9.6702378729045311e+19
-10,4920693537758.4863,0.00079500417093471753,4920693537758.4844,6189519146765022.0,8.3428845294739685e+19
0,4306347281540.6006,0.00074114967873451713,4306347281540.6001,5810361125560377.0,6.5983788621112599e+19
10,3768864756615.2402,0.00069614685225042163,3768864756615.2393,5413893267536436.0,1.8887680088497847e+22
20,3298585239095.3286,0.00065861774482368603,3298585239095.3281,5008345531258605.0,6.5937288926766449e+19
30,2887079631548.54,0.00062739938480678838,2887079631548.5391,4601661559546530.0,1.0144752124984803e+20
40,2526988683445.5645,0.00060151024008610712,2526988683445.564,4201073423261792.0,4.6075567786111363e+20
50,2211884287656.957,0.00058012191406102073,2211884287656.9565,3812792163242256.0,1.1747087843063195e+20
60,1936150083653.7737,0.00056253525698452054,1936150083653.7732,3441828862483283.5,1.1446996600306785e+20
70,1694878381804.385,0.00054816020387932565,1694878381804.3845,3091939855921213.0,5.0771407678583721e+20
80,1483781012082.1372,0.00053649875769248249,1483781012082.1367,2765674646599332.0,6.4394885571169804e+19
90,1299112152834.0703,0.00052713062703864193,1299112152834.0698,2464497576496987.5,4.1557711404918283e+20
100,1137601551410.3328,0.00051970110442242493,1137601551410.3325,2188953499867232.0,3.3846768639407669e+19
-150,25938432190529.41,1.2353200711950021,25938432190528.172,20997337285581.016,4.2111249402004069e+24
-140,14809086231349.324,1.1331284944476774,14809086231348.193,13069202922628.596,3.6960386298777658e+24
-130,8466090767776.3662,1.0400090736300764,8466090767775.3262,8140400869990.5742,3.4587444064577091e+23
-120,4848823302591.2148,0.95516568241498145,4848823302590.2598,5076421182063.1484,3.4629211408123456e+23
-110,2784260464437.5718,0.87787218777709985,2784260464436.6934,3171601177487.7207,8.3681949314405613e+23
-100,1604545936921.6121,0.80746629819458526,1604545936920.8047,1987136726955.9336,1.9743208992387537e+25
-90,929359894409.19922,0.74334395256552355,929359894408.45581,1250242086724.0171,3.0972626174268381e+23
-80,542064937321.23187,0.68495420231337145,542064937320.54706,791388585529.4502,1.744133197347685e+23
-70,319215423178.91016,0.63179454333263296,319215423178.27838,505251947088.82867,2.2836388691032831e+23
-60,190434609768.42767,0.58340665823617976,190434609767.84427,326418300305.60651,3.3138955345242523e+22
-50,115574408835.56082,0.53937253284087161,115574408835.02145,214275666257.66269,9.5345661299772956e+21
-40,71711578458.466156,0.499310913997906,71711578457.966827,143621091484.42706,1.4253456309525852e+22
-30,45742893410.515831,0.46287407876550929,45742893410.052963,98823622900.881943,2.4892306775987527e+21
-20,30167712895.347145,0.42974488755863449,30167712894.9174,70199119916.769348,5.6014030343444911e+21
-10,20685408526.756611,0.39963409631560493,20685408526.356976,51760870049.538078,7.3469288243700685e+21
0,14826434736.726057,0.372277904915504,14826434736.353775,39826254905.166122,2.9944770900958312e+21
10,11172373713.102364,0.34743572108114257,11172373712.75493,32156663909.906639,8.567474496871337e+21
20,8911862372.5301018,0.32488812082759311,8911862372.2052116,27430557786.565914,6.0384898913572592e+21
30,7588388325.7685843,0.30443498818099995,7588388325.4641485,24926137337.59457,7.8344577585387856e+21
40,6958081744.3854504,0.28589381841079625,6958081744.099556,24337992976.075802,3.396636382181838e+21
50,6911069054.1361008,0.26909817040339812,6911069053.8670025,25682333862.678799,5.3909792163354158e+21
60,7430216272.9193487,0.25389625506867053,7430216272.665453,29264773010.967495,3.1333777594660168e+22
70,8572741456.5461597,0.24014964782264664,8572741456.3060112,35697497515.70417,1.896024935307341e+22
80,10466966161.085484,0.22773211424089851,10466966160.857752,45961748504.268341,2.7135114633613238e+22
90,13320554676.471252,0.21652853893550689,13320554676.254723,61518702070.209724,9.7831324222791623e+22
100,17439202097.820568,0.20643394858287084,17439202097.614136,84478363261.16571,1.5992568094340317e+23
-150,507328799090.104,781.2429524777051,507328798308.86102,649386720.84159625,9.5593165320014397e+20
-140,462119816145.2265,767.3785176489331,462119815377.84802,602205828.69722855,2.0032788007595799e+20
-130,424267340522.38452,757.57293575880976,424267339764.81152,560034975.50691199,2.4660922855958964e+20
-120,392906515306.25763,752.2101275064914,392906514554.04742,522336114.52255672,7.8239460467865338e+19
-110,367294970211.95813,751.749625528607,367294969460.2085,488586834.95011735,1.7518084647504478e+20
-100,346797732898.40112,756.73842577644496,346797732141.66272,458279533.70092481,8.5391448974450655e+19
-90,330874296243.23505,767.82480942941697,330874295475.41028,430924205.86033571,6.3261943788564172e+20
-80,319067584081.19733,785.77445771359965,319067583295.42279,406054919.38437569,1.0719240220008979e+21
-70,310994599042.62488,811.48923496398208,310994598231.13568,383239340.26854765,1.2143090551482366e+20
-60,306338572541.3288,846.02907693220982,306338571695.29968,362089886.61730713,1.7077691495094436e+20
-50,304842469681.71722,890.63749312530217,304842468791.07971,342274462.99392366,1.1391269577758265e+20
-40,306303731768.28802,946.77127552650484,306303730821.51666,323524529.82685888,1.3600065282486271e+22
-30,310570166993.97992,1016.1351033313604,310570165977.84479,305638655.70216733,2.9852060329782034e+21
-20,317536926486.09552,1100.7218465819701,317536925385.37372,288480625.21165627,3.8628209181788688e+20
-10,327144528900.07068,1202.8595034216921,327144527697.21118,271972352.52285486,1.6130049185069266e+21
0,339377922871.1217,1325.2658591728493,339377921545.85583,256082898.77997831,8.633712797985078e+20
10,354266603583.44318,1471.1121341141272,354266602112.33105,240815499.6265972,2.2221062054455508e+21
20,371885828264.93793,1644.09709483809,371885826620.84082,226194565.65706119,5.7224524899174521e+20
30,392359006403.41858,1848.5333462174481,392359004554.88531,212254221.54611453,6.736698200107027e+20
40,415861374848.41827,2089.447802906644,415861372758.97052,199029319.74175709,1.8434817455252051e+21
50,442625106781.97888,2372.698667478342,442625104409.28027,186549228.87970105,9.3061021301365853e+20
60,472946048048.2395,2346.8808796774638,472946045701.35858,201521113.46752176,5.3522260983795037e+20
70,507192325967.69879,1917.4233509023024,507192324050.27539,264517653.71952105,2.5486002051275109e+20
80,545815136224.30157,1712.8767952584585,545815134511.42493,318654054.82473296,3.2981254592521326e+20
90,589362084709.78491,1671.3723337158419,589362083038.4126,352621658.75361747,3.065942750954066e+21
100,638493545726.4834,1755.5270311566308,638493543970.95642,363704764.66307169,8.3821636566516761e+19
-150,59546169289.100334,0.018095305095997369,59546169289.082237,3290697171072.9414,28493032271987520.0
-140,50373010506.141029,0.016545232475500174,50373010506.124481,3044563476562.3447,2.386830745584177e+17
-130,42721525108.985878,0.015160750102662447,42721525108.970718,2817903126144.3564,1.1050794139215006e+17
-120,36332210786.711151,0.013928001612556251,36332210786.69722,2608573131838.041,58657127913502416.0
-110,30991692876.874626,0.012834649243951527,30991692876.861782,2414689508673.5464,2.034597215996681e+17
-100,26524591759.537395,0.011869750358854854,26524591759.525524,2234637709945.6016,22446467938619908.0
-90,22786874123.198032,0.011023647924910474,22786874123.187008,2067090157306.8057,60975528445223744.0
-80,19660425167.504848,0.010287873864574618,19660425167.494564,1911028986776.7319,22773090453502768.0
-70,17048627436.775719,0.0096550643037492407,17048627436.766066,1765770470338.0818,29125922460160704.0
-60,14872772042.003662,0.0091188858716549706,14872772041.994543,1630985654534.1797,89795642443391232.0
-50,13069161131.691322,0.0086739723143276059,13069161131.682648,1506710035274.5852,33337256320858088.0
-40,11586787939.022608,0.0083158707873448087,11586787939.014292,1393334292381.6853,91740890532937472.0
-30,10385503664.146065,0.0080409972902624541,10385503664.138023,1291569103837.7517,1.075653056661989e+17
-20,9434599763.5322304,0.0078466007967335702,9434599763.5243835,1202380496719.0024,29845861260433420.0
-10,8711750686.3297176,0.0077307357213119987,8711750686.3219872,1126898008208.1023,45260970662979656.0
0,8202276379.2581902,0.0076922424473793265,8202276379.2504988,1066304973532.4746,1.181635231236352e+17
10,7898696548.1678629,0.0077307357213119987,7898696548.1601315,1021726370284.8916,94304357168610592.0
20,7800560222.6488066,0.0078466007967335702,7800560222.6409578,994132417937.72278,55193369662914712.0
30,7914545082.3520126,0.0080409972902624541,7914545082.3439703,984274064106.00684,62644915521017512.0
40,8254831706.5685701,0.0083158707873448087,8254831706.5602551,992659929147.87366,28199105328088184.0
50,8843768830.4108505,0.0086739723143276059,8843768830.4021759,1019575404431.8052,60837206674169936.0
60,9712857268.8609772,0.0091188858716549706,9712857268.8518581,1065136399946.8729,25707722649436872.0
70,10904092867.646988,0.0096550643037492407,10904092867.637331,1129365121205.1201,53143578199460720.0
80,12471723166.062542,0.010287873864574618,12471723166.052256,1212274113216.708,32747241559647988.0
90,14484488985.59165,0.011023647924910474,14484488985.580626,1313946987807.9658,2.7139574553550176e+17
100,17028441552.141878,0.011869750358854854,17028441552.130009,1434608229939.6155,23950490897860688.0
