voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1
-150.0,0.000000000000001549934640886988728788845381235370192856688136216933388633914387129109563564488077764971836145399924,0.000000000000002405440766572944020772919626422836833449511991865914896767006929324868511206575931284282757329244543,0.0000000000000007216690878111680307847646255524050724671255157427255007978386981293990501500513062295000352120522098,0.000000000000001270647361190666591048492391407335352921905963991792156632008966194631409776695076618744701592536736,0.000000000000001549934640886988728788845381235370192856688136216933388633914387129109563564488077764971836145399924,0.00000000000000411645301794485460474106811679777011463515970316387791303319201371638640649075163832290459969693378,0.0000000000000007216690878111680307847646255524050724671255157427255007978386981293990501500513067628201406823463037,0.0000000000000028466896891555726109294658525046417504889473978762077621242680442946112874231331895716923734319377
-140.0,0.000000000000001059848783133070506723504323066058026872146756525444065246495653304179579332677231367191475962127392,0.00000000000000005230918025867137285579219567764860589852425581823189532652465155030705260203697820790951741463067766,0.0000000000000005817458370572214381846016438638480342057434529157138760720615866600828224332276811716646933153436369,0.0000000000000005162107097017756823428538878460125267038174435824194355962789494703818968200598553309510827946637001,0.000000000000001059848783133070506723504323066058026872146756525444065246495653304179579332677231367191475962127392,0.0000000000000006511634682388400772446441673088752543135009547725189510196894310873383159514984756714303664055618455,0.000000000000001130724110436719998448329409718778314660523901164780531906231854725315182059871449713584600675094743,0.000000000000002163145529840271363134037185410803368068158788329619403098789753666078975699991161698974979643127364
-130.0,0.00000000000000153702608481665711998912673492903436551721416757589524564961899049126410011465854596868719373800926,0.000000000000002734734660776994528766830678191487662347167565484469357035948549565326626813581540895728891719871596,0.000000000000001220434328513603839005759874770398271065255608474381705636034381454815358548245447193912423317441335,0.0000000000000009459451918238545588738959918429331308378653843498483777189492474496480924038984933512669552868341925,0.00000000000000153702608481665711998912673492903436551721416757589524564961899049126410011465854596868719373800926,0.000000000000001023722409405083944798682187816554381161519854186506340769763465173808731529405833857107049352182358,0.000000000000001220434328513603839005759874770398271065255608474381705636034381454815358548245448095824637371914747,0.0000000000000009754787650043904020491511886493228507538661845218849177006466907786651662893546975748786501615812216
-120.0,0.00000000000000002373317798094990313911233531632255658336418718627869022770130500448298852597125336935398095830511327,0.0000000000000008317729477050053888449619098711440840094596684627028179053912371912759591161166001499569402255395057,0.00000000000000003835940201754723985714361069572933103047325845557041821894550274249596420648464906023518267882140778,0.00000000000000003835940201754723985714361069572933103047325845557041821894550271504705053750972112803036989186120281,0.00000000000000002373317798094990313911233531632255658336418718627869022770130500448298852597125336935398095830511327,0.0000000000000001948344031181409615359271843538158847019289583160749918543198134436347780543888240732193693573139717,0.00000000000000003835940201754723985714361069572933103047325845557041821894550274249596420648464908858313421963716949,0.0000000000000005106188713619513204065841551592009494243071897934962376152247653501853090891340476835351307359449712
-110.0,0.000000000000000582964636086011838009242906617308971411785345968007689967995461964181550797061332884878124676268156,0.00000000000000006966096067443866281879835950482898705609103257861878508813993664672618221180862077329798029044125385,0.0000000000000003682493741991338665296405788483409606643601659061880319917770400042298858013091263525906976040548476,0.00000000000000009376023750938458639777669592087582043696994178165470407469190597161370598798724269740902476023562275,0.000000000000000582964636086011838009242906617308971411785345968007689967995461964181550797061332884878124676268156,0.000000000000000839616473791798425604465180173548963589632502662702142407923224622909235089687688940668196869181607,0.000000000000000368249374199133866529640578848340960664360165906188031991777040004229885801309126624730378247602853,0.0000000000000004552180358701139738659510699340544600178105064674119517594783620936186536386565261200052941391264185
-100.0,0.0000000000000003485855150100897149797907962756403034569973219107048363348897211882862001073685627052144583461668292,0.0000000000000007763385778530673609718279188693736237534092497351955904014359922861656739284124894648699189380891387,0.0000000000000001661141141050849418613287897890696326437714784535284293804804317926628391273830205438200219869837838,0.0000000000000009895815241743327822569204385714650533259421508271284131317358338905113785673486741927590357819150693,0.0000000000000003485855150100897149797907962756403034569973219107048363348897211882862001073685627052144583461668292,0.00000000000000009193367730430312738456852271940031127915016521601038389496195852955851581474220664942438615325337817,0.0000000000000004406032507948342219931926727165347728711617025780617572975655658252790189407049047225820696497008564,0.000000000000001371025051357511026877108954604735152629613776643858206955196318789987767827219531783993160968123024
-90.0,0.00000000000000009302122418522550943069736233752263780899685352693147209166181986196384813523122249080499492596274598,0.00000000000000009302122418522550943069736233752263780899685352693147209166181986196384813523122249080499492596274598,0.0000000000000002398391464655292734280476192215968500695828146441038711833644676475592950301019033184201065155269188,0.0000000000000001025945781206546333621156777578642799558877025818372072248219006312512051234409616084614128432600728,0.00000000000000009302122418522550943069736233752263780899685352693147209166181986196384813523122249080499492596274598,0.00000000000000009302122418522550943069736233752263780899685352693147209166181986196384813523122249080499492596274598,0.0000000000000001718945585690946467697482051696008602715025215426961206922632334013649746898809225883462597799289265,0.000000000000001475040261569401034021435092395189981092838823204503846810247570794332104190050383616406854090260577
-80.0,0.0000000000000002437196822811362596306701945858121479601985157135320494823712728307321271702367035161694082419707596,0.00000000000000007261845714394520123385534554831881984163374458373574785575276439158033764181913281231203024856173771,0.0000000000000003088761578805560399472741243203699698971805614323966062079913321734363702264327276558351555047017007,0.0000000000000007480587765841548881582563370043141942610049200316499308753275466256222579277477434003787302969070569,0.0000000000000002437196822811362596306701945858121479601985157135320494823712728307321271702367035161694082419707596,0.00000000000000007261845714394520123385534554831881984163374458373574785575276439158033764181913281231203024856173771,0.0000000000000005833652945703053200791380072478351101245707855569299341250764662060525500397546119400996689504775411,0.0000000000000003088761578805560399472741243203699698971805614323966062079913321734363702264327282754043280019824687
-70.0,0.0000000000000001813139613453207154287614573221978325015061430900532363877758121413151305329746989159321052788733685,0.00000000000000001021273620812965703194660828470450438294137196025693476115730370216334100455712821206671687986451006,0.0000000000000004659451400082478200953761056489161303049762917558121601525715298886591590576300095057243792797181427,0.0000000000000004659451400082478200953761056489161303049762917558121601525715298886591590576300104895465271693204651,0.0000000000000001813139613453207154287614573221978325015061430900532363877758121413151305329746989159321052788733685,0.00000000000000001021273620812965703194660828470450438294137196025693476115730370216334100455712821206671687986451006,0.000000000000001014923413387746380359103871503846410759756740004878815986741797953891518684273777962079355206590252,0.000000000000002114252744875395413144144393869256187832491815014801122268028730017932931187595702954917405797837961
-60.0,0.0000000000000001591456687900726456134750472691200659197688806490983303695860041451395801727816527774261882058245218,0.00000000000000001195555634711841278333980176837326219879589048069797125703250429401220935563591792643920019318433658,0.0000000000000003673293013715385191435612447192171270324128556215315586461520654266042333571908560594069715503932336,0.0000000000000003673293013715385191435612447192171270324128556215315586461520654266042333571908568350062239682574206,0.0000000000000001591456687900726456134750472691200659197688806490983303695860041451395801727816527774261882058245218,0.0000000000000001591456687900726456134750472691200659197688806490983303695860041451395801727816527774261882058245218,0.0000000000000007241651790682125833149842925249218093280201469834248849383627396690052671145093056036798332081793323,0.000000000000001087463123084132665555317334796348116172755332238495079314399144946261519653415130543664889418424692
