voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2
-150.0,0.0000000000001115809319800947110405037020057984238608986401168257153059811537265235822080307150667535450258003716,0.000000000000170859555542634441804327660231632662229791683758771847049611327861294148202167204010559954273728309,0.0000000000001967265912790154152285417510938148753362177391661665227195590402110122133632449445166485601795788076,0.0000000000002581058080896256178750062172419321614304049024181095199631503151361411858539126673819267436344881277,0.0000000000001460558055339090424931067536706045177628975913410791790545835130680121392959861948793294080606031509,0.0000000000002699935038292648978422484361683737212185101207677156364197130765867009929471968830325848343147708826
-140.0,0.00000000000005105372730005489428620532971743140597815045387148463336250062047953931392317693582902576023387656031,0.00000000000009028539816689937064626336752507442918956330457269989146192131754327837941747817576472156699545764481,0.00000000000003941356121868345624530898882944941008025872893815702931102414992216618460069195259269349713928755036,0.0000000000001500720958695419801977190081525491515761804363881270364529580002860529459711099879112004434577117807,0.00000000000007013167625899908355154215729160053380879151054913585163288540659470561594759093509314469913281750359,0.0000000000002657817534422337985995582724295883958676515412792349132595993716462822497231446745960729130191933972
-130.0,0.00000000000002993782539208022402073805441574115162355333350130257171455139000975974063591723400623895833985823421,0.0000000000001211191263628231553410927247049334528237051788123688034511170760425159203287162696037275473685253827,0.00000000000006593611679187707870276933086561139819666292727659349535522862302978404798508375632276510334265586391,0.0000000000001864809741787943161066271676471035561838129250564300066245709642485885210297332398024717080899227358,0.00000000000009958905899350504812692627560246435367914178123020886037544507230092791162217203010195537849265982049,0.0000000000003778642683736436667410368457389650180417434982447322269122454130316954046968009015700218783140345402
-120.0,0.00000000000003068758164098219964938486752243108316425297603244956453035899615829276988930446316050633185943407553,0.00000000000008673282573647430873518206439049254489484276274847136181524570624934857773830623446043814411453036818,0.00000000000006981147319225842195350867995148168048772238483613401148115491108724134344543454579708505080211496816,0.0000000000001912214731057065204364467268346105661920357061699387822016827535711097036093425475668895625533827462,0.00000000000007013896864544328018347280864653417543480002412409394832993952723284904262549079570746556279602466885,0.0000000000002915119643428084557756504050576439476448249194521741614852652884864257915986272978174117481787451935
-110.0,0.00000000000003548260747087591977105545272396102497493759751074633191794964581941270703038859317296071449042388242,0.00000000000006695416761680610410384926327294938425442263158974318731638602917823635297636651091880981641254391896,0.00000000000003569816610201242788292390348114587675082448130580795421519921008899369090673090769394804528989038158,0.0000000000002161569848911964468418878321372197595978904332411900695973400687707121776113236809238674246127185864,0.00000000000004886702404226890421916985370706658741411120201073694615199358906807688806074114668257856855016639997,0.0000000000003711829878481157355831326569323971888537073084127128903059626111749181452811885953941532947994575556
-100.0,0.00000000000008764626732441393960785770442319857617865671884421041465704389339850311888370846559050814649186420452,0.0000000000001376125022132370372946733368349715296231368469951848859687507683136250318940101919505485685572554709,0.00000000000008889625157638620401240346571119502827270110931125824679034924338832267584064711380697805283791246264,0.0000000000002629378495284330107651213503302267494233790333411608559785770930793307830132724254446727286706268049,0.0000000000001340135520873529599050069629527227276820969453413210051106822164924437219676070260413507257049773189,0.0000000000002830895571124272198768519112401337978763478651705299514696823990268015455271042942546586372591391691
-90.0,0.00000000000001385307029768707282686052904607671339575157844509494480837018235011287210422050695929805811410160803,0.00000000000000910392391835104108712947659411000073620154572896782984870841236026191072623598780017197930806757486,0.00000000000002257633836438279807890764891816323672913178292031922342680617920907340299763064434687517707511374014,0.00000000000001856332477864322236204688376376664594108660721156870574837104025438694311937585333364609473641704352,0.000000000000006536007832114378532559167660309884570050018244643205743183500282071164863547129557055235645642882859,0.00000000000005120034816119545093196683059818520128707264677386502339740943732376488446194709378151713259165930373
-80.0,0.00000000000006292115739748297304017632760012661176404707599312089592521136790251893888064893991031287132965052526,0.00000000000007751529078795206184211934070580432022625771648952603073287975372949205655636895997530193923538133467,0.0000000000001027356506309235109307280792964319780050231205117358395110787732704563921568629316000687877709664891,0.0000000000003400780180607554961415095415677811167506067190520374825862014882487933005993100091120769574414273306,0.00000000000007039740283442936817835215656634003129798169601756477180673705356853926052558018190540356220634630091,0.0000000000005021137185632522643111956839335694233350320068536817649619383664921078605916775473327212595159199294
-70.0,0.0000000000001221152549799189707435164144757084410818679408883931163490005354725526454652380257555528875325825649,0.0000000000000994790178284113682572509639103191845298486004349546052235515336566987794146612851722488618945430431,0.00000000000003006913860245575623560982009679691269427201842511222550919183885161119330087918917735977930795287308,0.0000000000005736441575590345534923898725856284485460704547161678129715481665206970580130106136693785010319379851,0.00000000000009901016158547698973743286270650950190689075452103929950165030416156698028481782661366183620556961925,0.000000000000574299542312478453882962050775784796290914275388281940246227356712160017912881144323973573207384149
-60.0,0.00000000000002789921999172849315980207120842194669280824973123951096470747099905734438620107229580713139831235338,0.000000000000005727926465566772291676246912414930345545622298373567406224555055597696186313641255023247047985146711,0.00000000000005681532204491919480449907636522480123073708172797805185437128694629087487944217889205799125405783281,0.00000000000001727561684437706858039581776608541209064199024837506148909347232734616357810410883927483286400438374,0.000000000000008057560480145354682793519851383135785505224886000315016357539083753530053627597535315852760023294708,0.00000000000004859064419938123190389646003933281238734076910100091742507915734148965539302184533398650265893766375
