voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2
-150.0,0.000000003847277736753377080244106162606939267588262149283175902743602745600000000000000000000002312282417381,0.000000002902722263246622919755893837393060732411737850716824097256397254400000000000000000000000456076197422,0.00000002035272226324662291975589383739306073241173785071682409725639725440000000000000000000000026083004462,0.0000000008675075621541918075697308666338236252265860711012186538771671296969999999999999999999992214676919787,0.0000000007775075621541918075697308666338236252265860711012186538771671296969999999999999999999994966680007608,0.000000001462492437845808192430269133366176374773413928898781346122832870303999999999999999999999521844722146
-140.0,0.000000004336876183605359145862761299163029084153138658907614667783000476670000000000000000000000251468455484,0.000000007496876183605359145862761299163029084153138658907614667783000476670000000000000000000000160307050061,0.00000002405687618360535914586276129916302908415313865890761466778300047667000000000000000000000008555486483,0.000000003580557751426516884192087140707868813235014211857876375908204401487000000000000000000000177717206251,0.000000001839442248573483115807912859292131186764985788142123624091795598513000000000000000000000051124893377,0.000000004959442248573483115807912859292131186764985788142123624091795598512999999999999999999999718144353159
-130.0,0.000000003177696743965804563644893524163636998059240437351832688009587853549999999999999999999999488500976432,0.0000000004923032560341954363551064758363630019407595626481673119904121464500000000000000000000010456515005696,0.00000003867769674396580456364489352416363699805924043735183268800958785355000000000000000000000038445751541,0.000000001744738671484485231286597144333191433455359649655476577260005419651999999999999999999999760186776894,0.00000000002526132851551476871340285566680856654464035034452342273999458034800000000000000000000028949623086606,0.0000000006687386714844852312865971443331914334553596496554765772600054196509999999999999999999998665778370949
-120.0,0.000000001797260764200018518718606214014695601710516295549035758815695653499999999999999999999999098522247284,0.000000009797260764200018518718606214014695601710516295549035758815695653499999999999999999999998772915117511,0.000000003847260764200018518718606214014695601710516295549035758815695653499999999999999999999998968268656733,0.000000005040370642990492183157424099126174252815666351970721226751383369636000000000000000000000190120417114,0.000000002329629357009507816842575900873825747184333648029278773248616630364000000000000000000000006171708179,0.00000001015462935700950781684257590087382574718433364802927877324861663036399999999999999999999985154590678
-110.0,0.0000000003378462797988696305287037353639369958835011104234316694475752032700000000000000000000005680664629841,0.0000000007321537202011303694712962646360630041164988895765683305524247967299999999999999999999987610389518799,0.000000009672153720201130369471296264636063004116498889576568330552424796729999999999999999999998266086046426,0.0000000004861673196149867844315006099465629634093726102769236263823739009679999999999999999999998051137899267,0.0000000002578326803850132155684993900534370365906273897230763736176260990319999999999999999999998237787083828,0.0000000003338326803850132155684993900534370365906273897230763736176260990310000000000000000000002465804270209
-100.0,0.000000002967988132759141495622739186576006256370708772508634173644201014899999999999999999999998779658021394,0.000000001232011867240858504377260813423993743629291227491365826355798985100000000000000000000000862131181287,0.00000001529798813275914149562273918657600625637070877250863417364420101489999999999999999999999946696182672,0.000000001176473211950464080165385594458684661333482130704355476413742612127000000000000000000000374770545593,0.0000000003064732119504640801653855944586846613334821307043554764137426121270000000000000000000003820902628273,0.0000000007664732119504640801653855944586846613334821307043554764137426121259999999999999999999996619151730265
-90.0,0.000000000005318080250217919837649485394372718817177136564757499218896877940000000000000000000000120379677011077,0.0000000006453180802502179198376494853943727188171771365647574992188968779400000000000000000000002441447499793,0.000000002045318080250217919837649485394372718817177136564757499218896877939999999999999999999999812629393894,0.0000000008187012337004369922284604685444292405113324946065117600213919194489999999999999999999999607395774792,0.0000000001062987662995630077715395314555707594886675053934882399786080805520000000000000000000000616751173868,0.000000001946298766299563007771539531455570759488667505393488239978608080550999999999999999999999959494192776
-80.0,0.0000000006220377652485171935505549000325334646502786541985425148710445264150000000000000000000003459560380067,0.0000000003820377652485171935505549000325334646502786541985425148710445264149999999999999999999998313765001744,0.000000003072037765248517193550554900032533464650278654198542514871044526413999999999999999999999366882473196,0.00000000120373972493828437669440245107063530984685185881545703197883657888599999999999999999999996368169905,0.0000000001262602750617156233055975489293646901531481411845429680211634211130000000000000000000000110749471186,0.0000000005432602750617156233055975489293646901531481411845429680211634211130000000000000000000001560886773515
-70.0,0.0000000004298802700610667577820935928870225727090830737877770036954950123320000000000000000000006019379325934,0.000000001089880270061066757782093592887022572709083073787777003695495012332000000000000000000000144361119755,0.000000004939880270061066757782093592887022572709083073787777003695495012330999999999999999999999670107469798,0.000000003396592051713817817858670611913102997064650945075502605661610681156000000000000000000000005988994681,0.0000000003034079482861821821413293880868970029353490549244973943383893188430000000000000000000001344804151548,0.000000002860407948286182182141329388086897002935349054924497394338389318843000000000000000000000108124063789
-60.0,0.000000004478550488062858979626864786642575392152548137355983532687082447384999999999999999999999968945687484,0.000000000088550488062858979626864786642575392152548137355983532687082447382999999999999999999999784049391011,0.0000000041054495119371410203731352133574246078474518626440164673129175526170000000000000000000002194094316,0.000000002903741311798448692415192207800817655316910620705687740050677811399000000000000000000000073895420403,0.00000000005725868820155130758480779219918234468308937929431225994932218859999999999999999999999982417838420252,0.000000001783258688201551307584807792199182344683089379294312259949322188598999999999999999999999805289523949
